exercise,question,answer,konnektor,german,english,french,case_english,case_french,explanation_english,explanation_french,explanation_synonym_english,explanation_synonym_french
2,"Ich gehe ins Bett, _____ ich bin müde.",denn,denn,"Ich gehe ins Bett, denn ich bin müde.",I am going to bed because I am tired.,Je vais me coucher parce que je suis fatigué.,,,"denn = for, because ● Coordinating conjunction","denn = car, parce que ● Conjonction de coordination",,
2,"Er bleibt zu Hause, _____ er fühlt sich nicht gut.",denn,denn,"Er bleibt zu Hause, denn er fühlt sich nicht gut.",He stays at home because he doesn’t feel well.,Il reste à la maison parce qu’il ne se sent pas bien.,,,"denn = for, because ● Coordinating conjunction","denn = car, parce que ● Conjonction de coordination",,
2,"Sie kauft das Buch, _____ sie möchte es lesen.",denn,denn,"Sie kauft das Buch, denn sie möchte es lesen.",She buys the book because she wants to read it.,Elle achète le livre parce qu'elle veut le lire.,,,"denn = for, because ● Coordinating conjunction","denn = car, parce que ● Conjonction de coordination",,
2,"Wir nehmen den Bus, _____ unser Auto ist kaputt.",denn,denn,"Wir nehmen den Bus, denn unser Auto ist kaputt.",We take the bus because our car is broken.,Nous prenons le bus parce que notre voiture est en panne.,,,"denn = for, because ● Coordinating conjunction","denn = car, parce que ● Conjonction de coordination",,
2,"Ich esse jetzt, _____ ich habe Hunger.",denn,denn,"Ich esse jetzt, denn ich habe Hunger.",I am eating now because I am hungry.,Je mange maintenant parce que j'ai faim.,,,"denn = for, because ● Coordinating conjunction","denn = car, parce que ● Conjonction de coordination",,
2,"Möchtest du Tee trinken, _____ soll ich Kaffee machen?",oder,oder,"Möchtest du Tee trinken, oder soll ich Kaffee machen?","Do you want to drink tea, or should I make coffee?",Veux-tu boire du thé ou dois-je faire du café ?,,,oder = or ● Coordinating conjunction,"oder = ou, ou bien, ou alors ● Conjonction de coordination",,
2,"Wir können ins Kino gehen, _____ wir bleiben zu Hause.",oder,oder,"Wir können ins Kino gehen, oder wir bleiben zu Hause.","We can go to the cinema, or we stay at home.","On peut aller au cinéma, ou rester à la maison.",,,oder = or ● Coordinating conjunction,"oder = ou, ou bien, ou alors ● Conjonction de coordination",,
2,"Er fährt mit dem Fahrrad, _____ er nimmt den Bus.",oder,oder,"Er fährt mit dem Fahrrad, oder er nimmt den Bus.","He rides his bike, or he takes the bus.",Il fait du vélo ou il prend le bus.,,,oder = or ● Coordinating conjunction,"oder = ou, ou bien, ou alors ● Conjonction de coordination",,
2,"Liest du ein Buch, _____ schaust du einen Film?",oder,oder,"Liest du ein Buch, oder schaust du einen Film?","Are you reading a book, or are you watching a movie?",Lisez-vous un livre ou regardez-vous un film ?,,,oder = or ● Coordinating conjunction,"oder = ou, ou bien, ou alors ● Conjonction de coordination",,
2,"Ich koche Pasta, _____ du bestellst Pizza.",oder,oder,"Ich koche Pasta, oder du bestellst Pizza.","I will cook pasta, or you order pizza.",Je cuisinerai des pâtes ou tu commanderas une pizza.,,,oder = or ● Coordinating conjunction,"oder = ou, ou bien, ou alors ● Conjonction de coordination",,
3,,,und,und,and,et,Coordinating conjunction,Conjonction de coordination,und = and ● Coordinating conjunction,und = et ● Conjonction de coordination,,
3,,,aber,aber,but,mais,Coordinating conjunction,Conjonction de coordination,aber = but ● Coordinating conjunction,aber = mais ● Conjonction de coordination,,
3,,,oder,oder,or,"ou, ou bien, ou alors",Coordinating conjunction,Conjonction de coordination,oder = or ● Coordinating conjunction,"oder = ou, ou bien, ou alors ● Conjonction de coordination",,
3,,,denn,denn,"for, because","car, parce que",Coordinating conjunction,Conjonction de coordination,"denn = for, because ● Coordinating conjunction","denn = car, parce que ● Conjonction de coordination",,
4,,weil,weil,,"because, since","parce que, puisque, vu que",Subordinating conjunction,Conjonctions de subordination,"weil = because, since ● Subordinating conjunction","weil = parce que, puisque, vu que ● Conjonctions de subordination",,
4,,also,also,,"so, thus, hence","donc, ainsi, d'où",Adverb,Adverbe,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe",,
4,,deshalb,deshalb,,"therefore, for this reason, because of that","pour cette raison, à cause de cela",Adverb,Adverbe,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe",,
4,,dass,dass,,that,que,Subordinating conjunction,Conjonctions de subordination,dass = that ● Subordinating conjunction,dass = que ● Conjonctions de subordination,,
4,,wenn,wenn,,"if, when (regular events)","si, quand (évènements récurrents)",Subordinating conjunction,Conjonctions de subordination,"wenn = if, when (regular events) ● Subordinating conjunction","wenn = si, quand (évènements récurrents) ● Conjonctions de subordination",,
4,,als,als,,"when (for a specific, one-off event in the past), as","quand (pour un évèvement spécifique dans le passé), lorsque",Subordinating conjunction,Conjonctions de subordination,"als = when (for a specific, one-off event in the past), as ● Subordinating conjunction","als = quand (pour un évèvement spécifique dans le passé), lorsque ● Conjonctions de subordination",,
4,,dann,dann,,then,"ensuite, alors",Adverb,Adverbe,dann = then ● Adverb,"dann = ensuite, alors ● Adverbe",,
5,"Ich bleibe zu Hause, _____ es stark regnet.",weil,weil,"Ich bleibe zu Hause, weil es stark regnet.",I stay at home because it is raining heavily.,Je reste à la maison parce qu'il pleut beaucoup.,,,"weil = because, since ● Subordinating conjunction","weil = parce que, puisque, vu que ● Conjonctions de subordination",,
5,"Er kann nicht kommen, _____ er arbeiten muss.",weil,weil,"Er kann nicht kommen, weil er arbeiten muss.",He can't come because he has to work.,Il ne peut pas venir parce qu'il doit travailler.,,,"weil = because, since ● Subordinating conjunction","weil = parce que, puisque, vu que ● Conjonctions de subordination",,
5,"Sie lernt viel, _____ sie die Prüfung bestehen will.",weil,weil,"Sie lernt viel, weil sie die Prüfung bestehen will.",She studies a lot because she wants to pass the exam.,Elle étudie beaucoup parce qu'elle veut réussir l'examen.,,,"weil = because, since ● Subordinating conjunction","weil = parce que, puisque, vu que ● Conjonctions de subordination",,
5,"Wir gehen früh ins Bett, _____ wir morgen früh aufstehen müssen.",weil,weil,"Wir gehen früh ins Bett, weil wir morgen früh aufstehen müssen.",We go to bed early because we have to get up early tomorrow.,Nous nous couchons tôt parce que nous devons nous lever tôt demain.,,,"weil = because, since ● Subordinating conjunction","weil = parce que, puisque, vu que ● Conjonctions de subordination",,
5,"Ich trinke Kaffee, _____ ich müde bin.",weil,weil,"Ich trinke Kaffee, weil ich müde bin.",I drink coffee because I am tired.,Je bois du café parce que je suis fatigué.,,,"weil = because, since ● Subordinating conjunction","weil = parce que, puisque, vu que ● Conjonctions de subordination",,
5,"Es regnet, _____ bleibe ich zu Hause.",also,also,"Es regnet, also bleibe ich zu Hause.","It’s raining, so I’m staying at home.","Il pleut, donc je reste à la maison.",,,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe",,
5,"Ich habe Hunger, _____ esse ich jetzt.",also,also,"Ich habe Hunger, also esse ich jetzt.","I’m hungry, so I’m eating now.","J’ai faim, donc je mange maintenant.",,,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe",,
5,Du hast das Buch vergessen? _____ müssen wir zurückgehen.,Also,Also,Du hast das Buch vergessen? Also müssen wir zurückgehen.,You forgot the book? So we have to go back.,Tu as oublié le livre ? On doit donc y retourner.,,,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe",,
5,"Er hat viel gelernt, _____ besteht er die Prüfung.",also,also,"Er hat viel gelernt, also besteht er die Prüfung.","He studied a lot, so he passes the exam.","Il a beaucoup étudié, donc il réussit l'examen.",,,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe",,
5,"Das Auto ist kaputt, _____ nehmen wir den Bus.",also,also,"Das Auto ist kaputt, also nehmen wir den Bus.","The car is broken, so we take the bus.","La voiture est en panne, donc nous prenons le bus.",,,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe",,
5,"Ich hoffe, _____ du mich bald besuchst.",dass,dass,"Ich hoffe, dass du mich bald besuchst.",I hope that you visit me soon.,J'espère que tu viendras me rendre visite bientôt.,,,dass = that ● Subordinating conjunction,dass = que ● Conjonctions de subordination,,
5,"Er sagt, _____ er heute keine Zeit hat.",dass,dass,"Er sagt, dass er heute keine Zeit hat.",He says that he has no time today.,Il dit qu'il n'a pas le temps aujourd'hui.,,,dass = that ● Subordinating conjunction,dass = que ● Conjonctions de subordination,,
5,"Wir wissen, _____ Deutsch eine schwierige Sprache ist.",dass,dass,"Wir wissen, dass Deutsch eine schwierige Sprache ist.",We know that German is a difficult language.,Nous savons que l’allemand est une langue difficile.,,,dass = that ● Subordinating conjunction,dass = que ● Conjonctions de subordination,,
5,"Sie glaubt, _____ er ihr helfen kann.",dass,dass,"Sie glaubt, dass er ihr helfen kann.",She believes that he can help her.,Elle croit qu’il peut l’aider.,,,dass = that ● Subordinating conjunction,dass = que ● Conjonctions de subordination,,
5,"Ich finde, _____ das Essen sehr lecker schmeckt.",dass,dass,"Ich finde, dass das Essen sehr lecker schmeckt.",I think that the food tastes very delicious.,Je pense que la nourriture a un goût très délicieux.,,,dass = that ● Subordinating conjunction,dass = que ● Conjonctions de subordination,,
5,"Es regnet stark, _____ nehme ich meinen Regenschirm.",deshalb,deshalb,"Es regnet stark, deshalb nehme ich meinen Regenschirm.","It is raining heavily, therefore I take my umbrella.","Il pleut beaucoup, alors je prends mon parapluie.",,,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe",,
5,"Ich habe meine Hausaufgaben vergessen, _____ muss ich sie jetzt machen.",deshalb,deshalb,"Ich habe meine Hausaufgaben vergessen, deshalb muss ich sie jetzt machen.","I forgot my homework, therefore I have to do it now.","J'ai oublié mes devoirs, donc je dois les faire maintenant.",,,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe",,
5,"Er hat schlecht geschlafen, _____ ist er heute müde.",deshalb,deshalb,"Er hat schlecht geschlafen, deshalb ist er heute müde.","He slept badly, therefore he is tired today.","Il a mal dormi, donc il est fatigué aujourd'hui.",,,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe",,
5,"Wir haben Hunger, _____ kochen wir etwas zu essen.",deshalb,deshalb,"Wir haben Hunger, deshalb kochen wir etwas zu essen.","We are hungry, therefore we cook something to eat.","Nous avons faim, donc nous cuisinons quelque chose à manger.",,,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe",,
5,"Sie hat ihren Bus verpasst, _____ kommt sie zu spät.",deshalb,deshalb,"Sie hat ihren Bus verpasst, deshalb kommt sie zu spät.","She missed her bus, therefore she is late.","Elle a raté son bus, donc elle est en retard.",,,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe",,
5,"_____ es regnet, nehme ich meinen Regenschirm.",Wenn,Wenn,"Wenn es regnet, nehme ich meinen Regenschirm.","When it rains, I take my umbrella.","Quand il pleut, je prends mon parapluie.",,,"wenn = if, when (regular events) ● Subordinating conjunction","wenn = si, quand (évènements récurrents) ● Conjonctions de subordination",,
5,"Ich gehe joggen, _____ ich Zeit habe.",wenn,wenn,"Ich gehe joggen, wenn ich Zeit habe.",I go jogging when I have time.,Je fais du jogging quand j'ai le temps.,,,"wenn = if, when (regular events) ● Subordinating conjunction","wenn = si, quand (évènements récurrents) ● Conjonctions de subordination",,
5,"_____ er müde ist, trinkt er Kaffee.",Wenn,Wenn,"Wenn er müde ist, trinkt er Kaffee.","When he is tired, he drinks coffee.","Quand il est fatigué, il boit du café.",,,"wenn = if, when (regular events) ● Subordinating conjunction","wenn = si, quand (évènements récurrents) ● Conjonctions de subordination",,
5,"Wir machen ein Picknick, _____ das Wetter schön ist.",wenn,wenn,"Wir machen ein Picknick, wenn das Wetter schön ist.",We have a picnic when the weather is nice.,Nous faisons un pique-nique quand il fait beau.,,,"wenn = if, when (regular events) ● Subordinating conjunction","wenn = si, quand (évènements récurrents) ● Conjonctions de subordination",,
5,"_____ sie Geburtstag hat, feiert sie mit ihrer Familie.",Wenn,Wenn,"Wenn sie Geburtstag hat, feiert sie mit ihrer Familie.","When it’s her birthday, she celebrates with her family.","Quand c’est son anniversaire, elle le fête avec sa famille.",,,"wenn = if, when (regular events) ● Subordinating conjunction","wenn = si, quand (évènements récurrents) ● Conjonctions de subordination",,
5,"_____ ich ein Kind war, hatte ich einen Hund.",Als,Als,"Als ich ein Kind war, hatte ich einen Hund.","When I was a child, I had a dog.","Quand j'étais enfant, j'avais un chien.",,,"als = when (for a specific, one-off event in the past), as ● Subordinating conjunction","als = quand (pour un évèvement spécifique dans le passé), lorsque ● Conjonctions de subordination",,
5,"Er war sehr glücklich, _____ er die Prüfung bestanden hat.",als,als,"Er war sehr glücklich, als er die Prüfung bestanden hat.",He was very happy when he passed the exam.,Il était très heureux lorsqu'il a réussi l'examen.,,,"als = when (for a specific, one-off event in the past), as ● Subordinating conjunction","als = quand (pour un évèvement spécifique dans le passé), lorsque ● Conjonctions de subordination",,
5,"_____ wir in Berlin waren, haben wir den Fernsehturm besucht.",Als,Als,"Als wir in Berlin waren, haben wir den Fernsehturm besucht.","When we were in Berlin, we visited the TV tower.","Quand nous étions à Berlin, nous avons visité la tour de télévision.",,,"als = when (for a specific, one-off event in the past), as ● Subordinating conjunction","als = quand (pour un évèvement spécifique dans le passé), lorsque ● Conjonctions de subordination",,
5,"Ich habe ihn das erste Mal getroffen, _____ ich nach Deutschland gereist bin.",als,als,"Ich habe ihn das erste Mal getroffen, als ich nach Deutschland gereist bin.",I met him for the first time when I traveled to Germany.,Je l'ai rencontré pour la première fois lors d'un voyage en Allemagne.,,,"als = when (for a specific, one-off event in the past), as ● Subordinating conjunction","als = quand (pour un évèvement spécifique dans le passé), lorsque ● Conjonctions de subordination",,
5,"_____ sie ihr Auto gekauft hat, war sie sehr stolz.",Als,Als,"Als sie ihr Auto gekauft hat, war sie sehr stolz.","When she bought her car, she was very proud.","Lorsqu'elle a acheté sa voiture, elle était très fière.",,,"als = when (for a specific, one-off event in the past), as ● Subordinating conjunction","als = quand (pour un évèvement spécifique dans le passé), lorsque ● Conjonctions de subordination",,
5,"Ich stehe auf, _____ mache ich mir einen Kaffee.",dann,dann,"Ich stehe auf, dann mache ich mir einen Kaffee.","I get up, then I make myself a coffee.","Je me lève, puis je me fais un café.",,,dann = then ● Adverb,"dann = ensuite, alors ● Adverbe",,
5,"Er geht zur Arbeit, _____ beginnt er mit seinem ersten Meeting.",dann,dann,"Er geht zur Arbeit, dann beginnt er mit seinem ersten Meeting.","He goes to work, then he starts his first meeting.","Il va au travail, puis il commence sa première réunion.",,,dann = then ● Adverb,"dann = ensuite, alors ● Adverbe",,
5,"Wir kaufen die Zutaten ein, _____ kochen wir das Abendessen.",dann,dann,"Wir kaufen die Zutaten ein, dann kochen wir das Abendessen.","We buy the ingredients, then we cook dinner.","Nous achetons les ingrédients, puis nous préparons le dîner.",,,dann = then ● Adverb,"dann = ensuite, alors ● Adverbe",,
5,"Sie macht ihre Hausaufgaben, _____ schaut sie einen Film.",dann,dann,"Sie macht ihre Hausaufgaben, dann schaut sie einen Film.","She does her homework, then she watches a movie.","Elle fait ses devoirs, puis elle regarde un film.",,,dann = then ● Adverb,"dann = ensuite, alors ● Adverbe",,
5,"Ich dusche, _____ ziehe ich mich an.",dann,dann,"Ich dusche, dann ziehe ich mich an.","I take a shower, then I get dressed.","Je prends une douche, puis je m'habille.",,,dann = then ● Adverb,"dann = ensuite, alors ● Adverbe",,
6,,,also,also,"so, thus, hence","donc, ainsi, d'où",Adverb,Adverbe,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe",,
6,,,deshalb,deshalb,"therefore, for this reason, because of that","pour cette raison, à cause de cela",Adverb,Adverbe,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe",,
6,,,dass,dass,that,que,Subordinating conjunction,Conjonctions de subordination,dass = that ● Subordinating conjunction,dass = que ● Conjonctions de subordination,,
6,,,wenn,wenn,"if, when (regular events)","si, quand (évènements récurrents)",Subordinating conjunction,Conjonctions de subordination,"wenn = if, when (regular events) ● Subordinating conjunction","wenn = si, quand (évènements récurrents) ● Conjonctions de subordination",,
6,,,als,als,"when (for a specific, one-off event in the past), as","quand (pour un évèvement spécifique dans le passé), lorsque",Subordinating conjunction,Conjonctions de subordination,"als = when (for a specific, one-off event in the past), as ● Subordinating conjunction","als = quand (pour un évèvement spécifique dans le passé), lorsque ● Conjonctions de subordination",,
6,,,dann,dann,then,"ensuite, alors",Adverb,Adverbe,dann = then ● Adverb,"dann = ensuite, alors ● Adverbe",,
6,,,da,da,"because, since","parce que, puisque, vu que",Subordinating conjunction,Conjonctions de subordination,"da = because, since ● Subordinating conjunction","da = parce que, puisque, vu que ● Conjonctions de subordination",,
7,,obwohl,obwohl,,"although, even though","bien que, même si",Subordinating conjunction,Conjonctions de subordination,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination",,
7,,trotzdem,trotzdem,,"despite it, nevertheless, yet, nonetheless, anyway","malgré cela, tout de même, néanmoins, pourtant",Adverb,Adverbe,"trotzdem = despite it, nevertheless, yet, nonetheless, anyway ● Adverb","trotzdem = malgré cela, tout de même, néanmoins, pourtant ● Adverbe",,
7,,weshalb,weshalb,,"which is why, therefore",c'est pourquoi,Subordinating conjunction,Conjonctions de subordination,"weshalb = which is why, therefore ● Subordinating conjunction",weshalb = c'est pourquoi ● Conjonctions de subordination,,
7,,damit,damit,,"so that, in order to","pour que, afin que, afin de (+ infinitif)",Subordinating conjunction,Conjonctions de subordination,"damit = so that, in order to ● Subordinating conjunction","damit = pour que, afin que, afin de (+ infinitif) ● Conjonctions de subordination",,
7,,um ... zu,um ... zu,,in order to,"pour que, afin que, afin de (+ infinitif)",Correlative conjunction,Conjonction corrélative,um ... zu = in order to ● Correlative conjunction,"um ... zu = pour que, afin que, afin de (+ infinitif) ● Conjonction corrélative",,
7,,anstatt ... zu,anstatt ... zu,,instead of,"au lieu de, à la place de",Correlative conjunction,Conjonction corrélative,anstatt ... zu = instead of ● Correlative conjunction,"anstatt ... zu = au lieu de, à la place de ● Conjonction corrélative",,
7,,ohne ... zu,ohne ... zu,,without (+ ...ing),sans que,Correlative conjunction,Conjonction corrélative,ohne ... zu = without (+ ...ing) ● Correlative conjunction,ohne ... zu = sans que ● Conjonction corrélative,,
7,,während,während,,while,"pendant que, alors que",Subordinating conjunction,Conjonctions de subordination,während = while ● Subordinating conjunction,"während = pendant que, alors que ● Conjonctions de subordination",,
8,"Ich gehe spazieren, _____ es regnet.",obwohl,obwohl,"Ich gehe spazieren, obwohl es regnet.",I go for a walk although it is raining.,Je vais me promener même s'il pleut.,,,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination",,
8,"Er arbeitet weiter, _____ er müde ist.",obwohl,obwohl,"Er arbeitet weiter, obwohl er müde ist.",He continues working although he is tired.,Il continue à travailler même s'il est fatigué.,,,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination",,
8,"Sie kommt zur Party, _____ sie viel zu tun hat.",obwohl,obwohl,"Sie kommt zur Party, obwohl sie viel zu tun hat.",She comes to the party although she has a lot to do.,Elle vient à la fête même si elle a beaucoup à faire.,,,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination",,
8,"Wir spielen draussen, _____ es kalt ist.",obwohl,obwohl,"Wir spielen draussen, obwohl es kalt ist.",We play outside although it is cold.,Nous jouons dehors même s'il fait froid.,,,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination",,
8,"Ich esse das Gericht, _____ ich es nicht mag.",obwohl,obwohl,"Ich esse das Gericht, obwohl ich es nicht mag.",I eat the dish although I don’t like it.,Je mange le plat même si je ne l’aime pas.,,,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination",,
8,"Ich lerne jeden Tag, _____ Deutsch zu verbessern.",um,um ... zu,"Ich lerne jeden Tag, um Deutsch zu verbessern.",I study every day in order to improve my German.,J'étudie tous les jours pour améliorer mon allemand.,,,um ... zu = in order to ● Correlative conjunction,"um ... zu = pour que, afin que, afin de (+ infinitif) ● Conjonction corrélative",,
8,"Er spart Geld, _____ eine Weltreise zu machen.",um,um ... zu,"Er spart Geld, um eine Weltreise zu machen.",He saves money in order to travel around the world.,Il économise de l'argent pour voyager à travers le monde.,,,um ... zu = in order to ● Correlative conjunction,"um ... zu = pour que, afin que, afin de (+ infinitif) ● Conjonction corrélative",,
8,"Sie trainiert hart, _____ beim Marathon zu gewinnen.",um,um ... zu,"Sie trainiert hart, um beim Marathon zu gewinnen.",She trains hard in order to win the marathon.,Elle s'entraîne dur pour gagner le marathon.,,,um ... zu = in order to ● Correlative conjunction,"um ... zu = pour que, afin que, afin de (+ infinitif) ● Conjonction corrélative",,
8,"Wir fahren früh los, _____ den Verkehr zu vermeiden.",um,um ... zu,"Wir fahren früh los, um den Verkehr zu vermeiden.",We leave early in order to avoid traffic.,Nous partons tôt afin d'éviter le trafic.,,,um ... zu = in order to ● Correlative conjunction,"um ... zu = pour que, afin que, afin de (+ infinitif) ● Conjonction corrélative",,
8,"Er liest viele Bücher, _____ sein Wissen zu erweitern.",um,um ... zu,"Er liest viele Bücher, um sein Wissen zu erweitern.",He reads many books in order to expand his knowledge.,Il lit de nombreux livres afin d'élargir ses connaissances.,,,um ... zu = in order to ● Correlative conjunction,"um ... zu = pour que, afin que, afin de (+ infinitif) ● Conjonction corrélative",,
8,"Es regnet, _____ gehen wir spazieren.",trotzdem,trotzdem,"Es regnet, trotzdem gehen wir spazieren.","It is raining; nevertheless, we are going for a walk.","Il pleut, mais nous allons quand même nous promener.",,,"trotzdem = despite it, nevertheless, yet, nonetheless, anyway ● Adverb","trotzdem = malgré cela, tout de même, néanmoins, pourtant ● Adverbe",,
8,"Er war müde, _____ hat er bis spät in die Nacht gearbeitet.",trotzdem,trotzdem,"Er war müde, trotzdem hat er bis spät in die Nacht gearbeitet.","He was tired; nevertheless, he worked late into the night.","Il était fatigué, mais il a néanmoins travaillé tard dans la nuit.",,,"trotzdem = despite it, nevertheless, yet, nonetheless, anyway ● Adverb","trotzdem = malgré cela, tout de même, néanmoins, pourtant ● Adverbe",,
8,"Sie hatte wenig Zeit, _____ hat sie mir geholfen.",trotzdem,trotzdem,"Sie hatte wenig Zeit, trotzdem hat sie mir geholfen.","She had little time; nevertheless, she helped me.","Elle avait peu de temps, mais elle m'a quand même aidée.",,,"trotzdem = despite it, nevertheless, yet, nonetheless, anyway ● Adverb","trotzdem = malgré cela, tout de même, néanmoins, pourtant ● Adverbe",,
8,"Das Essen war teuer, _____ hat es sich gelohnt.",trotzdem,trotzdem,"Das Essen war teuer, trotzdem hat es sich gelohnt.","The food was expensive; nevertheless, it was worth it.","La nourriture était chère, mais cela en valait la peine.",,,"trotzdem = despite it, nevertheless, yet, nonetheless, anyway ● Adverb","trotzdem = malgré cela, tout de même, néanmoins, pourtant ● Adverbe",,
8,"Ich war nervös, _____ habe ich die Präsentation gut gehalten.",trotzdem,trotzdem,"Ich war nervös, trotzdem habe ich die Präsentation gut gehalten.","I was nervous; nevertheless, I gave the presentation well.","J’étais nerveux, mais j’ai quand même bien fait ma présentation.",,,"trotzdem = despite it, nevertheless, yet, nonetheless, anyway ● Adverb","trotzdem = malgré cela, tout de même, néanmoins, pourtant ● Adverbe",,
8,"Es hat den ganzen Tag geregnet, _____ das Spiel abgesagt wurde.",weshalb,weshalb,"Es hat den ganzen Tag geregnet, weshalb das Spiel abgesagt wurde.","It rained all day, which is why the game was canceled.","Il a plu toute la journée, c'est pourquoi le match a été annulé.",,,"weshalb = which is why, therefore ● Subordinating conjunction",weshalb = c'est pourquoi ● Conjonctions de subordination,,
