exercise,question,answer,german,english,french,explanation_english,explanation_french,opposite,type
4,Wir gehen ins Kino und du kannst _____ mitkommen.,auch,Wir gehen ins Kino und du kannst auch mitkommen.,"We are going to the cinema, and you can also come along.","Nous allons au cinéma, et tu peux aussi venir.","auch = also, too",auch = aussi,,
4,"Sie ist müde, aber sie arbeitet _____ hart.",auch,"Sie ist müde, aber sie arbeitet auch hart.","She is tired, but she also works hard.","Elle est fatiguée, mais elle travaille aussi dur.","auch = also, too",auch = aussi,,
4,Ich spreche _____ ein bisschen Deutsch.,nur,Ich spreche nur ein bisschen Deutsch.,I only speak a little German.,Je ne parle qu'un peu allemand.,"nur = only, merely","nur = seulement, que",,
4,Wir haben _____ eine Stunde Zeit.,nur,Wir haben nur eine Stunde Zeit.,We only have one hour.,Nous n'avons qu'une heure.,"nur = only, merely","nur = seulement, que",,
4,Das kostet _____ fünf Euro.,nur,Das kostet nur fünf Euro.,That only costs five euros.,Cela ne coûte que cinq euros.,"nur = only, merely","nur = seulement, que",,
4,Ich wollte _____ helfen.,nur,Ich wollte nur helfen.,I just wanted to help.,Je voulais juste aider.,"nur = only, merely","nur = seulement, que",,
4,Es ist _____ ein Scherz.,nur,Es ist nur ein Scherz.,It is just a joke.,C'est juste une blague.,"nur = only, merely","nur = seulement, que",,
4,Ich bin _____ fertig.,schon,Ich bin schon fertig.,I am already done.,J'ai déjà fini.,schon = already,schon = déjà,,
4,Hast du das _____ gesehen?,schon,Hast du das schon gesehen?,Have you seen that already?,Tu as déjà vu ça ?,schon = already,schon = déjà,,
4,Er ist _____ nach Hause gegangen.,schon,Er ist schon nach Hause gegangen.,He has already gone home.,Il est déjà rentré chez lui.,schon = already,schon = déjà,,
4,Wir haben das _____ besprochen.,schon,Wir haben das schon besprochen.,We have already discussed that.,Nous en avons déjà discuté.,schon = already,schon = déjà,,
4,Bist du _____ wach?,schon,Bist du schon wach?,Are you already awake?,Es-tu déjà réveillé ?,schon = already,schon = déjà,,
4,Ich brauche _____ fünf Minuten.,noch,Ich brauche noch fünf Minuten.,I need five more minutes.,J'ai besoin de cinq minutes de plus.,"noch = still, another",noch = encore,,
4,Hast du _____ Fragen?,noch,Hast du noch Fragen?,Do you still have questions?,Avez-vous d’autres questions ?,"noch = still, another",noch = encore,,
4,Wir haben _____ Zeit.,noch,Wir haben noch Zeit.,We still have time.,Nous avons encore du temps.,"noch = still, another",noch = encore,,
4,Er ist _____ krank,noch,Er ist noch krank.,He is still sick.,Il est encore malade.,"noch = still, another",noch = encore,,
4,Kannst du _____ ein Stück Kuchen essen?,noch,Kannst du noch ein Stück Kuchen essen?,Can you eat another piece of cake?,Peux-tu manger un autre morceau de gâteau ?,"noch = still, another",noch = encore,,
4,Dieses Kleid ist _____ teuer für mich.,zu,Dieses Kleid ist zu teuer für mich.,This dress is too expensive for me.,Cette robe est trop chère pour moi.,"zu = too, overly, excessively","zu = trop, excessivement",,
4,Er ist _____ interessiert an diesem Thema.,zu,Er ist zu interessiert an diesem Thema.,He is too interested in this topic.,Il est trop intéressé par ce sujet.,"zu = too, overly, excessively","zu = trop, excessivement",,
4,Ich liebe dieses Lied _____ sehr.,zu,Ich liebe dieses Lied zu sehr.,I love this song too much.,J'aime trop cette chanson.,"zu = too, overly, excessively","zu = trop, excessivement",,
4,Der Kaffee ist _____ heiß zum Trinken.,zu,Der Kaffee ist zu heiß zum Trinken.,The coffee is too hot to drink.,Le café est trop chaud pour être bu.,"zu = too, overly, excessively","zu = trop, excessivement",,
4,Diese Aufgabe ist _____ schwer für mich.,zu,Diese Aufgabe ist zu schwer für mich.,This task is too difficult for me.,Cette tâche est trop difficile pour moi.,"zu = too, overly, excessively","zu = trop, excessivement",,
5,,,immer,always,toujours,immer = always,immer = toujours,,
5,,,jetzt,now,maintenant,jetzt = now,jetzt = maintenant,,
5,,,sehr,very,très,sehr = very,sehr = très,,
5,,,bald,soon,bientôt,bald = soon,bald = bientôt,,
5,,,gestern,yesterday,hier,gestern = yesterday,gestern = hier,,
5,,,heute,today,aujourd'hui,heute = today,heute = aujourd'hui,,
5,,,morgen,tomorrow,demain,morgen = tomorrow,morgen = demain,,
5,,,manchmal,sometimes,parfois,manchmal = sometimes,manchmal = parfois,,
5,,,dort,there,là,dort = there,dort = là,,
6,,,nie,never,jamais,nie = never,nie = jamais,,
6,,,oft,"often, frequently","souvent, fréquemment","oft = often, frequently","oft = souvent, fréquemment",,
6,,,links,"left, on the left",à gauche,"links = left, on the left",links = à gauche,,
6,,,rechts,"right, on the right",à droite,"rechts = right, on the right",rechts = à droite,,
6,,,nicht,not,ne ... pas,nicht = not,nicht = ne ... pas,,
6,,,auch,"also, too",aussi,"auch = also, too",auch = aussi,,
6,,,nur,"only, merely","seulement, que","nur = only, merely","nur = seulement, que",,
6,,,schon,already,déjà,schon = already,schon = déjà,,
6,,,noch,"still, another",encore,"noch = still, another",noch = encore,,
6,,,zu,"too, overly, excessively","trop, excessivement","zu = too, overly, excessively","zu = trop, excessivement",,
7,,fast,,almost,presque,fast = almost,fast = presque,,modal
7,,selten,,"rarely, seldom",rarement,"selten = rarely, seldom",selten = rarement,,temporal - frequency
7,,genug,,enough,assez,genug = enough,genug = assez,,degree
7,,vielleicht,,maybe,peut-être,vielleicht = maybe,vielleicht = peut-être,,modal
7,,wirklich,,"really, truly",vraiment,"wirklich = really, truly",wirklich = vraiment,,modal
7,,zusammen,,together,ensemble,zusammen = together,zusammen = ensemble,,
7,,allein,,alone,seul,allein = alone,allein = seul,,
7,,bitte,,please,"s'il te plaît, s'il vous plaît",bitte = please,"bitte = s'il te plaît, s'il vous plaît",,
8,Ich bin _____ fertig.,fast,Ich bin fast fertig.,I am almost done.,J'ai presque fini.,fast = almost,fast = presque,,
8,Der Film ist _____ zu Ende.,fast,Der Film ist fast zu Ende.,The movie is almost over.,Le film est presque terminé.,fast = almost,fast = presque,,
8,Es ist _____ Mitternacht.,fast,Es ist fast Mitternacht.,It is almost midnight.,Il est presque minuit.,fast = almost,fast = presque,,
8,Ich habe _____ alles verstanden.,fast,Ich habe fast alles verstanden.,I understood almost everything.,J'ai presque tout compris.,fast = almost,fast = presque,,
8,Wir sind _____ da.,fast,Wir sind fast da.,We are almost there.,Nous y sommes presque.,fast = almost,fast = presque,,
8,Ich gehe _____ ins Kino.,selten,Ich gehe selten ins Kino.,I rarely go to the cinema.,Je vais rarement au cinéma.,"selten = rarely, seldom",selten = rarement,,
8,Er isst _____ Süßigkeiten.,selten,Er isst selten Süßigkeiten.,He rarely eats sweets.,Il mange rarement des sucreries.,"selten = rarely, seldom",selten = rarement,,
8,Wir haben _____ Schnee im Winter.,selten,Wir haben selten Schnee im Winter.,We rarely have snow in winter.,Nous avons rarement de la neige en hiver.,"selten = rarely, seldom",selten = rarement,,
8,Sie trägt _____ hohe Schuhe.,selten,Sie trägt selten hohe Schuhe.,She rarely wears high heels.,Elle porte rarement des talons hauts.,"selten = rarely, seldom",selten = rarement,,
8,Mein Bruder ruft mich _____ an.,selten,Mein Bruder ruft mich selten an.,My brother rarely calls me.,Mon frère m'appelle rarement.,"selten = rarely, seldom",selten = rarement,,
8,Das Wasser ist warm _____ zum Schwimmen.,genug,Das Wasser ist warm genug zum Schwimmen.,The water is warm enough for swimming.,L'eau est assez chaude pour nager.,genug = enough,genug = assez,,
8,"Du bist alt _____, um allein zu reisen.",genug,"Du bist alt genug, um allein zu reisen.",You are old enough to travel alone.,Tu es assez âgé pour voyager seul.,genug = enough,genug = assez,,
8,Ich habe heute _____ gearbeitet.,genug,Ich habe heute genug gearbeitet.,I have worked enough today.,J'ai assez travaillé aujourd'hui.,genug = enough,genug = assez,,
8,"Sprich bitte laut _____, damit alle dich hören können.",genug,"Sprich bitte laut genug, damit alle dich hören können.",Please speak loudly enough so that everyone can hear you.,Parle assez fort pour que tout le monde puisse t'entendre.,genug = enough,genug = assez,,
8,Wir sind früh _____ angekommen und mussten nicht warten.,genug,Wir sind früh genug angekommen und mussten nicht warten.,We arrived early enough and didn't have to wait.,Nous sommes arrivés assez tôt et nous n'avons pas eu à attendre.,genug = enough,genug = assez,,
8,_____ gehe ich heute ins Kino.,Vielleicht,Vielleicht gehe ich heute ins Kino.,Maybe I will go to the cinema today.,Peut-être que j'irai au cinéma aujourd'hui.,vielleicht = maybe,vielleicht = peut-être,,
8,Er kommt _____ später.,vielleicht,Er kommt vielleicht später.,He might come later.,Il pourrait venir plus tard.,vielleicht = maybe,vielleicht = peut-être,,
8,_____ regnet es morgen.,Vielleicht,Vielleicht regnet es morgen.,Maybe it will rain tomorrow.,Peut-être qu'il pleuvra demain.,vielleicht = maybe,vielleicht = peut-être,,
8,Wir sehen uns _____ am Wochenende.,vielleicht,Wir sehen uns vielleicht am Wochenende.,Maybe we will see each other on the weekend.,Peut-être qu'on se verra ce week-end.,vielleicht = maybe,vielleicht = peut-être,,
8,_____ hast du recht.,Vielleicht,Vielleicht hast du recht.,Maybe you are right.,Peut-être que tu as raison.,vielleicht = maybe,vielleicht = peut-être,,
8,Ist das _____ wahr?,wirklich,Ist das wirklich wahr?,Is that really true?,Est-ce vraiment vrai ?,"wirklich = really, truly",wirklich = vraiment,,
8,Er ist _____ sehr nett.,wirklich,Er ist wirklich sehr nett.,He is really very nice.,Il est vraiment très gentil.,"wirklich = really, truly",wirklich = vraiment,,
8,Ich bin _____ müde nach der Arbeit.,wirklich,Ich bin wirklich müde nach der Arbeit.,I am really tired after work.,Je suis vraiment fatigué après le travail.,"wirklich = really, truly",wirklich = vraiment,,
8,Das Essen schmeckt _____ gut.,wirklich,Das Essen schmeckt wirklich gut.,The food tastes really good.,La nourriture a vraiment bon goût.,"wirklich = really, truly",wirklich = vraiment,,
8,Ich freue mich _____ auf den Urlaub.,wirklich,Ich freue mich wirklich auf den Urlaub.,I am really looking forward to the vacation.,J’attends vraiment les vacances avec impatience.,"wirklich = really, truly",wirklich = vraiment,,
8,Wir lernen _____ Deutsch.,zusammen,Wir lernen zusammen Deutsch.,We are learning German together.,Nous apprenons l'allemand ensemble.,zusammen = together,zusammen = ensemble,,
8,Ich esse gern _____ mit meinen Freunden.,zusammen,Ich esse gern zusammen mit meinen Freunden.,I like eating together with my friends.,J'aime manger avec mes amis.,zusammen = together,zusammen = ensemble,,
8,Sie arbeiten _____ an einem Projekt.,zusammen,Sie arbeiten zusammen an einem Projekt.,They are working together on a project.,Ils travaillent ensemble sur un projet.,zusammen = together,zusammen = ensemble,,
8,Lass uns _____ spazieren gehen.,zusammen,Lass uns zusammen spazieren gehen.,Let's go for a walk together.,Allons nous promener ensemble.,zusammen = together,zusammen = ensemble,,
8,Wir haben _____ einen Film geschaut.,zusammen,Wir haben zusammen einen Film geschaut.,We watched a movie together.,Nous avons regardé un film ensemble.,zusammen = together,zusammen = ensemble,,
8,Am Wochenende bleibt meine Schwester oft _____ zu Hause.,allein,Am Wochenende bleibt meine Schwester oft allein zu Hause.,"At the weekend, my sister often stays home alone.","Le week-end, ma sœur reste souvent seule à la maison.",allein = alone,allein = seul,,
8,Ich möchte nicht _____ ins Kino gehen.,allein,Ich möchte nicht allein ins Kino gehen.,I don't want to go to the cinema alone.,Je ne veux pas aller seul au cinéma.,allein = alone,allein = seul,,
8,"Kannst du das _____ machen, oder brauchst du Hilfe?",allein,"Kannst du das allein machen, oder brauchst du Hilfe?","Can you do that alone, or do you need help?","Peux-tu faire cela tout seul, ou as-tu besoin d'aide ?",allein = alone,allein = seul,,
8,Paul wohnt _____ in einer kleinen Wohnung.,allein,Paul wohnt allein in einer kleinen Wohnung.,Paul lives alone in a small apartment.,Paul vit seul dans un petit appartement.,allein = alone,allein = seul,,
8,Die Kinder dürfen nicht _____ im See schwimmen.,allein,Die Kinder dürfen nicht allein im See schwimmen.,The children are not allowed to swim in the lake alone.,Les enfants n'ont pas le droit de nager seuls dans le lac.,allein = alone,allein = seul,,
8,_____ senden Sie uns die erforderlichen Unterlagen bis Freitag.,Bitte,Bitte senden Sie uns die erforderlichen Unterlagen bis Freitag.,Please send us the required documents by Friday.,Veuillez nous envoyer les documents requis avant vendredi.,bitte = please,"bitte = s'il te plaît, s'il vous plaît",,
8,Könnten Sie mir _____ die genaue Adresse mitteilen?,bitte,Könnten Sie mir bitte die genaue Adresse mitteilen?,Could you please provide me with the exact address?,Pourriez-vous s'il vous plaît me fournir l'adresse exacte ?,bitte = please,"bitte = s'il te plaît, s'il vous plaît",,
8,"_____ beachten Sie, dass die Anmeldung bis zum 15. März erfolgen muss.",Bitte,"Bitte beachten Sie, dass die Anmeldung bis zum 15. März erfolgen muss.",Please note that registration must be completed by March 15.,Veuillez noter que l'inscription doit être complétée avant le 15 mars.,bitte = please,"bitte = s'il te plaît, s'il vous plaît",,
8,"Falls Sie Fragen haben, kontaktieren Sie uns _____ per E-Mail.",bitte,"Falls Sie Fragen haben, kontaktieren Sie uns bitte per E-Mail.","If you have any questions, please contact us via email.","Si vous avez des questions, veuillez nous contacter par e-mail.",bitte = please,"bitte = s'il te plaît, s'il vous plaît",,
8,"_____ nehmen Sie Platz und warten Sie, bis Ihr Name aufgerufen wird.",Bitte,"Bitte nehmen Sie Platz und warten Sie, bis Ihr Name aufgerufen wird.",Please take a seat and wait until your name is called.,Veuillez vous asseoir et attendre que votre nom soit appelé.,bitte = please,"bitte = s'il te plaît, s'il vous plaît",,
9,,meistens,,"mostly, usually","principalement, habituellement","meistens = mostly, usually","meistens = principalement, habituellement",,temporal - frequency
9,,gern,,gladly,volontiers,gern = gladly,gern = volontiers,,modal
9,,so,,so,"si, tellement",so = so,"so = si, tellement",,degree
9,,ein bisschen,,a little,un peu,ein bisschen = a little,ein bisschen = un peu,,degree
9,,wieder,,"again, another time, back","encore, à nouveau","wieder = again, another time, back","wieder = encore, à nouveau",,temporal - frequency
