Nr,exercise,question,answer,german,english,french,connector,explanation_english_,explanation_french_,indication_english_,indication_french_,verb,verb_english,verb_french,indication_english,indication_french,connector_english,connector_french,explanation_english,explanation_french
18,1,,Sie liebt den Kaffee.,Sie liebt den Kaffee.,She loves coffee.,Elle aime le café.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
19,1,,Wir sehen den Lehrer.,Wir sehen den Lehrer.,We see the teacher.,Nous voyons le professeur.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
20,1,,Ihr habt einen Hund.,Ihr habt einen Hund.,You have a dog.,Vous avez un chien.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
21,2,,Ich sehe einen kleinen Hund.,Ich sehe einen kleinen Hund.,I see a small dog.,Je vois un petit chien.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Rule: adjectives go before the noun they describe","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Règle : les adjectifs précèdent le nom qu'ils qualifient",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Rule: adjectives go before the noun they describe","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Règle : les adjectifs précèdent le nom qu'ils qualifient"
22,2,,Du kaufst ein gutes Brot.,Du kaufst ein gutes Brot.,You buy a good bread.,Tu achètes un bon pain.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Rule: adjectives go before the noun they describe","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Règle : les adjectifs précèdent le nom qu'ils qualifient",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Rule: adjectives go before the noun they describe","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Règle : les adjectifs précèdent le nom qu'ils qualifient"
23,2,,Er hat ein großes Auto.,Er hat ein großes Auto.,He has a big car.,Il a une grande voiture.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Rule: adjectives go before the noun they describe","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Règle : les adjectifs précèdent le nom qu'ils qualifient",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Rule: adjectives go before the noun they describe","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Règle : les adjectifs précèdent le nom qu'ils qualifient"
24,2,,Sie liest ein interessantes Buch.,Sie liest ein interessantes Buch.,She reads an interesting book.,Elle lit un livre intéressant.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Rule: adjectives go before the noun they describe","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Règle : les adjectifs précèdent le nom qu'ils qualifient",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Rule: adjectives go before the noun they describe","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Règle : les adjectifs précèdent le nom qu'ils qualifient"
25,2,,Wir trinken kaltes Wasser.,Wir trinken kaltes Wasser.,We drink cold water.,Nous buvons de l’eau froide.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Rule: adjectives go before the noun they describe","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Règle : les adjectifs précèdent le nom qu'ils qualifient",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Rule: adjectives go before the noun they describe","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Règle : les adjectifs précèdent le nom qu'ils qualifient"
26,2,,Es gibt einen Park.,Es gibt einen Park.,There is a park.,Il y a un parc.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
27,2,,Es gibt ein Problem.,Es gibt ein Problem.,There is a problem.,Il y a un problème.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
28,2,,Es gibt viele Leute.,Es gibt viele Leute.,There are many people.,Il y a beaucoup de gens.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
29,2,,Es gibt ein Restaurant.,Es gibt ein Restaurant.,There is a restaurant.,Il y a un restaurant.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
30,2,,Es gibt einen Hund.,Es gibt einen Hund.,There is a dog.,Il y a un chien.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
31,2,,Ich arbeite heute.,Ich arbeite heute.,I work today.,Je travaille aujourd’hui.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
32,2,,Du lernst morgen.,Du lernst morgen.,You study tomorrow.,Tu étudies demain.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
33,2,,Er spielt am Abend.,Er spielt am Abend.,He plays in the evening.,Il joue le soir.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
34,2,,Sie kommt am Morgen.,Sie kommt am Morgen.,She comes in the morning.,Elle vient le matin.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
35,2,,Wir schlafen nachts.,Wir schlafen nachts.,We sleep at night.,Nous dormons la nuit.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
36,2,,Ich gehe nach Hause.,Ich gehe nach Hause.,I go home.,Je rentre à la maison.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
37,2,,Du bleibst hier.,Du bleibst hier.,You stay here.,Tu restes ici.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
38,2,,Er wohnt in Berlin.,Er wohnt in Berlin.,He lives in Berlin.,Il habite à Berlin.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
39,2,,Sie geht in die Schule.,Sie geht in die Schule.,She goes to school.,Elle va à l’école.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
40,2,,Wir sind im Park.,Wir sind im Park.,We are in the park.,Nous sommes dans le parc.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
41,3,,Heute arbeite ich.,Heute arbeite ich.,Today I work.,Aujourd’hui je travaille.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe."
42,3,,Morgen lerne ich Deutsch.,Morgen lerne ich Deutsch.,Tomorrow I study German.,Demain j’apprends l’allemand.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe."
43,3,,Am Abend sehe ich einen Film.,Am Abend sehe ich einen Film.,In the evening I watch a film.,Le soir je regarde un film.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe."
44,3,,Am Morgen trinke ich Kaffee.,Am Morgen trinke ich Kaffee.,In the morning I drink coffee.,Le matin je bois du café.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe."
45,3,,Jetzt esse ich eine Gurke.,Jetzt esse ich eine Gurke.,Now I eat a cucumber.,Maintenant je mange un concombre.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe."
46,3,,Später komme ich nach Hause.,Später komme ich nach Hause.,Later I come home.,Plus tard je rentre à la maison.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe."
47,3,,Heute spiele ich Fußball.,Heute spiele ich Fußball.,Today I play football.,Aujourd’hui je joue au football.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe."
48,3,,Am Wochenende lese ich ein Buch.,Am Wochenende lese ich ein Buch.,On the weekend I read a book.,Le week-end je lis un livre.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe."
49,3,,Nach der Arbeit kaufe ich eine Gurke.,Nach der Arbeit kaufe ich eine Gurke.,After work I buy a cucumber.,Après le travail j’achète un concombre.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe."
50,3,,Um acht Uhr gehe ich zur Arbeit.,Um acht Uhr gehe ich zur Arbeit.,At eight o’clock I go to work.,À huit heures je vais au travail.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe."
51,3,,Hier wohne ich.,Hier wohne ich.,I live here.,J’habite ici.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe.",In first position: local phrase,En première position : expression locale,,,,<br><br>In first position: local phrase,<br><br>En première position : expression locale,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe."
52,3,,Dort sehe ich einen Hund.,Dort sehe ich einen Hund.,There I see a dog.,Là je vois un chien.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe.",In first position: local phrase,En première position : expression locale,,,,<br><br>In first position: local phrase,<br><br>En première position : expression locale,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.
<br><br>Guidance: if the subject isn't in first position, it usually goes directly after the verb.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.
<br><br>Recommandation :si le sujet n'occupe pas la première place, il vient généralement juste après le verbe."
