Nr,exercise,level,level_routledge,level_goethe,question,answer,german,english,french,plural,explanation_plural_english,explanation_plural_french,explanation_english_,explanation_french_,explanation_english,explanation_french
17,1,A1,A1,A1,_____ Herr,der,der Herr,"the gentleman, the lord","le monsieur, le seigneur",die Herren,<br><br>Plural: die Herren,<br><br>Pluriel: die Herren,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Herren<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Herren<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
18,1,A1,A1,A1,_____ Teil,der,der Teil,the part,la partie,die Teile,<br><br>Plural: die Teile,<br><br>Pluriel: die Teile,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Teile<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Teile<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
19,1,A1,A1,A1,_____ Problem,das,das Problem,the problem,le problème,die Probleme,<br><br>Plural: die Probleme,<br><br>Pluriel: die Probleme,Concepts and abstractions are usually Neuter,Les noms communs désignant des concepts et abstractions sont souvent Neutres,<br><br>Plural: die Probleme<br><br>Concepts and abstractions are usually Neuter,<br><br>Pluriel: die Probleme<br><br>Les noms communs désignant des concepts et abstractions sont souvent Neutres
20,1,A1,A1,A1,_____ Welt,die,die Welt,the world,le monde,die Welten,<br><br>Plural: die Welten,<br><br>Pluriel: die Welten,,,<br><br>Plural: die Welten,<br><br>Pluriel: die Welten
21,2,A1,A1,A1,_____ Ende,das,das Ende,the end,la fin,die Enden,<br><br>Plural: die Enden,<br><br>Pluriel: die Enden,,,<br><br>Plural: die Enden,<br><br>Pluriel: die Enden
22,2,A1,A1,A1,_____ Million,die,die Million,the million,le million,die Millionen,<br><br>Plural: die Millionen,<br><br>Pluriel: die Millionen,Words finishing in <i>-ion</i> are usually Feminine,Les noms communs se terminant par <i>-ion</i> sont généralement Féminins,<br><br>Plural: die Millionen<br><br>Words finishing in <i>-ion</i> are usually Feminine,<br><br>Pluriel: die Millionen<br><br>Les noms communs se terminant par <i>-ion</i> sont généralement Féminins
23,2,A1,A1,A1,_____ Schule,die,die Schule,the school,l'école,die Schulen,<br><br>Plural: die Schulen,<br><br>Pluriel: die Schulen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Schulen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Schulen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
24,2,A1,A1,A1,_____ Woche,die,die Woche,the week,la semaine,die Wochen,<br><br>Plural: die Wochen,<br><br>Pluriel: die Wochen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Wochen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Wochen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
25,2,A1,A1,A1,_____ Vater,der,der Vater,the father,le père,die Väter,<br><br>Plural: die Väter,<br><br>Pluriel: die Väter,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Väter<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Väter<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
26,2,A1,A1,A1,_____ Leben,das,das Leben,the life,la vie,die Leben,<br><br>Plural: die Leben,<br><br>Pluriel: die Leben,Words formed from verb stems that end in <i>-en</i> are usually Neuter,Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres,<br><br>Plural: die Leben<br><br>Words formed from verb stems that end in <i>-en</i> are usually Neuter,<br><br>Pluriel: die Leben<br><br>Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres
27,2,A1,A1,A1,_____ Mutter,die,die Mutter,the mother,la mère,die Mütter,<br><br>Plural: die Mütter,<br><br>Pluriel: die Mütter,"Words designating Women, including through professions and nationalities, are Feminine","Les mots désignant les Femmes, notamment par le biais des professions et des nationalités, sont Féminins","<br><br>Plural: die Mütter<br><br>Words designating Women, including through professions and nationalities, are Feminine","<br><br>Pluriel: die Mütter<br><br>Les mots désignant les Femmes, notamment par le biais des professions et des nationalités, sont Féminins"
28,2,A1,A1,A1,_____ Auge,das,das Auge,the eye,l'œil,die Augen,<br><br>Plural: die Augen,<br><br>Pluriel: die Augen,,,<br><br>Plural: die Augen,<br><br>Pluriel: die Augen
29,2,A1,A1,A1,_____ Geld,das,das Geld,the money,l'argent,die Gelder,<br><br>Plural: die Gelder,<br><br>Pluriel: die Gelder,,,<br><br>Plural: die Gelder,<br><br>Pluriel: die Gelder
30,2,A1,A1,A1,_____ Stunde,die,die Stunde,the hour,l'heure,die Stunden,<br><br>Plural: die Stunden,<br><br>Pluriel: die Stunden,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Stunden<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Stunden<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
31,2,A1,A1,A1,_____ Name,der,der Name,the name,le nom,die Namen,<br><br>Plural: die Namen,<br><br>Pluriel: die Namen,,,<br><br>Plural: die Namen,<br><br>Pluriel: die Namen
32,2,A1,A1,A1,_____ Kopf,der,der Kopf,the head,la tête,die Köpfe,<br><br>Plural: die Köpfe,<br><br>Pluriel: die Köpfe,,,<br><br>Plural: die Köpfe,<br><br>Pluriel: die Köpfe
33,2,A1,A1,A1,_____ Bild,das,das Bild,the image,l'image,die Bilder,<br><br>Plural: die Bilder,<br><br>Pluriel: die Bilder,Concepts and abstractions are usually Neuter,Les noms communs désignant des concepts et abstractions sont souvent Neutres,<br><br>Plural: die Bilder<br><br>Concepts and abstractions are usually Neuter,<br><br>Pluriel: die Bilder<br><br>Les noms communs désignant des concepts et abstractions sont souvent Neutres
34,2,A1,A1,A1,_____ Buch,das,das Buch,the book,le livre,die Bücher,<br><br>Plural: die Bücher,<br><br>Pluriel: die Bücher,,,<br><br>Plural: die Bücher,<br><br>Pluriel: die Bücher
35,2,A1,A1,A1,_____ Wasser,das,das Wasser,the water,l'eau,die Wasser,<br><br>Plural: die Wasser,<br><br>Pluriel: die Wasser,,,<br><br>Plural: die Wasser,<br><br>Pluriel: die Wasser
36,2,A1,A1,A1,_____ Stelle,die,die Stelle,the spot,l'endroit,die Stellen,<br><br>Plural: die Stellen,<br><br>Pluriel: die Stellen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Stellen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Stellen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
37,2,A1,A1,A1,_____ Familie,die,die Familie,the family,la famille,die Familien,<br><br>Plural: die Familien,<br><br>Pluriel: die Familien,Words finishing in <i>-ie</i> are usually Feminine,Les noms communs se terminant par <i>-ie</i> sont généralement Féminins,<br><br>Plural: die Familien<br><br>Words finishing in <i>-ie</i> are usually Feminine,<br><br>Pluriel: die Familien<br><br>Les noms communs se terminant par <i>-ie</i> sont généralement Féminins
38,2,A1,A1,A1,_____ Morgen,der,der Morgen,the morning,le matin,die Morgen,<br><br>Plural: die Morgen,<br><br>Pluriel: die Morgen,Parts of the day are mostly Masculine,Les parties de la journée sont généralement Masculines,<br><br>Plural: die Morgen<br><br>Parts of the day are mostly Masculine,<br><br>Pluriel: die Morgen<br><br>Les parties de la journée sont généralement Masculines
39,2,A1,A1,A1,_____ Abend,der,der Abend,the evening,la soirée,die Abende,<br><br>Plural: die Abende,<br><br>Pluriel: die Abende,Parts of the day are mostly Masculine,Les parties de la journée sont généralement Masculines,<br><br>Plural: die Abende<br><br>Parts of the day are mostly Masculine,<br><br>Pluriel: die Abende<br><br>Les parties de la journée sont généralement Masculines
40,2,A1,A1,A1,_____ Aufgabe,die,die Aufgabe,the task,la tâche,die Aufgaben,<br><br>Plural: die Aufgaben,<br><br>Pluriel: die Aufgaben,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Aufgaben<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Aufgaben<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
41,3,A1,A1,A1,_____ Freund,der,der Freund,the friend,l'ami,die Freunde,<br><br>Plural: die Freunde,<br><br>Pluriel: die Freunde,,,<br><br>Plural: die Freunde,<br><br>Pluriel: die Freunde
42,3,A1,A1,A1,_____ Thema,das,das Thema,the topic,le sujet,die Themen,<br><br>Plural: die Themen,<br><br>Pluriel: die Themen,Concepts and abstractions are usually Neuter,Les noms communs désignant des concepts et abstractions sont souvent Neutres,<br><br>Plural: die Themen<br><br>Concepts and abstractions are usually Neuter,<br><br>Pluriel: die Themen<br><br>Les noms communs désignant des concepts et abstractions sont souvent Neutres
43,3,A1,A1,A1,_____ Euro,der,der Euro,the euro,l'euro,die Euro,<br><br>Plural: die Euro,<br><br>Pluriel: die Euro,Currencies are usually Masculine,Les devises sont généralement Masculines,<br><br>Plural: die Euro<br><br>Currencies are usually Masculine,<br><br>Pluriel: die Euro<br><br>Les devises sont généralement Masculines
44,3,A1,A1,A1,_____ Raum,der,der Raum,the space,l'espace,die Räume,<br><br>Plural: die Räume,<br><br>Pluriel: die Räume,,,<br><br>Plural: die Räume,<br><br>Pluriel: die Räume
45,3,A1,A1,A1,_____ Blick,der,der Blick,the view,la vue,die Blicke,<br><br>Plural: die Blicke,<br><br>Pluriel: die Blicke,Senses are usually Masculine,Les sens sont généralement Masculins,<br><br>Plural: die Blicke<br><br>Senses are usually Masculine,<br><br>Pluriel: die Blicke<br><br>Les sens sont généralement Masculins
46,3,A1,A1,A1,_____ Platz,der,der Platz,the space,l'espace,die Plätze,<br><br>Plural: die Plätze,<br><br>Pluriel: die Plätze,,,<br><br>Plural: die Plätze,<br><br>Pluriel: die Plätze
47,3,A1,A1,A1,_____ Uhr,die,die Uhr,the clock,l'horloge,die Uhren,<br><br>Plural: die Uhren,<br><br>Pluriel: die Uhren,,,<br><br>Plural: die Uhren,<br><br>Pluriel: die Uhren
48,3,A1,A1,A1,_____ Straße,die,die Straße,the street,la rue,die Straßen,<br><br>Plural: die Straßen,<br><br>Pluriel: die Straßen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Straßen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Straßen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
49,3,A1,A1,A1,_____ Minute,die,die Minute,the minute,la minute,die Minuten,<br><br>Plural: die Minuten,<br><br>Pluriel: die Minuten,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Minuten<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Minuten<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
50,3,A1,A1,A1,_____ Gruppe,die,die Gruppe,the group,le groupe,die Gruppen,<br><br>Plural: die Gruppen,<br><br>Pluriel: die Gruppen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Gruppen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Gruppen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
51,3,A1,A1,A1,_____ Sprache,die,die Sprache,the language,la langue,die Sprachen,<br><br>Plural: die Sprachen,<br><br>Pluriel: die Sprachen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Sprachen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Sprachen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
52,3,A1,A1,A1,_____ Anfang,der,der Anfang,the beginning,le début,die Anfänge,<br><br>Plural: die Anfänge,<br><br>Pluriel: die Anfänge,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Anfänge<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Anfänge<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
53,3,A1,A1,A1,_____ Ort,der,der Ort,the place,l'endroit,die Orte,<br><br>Plural: die Orte,<br><br>Pluriel: die Orte,,,<br><br>Plural: die Orte,<br><br>Pluriel: die Orte
54,3,A1,A1,A1,_____ Moment,der,der Moment,the moment,le moment,die Momente,<br><br>Plural: die Momente,<br><br>Pluriel: die Momente,,,<br><br>Plural: die Momente,<br><br>Pluriel: die Momente
55,3,A1,A1,A1,_____ Milliarde,die,die Milliarde,the billion,le milliard,die Milliarden,<br><br>Plural: die Milliarden,<br><br>Pluriel: die Milliarden,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Milliarden<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Milliarden<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
56,3,A1,A1,A1,_____ Schüler,der,der Schüler,the student,l'étudiant,die Schüler,<br><br>Plural: die Schüler,<br><br>Pluriel: die Schüler,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Schüler<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Schüler<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
57,3,A1,A1,A1,_____ Text,der,der Text,the text,le texte,die Texte,<br><br>Plural: die Texte,<br><br>Pluriel: die Texte,,,<br><br>Plural: die Texte,<br><br>Pluriel: die Texte
58,3,A1,A1,A1,_____ Ergebnis,das,das Ergebnis,the result,le résultat,die Ergebnisse,<br><br>Plural: die Ergebnisse,<br><br>Pluriel: die Ergebnisse,Words finishing in <i>-nis</i> are mostly Neuter,Les noms communs se terminant par <i>-nis</i> sont pour la plupart Neutres,<br><br>Plural: die Ergebnisse<br><br>Words finishing in <i>-nis</i> are mostly Neuter,<br><br>Pluriel: die Ergebnisse<br><br>Les noms communs se terminant par <i>-nis</i> sont pour la plupart Neutres
59,3,A1,A1,A1,_____ Wohnung,die,die Wohnung,the apartment,l'appartement,die Wohnungen,<br><br>Plural: die Wohnungen,<br><br>Pluriel: die Wohnungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Wohnungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Wohnungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
60,3,A1,A1,A1,_____ Gespräch,das,das Gespräch,the conversation,la conversation,die Gespräche,<br><br>Plural: die Gespräche,<br><br>Pluriel: die Gespräche,Words beginning in <i>Ge-</i> are usually Neuter,Les noms communs commençant par <i>Ge-</i> sont généralement Neutres,<br><br>Plural: die Gespräche<br><br>Words beginning in <i>Ge-</i> are usually Neuter,<br><br>Pluriel: die Gespräche<br><br>Les noms communs commençant par <i>Ge-</i> sont généralement Neutres
61,4,A1,A1,A1,_____ Meter,der,der Meter,the meter,le compteur,die Meter,<br><br>Plural: die Meter,<br><br>Pluriel: die Meter,,,<br><br>Plural: die Meter,<br><br>Pluriel: die Meter
62,4,A1,A1,A1,_____ Lehrer,der,der Lehrer,the teacher,l'enseignant,die Lehrer,<br><br>Plural: die Lehrer,<br><br>Pluriel: die Lehrer,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Lehrer<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Lehrer<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
63,4,A1,A1,A1,_____ Preis,der,der Preis,the price,le prix,die Preise,<br><br>Plural: die Preise,<br><br>Pluriel: die Preise,,,<br><br>Plural: die Preise,<br><br>Pluriel: die Preise
64,4,A1,A1,A1,_____ Sohn,der,der Sohn,the son,le fils,die Söhne,<br><br>Plural: die Söhne,<br><br>Pluriel: die Söhne,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Söhne<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Söhne<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
65,4,A1,A1,A1,_____ Information,die,die Information,the information,les informations,die Informationen,<br><br>Plural: die Informationen,<br><br>Pluriel: die Informationen,Words finishing in <i>-ion</i> are usually Feminine,Les noms communs se terminant par <i>-ion</i> sont généralement Féminins,<br><br>Plural: die Informationen<br><br>Words finishing in <i>-ion</i> are usually Feminine,<br><br>Pluriel: die Informationen<br><br>Les noms communs se terminant par <i>-ion</i> sont généralement Féminins
66,4,A1,A1,A1,_____ Beruf,der,der Beruf,the job,le travail,die Berufe,<br><br>Plural: die Berufe,<br><br>Pluriel: die Berufe,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Berufe<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Berufe<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
67,4,A1,A1,A1,_____ Auto,das,das Auto,the car,la voiture,die Autos,<br><br>Plural: die Autos,<br><br>Pluriel: die Autos,Words of foreign origins finishing in -o are usually Neuter,Les mots d’origine étrangère se terminant par -o sont généralement Neutres,<br><br>Plural: die Autos<br><br>Words of foreign origins finishing in -o are usually Neuter,<br><br>Pluriel: die Autos<br><br>Les mots d’origine étrangère se terminant par -o sont généralement Neutres
68,4,A1,A1,A1,_____ Tisch,der,der Tisch,the table,la table,die Tische,<br><br>Plural: die Tische,<br><br>Pluriel: die Tische,,,<br><br>Plural: die Tische,<br><br>Pluriel: die Tische
69,4,A1,A1,A1,_____ Licht,das,das Licht,the light,la lumière,die Lichter,<br><br>Plural: die Lichter,<br><br>Pluriel: die Lichter,,,<br><br>Plural: die Lichter,<br><br>Pluriel: die Lichter
70,4,A1,A1,A1,_____ Bank,die,die Bank,the Bank,la Banque,die Bänke,<br><br>Plural: die Bänke,<br><br>Pluriel: die Bänke,,,<br><br>Plural: die Bänke,<br><br>Pluriel: die Bänke
71,4,A1,A1,A1,_____ Tochter,die,die Tochter,the daughter,la fille,die Töchter,<br><br>Plural: die Töchter,<br><br>Pluriel: die Töchter,"Words designating Women, including through professions and nationalities, are Feminine","Les mots désignant les Femmes, notamment par le biais des professions et des nationalités, sont Féminins","<br><br>Plural: die Töchter<br><br>Words designating Women, including through professions and nationalities, are Feminine","<br><br>Pluriel: die Töchter<br><br>Les mots désignant les Femmes, notamment par le biais des professions et des nationalités, sont Féminins"
72,4,A1,A1,A1,_____ Film,der,der Film,the film,le film,die Filme,<br><br>Plural: die Filme,<br><br>Pluriel: die Filme,,,<br><br>Plural: die Filme,<br><br>Pluriel: die Filme
73,4,A1,A1,A1,_____ Doktor,der,der Doktor,the doctor,le médecin,die Doktoren,<br><br>Plural: die Doktoren,<br><br>Pluriel: die Doktoren,Words finishing in <i>-or</i> are usually Masculine,Les noms communs se terminant par <i>-or</i> sont généralement Masculins,<br><br>Plural: die Doktoren<br><br>Words finishing in <i>-or</i> are usually Masculine,<br><br>Pluriel: die Doktoren<br><br>Les noms communs se terminant par <i>-or</i> sont généralement Masculins
74,4,A1,A1,A1,_____ Mädchen,das,das Mädchen,the girl,la fille,die Mädchen,<br><br>Plural: die Mädchen,<br><br>Pluriel: die Mädchen,Words finishing with the suffixes <i>-chen</i> and <i>-lein</i> are Neuter,Les noms communs se terminant par les suffixes <i>-chen</i> et <i>-lein</i> sont Neutres,<br><br>Plural: die Mädchen<br><br>Words finishing with the suffixes <i>-chen</i> and <i>-lein</i> are Neuter,<br><br>Pluriel: die Mädchen<br><br>Les noms communs se terminant par les suffixes <i>-chen</i> et <i>-lein</i> sont Neutres
75,4,A1,A1,A1,_____ Arm,der,der Arm,the arm,le bras,die Arme,<br><br>Plural: die Arme,<br><br>Pluriel: die Arme,,,<br><br>Plural: die Arme,<br><br>Pluriel: die Arme
76,4,A1,A1,A1,_____ Firma,die,die Firma,the Company,la société,die Firmen,<br><br>Plural: die Firmen,<br><br>Pluriel: die Firmen,,,<br><br>Plural: die Firmen,<br><br>Pluriel: die Firmen
77,4,A1,A1,A1,_____ Student,der,der Student,the student,l'étudiant,die Studenten,<br><br>Plural: die Studenten,<br><br>Pluriel: die Studenten,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Studenten<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Studenten<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
78,4,A1,A1,A1,_____ Zeitung,die,die Zeitung,the newspaper,le journal,die Zeitungen,<br><br>Plural: die Zeitungen,<br><br>Pluriel: die Zeitungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Zeitungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Zeitungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
