Nr,exercise,level,question,answer,german,english,french
46,3,A1,_____ Möglichkeit,die,die Möglichkeit,the possibility,la possibilité
47,3,A1,_____ Unternehmen,das,das Unternehmen,the company,l'entreprise
48,3,A1,_____ Bild,das,das Bild,the image,l'image
49,3,A1,_____ Buch,das,das Buch,the book,le livre
50,3,A1,_____ Wasser,das,das Wasser,the water,l'eau
51,3,A1,_____ Stelle,die,die Stelle,the spot,l'endroit
52,3,A1,_____ Form,die,die Form,the form,la forme
53,3,A1,_____ Entwicklung,die,die Entwicklung,the development,le développement
54,3,A1,_____ Monat,der,der Monat,the month,le mois
55,3,A1,_____ Familie,die,die Familie,the family,la famille
56,3,A1,_____ Morgen,der,der Morgen,the morning,le matin
57,3,A1,_____ Abend,der,der Abend,the evening,la soirée
58,3,A1,_____ Aufgabe,die,die Aufgabe,the task,la tâche
59,3,A1,_____ Universität,die,die Universität,the university,l'université
60,3,A1,_____ Sinn,der,der Sinn,the meaning,la signification
61,4,A1,_____ Staat,der,der Staat,the State,l'État
62,4,A1,_____ Ziel,das,das Ziel,the goal,l'objectif
63,4,A1,_____ Freund,der,der Freund,the friend,l'ami
64,4,A1,_____ Thema,das,das Thema,the topic,le sujet
65,4,A1,_____ Person,die,die Person,the person,la personne
66,4,A1,_____ Euro,der,der Euro,the euro,l'euro
67,4,A1,_____ Nacht,die,die Nacht,the night,la nuit
68,4,A1,_____ Ding,das,das Ding,the thing,la chose
69,4,A1,_____ Raum,der,der Raum,the space,l'espace
70,4,A1,_____ Blick,der,der Blick,the view,la vue
71,4,A1,_____ Platz,der,der Platz,the space,l'espace
72,4,A1,_____ Zahl,die,die Zahl,the number,le nombre
73,4,A1,_____ System,das,das System,the system,le système
74,4,A1,_____ Uhr,die,die Uhr,the clock,l'horloge
75,4,A1,_____ Straße,die,die Straße,the street,la rue
76,4,A1,_____ Minute,die,die Minute,the minute,la minute
77,4,A1,_____ Gruppe,die,die Gruppe,the group,le groupe
78,4,A1,_____ Wert,der,der Wert,the value,la valeur
79,4,A1,_____ Gesicht,das,das Gesicht,the face,le visage
80,4,A1,_____ Sprache,die,die Sprache,the language,la langue
81,5,A1,_____ Anfang,der,der Anfang,the beginning,le début
82,5,A1,_____ Ort,der,der Ort,the place,l'endroit
83,5,A1,_____ Moment,der,der Moment,the moment,le moment
84,5,A1,_____ Folge,die,die Folge,the consequence,la conséquence
85,5,A1,_____ Interesse,das,das Interesse,the interest,l'intérêt
86,5,A1,_____ Milliarde,die,die Milliarde,the billion,le milliard
87,5,A1,_____ Rolle,die,die Rolle,the role,le rôle
88,5,A1,_____ Tür,die,die Tür,the door,la porte
89,5,A1,_____ Schüler,der,der Schüler,the student,l'étudiant
90,5,A1,_____ Bedeutung,die,die Bedeutung,the meaning,la signification
91,5,A1,_____ Text,der,der Text,the text,le texte
92,5,A1,_____ Ergebnis,das,das Ergebnis,the result,le résultat
93,5,A1,_____ Krieg,der,der Krieg,the war,la guerre
94,5,A1,_____ Weise,die,die Weise,the way,le chemin
95,5,A1,_____ Regierung,die,die Regierung,the government,le gouvernement
96,5,A1,_____ Stück,das,das Stück,the piece,la pièce
97,5,A1,_____ Wohnung,die,die Wohnung,the apartment,l'appartement
98,5,A1,_____ Gespräch,das,das Gespräch,the conversation,la conversation
99,5,A1,_____ Meter,der,der Meter,the meter,le compteur
100,5,A1,_____ Punkt,der,der Punkt,the point,le point
101,6,A1,_____ Situation,die,die Situation,the situation,la situation
102,6,A1,_____ Lehrer,der,der Lehrer,the teacher,l'enseignant
103,6,A1,_____ Preis,der,der Preis,the price,le prix
104,6,A1,_____ Abbildung,die,die Abbildung,the illustration,l'illustration
105,6,A1,_____ Begriff,der,der Begriff,the term,le terme
106,6,A1,_____ Funktion,die,die Funktion,the function,la fonction
107,6,A1,_____ Boden,der,der Boden,the ground,le sol
108,6,A1,_____ Jahrhundert,das,das Jahrhundert,the century,le siècle
109,6,A1,_____ Sohn,der,der Sohn,the son,le fils
110,6,A1,_____ Werk,das,das Werk,the work,le travail
111,6,A1,_____ Stimme,die,die Stimme,the voice,la voix
112,6,A1,_____ Rahmen,der,der Rahmen,the frame,le cadre
113,6,A1,_____ Richtung,die,die Richtung,the direction,la direction
114,6,A1,_____ Programm,das,das Programm,the program,le programme
115,6,A1,_____ Angst,die,die Angst,the fear,la peur
116,6,A1,_____ Information,die,die Information,the information,les informations
117,6,A1,_____ Kunst,die,die Kunst,the art,l'art
118,6,A1,_____ Musik,die,die Musik,the music,la musique
119,6,A1,_____ Politik,die,die Politik,the politics,la politique
120,6,A1,_____ Beruf,der,der Beruf,the job,le travail
121,7,A1,_____ Regel,die,die Regel,the rule,la règle
122,7,A1,_____ Schritt,der,der Schritt,the step,l'étape
123,7,A1,_____ Absatz,der,der Absatz,the paragraph,le paragraphe
124,7,A1,_____ Gott,der,der Gott,the god,le dieu
125,7,A1,_____ Auto,das,das Auto,the car,la voiture
126,7,A1,_____ Beziehung,die,die Beziehung,the relationship,la relation
127,7,A1,_____ Erfahrung,die,die Erfahrung,the experience,l'expérience
128,7,A1,_____ Tisch,der,der Tisch,the table,la table
129,7,A1,_____ Zukunft,die,die Zukunft,the future,l'avenir
130,7,A1,_____ Spiel,das,das Spiel,the game,le jeu
131,7,A1,_____ Gefühl,das,das Gefühl,the feeling,le sentiment
132,7,A1,_____ Licht,das,das Licht,the light,la lumière
133,7,A1,_____ Präsident,der,der Präsident,the president,le président
134,7,A1,_____ Markt,der,der Markt,the market,le marché
135,7,A1,_____ Bank,die,die Bank,the Bank,la Banque
136,7,A1,_____ Partei,die,die Partei,the party,la fête
137,7,A1,_____ Tochter,die,die Tochter,the daughter,la fille
138,7,A1,_____ Verhältnis,das,das Verhältnis,the relationship,la relation
139,7,A1,_____ Kirche,die,die Kirche,the church,l'église
140,7,A1,_____ Film,der,der Film,the film,le film
141,8,A1,_____ Gedanke,der,der Gedanke,the thought,la pensée
142,8,A1,_____ Doktor,der,der Doktor,the doctor,le médecin
143,8,A1,_____ Mädchen,das,das Mädchen,the girl,la fille
144,8,A1,_____ Entscheidung,die,die Entscheidung,the decision,la décision
145,8,A1,_____ Prozess,der,der Prozess,the process,le processus
146,8,A1,_____ Betrieb,der,der Betrieb,the operation,l'opération
147,8,A1,_____ Zusammenhang,der,der Zusammenhang,the connection,la connexion
148,8,A1,_____ Gesetz,das,das Gesetz,the law,la loi
149,8,A1,_____ Arm,der,der Arm,the arm,le bras
150,8,A1,_____ Firma,die,die Firma,the Company,la société
151,8,A1,_____ Kraft,die,die Kraft,the power,le pouvoir
152,8,A1,_____ Student,der,der Student,the student,l'étudiant
153,8,A1,_____ Zuhause,das,das Zuhause,the home,"la maison, le chez-soi"
154,8,A1,_____ Chance,die,die Chance,the chance,la chance
155,8,A1,_____ Zeitung,die,die Zeitung,the newspaper,le journal
156,8,A1,_____ Erfolg,der,der Erfolg,the success,le succès
157,8,A1,_____ Grenze,die,die Grenze,the border,la frontière
158,8,A1,_____ Satz,der,der Satz,the sentence,la phrase
159,8,A1,_____ Angebot,das,das Angebot,the offer,l'offre
160,8,A1,_____ Internet,das,das Internet,the internet,internet
161,9,A1,_____ Kultur,die,die Kultur,the culture,la culture
162,9,A1,_____ Lage,die,die Lage,the location,l'emplacement
163,9,A1,_____ Leistung,die,die Leistung,the performance,la performance
164,9,A1,_____ Mitglied,das,das Mitglied,the member,le membre
165,9,A1,_____ Projekt,das,das Projekt,the project,le projet
166,9,A1,_____ Zimmer,das,das Zimmer,the room,la chambre
167,9,A1,_____ Chef,der,der Chef,the boss,le patron
168,9,A1,_____ Zug,der,der Zug,the train,le train
169,9,A1,_____ Arzt,der,der Arzt,the doctor,le médecin
170,9,A1,_____ Auftreten,das,das Auftreten,the occurrence,l'occurrence
171,9,A1,_____ Fuß,der,der Fuß,the foot,le pied
172,9,A1,_____ Körper,der,der Körper,the body,le corps
173,9,A1,_____ Klasse,die,die Klasse,the class,la classe
174,9,A1,_____ Lösung,die,die Lösung,the solution,la solution
175,9,A1,_____ Verhalten,das,das Verhalten,the behavior,le comportement
176,9,A1,_____ Höhe,die,die Höhe,the height,la hauteur
177,9,A1,_____ Junge,der,der Junge,the boy,le garçon
178,9,A1,_____ Fenster,das,das Fenster,the window,la fenêtre
179,9,A1,_____ Luft,die,die Luft,the air,l'air
180,9,A1,_____ Meinung,die,die Meinung,the opinion,l'opinion
181,10,A1,_____ Idee,die,die Idee,the idea,l'idée
182,10,A1,_____ Produkt,das,das Produkt,the product,le produit
183,10,A1,_____ Studium,das,das Studium,the study,l'étude
184,10,A1,_____ Vergleich,der,der Vergleich,the comparison,la comparaison
185,10,A1,_____ Mittel,das,das Mittel,"the mean, the remedy",le moyen
186,10,A1,_____ Modell,das,das Modell,the model,le modèle
187,10,A1,_____ Natur,die,die Natur,the nature,la nature
188,10,A1,_____ Bett,das,das Bett,the bed,le lit
189,10,A1,_____ Kunde,der,der Kunde,the customer,le client
190,10,A1,_____ Mitarbeiter,der,der Mitarbeiter,the employee,l'employé
191,10,A1,_____ Tod,der,der Tod,the death,la mort
192,10,A1,_____ Geschäft,das,das Geschäft,the business,l'entreprise
193,10,A1,_____ Spaß,der,der Spaß,the fun,le plaisir
194,10,A1,_____ Wirtschaft,die,die Wirtschaft,the economy,l'économie
195,10,A1,_____ Tier,das,das Tier,the animal,l'animal
196,10,A1,_____ Bewegung,die,die Bewegung,the movement,le mouvement
197,10,A1,_____ Gast,der,der Gast,the guest,l'invité
198,10,A1,_____ Sicherheit,die,die Sicherheit,the safety,la sécurité
199,10,A1,_____ Einsatz,der,der Einsatz,the deployment,le déploiement
200,10,A1,_____ Gebiet,das,das Gebiet,the area,la région
201,11,A1,_____ Dank,der,der Dank,the thanks,le remerciement
202,11,A1,_____ Dorf,das,das Dorf,the village,le village
203,11,A1,_____ Kollege,der,der Kollege,the colleague,le collègue
204,11,A1,_____ Angabe,die,die Angabe,the information,les informations
205,11,A1,_____ Bruder,der,der Bruder,the brother,le frère
206,11,A1,_____ Verfügung,die,die Verfügung,the order,l'ordre
207,11,A1,_____ Fach,das,das Fach,the subject,le sujet
208,11,A1,_____ Herz,das,das Herz,the heart,le cœur
209,11,A1,_____ Kontakt,der,der Kontakt,the contact,le contact
210,11,A1,_____ Menge,die,die Menge,the amount,la quantité
211,11,A1,_____ Sommer,der,der Sommer,the summer,l'été
212,11,A1,_____ Unterschied,der,der Unterschied,the difference,la différence
213,11,A1,_____ Anspruch,der,der Anspruch,the claim,la réclamation
214,11,A1,_____ Antwort,die,die Antwort,the answer,la réponse
215,11,A1,_____ Verbindung,die,die Verbindung,the connection,la connexion
216,11,A1,_____ Vorstellung,die,die Vorstellung,the idea,l'idée
217,11,A1,_____ Anwendung,die,die Anwendung,the application,l'application
218,11,A1,_____ Alter,das,das Alter,the age,l'âge
219,11,A1,_____ Patient,der,der Patient,the patient,le patient
220,11,A1,_____ Polizei,die,die Polizei,the police,la police
221,12,A1,_____ Theater,das,das Theater,the theatre,le théâtre
222,12,A1,_____ Ausbildung,die,die Ausbildung,the training,la formation
223,12,A1,_____ Gefahr,die,die Gefahr,the danger,le danger
224,12,A1,_____ Gerät,das,das Gerät,the device,l'appareil
225,12,A1,_____ Kilometer,der,der Kilometer,the kilometer,le kilomètre
226,12,A1,_____ Hilfe,die,die Hilfe,the help,l'aide
227,12,A1,_____ Computer,der,der Computer,the computer,l'ordinateur
228,12,A1,_____ Dollar,der,der Dollar,the dollar,le dollar
229,12,A1,_____ Verfahren,das,das Verfahren,the procedure,la procédure
230,12,A1,_____ Vertrag,der,der Vertrag,the contract,le contrat
231,12,A1,_____ Maßnahme,die,die Maßnahme,the measure,la mesure
232,12,A1,_____ Mitte,die,die Mitte,the middle,le milieu
233,12,A1,_____ Ordnung,die,die Ordnung,the order,l'ordre
234,12,A1,_____ Stoff,der,der Stoff,the fabric,le tissu
235,12,A1,_____ Beginn,der,der Beginn,the beginning,le début
236,12,A1,_____ Glück,das,das Glück,the happiness,le bonheur
237,12,A1,_____ Wochenende,das,das Wochenende,the weekend,le week-end
238,12,A1,_____ Professor,der,der Professor,the professor,le professeur
239,12,A1,_____ Reihe,die,die Reihe,the series,la série
240,12,A1,_____ Westen,der,der Westen,the West,l'Ouest
241,13,A1,_____ Bevölkerung,die,die Bevölkerung,the population,la population
242,13,A1,_____ Institut,das,das Institut,the institute,l'institut
243,13,A1,_____ Osten,der,der Osten,the East,l'Est
244,13,A1,_____ Schwester,die,die Schwester,the sister,la sœur
245,13,A1,_____ Erde,die,die Erde,the earth,la terre
246,13,A1,_____ Ebene,die,die Ebene,the level,le niveau
247,13,A1,_____ Reise,die,die Reise,the trip,le voyage
248,13,A1,_____ Einheit,die,die Einheit,the unit,l'unité
249,13,A1,_____ Haar,das,das Haar,the hair,les cheveux
250,13,A1,_____ Lächeln,das,das Lächeln,the smile,le sourire
251,13,A1,_____ Nähe,die,die Nähe,the nearness,la proximité
252,13,A1,_____ Prinzip,das,das Prinzip,the principle,le principe
253,13,A1,_____ Vorteil,der,der Vorteil,the advantage,l'avantage
254,13,A1,_____ Struktur,die,die Struktur,the structure,la structure
255,13,A1,_____ Autor,der,der Autor,the author,l'auteur
256,13,A1,_____ Bedingung,die,die Bedingung,the condition,la condition
257,13,A1,_____ Risiko,das,das Risiko,the risk,le risque
258,13,A1,_____ Wahl,die,die Wahl,the choice,le choix
259,13,A1,_____ Wirkung,die,die Wirkung,the effect,l'effet
260,13,A1,_____ Brief,der,der Brief,the letter,la lettre
261,14,A1,_____ Größe,die,die Größe,the size,la taille
262,14,A1,_____ Macht,die,die Macht,the power,le pouvoir
263,14,A1,_____ Untersuchung,die,die Untersuchung,the investigation,l'enquête
264,14,A1,_____ Veränderung,die,die Veränderung,the change,le changement
265,14,A1,_____ Daten,die,die Daten,the data,les données
266,14,A1,_____ Einfluss,der,der Einfluss,the influence,l'influence
267,14,A1,_____ Methode,die,die Methode,the method,la méthode
268,14,A1,_____ Organisation,die,die Organisation,the organization,l'organisation
269,14,A1,_____ Liebe,die,die Liebe,the love,l'amour
270,14,A1,_____ Rede,die,die Rede,the speech,le discours
271,14,A1,_____ Sport,der,der Sport,the sport,le sport
272,14,A1,_____ Augenblick,der,der Augenblick,the moment,le moment
273,14,A1,_____ Diskussion,die,die Diskussion,the discussion,la discussion
274,14,A1,_____ Forderung,die,die Forderung,the requirement,l'exigence
275,14,A1,_____ Kreis,der,der Kreis,the circle,le cercle
276,14,A1,_____ Technik,die,die Technik,the technology,la technologie
277,14,A1,_____ Versuch,der,der Versuch,the attempt,la tentative
278,14,A1,_____ Schweigen,das,das Schweigen,the silence,le silence
279,14,A1,_____ Krankheit,die,die Krankheit,the disease,la maladie
280,14,A1,_____ Schwierigkeit,die,die Schwierigkeit,the difficulty,la difficulté
281,15,A1,_____ Tätigkeit,die,die Tätigkeit,the activity,l'activité
282,15,A1,_____ Voraussetzung,die,die Voraussetzung,the prerequisite,prérequis
283,15,A1,_____ Kampf,der,der Kampf,the fight,le combat
284,15,A1,_____ Künstler,der,der Künstler,the artist,l'artiste
285,15,A1,_____ Region,die,die Region,the region,la région
286,15,A1,_____ Eindruck,der,der Eindruck,the impression,l'impression
287,15,A1,_____ Reaktion,die,die Reaktion,the reaction,la réaction
288,15,A1,_____ Beitrag,der,der Beitrag,the contribution,la contribution
289,15,A1,_____ Konzept,das,das Konzept,the concept,le concept
290,15,A1,_____ Linie,die,die Linie,the line,la ligne
291,15,A1,_____ Mund,der,der Mund,the mouth,la bouche
292,15,A1,_____ Wunsch,der,der Wunsch,the desire,le désir
293,15,A1,_____ Artikel,der,der Artikel,the article,l'article
294,15,A1,_____ Gegensatz,der,der Gegensatz,the contrast,le contraste
295,15,A1,_____ Kapitel,das,das Kapitel,the chapter,le chapitre
296,15,A1,_____ Literatur,die,die Literatur,literature,littérature
297,15,A1,_____ Rücken,der,der Rücken,the back,le dos
298,15,A1,_____ Zelle,die,die Zelle,the cell,la cellule
299,15,A1,_____ Aussage,die,die Aussage,the statement,la déclaration
300,15,A1,_____ Bürger,der,der Bürger,the citizen,le citoyen
301,16,A1,_____ Himmel,der,der Himmel,the sky,le ciel
302,16,A1,_____ Inhalt,der,der Inhalt,the content,le contenu
303,16,A1,_____ Wand,die,die Wand,the wall,le mur
304,16,A1,_____ Bibliothek,die,die Bibliothek,the library,la bibliothèque
305,16,A1,_____ Farbe,die,die Farbe,the color,la couleur
306,16,A1,_____ Maß,das,das Maß,the measure,la mesure
307,16,A1,_____ Ansatz,der,der Ansatz,the approach,l'approche
308,16,A1,_____ Aspekt,der,der Aspekt,the aspect,l'aspect
309,16,A1,_____ Bein,das,das Bein,the leg,la jambe
310,16,A1,_____ Erinnerung,die,die Erinnerung,the memory,le souvenir
311,16,A1,_____ Kenntnis,die,die Kenntnis,the knowledge,la connaissance
312,16,A1,_____ Kurs,der,der Kurs,the course,le cours
313,16,A1,_____ Papier,das,das Papier,the paper,le papier
314,16,A1,_____ Sekunde,die,die Sekunde,the second,le second
315,16,A1,_____ Sonne,die,die Sonne,the sun,le soleil
316,16,A1,_____ Umstand,der,der Umstand,the circumstance,la circonstance
317,16,A1,_____ Wissenschaft,die,die Wissenschaft,science,la science
318,16,A1,_____ Garten,der,der Garten,the garden,le jardin
319,16,A1,_____ Küche,die,die Küche,the kitchen,la cuisine
320,16,A1,_____ Wirklichkeit,die,die Wirklichkeit,the reality,la réalité
321,17,A1,_____ Druck,der,der Druck,the pressure,la pression
322,17,A1,_____ Essen,das,das Essen,the food,la nourriture
323,17,A1,_____ Grundlage,die,die Grundlage,the basis,la base
324,17,A1,_____ Zustand,der,der Zustand,the condition,la condition
325,17,A1,_____ Hälfte,die,die Hälfte,the half,la moitié
326,17,A1,_____ Meer,das,das Meer,the sea,la mer
327,17,A1,_____ Dienst,der,der Dienst,the service,le service
328,17,A1,_____ Gegenstand,der,der Gegenstand,the object,l'objet
329,17,A1,_____ Plan,der,der Plan,the plan,le plan
330,17,A1,_____ Zeitpunkt,der,der Zeitpunkt,the time,le temps
331,17,A1,_____ Auftrag,der,der Auftrag,the order,l'ordre
332,17,A1,_____ Baum,der,der Baum,the tree,l'arbre
333,17,A1,_____ Freude,die,die Freude,the joy,la joie
334,17,A1,_____ Gemeinde,die,die Gemeinde,the community,la communauté
335,17,A1,_____ Hinweis,der,der Hinweis,the hint,l'indice
336,17,A1,_____ Netz,das,das Netz,the network,le réseau
337,17,A1,_____ Position,die,die Position,the position,la position
338,17,A1,_____ Schluss,der,der Schluss,the end,la fin
339,17,A1,_____ Bundesrepublik,die,die Bundesrepublik,the Federal Republic,la République fédérale
340,17,A1,_____ Forschung,die,die Forschung,the research,la recherche
341,18,A1,_____ Glas,das,das Glas,the glass,le verre
342,18,A1,_____ Haut,die,die Haut,the skin,la peau
343,18,A1,_____ Praxis,die,die Praxis,the practice,la pratique
344,18,A1,_____ Wald,der,der Wald,the forest,la forêt
345,18,A1,_____ Ausdruck,der,der Ausdruck,the expression,l'expression
346,18,A1,_____ Finger,der,der Finger,the finger,le doigt
347,18,A1,_____ Freundin,die,die Freundin,the girlfriend,la petite amie
348,18,A1,_____ Roman,der,der Roman,the novel,le roman
349,18,A1,_____ Sicht,die,die Sicht,the view,la vue
350,18,A1,_____ Theorie,die,die Theorie,the theory,la théorie
351,18,A1,_____ Umwelt,die,die Umwelt,the environment,l'environnement
352,18,A1,_____ Haushalt,der,der Haushalt,the household,le ménage
353,18,A1,_____ Hund,der,der Hund,the dog,le chien
354,18,A1,_____ Maschine,die,die Maschine,the machine,la machine
355,18,A1,_____ Nummer,die,die Nummer,the number,le nombre
356,18,A1,_____ Politiker,der,der Politiker,the politician,l'homme politique
357,18,A1,_____ Team,das,das Team,the team,l'équipe
358,18,A1,_____ Titel,der,der Titel,the title,le titre
359,18,A1,_____ Verein,der,der Verein,the Union,l'Union
360,18,A1,_____ Fernsehen,das,das Fernsehen,the television,la télévision
361,19,A1,_____ Schulter,die,die Schulter,the shoulder,l'épaule
362,19,A1,_____ Unterstützung,die,die Unterstützung,the support,le soutien
363,19,A1,_____ Zeichen,das,das Zeichen,the sign,le signe
364,19,A1,_____ Material,das,das Material,the material,le matériau
365,19,A1,_____ Produktion,die,die Produktion,the production,la production
366,19,A1,_____ Rest,der,der Rest,the rest,le reste
367,19,A1,_____ Ruhe,die,die Ruhe,the peace,la paix
368,19,A1,_____ Schaden,der,der Schaden,the damage,le dégât
369,19,A1,_____ Soldat,der,der Soldat,the soldier,le soldat
370,19,A1,_____ Sorge,die,die Sorge,the worry,l'inquiétude
371,19,A1,_____ Tatsache,die,die Tatsache,the fact,le fait
372,19,A1,_____ Umgebung,die,die Umgebung,the environment,l'environnement
373,19,A1,_____ Volk,das,das Volk,the people,le peuple
374,19,A1,_____ Wagen,der,der Wagen,the car,la voiture
375,19,A1,_____ Wind,der,der Wind,the wind,le vent
376,19,A1,_____ Zweck,der,der Zweck,the purpose,le but
377,19,A1,_____ Angriff,der,der Angriff,the attack,l'attaque
378,19,A1,_____ Antrag,der,der Antrag,the application,l'application
379,19,A1,_____ Job,der,der Job,the job,le travail
380,19,A1,_____ Öffentlichkeit,die,die Öffentlichkeit,the public,le public
381,20,A1,_____ Schutz,der,der Schutz,the protection,la protection
382,20,A1,_____ Anteil,der,der Anteil,the proportion,la proportion
383,20,A1,_____ Besuch,der,der Besuch,the visit,la visite
384,20,A1,_____ Energie,die,die Energie,the energy,l'énergie
385,20,A1,_____ Erklärung,die,die Erklärung,the explanation,l'explication
386,20,A1,_____ Gang,der,der Gang,the aisle,l'allée
387,20,A1,_____ Lauf,der,der Lauf,the run,la course
388,20,A1,_____ Unterricht,der,der Unterricht,the lesson,la leçon
389,20,A1,_____ Zentrum,das,das Zentrum,the center,le centre
390,20,A1,_____ Amt,das,das Amt,the Office,le Bureau
391,20,A1,_____ Anschlag,der,der Anschlag,the attack,l'attaque
392,20,A1,_____ Ausland,das,das Ausland,the foreign country,le pays étranger
393,20,A1,_____ Behandlung,die,die Behandlung,the treatment,le traitement
394,20,A1,_____ Einrichtung,die,die Einrichtung,the facility,l'installation
395,20,A1,_____ Feld,das,das Feld,the field,le champ
396,20,A1,_____ Hochschule,die,die Hochschule,the university,l'université
397,20,A1,_____ Hotel,das,das Hotel,the hotel,l'hôtel
398,20,A1,_____ Publikum,das,das Publikum,the audience,le public
399,20,A1,_____ Studie,die,die Studie,the study,l'étude
400,20,A1,_____ Analyse,die,die Analyse,the analysis,l'analyse
401,21,A1,_____ Spur,die,die Spur,the trail,le sentier
402,21,A1,_____ Berg,der,der Berg,the mountain,la montagne
403,21,A1,_____ Erkenntnis,die,die Erkenntnis,the realization,la réalisation
404,21,A1,_____ Faktor,der,der Faktor,the factor,le facteur
405,21,A1,_____ Fehler,der,der Fehler,the error,l'erreur
406,21,A1,_____ Freiheit,die,die Freiheit,the freedom,la liberté
407,21,A1,_____ Freizeit,die,die Freizeit,the free time,le temps libre
408,21,A1,_____ Gegend,die,die Gegend,the area,la région
409,21,A1,_____ Kritik,die,die Kritik,the criticism,la critique
410,21,A1,_____ Partner,der,der Partner,the partner,le partenaire
411,21,A1,_____ See,der,der See,the lake,le lac
412,21,A1,_____ Typ,der,der Typ,the type,le type
413,21,A1,_____ Ereignis,das,das Ereignis,the event,l'événement
414,21,A1,_____ Kontrolle,die,die Kontrolle,the control,le contrôle
415,21,A1,_____ Objekt,das,das Objekt,the object,l'objet
416,21,A1,_____ Opfer,das,das Opfer,the victim,la victime
417,21,A1,_____ Sprecher,der,der Sprecher,the speaker,l'orateur
418,21,A1,_____ Arbeitsplatz,der,der Arbeitsplatz,the workplace,le lieu de travail
419,21,A1,_____ Aufnahme,die,die Aufnahme,the recording,l'enregistrement
420,21,A1,_____ Fähigkeit,die,die Fähigkeit,the ability,la capacité
421,22,A1,_____ Karte,die,die Karte,the map,la carte
422,22,A1,_____ Urlaub,der,der Urlaub,the holidays,les vacances
423,22,A1,_____ Verantwortung,die,die Verantwortung,the responsibility,la responsabilité
424,22,A1,_____ Wahrheit,die,die Wahrheit,the truth,la vérité
425,22,A1,_____ Gebäude,das,das Gebäude,the building,le bâtiment
426,22,A1,_____ Gesellschafter,der,der Gesellschafter,the shareholder,l'actionnaire
427,22,A1,_____ Jahrzehnt,das,das Jahrzehnt,the decade,la décennie
428,22,A1,_____ Norden,der,der Norden,the north,le nord
429,22,A1,_____ Ohr,das,das Ohr,the ear,l'oreille
430,22,A1,_____ Prüfung,die,die Prüfung,the exam,l'examen
431,22,A1,_____ Regelung,die,die Regelung,the regulation,le règlement
432,22,A1,_____ Schiff,das,das Schiff,the ship,le navire
433,22,A1,_____ Ausstellung,die,die Ausstellung,the exhibition,l'exposition
434,22,A1,_____ Bezug,der,der Bezug,the reference,la référence
435,22,A1,_____ Bitte,die,die Bitte,the request,la demande
436,22,A1,_____ Hoffnung,die,die Hoffnung,the hope,l'espoir
437,22,A1,_____ Bericht,der,der Bericht,the report,le rapport
438,22,A1,_____ Einstellung,die,die Einstellung,the attitude,l'attitude
