exercise,level,level_routledge,level_goethe,question,answer,german,english,french,explanation_english_,explanation_french_,explanation_english,explanation_french
8,A1,A1,A1,die Bitte,Bitten,die Bitten,the request,la demande,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
8,A1,A1,A1,der Winter,Winter,die Winter,the winter,l'hiver,,,​,​
8,A1,A1,A1,der Zentimeter,Zentimeter,die Zentimeter,the centimeter,le centimètre,,,​,​
8,A1,A1,A1,die Ecke,Ecken,die Ecken,the corner,le coin,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
8,A1,A1,A1,der Herbst,Herbste,die Herbste,the autumn,l'automne,,,​,​
9,A2,A1,A2,die Seite,Seiten,die Seiten,the page,la page,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
9,A2,A1,A2,der Weg,Wege,die Wege,the way,le chemin,,,​,​
9,A2,A1,A2,die Geschichte,Geschichten,die Geschichten,the story,l'histoire,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
9,A2,A1,A2,das Paar,Paare,die Paare,the couple,le couple,,,​,​
9,A2,A1,A2,die Universität,Universitäten,die Universitäten,the university,l'université,,,​,​
9,A2,A1,A2,das Ziel,Ziele,die Ziele,the goal,l'objectif,,,​,​
9,A2,A1,A2,die Person,Personen,die Personen,the person,la personne,,,​,​
9,A2,A1,A2,das Ding,Dinge,die Dinge,the thing,la chose,,,​,​
9,A2,A1,A2,die Zahl,Zahlen,die Zahlen,the number,le nombre,,,​,​
9,A2,A1,A2,das Interesse,Interessen,die Interessen,the interest,l'intérêt,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
9,A2,A1,A2,die Tür,Türen,die Türen,the door,la porte,,,​,​
9,A2,A1,A2,das Stück,Stücke,die Stücke,the piece,la pièce,,,​,​
9,A2,A1,A2,die Situation,Situationen,die Situationen,the situation,la situation,,,​,​
9,A2,A1,A2,das Programm,Programme,die Programme,the program,le programme,,,​,​
9,A2,A1,A2,die Angst,Ängste,die Ängste,the fear,la peur,,,​,​
9,A2,A1,A2,die Kunst,Künste,die Künste,the art,l'art,,,​,​
9,A2,A1,A2,die Musik,Musiken,die Musiken,the music,la musique,,,​,​
9,A2,A1,A2,die Erfahrung,Erfahrungen,die Erfahrungen,the experience,l'expérience,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
9,A2,A1,A2,das Spiel,Spiele,die Spiele,the game,le jeu,,,​,​
9,A2,A1,A2,der Markt,Märkte,die Märkte,the market,le marché,,,​,​
10,A2,A1,A2,die Kirche,Kirchen,die Kirchen,the church,l'église,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
10,A2,A1,A2,die Kultur,Kulturen,die Kulturen,the culture,la culture,,,​,​
10,A2,A1,A2,das Projekt,Projekte,die Projekte,the project,le projet,,,​,​
10,A2,A1,A2,der Körper,Körper,die Körper,the body,le corps,,,​,​
10,A2,A1,A2,das Fenster,Fenster,die Fenster,the window,la fenêtre,,,​,​
10,A2,A1,A2,die Meinung,Meinungen,die Meinungen,the opinion,l'opinion,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
10,A2,A1,A2,die Idee,Ideen,die Ideen,the idea,l'idée,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
10,A2,A1,A2,das Produkt,Produkte,die Produkte,the product,le produit,,,​,​
10,A2,A1,A2,das Mittel,Mittel,die Mittel,"the mean, the remedy",le moyen,,,​,​
10,A2,A1,A2,die Natur,Naturen,die Naturen,the nature,la nature,,,​,​
10,A2,A1,A2,der Mitarbeiter,Mitarbeiter,die Mitarbeiter,the employee,l'employé,,,​,​
10,A2,A1,A2,der Spaß,Späße,die Späße,the fun,le plaisir,,,​,​
10,A2,A1,A2,das Tier,Tiere,die Tiere,the animal,l'animal,,,​,​
10,A2,A1,A2,das Fach,Fächer,die Fächer,the subject,le sujet,,,​,​
10,A2,A1,A2,der Kontakt,Kontakte,die Kontakte,the contact,le contact,,,​,​
10,A2,A1,A2,die Menge,Mengen,die Mengen,the amount,la quantité,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
10,A2,A1,A2,der Unterschied,Unterschiede,die Unterschiede,the difference,la différence,,,​,​
10,A2,A1,A2,das Theater,Theater,die Theater,the theatre,le théâtre,,,​,​
10,A2,A1,A2,die Ausbildung,Ausbildungen,die Ausbildungen,the training,la formation,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
10,A2,A1,A2,das Gerät,Geräte,die Geräte,the device,l'appareil,,,​,​
11,A2,A1,A2,der Vertrag,Verträge,die Verträge,the contract,le contrat,,,​,​
11,A2,A1,A2,die Reihe,Reihen,die Reihen,the series,la série,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
11,A2,A1,A2,die Liebe,Lieben,die Lieben,the love,l'amour,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
11,A2,A1,A2,die Krankheit,Krankheiten,die Krankheiten,the disease,la maladie,Words finishing in -heit add -en in their plural form,Les mots se terminant par -heit prennent la terminaison -en au pluriel,<br><br>Words finishing in -heit add -en in their plural form,<br><br>Les mots se terminant par -heit prennent la terminaison -en au pluriel
11,A2,A1,A2,der Wunsch,Wünsche,die Wünsche,the desire,le désir,,,​,​
11,A2,A1,A2,der Artikel,Artikel,die Artikel,the article,l'article,,,​,​
11,A2,A1,A2,der Rücken,Rücken,die Rücken,the back,le dos,,,​,​
11,A2,A1,A2,der Himmel,Himmel,die Himmel,the sky,le ciel,,,​,​
11,A2,A1,A2,die Bibliothek,Bibliotheken,die Bibliotheken,the library,la bibliothèque,,,​,​
11,A2,A1,A2,die Kenntnis,Kenntnisse,die Kenntnisse,the knowledge,la connaissance,,,​,​
11,A2,A1,A2,der Wald,Wälder,die Wälder,the forest,la forêt,,,​,​
11,A2,A1,A2,die Freundin,Freundinnen,die Freundinnen,the girlfriend,la petite amie,,,​,​
11,A2,A1,A2,der Haushalt,Haushalte,die Haushalte,the household,le ménage,,,​,​
