Nr,level,question,english,ich,du,er/sie/es,wir,ihr,Sie
40,2,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)",,,bot,,,
41,2,aufstehen,"to get up, to be open (e.g. a window, door)",,,stand auf,,,
42,2,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull",,,zog an,,,
43,2,ausziehen,"to take something off, to undress, to pull out, to move out",,,zog aus,,,
44,2,spielen,to play,,,spielte,,,
45,3,fahren,"to go (by vehicle), to leave, to drive",,,fuhr,,,
46,3,versuchen,to try,,,versuchte,,,
47,3,erzählen,"to tell, to narrate",,,erzählte,,,
48,3,fragen,"to ask, to wonder (refl.)",,,fragte,,,
49,3,treffen,"to meet, to encounter",,,traf,,,
50,3,hoffen,to hope,,,hoffte,,,
51,3,suchen,"to seek, to search",,,suchte,,,
52,3,trinken,to drink,,,trank,,,
53,3,lernen,"to learn, to study (revise/review materials), to train something",,,lernte,,,
54,3,zeigen,"to show, to point at, to demonstrate",,,zeigte,,,
55,3,schlafen,to sleep,,,schlief,,,
56,3,kaufen,to buy,,,kaufte,,,
57,3,laufen,"to walk, to flow (of a fluid), to run (of an event)",,,lief,,,
58,3,erklären,"to explain, to declare, to assert",,,erklärte,,,
59,3,zahlen,"to pay (for something), to atone for",,,zahlte,,,
60,3,kochen,"to cook, to boil (to heat a liquid), to boil something",,,kochte,,,
61,3,waschen,to wash,,,wusch,,,
62,3,aufwachen,to wake up,,,wachte auf,,,
63,3,zeichnen,"to draw, to sketch",,,zeichnete,,,
64,3,wohnen,"to live, to reside, to dwell",,,wohnte,,,
65,3,schreiben,to write,,,schrieb,,,
66,3,tragen,"to wear (clothing), to carry, to hold",,,trug,,,
67,3,interessieren,"to interest, to be interested in (refl.)",,,interessierte,,,
68,3,ziehen,"to pull, to drag, to move",,,zog,,,
69,3,lesen,to read,,,las,,,
70,3,kosten,"to cost, to taste",,,kostete,,,
71,3,wiederholen,to repeat,,,wiederholte,,,
72,3,übersetzen,to translate,,,übersetzte,,,
73,3,buchstabieren,to spell,,,buchstabierte,,,
74,3,bedeuten,"to mean, to signify",,,bedeutete,,,
75,3,funktionieren,"to function, to work",,,funktionierte,,,
76,3,erinnern,"to remind, to remember (refl.)",,,erinnerte,,,
77,3,fühlen,"to feel, to feel something (good/bad) (refl.)",,,fühlte,,,
78,3,regnen,to rain,,,regnete,,,
79,3,schneien,to snow,,,schneite,,,
80,3,führen,"to lead, to guide",,,führte,,,
81,4,passieren,"to happen (conversational), to move beyond, to strain",,,passierte,,,
82,4,verlieren,to lose,,,verlor,,,
83,4,bestimmen,to determine,,,bestimmte,,,
84,4,holen,to fetch,,,holte,,,
85,4,anrufen,"to call by telephone, to call on (someone)",,,rief an,,,
86,4,aufhören,"to stop, to cease an activity/process",,,hörte auf,,,
87,4,anfangen,to begin something new,,,fing an,,,
88,4,gewinnen,to win,,,gewann,,,
89,4,wehtun,"to hurt, to be painful",,,tat weh,,,
90,4,öffnen,to open (formal),,,öffnete,,,
91,4,bezahlen,"to pay, to pay someone",,,bezahlte,,,
92,4,beginnen,to begin (on a date/time),,,begann,,,
93,4,benutzen,to use (something),,,benutzte,,,
94,4,schicken,to send,,,schickte,,,
95,4,lachen,to laugh,,,lachte,,,
96,4,scheinen,"to seem, to shine",,,schien,,,
97,4,ändern,to change (one's personality/behavior),,,änderte,,,
98,4,verkaufen,to sell,,,verkaufte,,,
99,4,gehören,to belong to,,,gehörte,,,
100,4,sitzen,"to be seated, to stay, to fit (of clothing)",,,sass,,,
101,4,stellen,"to position, to put, to catch",,,stellte,,,
102,4,setzen,"to set, to sit down (refl.)",,,setzte,,,
103,4,liegen,"to lie, to be located",,,lag,,,
104,4,danken,to thank,,,dankte,,,
105,4,legen,"to lay, to lean, to lie down",,,legte,,,
106,4,schauen,to look at (Bayern/Austria),,,schaute,,,
107,4,besuchen,to visit,,,besuchte,,,
108,4,freuen,"to make glad, to be glad (refl.), to look forward (refl.)",,,freute,,,
109,4,schliessen,"to shut, to close, to lock, to conclude",,,schloss,,,
110,4,einladen,"to invite, to load (something into a container)",,,lud ein,,,
111,4,gefallen,"to please, to appeal to",,,gefiel,,,
112,4,wünschen,to wish,,,wünschte,,,
113,4,passen,"to fit, to suit",,,passte,,,
114,4,folgen,to follow,,,folgte,,,
115,4,ansehen,"to look at something, to watch something",,,sah an,,,
116,4,aussehen,"to look (like), to appear",,,sah aus,,,
117,4,probieren,"to try, to taste, to sample, to probe",,,probierte,,,
118,4,träumen,to dream,,,träumte,,,
119,4,fernsehen,to watch TV,,,sah fern,,,
120,4,schwimmen,"to swim, to float",,,schwamm,,,
121,5,einschlafen,to fall asleep,,,schlief ein,,,
122,5,reisen,to travel,,,reiste,,,
123,5,feiern,to celebrate,,,feierte,,,
124,5,antworten,"to answer, to reply",,,antwortete,,,
125,5,wählen,"to choose, to dial (a number), to vote",,,wählte,,,
126,5,ausgehen,"to go out, to run out (e.g. of money)",,,ging aus,,,
127,5,zählen,to count,,,zählte,,,
128,5,ankommen,"to arrive, to depend on something",,,kam an,,,
129,5,dauern,"to last, to take (time)",,,dauerte,,,
130,5,kennenlernen,"to meet someone, to get to know someone/something",,,lernte kennen,,,
131,5,anmelden,"to register, to sign up",,,meldete an,,,
132,5,lassen,"to let, to leave, to allow",,,liess,,,
133,5,verlassen,"to leave, to trust with something (refl.), to pass away, to die",,,verliess,,,
134,5,helfen,to help,,,half,,,
135,5,bewegen,to move,,,bewog,,,
136,5,versprechen,"to promise, to hope for, to misspeak",,,versprach,,,
137,5,hängen,"to hang, to be fond of, depend on",,,hing,,,
138,5,mieten,"to rent, to hire",,,mietete,,,
139,5,rauchen,to smoke (e.g. a cigarette),,,rauchte,,,
140,5,sterben,to die,,,starb,,,
141,5,heiraten,to marry,,,heiratete,,,
142,5,kämpfen,"to fight, to struggle",,,kämpfte,,,
143,5,fehlen,"to lack, to be absent/missing",,,fehlte,,,
144,5,sorgen,"to care, to worry",,,sorgte,,,
145,5,stecken,"to stick, to pin",,,steckte,,,
146,5,überraschen,to surprise,,,überraschte,,,
147,5,vorstellen,"to introduce, to present oneself (refl.), to move forward, to represent",,,stellte vor,,,
148,5,stehlen,to steal,,,stahl,,,
149,5,stimmen,"to be true, to vote, to tune",,,stimmte,,,
150,5,entscheiden,to decide,,,entschied,,,
151,5,vermissen,to miss something/someone,,,vermisste,,,
152,5,werfen,to throw,,,warf,,,
153,5,erkennen,"to recognise, to realise",,,erkannte,,,
154,5,teilen,"to split, to share, to divide",,,teilte,,,
155,5,bauen,to build,,,baute,,,
156,5,melden,"to report, to register",,,meldete,,,
157,5,brechen,to break,,,brach,,,
158,5,steigen,"to ascend, to climb, to rise",,,stieg,,,
159,5,singen,to sing,,,sang,,,
160,5,empfehlen,"to recommend, to suggest",,,empfahl,,,
161,6,aufmachen,"to open (coll.), to head/move off (refl.), to undo something",,,machte auf,,,
162,6,vertrauen,to trust,,,vertraute,,,
163,6,verändern,"to alter, to change something",,,veränderte,,,
164,6,bitten,"to ask, to request",,,bat,,,
165,6,besitzen,"to own, to possess, to have",,,besass,,,
166,6,merken,"to notice, to realise, to remember (refl.)",,,merkte,,,
167,6,stören,"to disturb, to interfere",,,störte,,,
168,6,annehmen,"to accept, to assume (a hypothesis), to receive, to suppose",,,nahm an,,,
169,6,übernehmen,to take over,,,übernahm,,,
170,6,stattfinden,"to take place, to occur",,,fand statt,,,
171,6,fangen,to catch,,,fing,,,
172,6,enthalten,"to contain, to include",,,enthielt,,,
173,6,dienen,"to serve, to function",,,diente,,,
174,6,verschwinden,"to disappear, to get lost",,,verschwand,,,
175,6,schützen,"to defend (lawyer), to protect (sunprotection)",,,schützte,,,
176,6,nennen,"to name, to call someone something, to mention",,,nannte,,,
177,6,schätzen,"to appreciate, to evaluate, to guess",,,schätzte,,,
178,6,erwarten,"to expect, to await",,,erwartete,,,
179,6,drehen,"to turn, to veer",,,drehte,,,
180,6,behalten,to keep,,,behielt,,,
181,6,verpassen,"to miss (to be late for something, e.g. a train)",,,verpasste,,,
182,6,schenken,"to gift, to give as a present",,,schenkte,,,
183,6,wachsen,"to grow, to increase",,,wuchs,,,
184,6,springen,"to spring, to jump",,,sprang,,,
185,6,befinden,"to be located (refl.), to find, to consider (formal)",,,befand,,,
186,6,raten,"to advise, to recommend, to guess",,,riet,,,
187,6,verbieten,"to forbid, to prohibit (with dative)",,,verbot,,,
188,6,fallen,"to fall, to fall in battle, to collapse",,,fiel,,,
189,6,kümmern,"to take care (refl.), to trouble, to concern",,,kümmerte,,,
190,6,drücken,"to press, to push",,,drückte,,,
191,6,vergleichen,to compare,,,verglich,,,
192,6,putzen,"to clean, to rub",,,putzte,,,
193,6,einkaufen,to shop,,,kaufte ein,,,
194,6,veröffentlichen,"to publish, to release",,,veröffentlichte,,,
195,6,testen,"to test, to examine",,,testete,,,
196,6,lösen,"to loosen, to solve, to separate, to remove",,,löste,,,
197,6,kontrollieren,"to control, to check",,,kontrollierte,,,
198,6,unterstützen,"to support, to provide help",,,unterstützte,,,
199,6,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to",,,trieb,,,
200,6,tanzen,to dance,,,tanzte,,,
201,7,studieren,"to study, to go to university/college",,,studierte,,,
202,7,sinken,"to sink, to drop",,,sank,,,
203,7,klingen,to sound,,,klang,,,
204,7,schmecken,to taste,,,schmeckte,,,
205,7,mitteilen,"to inform, to share",,,teilte mit,,,
206,7,streiten,"to argue, to fight, to quarrel",,,stritt,,,
207,7,entwickeln,to develop,,,entwickelte,,,
208,7,ersetzen,"to replace, to substitute",,,ersetzte,,,
209,7,leiden,"to bear, to endure, to suffer",,,litt,,,
210,7,diskutieren,"to discuss, to debate",,,diskutierte,,,
211,7,rufen,"to call out, to call for help, to telephone",,,rief,,,
212,7,vorschlagen,"to suggest, to propose",,,schlug vor,,,
213,7,überzeugen,"to convince, to convince oneself (refl.)",,,überzeugte,,,
214,7,vermuten,"to assume something is true, to suppose, suspect something",,,vermutete,,,
215,7,überlegen,"to consider, to think over",,,überlegte,,,
216,7,teilnehmen,"to take part, to participate",,,nahm teil,,,
217,7,gründen,"to found, to establish",,,gründete,,,
218,7,überprüfen,to check,,,überprüfte,,,
219,7,beraten,"to advise, to consult",,,beriet,,,
220,7,vertreten,"to represent, to stand for",,,vertrat,,,
221,7,bewerben,to apply (to a job etc.),,,bewarb,,,
222,7,erstellen,"to create, to generate, to compile, to set up",,,erstellte,,,
223,7,korrigieren,"to correct, to rectify, to debug",,,korrigierte,,,
224,7,beenden,"to finish, to complete, to terminate (relationship)",,,beendete,,,
225,7,anbieten,"to offer, to provide",,,bot an,,,
226,7,fordern,"to demand, to require",,,forderte,,,
227,7,mitnehmen,"to carry along, to pick up (something), to take away",,,nahm mit,,,
228,7,mitbringen,"to bring along, to bring with",,,brachte mit,,,
229,7,sammeln,"to collect, to gather",,,sammelte,,,
230,7,aufpassen,"to watch out, to look after something, to be attentive with something",,,passte auf,,,
231,7,hassen,to hate,,,hasste,,,
232,7,zurückgehen,"to go back, to decline",,,ging zurück,,,
233,7,ärgern,to annoy oneself (refl.),,,ärgerte,,,
234,7,schieben,to push,,,schob,,,
235,7,kündigen,"to terminate, to cancel",,,kündigte,,,
236,7,heben,"to lift, to raise",,,spülte,,,
237,7,abholen,"to pick up someone or something, to collect",,,holte ab,,,
238,7,füllen,to fill,,,kaufte ein,,,
239,7,wechseln,"to replace, to change, to exchange",,,wechselte,,,
240,7,wirken,"to work, to be effective, to take affect, to act",,,wirkte,,,
241,8,verletzen,"to hurt, to injure, to violate (rules, laws, etc.)",,,verletzte,,,
242,8,zustimmen,"to agree, to consent",,,stimmte zu,,,
243,8,erhalten,"to receive (passively), to maintain, to save",,,erhielt,,,
244,8,erlauben,to allow/permit something to someone,,,erlaubte,,,
245,8,trennen,"to separate, part, uncouple, to disconnect, to isolate",,,trennte,,,
246,8,darstellen,"to represent, to portray",,,stellte dar,,,
247,8,greifen,"to grab, to seize, to reach, to capture",,,griff,,,
248,8,entfernen,"to remove, to recede, to deviate, to desert (military)",,,entfernte,,,
249,8,verlieben,to fall in love (refl.),,,verliebte,,,
250,8,verdienen,to earn,,,verdiente,,,
251,8,aufräumen,"to tidy up, to clean up",,,räumte auf,,,
252,8,spülen,"to rinse, to flush toilets",,,spülte,,,
253,8,beschreiben,to describe,,,beschrieb,,,
254,8,verbinden,"to join, to connect, to bandage",,,verband,,,
255,8,rennen,"to race, to sprint, to run over someone (aux. with haben)",,,rannte,,,
256,8,pflanzen,to plant,,,pflanzte,,,
257,8,beten,to pray,,,betete,,,
258,8,ausruhen,"to rest (refl.), to relax",,,ruhte aus,,,
259,8,entspannen,"to relax (refl.), to relieve pressure",,,entspannte,,,
260,8,verbringen,to spend (time),,,verbrachte,,,
261,8,vorhaben,to have something planned,,,hatte vor,,,
262,8,erleben,"to experience, to witness",,,erlebte,,,
263,8,malen,to paint,,,malte,,,
264,8,jagen,to hunt,,,jagte,,,
265,8,erkunden,to explore,,,erkundete,,,
266,8,erholen,to recover,,,hob hervor,,,
267,8,tanken,to refuel,,,galt,,,
268,8,planen,to plan,,,erfüllte,,,
269,8,entdecken,"to discover, to spot",,,linderte,,,
270,8,fliegen,to fly,,,entzog,,,
271,8,erfahren,"to experience, to find out, to learn",,,gewöhnte,,,
272,8,enttäuschen,to disappoint,,,fiel aus,,,
273,8,geniessen,"to enjoy (an experience), to relish",,,hinterließ,,,
274,8,besichtigen,"to visit, to tour",,,litt,,,
275,8,spazieren,"to take a walk, to stroll",,,wettete,,,
276,8,wandern,"to hike, to wander",,,wählte aus,,,
277,8,faszinieren,to fascinate,,,beförderte,,,
278,8,surfen,to surf,,,verzichtete,,,
279,8,trainieren,"to train, to coach, to work out",,,beurteilte,,,
280,8,erreichen,to reach,,,verwandelte,,,
281,9,verhindern,"to prevent, to inhibit",,,trat,,,
282,9,unterschreiben,to sign (write one's signature),,,verhinderte,,,
283,9,empfangen,"to receive, to welcome (formal), to greet, to conceive (biology)",,,hetzte,,,
284,9,bestellen,"to order (e.g. food), to summon, to reserve",,,bewältigte,,,
285,9,buchen,"to book, to reserve",,,lenkte ab,,,
286,9,liefern,"to deliver something, to provide something, to furnish",,,mied,,,
287,9,schneiden,"to cut, to prune",,,gab vor,,,
288,9,sparen,"to save up, to conserve",,,wies hin,,,
289,9,mischen,to mix,,,verschwieg,,,
290,9,ernähren,"to nourish, to feed",,,ernährte,,,
291,9,bevorzugen,to prefer,,,bevorzugte,,,
292,9,braten,"to fry, to roast",,,briet,,,
293,9,backen,to bake,,,backte,,,
294,9,grillen,"to grill, to have a barbecue",,,grillte,,,
295,9,bereiten,"to prepare something (meals, coffee, etc.), to give, to cause (pleasure, trouble, etc.)",,,bereitete,,,
296,9,zubereiten,"to prepare, to cook in advance",,,zubereitet,,,
297,9,reservieren,to reserve,,,reserviert,,,
298,9,servieren,to serve (food or drinks),,,serviert,,,
299,9,betreuen,"to care for, to supervise",,,betreute,,,
300,9,entstehen,"to arise, to emerge, to develop",,,entstand,,,
301,9,aufnehmen,"to pick up, to receive, to take in, to record, to absorb",,,nahm auf,,,
302,9,gelten,"to be valid, to be effective, to be worth",,,galt,,,
303,9,verbessern,"to improve, to enhance",,,verbesserte,,,
304,9,sichern,"to secure, to protect",,,sicherte,,,
305,9,beantworten,to answer (a question),,,beantwortete,,,
306,9,beschäftigen,"to concern oneself with something, to take care of",,,beschäftigte,,,
307,9,absolvieren,"to complete, to finish, to graduate",,,absolvierte,,,
308,9,üben,to practice,,,übte,,,
309,9,vorbereiten,"to prepare (in advance), to prepare oneself (refl.)",,,bereitete vor,,,
310,9,weinen,"to weep, cry",,,weinte,,,
311,9,einsetzen,"to insert, to use, to appoint, to risk",,,setzte ein,,,
312,9,nutzen,"to use, to utilize",,,nutzte,,,
313,9,warnen,to warn,,,warnte,,,
314,9,klären,to clarify,,,klärte,,,
315,9,besprechen,"to discuss (formal, work related)",,,besprach,,,
316,9,erhöhen,"to increase, to raise",,,erhöhte,,,
317,9,beschränken,"to restrict, to limit",,,beschränkte,,,
318,9,zwingen,"to force, to compel",,,zwang,,,
319,9,berücksichtigen,"to consider, to take into account",,,berücksichtigte,,,
320,9,übertragen,"to transfer, to transmit",,,übertrug,,,
321,10,beweisen,"to prove, to demonstrate",,,bewies,,,
322,10,erfinden,"to invent, to fabricate (something untrue), to find out",,,erfand,,,
323,10,zielen,"to aim, to target",,,zielte,,,
324,10,rechnen,"to calculate, to reckon",,,rechnete,,,
325,10,forschen,to research,,,forschte,,,
326,10,unterrichten,"to teach, to inform",,,unterrichtete,,,
327,10,erzielen,"to achieve, to reach a result",,,erzielte,,,
328,10,bestehen,"to succeed, to pass (an exam), to consist, to insist",,,bestand,,,
329,10,abschliessen,"to complete, to end, to shut off, to lock up, to conclude (a contract, deal)",,,schloss ab,,,
330,10,loben,to praise,,,lobte,,,
331,10,bilden,"to form, to educate oneself (refl.)",,,bildete,,,
332,10,ausbilden,to train for a profession,,,bildete aus,,,
333,10,herausfinden,"to find something out, to discover",,,fand heraus,,,
334,10,konzentrieren,"to concentrate, to focus",,,konzentrierte,,,
335,10,experimentieren,to experiment,,,experimentierte,,,
336,10,küssen,"to kiss, to make out",,,küsste,,,
337,10,verstecken,to hide,,,versteckte,,,
338,10,zurückkommen,to return (to come back),,,kam zurück,,,
339,10,umziehen,"to change clothes (refl.), to move house",,,zog um,,,
340,10,zerstören,to destroy,,,zerstörte,,,
341,10,enden,to end (passive),,,endete,,,
342,10,abgeben,"to hand something in, to emit something, to deliver something, to cede something",,,gab ab,,,
343,10,töten,to kill,,,tötete,,,
344,10,achten,"to respect, to regard someone, to pay attention to something",,,achtete,,,
345,10,erwachsen,"to grow up, to spring up, to accrue",,,erwuchs,,,
346,10,absagen,"to call off, to cancel",,,sagte ab,,,
347,10,gucken,"to look, to watch, to have a certain facial expression (Northern Germany)",,,guckte,,,
348,10,anschauen,"to look at, to behold, to take a look at, to watch (Bayern/Austria)",,,schaute an,,,
349,10,lauten,"to sound, to read (have a certain wording), to be, to state",,,lautete,,,
350,10,spüren,to sense,,,spürte,,,
351,10,atmen,to breathe,,,atmete,,,
352,10,lächeln,to smile,,,lächelte,,,
353,10,fürchten,"to fear, to be afraid",,,fürchtete,,,
354,10,empfinden,to feel (emotions),,,empfand,,,
355,10,beobachten,"to watch, to observe",,,beobachtete,,,
356,10,riechen,"to sniff, to reek, to tolerate someone (coll.)",,,roch,,,
357,10,duften,to smell,,,duftete,,,
358,10,blicken,"to look, to glance",,,blickte,,,
359,10,anfassen,to touch,,,fasste an,,,
360,10,fliehen,"to flee, to diverge",,,floh,,,
361,11,gelingen,"to succeed, to manage",,,gelang,,,
362,11,herstellen,"to manufacture, to produce",,,stellte her,,,
363,11,verteilen,"to distribute, to share",,,verteilte,,,
364,11,treten,"to step, to read, to kick (a ball)",,,trat,,,
365,11,bewältigen,"to cope with, to get over, to overcome, to manage",,,bewältigte,,,
366,11,ablenken,"to distract, to divert, to steer away",,,lenkte ab,,,
367,11,meiden,to avoid (+ nouns only),,,mied,,,
368,11,vorgeben,to pretend,,,gab vor,,,
369,11,decken,"to cover, to meet",,,deckte,,,
370,11,geraten,"to get into, to turn out, succeed, to thrive",,,geriet,,,
371,11,ergänzen,"to add, to complement, to supplement",,,ergänzte,,,
372,11,laden,"to load, to charge",,,lud,,,
373,11,richten,"to direct, to judge, to be directed (""auf"" towards, ""gegen"" at)",,,richtete,,,
374,11,verursachen,to cause,,,verursachte,,,
375,11,schlagen,"to hit, to defeat, to beat (cooking)",,,schlug,,,
376,11,aufwachsen,"to grow up, to be raised",,,wuchs auf,,,
377,11,zunehmen,"to gain weight, to increase",,,nahm zu,,,
378,11,lohnen,"to be worthwhile, to pay off",,,lohnte,,,
379,11,messen,"to measure, to gauge",,,mass,,,
380,11,scheiden,"to separate, to divorce",,,schied,,,
381,11,schmerzen,"to hurt, to ache",,,schmerzte,,,
382,11,entsprechen,"to correspond, to comply",,,entsprach,,,
383,11,mitmachen,"to join in, to take part",,,machte mit,,,
384,11,wecken,"to wake, to wake up",,,weckte,,,
385,11,abnehmen,"to decrease, to lose weight, to accept something, to pick up (of telephones)",,,nahm ab,,,
386,11,bewerten,"to evaluate (subjectively), to assess, to rate, to judge",,,bewertete,,,
387,11,stammen,"to descend, originate, be derived",,,stammte,,,
388,11,gebären,to give birth,,,gebar,,,
389,11,stossen,"to push, to thurst, to shove",,,stiess,,,
390,11,vermeiden,to avoid (+ nouns or verbs),,,vermied,,,
391,11,hervorheben,"to point out, to emphasize",,,hob hervor,,,
392,11,erfüllen,"to fill (with something), to fulfill, to come true",,,erfüllte,,,
393,11,lindern,"to alleviate, to relieve",,,linderte,,,
394,11,entziehen,"to withdraw, deprive",,,entzog,,,
395,11,gewöhnen,to accustom oneself to something (refl.),,,gewöhnte sich an,,,
396,11,auswählen,"to select, to choose",,,wählte aus,,,
397,11,verzichten,"to renounce, to forgo, to do without, to waive",,,verzichtete,,,
398,11,verheiraten,"to marry (to perform the marriage), to get married (refl.)",,,verheiratete,,,
399,11,begründen,"to justify, to explain",,,begründete,,,
400,11,zugeben,to admit,,,gab zu,,,
401,12,lügen,"to lie, to give false information (unintentionally)",,,log,,,
402,12,schreien,"to shout, to yell, to scream",,,schrie,,,
403,12,entschuldigen,"to excuse, to apologise",,,entschuldigte,,,
404,12,beschweren,to complain,,,beschwerte,,,
405,12,bestätigen,"to confirm, to corroborate",,,bestätigte,,,
406,12,erwähnen,to mention (to speak of something),,,erwähnte,,,
407,12,informieren,to inform,,,informierte,,,
408,12,reagieren,"to react, to respond",,,reagierte,,,
409,12,äussern,"to utter, to say, to express",,,äusserte,,,
410,12,garantieren,to guarantee,,,garantierte,,,
411,12,kritisieren,to criticize,,,kritisierte,,,
412,12,ankündigen,"to announce, to declare",,,kündigte an,,,
413,12,aussprechen,"to pronounce, express",,,sprach aus,,,
414,12,unterbrechen,to interrupt,,,unterbrach,,,
415,12,zusagen,"to promise, to accept, to confirm",,,sagte zu,,,
416,12,nachdenken,"to think, to reflect",,,dachte nach,,,
417,12,zweifeln,to doubt,,,zweifelte,,,
418,12,einstellen,"to employ someone, to adjust, to cease",,,stellte ein,,,
419,12,bearbeiten,to edit,,,bearbeitete,,,
420,12,vereinbaren,"to agree, to arrange",,,vereinbarte,,,
421,12,hinweisen,"to indicate, to point out",,,wies hin,,,
422,12,verwenden,to use (formal),,,verwendete,,,
423,12,reinigen,to clean (formal),,,reinigte,,,
424,12,geschehen,"to occur, to happen (formal)",,,geschah,,,
425,12,beteiligen,"to take part in something (formal), to consult someone",,,beteiligte,,,
426,12,verfügen,"to have, to possess (formal)",,,verfügte,,,
427,12,benötigen,"to need, to require (formal)",,,benötigte,,,
428,12,schaffen,"to create, to produce, to achieve/reach a goal",,,schaffte,,,
429,12,drucken,to print,,,druckte,,,
430,12,erledigen,"to finish, to take care of, to get something done",,,erledigte,,,
431,12,herunterladen,to download,,,lud herunter,,,
432,12,entlassen,"to dismiss (from a job), to fire, to release (a prisoner or patient)",,,entliess,,,
433,12,verschieben,"to move (a meeting), to postpone, to defer",,,verschob,,,
434,12,ergeben,"to produce, to arise, to result in, to turn out, to surrender (refl.)",,,ergab,,,
435,12,leiten,"to lead, to manage",,,leitete,,,
436,12,handeln,"to act, to trade, to negotiate",,,handelte,,,
437,12,schalten,"to switch, to operate",,,schaltete,,,
438,12,prüfen,"to investigate, to check something, to consider",,,prüfte,,,
439,12,untersuchen,"to examine, to investigate",,,untersuchte,,,
440,12,auswirken,to impact,,,wirkte sich aus,,,
441,13,entwerfen,"to design, to draw, to draft",,,entwarf,,,
442,13,entschliessen,to decide (to do something) (refl.),,,entschloss,,,
443,13,reparieren,to repair,,,reparierte,,,
444,13,unternehmen,to undertake,,,unternahm,,,
445,13,präsentieren,"to present, to introduce",,,präsentierte,,,
446,13,auswerten,"to evaluate (objectively), to analyze",,,wertete aus,,,
447,13,einrichten,"to set up, to install, to furnish",,,richtete ein,,,
448,13,anerkennen,"to acknowledge, to recognize",,,erkannte an,,,
449,13,verwalten,"to manage, to administer",,,verwaltete,,,
450,13,leisten,"to perform, to afford (refl.)",,,leistete,,,
451,13,einführen,"to introduce, to implement",,,führte ein,,,
452,13,einbeziehen,"to include, to involve, to integrate",,,bezog ein,,,
453,13,beitragen,to contribute,,,trug bei,,,
454,13,anwenden,"to apply (knowledge, know-how)",,,wendete an,,,
455,13,versorgen,"to provide (for someone), to supply, to feed",,,versorgte,,,
456,13,pflegen,"to maintain, to care for (ill/old people)",,,pflegte,,,
457,13,behandeln,"to treat (medicinally), to treat (physically), to cover (a subject)",,,behandelte,,,
458,13,erzeugen,"to generate, produce, to create",,,erzeugte,,,
459,13,installieren,"to install, to set up",,,installierte,,,
460,13,produzieren,"to produce, to manufacture",,,produzierte,,,
461,13,verarbeiten,"to process, to handle",,,verarbeitete,,,
462,13,fressen,"to devour, to eat (of an animal), to gorge, to guzzle",,,frass,,,
463,13,analysieren,to analyse,,,analysiert,,,
464,13,beurteilen,to judge,,,beurteilte,,,
465,13,fördern,"to promote, to support",,,förderte,,,
466,13,berichten,"to report, to cover, to indicate, to refer",,,berichtete,,,
467,13,werben,to advertise,,,warb,,,
468,13,beeinflussen,"to influence, to affect",,,beeinflusste,,,
