Nr,level,question,english_verb,answer,english
47,2,erzählen,"to tell, to narrate",erzählend,telling
48,2,fragen,"to ask, to wonder (refl.)",fragend,asking
49,2,treffen,"to meet, to encounter",treffend,meeting
50,2,hoffen,to hope,hoffend,hoping
51,2,suchen,"to seek, to search",suchend,searching
52,2,trinken,to drink,trinkend,drinking
53,2,lernen,"to learn, to study (revise/review materials), to train something",lernend,learning
54,2,zeigen,"to show, to point at, to demonstrate",zeigend,showing
55,2,schlafen,to sleep,schlafend,sleeping
56,2,kaufen,to buy,kaufend,buying
57,2,laufen,"to walk, to flow (of a fluid), to run (of an event)",laufend,running
58,2,erklären,"to explain, to declare, to assert",erklärend,explaining
59,2,zahlen,"to pay (for something), to atone for",zahlend,paying
60,2,kochen,"to cook, to boil (to heat a liquid), to boil something",kochend,cooking
61,2,waschen,to wash,waschend,washing
62,2,aufwachen,to wake up,aufwachend,waking up
63,2,zeichnen,"to draw, to sketch",zeichnend,drawing
64,2,wohnen,"to live, to reside, to dwell",wohnend,living
65,2,schreiben,to write,schreibend,writing
66,2,tragen,"to wear (clothing), to carry, to hold",tragend,carrying
67,2,interessieren,"to interest, to be interested in (refl.)",interessierend,interesting
68,2,ziehen,"to pull, to drag, to move",ziehend,pulling
69,2,lesen,to read,lesend,reading
70,2,kosten,"to cost, to taste",kostend,tasting
71,2,wiederholen,to repeat,wiederholend,repeating
72,2,übersetzen,to translate,übersetzend,translating
73,2,buchstabieren,to spell,buchstabierend,spelling
74,2,bedeuten,"to mean, to signify",bedeutend,meaningful
75,2,funktionieren,"to function, to work",funktionierend,functioning
76,2,erinnern,"to remind, to remember (refl.)",erinnernd,remembering
77,2,fühlen,"to feel, to feel something (good/bad) (refl.)",fühlend,feeling
78,2,regnen,to rain,regnend,raining
79,2,schneien,to snow,schneiend,snowing
80,2,führen,"to lead, to guide",führend,leading
81,3,passieren,"to happen (conversational), to move beyond, to strain",passierend,passing
82,3,verlieren,to lose,verlierend,losing
83,3,bestimmen,to determine,bestimmend,determining
84,3,holen,to fetch,holend,getting
85,3,anrufen,"to call by telephone, to call on (someone)",anrufend,calling
86,3,aufhören,"to stop, to cease an activity/process",aufhörend,stopping
87,3,anfangen,to begin something new,anfangend,starting
88,3,gewinnen,to win,gewinnend,winning
89,3,wehtun,"to hurt, to be painful",wehtund,blowing
90,3,öffnen,to open (formal),öffnend,opening
91,3,bezahlen,"to pay, to pay someone",bezahlend,paying
92,3,beginnen,to begin (on a date/time),beginnend,beginning
93,3,benutzen,to use (something),benutzend,using
94,3,schicken,to send,schickend,sending
95,3,lachen,to laugh,lachend,laughing
96,3,scheinen,"to seem, to shine",scheinend,seeming
97,3,ändern,to change (one's personality/behavior),ändernd,changing
98,3,verkaufen,to sell,verkaufend,selling
99,3,gehören,to belong to,gehörend,belonging
100,3,sitzen,"to be seated, to stay, to fit (of clothing)",sitzend,sitting
101,3,stellen,"to position, to put, to catch",stellend,positioning
102,3,setzen,"to set, to sit down (refl.)",setzend,setting
103,3,liegen,"to lie, to be located",liegend,lying
104,3,danken,to thank,dankend,thanking
105,3,legen,"to lay, to lean, to lie down",legend,laying
106,3,schauen,to look at (Bayern/Austria),schauend,looking
107,3,besuchen,to visit,besuchend,visiting
108,3,freuen,"to make glad, to be glad (refl.), to look forward (refl.)",freuend,joying
109,3,schliessen,"to shut, to close, to lock, to conclude",schliessend,closing
110,3,einladen,"to invite, to load (something into a container)",einladend,inviting
111,3,gefallen,"to please, to appeal to",gefallend,pleasing
112,3,wünschen,to wish,wünschend,desiring
113,3,passen,"to fit, to suit",passend,fitting
114,3,folgen,to follow,folgend,following
115,3,ansehen,"to look at something, to watch something",ansehend,looking
116,3,aussehen,"to look (like), to appear",aussehend,looking
117,3,probieren,"to try, to taste, to sample, to probe",probierend,trying
118,3,träumen,to dream,träumend,dreaming
119,3,fernsehen,to watch TV,fernsehend,watching TV
120,3,schwimmen,"to swim, to float",schwimmend,swimming
