Nr,level,level_verben,question,answer,german,english
252,4,B1,the description,die Beschreibung,beschreiben,to describe
253,4,B1,the visit,die Besichtigung,besichtigen,to visit (sightseeing)
254,4,B1,the prayer,das Gebet,beten,to pray
255,4,B1,the discovery,die Entdeckung,entdecken,to discover
256,4,B1,the relaxation,die Entspannung,entspannen,to relax
257,4,B1,the disappointment,die Enttäuschung,enttäuschen,to disappoint
258,4,B1,the experience,die Erfahrung,erfahren,to experience
259,4,B1,the recovery,die Erholung,erholen,to recover
260,4,B1,the exploration,die Erkundung,erkunden,to explore
261,4,B1,the experience,das Erlebnis,erleben,to experience
262,4,B1,the idleness,das Faulenzen,faulenzen,to laze around
263,4,B1,the flight,der Flug,fliegen,to fly
264,4,B1,the enjoyment,der Genuss,geniessen,to enjoy
265,4,B1,the hunt,die Jagd,jagen,to hunt
266,4,B1,the painting,das Malen,malen,to paint
267,4,B1,the plan,der Plan,planen,to plan
268,5,B1,the race,das Rennen,rennen,to run
269,5,B1,the walk,der Spaziergang,spazieren,to stroll
270,5,B1,the dance,der Tanz,tanzen,to dance
271,5,B1,the training,das Training,trainieren,to train
272,5,B1,the exercise,der Sport,treiben,to engage in (sports)
273,5,B1,the connection,die Verbindung,verbinden,to connect
274,5,B1,the plan,der Plan,vorhaben,to plan
275,5,B1,the hike,die Wanderung,wandern,to hike
276,5,B1,the preparation,die Bereitung,bereiten,to prepare
277,5,B1,the order,die Bestellung,bestellen,to order
278,5,B1,the intoxication,die Betrunkenheit,betrinken,to get drunk
279,5,B1,the preference,die Bevorzugung,bevorzugen,to prefer
280,5,B1,the booking,die Buchung,buchen,to book
281,5,B1,the reception,der Empfang,empfangen,to receive
282,5,B1,the recommendation,die Empfehlung,empfehlen,to recommend
283,5,B1,the nutrition,die Ernährung,ernähren,to nourish
284,5,B1,the indulgence,die Gönnung,gönnen,to indulge
285,5,B1,the barbecue,der Grill,grillen,to grill
286,5,B1,the delivery,die Lieferung,liefern,to deliver
287,5,B1,the mixture,die Mischung,mischen,to mix
288,5,B1,the cut,der Schnitt,schneiden,to cut
289,5,B1,the service,das Servieren,servieren,to serve
290,5,B1,the savings,die Ersparnisse,sparen,to save
291,5,B1,the completion,der Abschluss,abschliessen,to complete
292,5,B1,the completion,die Absolvierung,absolvieren,to complete (education)
293,5,B1,the training,die Ausbildung,ausbilden,to train
294,5,B1,the existence,das Bestehen,bestehen,to exist
295,5,B1,the proof,der Beweis,beweisen,to prove
296,5,B1,the formation,die Bildung,bilden,to form
297,5,B1,the memorization,die Einprägung,einprägen,to memorize
298,5,B1,the invention,die Erfindung,erfinden,to invent
299,5,B1,the achievement,die Erzielung,erzielen,to achieve
300,5,B1,the research,die Forschung,forschen,to research
301,5,B1,the discovery,die Herausfindung,herausfinden,to find out
302,5,B1,the control,die Kontrolle,kontrollieren,to control
303,5,B1,the concentration,die Konzentration,konzentrieren,to concentrate
304,5,B1,the praise,das Lob,loben,to praise
305,5,B1,the solution,die Lösung,lösen,to solve
306,5,B1,the calculation,das Rechnen,rechnen,to calculate
307,5,B1,the bill,die Rechnung,rechnen,to calculate
308,5,B1,the study,das Studium,studieren,to study
309,5,B1,the test,der Test,testen,to test
310,5,B1,the practice,die Übung,üben,to practice
311,5,B1,the lesson,der Unterricht,unterrichten,to teach
312,5,B1,the support,die Unterstützung,unterstützen,to support
313,5,B1,the publication,die Veröffentlichung,veröffentlichen,to publish
314,5,B1,the preparation,die Vorbereitung,vorbereiten,to prepare
315,5,B1,the aim,das Ziel,zielen,to aim
316,5,B1,the touch,das Anfassen,anfassen,to touch
317,5,B1,the breath,der Atem,atmen,to breath
318,5,B1,the observation,die Beobachtung,beobachten,to observe
319,5,B1,"the look, the glance, the gaze",der Blick,blicken,"to glance, to gaze"
320,5,B1,the fragrance,der Duft,duften,to emit a scent
321,5,B1,the sensation,die Empfindung,empfinden,to feel
322,5,B1,the fear,die Furcht,fürchten,to fear
323,5,B1,the sound,der Klang,klingen,to sound
324,5,B1,the smile,das Lächeln,lächeln,to smile
325,5,B1,the sound,der Laut,lauten,to sound
326,5,B1,the annoyance,die Nervosität,nerven,to annoy
327,5,B1,the smell,der Geruch,riechen,to smell
328,5,B1,the taste,der Geschmack,schmecken,to taste
329,5,B1,the sensation,das Gespür,spüren,to sense
330,5,B1,the reunion,das Wiedersehen,wiedersehen,to see again
331,6,B2,the distraction,die Ablenkung,ablenken,to distract
332,6,B2,the weight loss,die Abnahme,abnehmen,to lose weight
333,6,B2,the recording,die Aufnahme,aufnehmen,to record
334,6,B2,the selection,die Auswahl,auswählen,to select
335,6,B2,the evaluation,die Bewertung,bewerten,to evaluate
336,6,B2,the coverage,die Deckung,decken,to cover
337,6,B2,the correspondence,die Entsprechung,entsprechen,to correspond
338,6,B2,the emergence,die Entstehung,entstehen,"to arise, to emerge"
339,6,B2,the development,die Entwicklung,entwickeln,to develop
340,6,B2,the withdrawal,der Entzug,entziehen,to withdraw
341,6,B2,the fulfillment,die Erfüllung,erfüllen,to fulfill
342,6,B2,the supplement,die Ergänzung,ergänzen,to supplement
343,6,B2,the replacement,der Ersatz,ersetzen,to replace
344,6,B2,the birth,die Geburt,gebären,to give birth
345,6,B2,the validity,die Gültigkeit,gelten,to be valid
346,6,B2,the incident,das Geraten,geraten,to get into
347,6,B2,the habituation,die Gewöhnung,gewöhnen,"to accustom, to get used to"
348,6,B2,the habit,die Gewohnheit,gewöhnen,"to accustom, to get used to"
349,6,B2,the emphasis,die Hervorhebung,hervorheben,to emphasize
350,6,B2,the hindrance,das Hindernis,hindern,to hinder
351,6,B2,"the suffering, the grief",das Leiden,leiden,to suffer
352,6,B2,the relief,die Linderung,lindern,to relieve
353,6,B2,the reward,die Belohnung,lohnen,to be worthwhile
354,6,B2,the avoidance,die Meidung,meiden,to avoid
355,6,B2,the measurement,die Messung,messen,to measure
356,6,B2,the participation,das Mitmachen,mitmachen,to take part
357,6,B2,the use,die Nutzung,nutzen,to use
358,6,B2,the direction,die Richtung,richten,to direct
359,6,B2,the divorce,die Scheidung,scheiden,to divorce
360,6,B2,the hit,der Schlag,schlagen,to hit
361,6,B2,the pain,der Schmerz,schmerzen,to hurt
362,6,B2,the decline,das Sinken,sinken,to sink
363,6,B2,the push,der Stoß,stossen,to push
364,6,B2,the step,der Tritt,treten,to step
365,6,B2,the avoidance,die Vermeidung,vermeiden,to avoid
366,6,B2,the cause,die Ursache,verursachen,to cause
367,6,B2,the renunciation,der Verzicht,verzichten,to renounce
368,6,B2,the pretense,die Vorgabe,vorgeben,to pretend
369,6,B2,the awakening,das Wecken,wecken,to wake up (someone)
370,6,B2,the bet,die Wette,wetten,to bet
371,6,B2,"the weight gain, the increase",die Zunahme,zunehmen,to gain weight
372,6,B2,the announcement,die Ankündigung,ankündigen,to announce
373,6,B2,the expression,die Äußerung,äussern,to express
374,6,B2,the pronunciation,die Aussprache,aussprechen,to pronounce
375,6,B2,the justification,die Begründung,begründen,to justify
376,6,B2,the complaint,die Beschwerde,beschweren,to complain
377,6,B2,the confirmation,die Bestätigung,bestätigen,to confirm
378,6,B2,the admiration,die Bewunderung,bewundern,to admire
379,6,B2,the discussion,die Diskussion,diskutieren,to discuss
380,6,B2,the informal address,das Duzen,duzen,to address informally
381,6,B2,the apology,die Entschuldigung,entschuldigen,to apologize
382,6,B2,the mention,die Erwähnung,erwähnen,to mention
383,6,B2,the formulation,die Formulierung,formulieren,to formulate
384,6,B2,the guarantee,die Garantie,garantieren,to guarantee
385,6,B2,the information,die Information,informieren,to inform
386,6,B2,the clarification,die Klärung,klären,to clarify
387,6,B2,the criticism,die Kritik,kritisieren,to criticize
388,6,B2,the lie,die Lüge,lügen,to lie
389,6,B2,the opinion,die Meinung,meinen,to mean
390,6,B2,the reflection,das Nachdenken,nachdenken,to reflect
391,7,B2,the reaction,die Reaktion,reagieren,to react
392,7,B2,the call,der Ruf,rufen,to call
393,7,B2,the scream,der Schrei,schreien,to scream
394,7,B2,the formal address,das Siezen,siezen,to address formally
395,7,B2,the consideration,die Überlegung,überlegen,to consider
396,7,B2,the conviction,die Überzeugung,überzeugen,to convince
397,7,B2,the interruption,die Unterbrechung,unterbrechen,to interrupt
398,7,B2,the assumption,die Vermutung,vermuten,to suspect
399,7,B2,the suggestion,der Vorschlag,vorschlagen,to suggest
400,7,B2,the warning,die Warnung,warnen,to warn
401,7,B2,the hesitation,das Zögern,zögern,to hesitate
402,7,B2,the admission,die Zugabe,zugeben,to admit
403,7,B2,the acceptance,die Zusage,zusagen,to accept
404,7,B2,the doubt,der Zweifel,zweifeln,to doubt
405,7,B2,the recognition,die Anerkennung,anerkennen,to recognize
406,7,B2,the application,die Anwendung,anwenden,to apply
407,7,B2,the evaluation,die Auswertung,auswerten,to evaluate
408,7,B2,the impact,die Auswirkung,auswirken,to affect
409,7,B2,"the edit, the editing",die Bearbeitung,bearbeiten,to edit
410,7,B2,the treatment,die Behandlung,behandeln,to treat
411,7,B2,the contribution,der Beitrag,beitragen,to contribute
412,7,B2,the need,die Benötigung,benötigen,to need
413,7,B2,the advice,die Beratung,beraten,to advise
414,7,B2,the discussion,die Besprechung,besprechen,to discuss
415,7,B2,the participation,die Beteiligung,beteiligen,to participate
416,7,B2,the part,der Teil,beteiligen,to take part
417,7,B2,the application,die Bewerbung,bewerben,to apply (for a job)
418,7,B2,the printer,der Drucker,drucken,to print
419,7,B2,the inclusion,die Einbeziehung,einbeziehen,to include
420,7,B2,the introduction,die Einführung,einführen,to introduce
421,7,B2,the setup,die Einrichtung,einrichten,to furnish
422,7,B2,the adjustment,die Einstellung,einstellen,to adjust
423,7,B2,the dismissal,die Entlassung,entlassen,to dismiss
424,7,B2,the decision,der Entschluss,entschliessen,to decide
425,7,B2,the design,der Entwurf,entwerfen,to design
426,7,B2,the result,das Ergebnis,ergeben,to result
427,7,B2,the completion,die Erledigung,erledigen,to accomplish
428,7,B2,the creation,die Erstellung,erstellen,to create
429,7,B2,the generation,die Erzeugung,erzeugen,to generate
430,7,B2,the event,das Geschehen,geschehen,to happen
431,7,B2,the foundation,die Gründung,gründen,to found
432,7,B2,"the ground, the land, the reason",der Grund,gründen,"to found, to establish"
433,7,B2,the action,die Handlung,handeln,to act
434,7,B2,the download,der Download,herunterladen,to download
435,7,B2,the indication,der Hinweis,hinweisen,to indicate
436,7,B2,the installation,die Installation,installieren,to install
437,7,B2,the performance,die Leistung,leisten,to accomplish
438,7,B2,the leadership,die Leitung,leiten,to lead
439,7,B2,the care,die Pflege,pflegen,to care for
440,7,B2,the presentation,die Präsentation,präsentieren,to present
441,7,B2,the production,die Produktion,produzieren,to produce
442,7,B2,the examination,die Prüfung,prüfen,to examine
443,7,B2,the cleaning,die Reinigung,reinigen,to clean
444,7,B2,the repair,die Reparatur,reparieren,to repair
445,7,B2,the achievement,die Schaffung,schaffen,to accomplish
446,7,B2,the switch,der Schalter,schalten,to switch
447,7,B2,the participation,die Teilnahme,teilnehmen,to participate
448,7,B2,the verification,die Überprüfung,überprüfen,to check
449,7,B2,the enterprise,das Unternehmen,unternehmen,to undertake
450,7,B2,the investigation,die Untersuchung,untersuchen,to investigate
451,8,B2,the signature,die Unterzeichnung,unterzeichnen,to sign
452,8,B2,the processing,die Verarbeitung,verarbeiten,to process
453,8,B2,the agreement,die Vereinbarung,vereinbaren,to arrange
454,8,B2,the availability,die Verfügung,verfügen,to have at one's disposal
455,8,B2,the postponement,die Verschiebung,verschieben,to postpone
456,8,B2,the supply,die Versorgung,versorgen,to supply
457,8,B2,the representation,die Vertretung,vertreten,to represent
458,8,B2,the administration,die Verwaltung,verwalten,to manage
459,8,B2,the usage,die Verwendung,verwenden,to use
460,8,B2,the impression,der Eindruck,beeindrucken,to impress
461,8,B2,the influence,der Einfluss,beeinflussen,to influence
462,8,B2,the behavior,das Benehmen,benehmen,to behave
463,8,B2,the report,der Bericht,berichten,to report
464,8,B2,the judgment,die Beurteilung,beurteilen,to judge
465,8,B2,the success,das Erfolg,erfolgen,to occur
466,8,B2,the promotion,die Förderung,fördern,to promote
467,8,B2,the accompaniment,das Mitkommen,mitkommen,to come along
468,8,B2,the nod,das Nicken,nicken,to nod
469,8,B2,the regulation,die Regelung,regeln,to regulate
470,8,B2,the rule,die Regel,regeln,to regulate
471,8,B2,the sufficiency,die Reichweite,reichen,to be enough
472,8,B2,the survival,das Überleben,überleben,to survive
473,8,B2,the condemnation,die Verurteilung,verurteilen,to condemn
474,8,B2,the advertising,die Werbung,werben,to advertise
475,8,B2,the permission,die Zulassung,zulassen,to allow
476,8,B2,the withdrawal,die Abhebung,abheben,to withdraw
477,8,B2,the financing,die Finanzierung,finanzieren,to finance
478,8,B2,the investment,die Investition,investieren,to invest
479,8,B2,the loan,die Leihe,leihen,to lend
480,8,B2,the exchange,der Tausch,tauschen,to exchange
481,8,B2,the transfer,die Überweisung,überweisen,to transfer (money)
482,8,B2,the exchange,der Umtausch,umtauschen,to exchange
483,8,B2,the increase,die Erhöhung,erhöhen,to increase
484,8,B2,the enablement,die Ermöglichung,ermöglichen,to enable
485,8,B2,the expansion,die Erweiterung,erweitern,to expand
486,8,B2,the security,die Sicherung,sichern,to secure
487,8,B2,the security,die Sicherheit,sichern,to secure
488,8,B2,the strengthening,die Stärkung,stärken,to strengthen
489,8,B2,the strength,die Stärke,stärken,to strengthen
490,8,B2,the improvement,die Verbesserung,verbessern,to improve
491,8,B2,the answer,die Beantwortung,beantworten,to answer
492,8,B2,the assignment,der Auftrag,beauftragen,to assign
493,8,B2,the thanks,das Bedanken,bedanken,to thank
494,8,B2,the hurry,die Eile,beeilen,to hurry
495,8,B2,the completion,die Beendigung,beenden,to finish
496,8,B2,the liberation,die Befreiung,befreien,to free
497,8,B2,the friendship,die Freundschaft,befreunden,to befriend
