Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french,verb_german,verb_english,verb_french,explanation_english_article,explanation_french_article,valency_english,valency_french,explanation_english_valency,explanation_french_valency,explanation_english_verb,explanation_french_verb,explanation_english,explanation_french
15,2,Der Film gefällt _____ nicht.,uns,Der Film gefällt uns nicht.,We do not like the film.,Le film ne nous plaît pas.,wir,Dative,Datif,,,gefallen,"to please, to appeal to",plaire,"wir, Dative → uns","wir, Datif → uns",Dative,Datif,gefallen → Dative,gefallen → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"wir, Dative → uns<br><br>gefallen → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>gefallen = to please, to appeal to","wir, Datif → uns<br><br>gefallen → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>gefallen = plaire"
16,3,Mein Kopf tut _____ weh.,mir,Mein Kopf tut mir weh.,My head hurts.,J’ai mal à la tête.,ich,Dative,Datif,,,wehtun,"to hurt, to be painful","blesser, être douloureux","ich, Dative → mir","ich, Datif → mir",Dative,Datif,wehtun → Dative,wehtun → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"ich, Dative → mir<br><br>wehtun → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>wehtun = to hurt, to be painful","ich, Datif → mir<br><br>wehtun → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>wehtun = blesser, être douloureux"
17,3,Der Rücken tut _____ weh.,ihr,Der Rücken tut ihr weh.,Her back hurts.,Elle a mal au dos.,sie,Dative,Datif,,,wehtun,"to hurt, to be painful","blesser, être douloureux","sie, Dative → ihr","sie, Datif → ihr",Dative,Datif,wehtun → Dative,wehtun → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"sie, Dative → ihr<br><br>wehtun → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>wehtun = to hurt, to be painful","sie, Datif → ihr<br><br>wehtun → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>wehtun = blesser, être douloureux"
18,3,Nach dem Sport tun _____ die Beine weh.,uns,Nach dem Sport tun uns die Beine weh.,"After sports, our legs hurt.","Après le sport, nous avons mal aux jambes.",wir,Dative,Datif,,,wehtun,"to hurt, to be painful","blesser, être douloureux","wir, Dative → uns","wir, Datif → uns",Dative,Datif,wehtun → Dative,wehtun → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"wir, Dative → uns<br><br>wehtun → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>wehtun = to hurt, to be painful","wir, Datif → uns<br><br>wehtun → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>wehtun = blesser, être douloureux"
19,1,Ich folge _____ nach Hause.,dir,Ich folge dir nach Hause.,I follow you home.,Je te suis jusqu’à la maison.,du,Dative,Datif,,,folgen,to follow,suivre,"du, Dative → dir","du, Datif → dir",Dative,Datif,folgen → Dative,folgen → Datif,,,"du, Dative → dir<br><br>folgen → Dative<br><br>folgen = to follow","du, Datif → dir<br><br>folgen → Datif<br><br>folgen = suivre"
20,1,Der Hund folgt _____ Mann.,dem,Der Hund folgt dem Mann.,The dog follows the man.,Le chien suit l’homme.,der/die/das,Dative,Datif,Masculine,Masculin,folgen,to follow,suivre,"der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Dative,Datif,folgen → Dative,folgen → Datif,,,"der/die/das, Masculine, Dative → dem<br><br>folgen → Dative<br><br>folgen = to follow","der/die/das, Masculin, Datif → dem<br><br>folgen → Datif<br><br>folgen = suivre"
21,1,Wir folgen _____ Lehrerin in den Raum.,der,Wir folgen der Lehrerin in den Raum.,We follow the teacher into the room.,Nous suivons la professeure dans la salle.,der/die/das,Dative,Datif,Feminine,Féminin,folgen,to follow,suivre,"der/die/das, Feminine, Dative → der","der/die/das, Féminin, Datif → der",Dative,Datif,folgen → Dative,folgen → Datif,,,"der/die/das, Feminine, Dative → der<br><br>folgen → Dative<br><br>folgen = to follow","der/die/das, Féminin, Datif → der<br><br>folgen → Datif<br><br>folgen = suivre"
22,2,Wie geht es _____ heute?,dir,Wie geht es dir heute?,How are you today?,Comment vas-tu aujourd’hui ?,du,Dative,Datif,,,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)","du, Dative → dir","du, Datif → dir",Dative,Datif,gehen → Dative,gehen → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"du, Dative → dir<br><br>gehen → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>gehen = to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","du, Datif → dir<br><br>gehen → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>gehen = aller, partir, fonctionner (familier)"
23,2,Es geht _____ gut.,mir,Es geht mir gut.,I am doing well.,Je vais bien.,ich,Dative,Datif,,,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)","ich, Dative → mir","ich, Datif → mir",Dative,Datif,gehen → Dative,gehen → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"ich, Dative → mir<br><br>gehen → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>gehen = to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","ich, Datif → mir<br><br>gehen → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>gehen = aller, partir, fonctionner (familier)"
24,2,Nach der Prüfung geht es _____ besser.,ihm,Nach der Prüfung geht es ihm besser.,"After the exam, he feels better.","Après l’examen, il se sent mieux.",er,Dative,Datif,,,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)","er, Dative → ihm","er, Datif → ihm",Dative,Datif,gehen → Dative,gehen → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"er, Dative → ihm<br><br>gehen → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>gehen = to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","er, Datif → ihm<br><br>gehen → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>gehen = aller, partir, fonctionner (familier)"
25,3,Er ist _____ guter Lehrer.,ein,Er ist ein guter Lehrer.,He is a good teacher.,Il est un bon professeur.,ein,Nominative,Nominatif,Masculine,Masculin,sein,to be,être,"ein, Masculine, Nominative → ein","ein, Masculin, Nominatif → ein",Nominative or Dative,Nominatif ou Datif,sein → Nominative or Dative,sein → Nominatif ou Datif,,,"ein, Masculine, Nominative → ein<br><br>sein → Nominative or Dative<br><br>sein = to be","ein, Masculin, Nominatif → ein<br><br>sein → Nominatif ou Datif<br><br>sein = être"
26,3,Das ist _____ Schwester.,meine,Das ist meine Schwester.,That is my sister.,C’est ma sœur.,mein,Nominative,Nominatif,Feminine,Féminin,sein,to be,être,"mein, Feminine, Nominative → meine","mein, Féminin, Nominatif → meine",Nominative or Dative,Nominatif ou Datif,sein → Nominative or Dative,sein → Nominatif ou Datif,,,"mein, Feminine, Nominative → meine<br><br>sein → Nominative or Dative<br><br>sein = to be","mein, Féminin, Nominatif → meine<br><br>sein → Nominatif ou Datif<br><br>sein = être"
27,3,Ich bin hier _____ Fachmann.,der,Ich bin hier der Fachmann.,I'm the expert here.,C'est moi l'expert ici.,der/die/das,Nominative,Nominatif,Masculine,Masculin,sein,to be,être,"der/die/das, Masculine, Nominative → der","der/die/das, Masculin, Nominatif → der",Nominative or Dative,Nominatif ou Datif,sein → Nominative or Dative,sein → Nominatif ou Datif,,,"der/die/das, Masculine, Nominative → der<br><br>sein → Nominative or Dative<br><br>sein = to be","der/die/das, Masculin, Nominatif → der<br><br>sein → Nominatif ou Datif<br><br>sein = être"
28,1,Ich bringe _____ Freund das Buch.,dem,Ich bringe dem Freund das Buch.,I bring the book to the friend.,J’apporte le livre à l’ami.,der/die/das,Dative,Datif,Masculine,Masculin,bringen,"to bring, to take, to lead","apporter, prendre, conduire","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),bringen → Accusative + Dative (Ditransitive),bringen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Masculine, Dative → dem<br><br>bringen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>bringen = to bring, to take, to lead","der/die/das, Masculin, Datif → dem<br><br>bringen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>bringen = apporter, prendre, conduire"
29,2,Die Lehrerin erklärt _____ Schülern die Aufgabe.,den,Die Lehrerin erklärt den Schülern die Aufgabe.,The teacher explains the task to the students.,La professeure explique l’exercice aux élèves.,der/die/das,Dative,Datif,Plural,Pluriel,erklären,"to explain, to declare, to assert","expliquer, déclarer, affirmer","der/die/das, Plural, Dative → den","der/die/das, Pluriel, Datif → den",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),erklären → Accusative + Dative (Ditransitive),erklären → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Plural, Dative → den<br><br>erklären → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>erklären = to explain, to declare, to assert","der/die/das, Pluriel, Datif → den<br><br>erklären → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>erklären = expliquer, déclarer, affirmer"
30,3,Er gibt _____ Schwester ein Geschenk.,seiner,Er gibt seiner Schwester ein Geschenk.,He gives his sister a gift.,Il donne un cadeau à sa sœur.,sein,Dative,Datif,Feminine,Féminin,geben,to give,donner,"sein, Feminine, Dative → seiner","sein, Féminin, Datif → seiner",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),geben → Accusative + Dative (Ditransitive),geben → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"sein, Feminine, Dative → seiner<br><br>geben → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>geben = to give","sein, Féminin, Datif → seiner<br><br>geben → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>geben = donner"
31,1,Ich sage _____ die Wahrheit.,dir,Ich sage dir die Wahrheit.,I tell you the truth.,Je te dis la vérité.,du,Dative,Datif,,,sagen,"to say, to tell","dire, raconter","du, Dative → dir","du, Datif → dir",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),sagen → Accusative + Dative (Ditransitive),sagen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"du, Dative → dir<br><br>sagen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>sagen = to say, to tell","du, Datif → dir<br><br>sagen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>sagen = dire, raconter"
32,2,Sie schreibt _____ Freund eine E-Mail.,ihrem,Sie schreibt ihrem Freund eine E-Mail.,She writes an email to her friend.,Elle écrit un e-mail à son ami.,ihr,Dative,Datif,Masculine,Masculin,schreiben,to write,écrire,"ihr, Masculine, Dative → ihrem","ihr, Masculin, Datif → ihrem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),schreiben → Accusative + Dative (Ditransitive),schreiben → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"ihr, Masculine, Dative → ihrem<br><br>schreiben → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>schreiben = to write","ihr, Masculin, Datif → ihrem<br><br>schreiben → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>schreiben = écrire"
33,3,Wir schicken _____ Eltern eine Nachricht.,den,Wir schicken den Eltern eine Nachricht.,We send a message to the parents.,Nous envoyons un message aux parents.,der/die/das,Dative,Datif,Plural,Pluriel,schicken,to send,envoyer,"der/die/das, Plural, Dative → den","der/die/das, Pluriel, Datif → den",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),schicken → Accusative + Dative (Ditransitive),schicken → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Plural, Dative → den<br><br>schicken → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>schicken = to send","der/die/das, Pluriel, Datif → den<br><br>schicken → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>schicken = envoyer"
34,1,Ich zeige _____ das Foto.,dir,Ich zeige dir das Foto.,I show you the photo.,Je te montre la photo.,du,Dative,Datif,,,zeigen,"to show, to point at, to demonstrate","montrer, pointer du doigt, démontrer","du, Dative → dir","du, Datif → dir",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),zeigen → Accusative + Dative (Ditransitive),zeigen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"du, Dative → dir<br><br>zeigen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>zeigen = to show, to point at, to demonstrate","du, Datif → dir<br><br>zeigen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>zeigen = montrer, pointer du doigt, démontrer"
35,2,Die Firma bietet _____ Kunden einen Rabatt.,den,Die Firma bietet den Kunden einen Rabatt.,The company offers the customers a discount.,L’entreprise offre une réduction aux clients.,der/die/das,Dative,Datif,Plural,Pluriel,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)","der/die/das, Plural, Dative → den","der/die/das, Pluriel, Datif → den",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),bieten → Accusative + Dative (Ditransitive),bieten → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Plural, Dative → den<br><br>bieten → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>bieten = to offer, to bid, to arise, to occur (of an opportunity) (refl.)","der/die/das, Pluriel, Datif → den<br><br>bieten → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>bieten = offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)"
36,3,Ich erzähle _____ eine Geschichte.,dir,Ich erzähle dir eine Geschichte.,I tell you a story.,Je te raconte une histoire.,du,Dative,Datif,,,erzählen,"to tell, to narrate","raconter, narrer","du, Dative → dir","du, Datif → dir",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),erzählen → Accusative + Dative (Ditransitive),erzählen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"du, Dative → dir<br><br>erzählen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>erzählen = to tell, to narrate","du, Datif → dir<br><br>erzählen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>erzählen = raconter, narrer"
37,1,Ich bringe dem Freund _____ Buch.,das,Ich bringe dem Freund das Buch.,I bring the book to the friend.,J’apporte le livre à l’ami.,der/die/das,Accusative,Accusatif,Masculine,Masculin,bringen,"to bring, to take, to lead","apporter, prendre, conduire","der/die/das, Masculine, Accusative → das","der/die/das, Masculin, Accusatif → das",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),bringen → Accusative + Dative (Ditransitive),bringen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Masculine, Accusative → das<br><br>bringen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>bringen = to bring, to take, to lead","der/die/das, Masculin, Accusatif → das<br><br>bringen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>bringen = apporter, prendre, conduire"
