Nr,level,question,answer,case,german,english
94,3,Das Buch ist _____ der Tasche.,in,,Das Buch ist in der Tasche.,The book is in the bag.
95,3,Ich bin _____ der Schule.,in,,Ich bin in der Schule.,I am at school.
96,3,Die Schuhe stehen _____ der Ecke.,in,,Die Schuhe stehen in der Ecke.,The shoes are in the corner.
97,3,Er sitzt _____ seinem Zimmer.,in,,Er sitzt in seinem Zimmer.,He is sitting in his room.
98,3,Die Milch ist _____ dem Kühlschrank.,in,,Die Milch ist in dem Kühlschrank.,The milk is in the fridge.
99,3,Der Stuhl steht _____ dem Tisch.,neben,,Der Stuhl steht neben dem Tisch.,The chair is next to the table.
100,3,Die Bank ist _____ dem Supermarkt.,neben,,Die Bank ist neben dem Supermarkt.,The bank is next to the supermarket.
101,3,Mein Haus ist _____ der Schule.,neben,,Mein Haus ist neben der Schule.,My house is next to the school.
102,3,Die Lampe steht _____ dem Bett.,neben,,Die Lampe steht neben dem Bett.,The lamp is next to the bed.
103,3,Der Parkplatz ist _____ dem Kino.,neben,,Der Parkplatz ist neben dem Kino.,The parking lot is next to the cinema.
104,3,Die Lampe hängt _____ dem Tisch.,über,,Die Lampe hängt über dem Tisch.,The lamp is hanging over the table.
105,3,Das Bild ist _____ dem Sofa.,über,,Das Bild ist über dem Sofa.,The picture is above the sofa.
106,3,Die Brücke ist _____ dem Fluss.,über,,Die Brücke ist über dem Fluss.,The bridge is over the river.
107,3,Die Uhr hängt _____ der Tür.,über,,Die Uhr hängt über der Tür.,The clock is hanging above the door.
108,3,Ein Flugzeug fliegt _____ der Stadt.,über,,Ein Flugzeug fliegt über der Stadt.,A plane is flying over the city.
109,3,Die Tasche liegt _____ dem Tisch.,unter,,Die Tasche liegt unter dem Tisch.,The bag is under the table.
110,3,Der Hund schläft _____ dem Bett.,unter,,Der Hund schläft unter dem Bett.,The dog is sleeping under the bed.
111,3,Die Schuhe stehen _____ dem Stuhl.,unter,,Die Schuhe stehen unter dem Stuhl.,The shoes are under the chair.
112,3,Das Buch ist _____ der Jacke.,unter,,Das Buch ist unter der Jacke.,The book is under the jacket.
113,3,Die Katze versteckt sich _____ der Couch.,unter,,Die Katze versteckt sich unter der Couch.,The cat is hiding under the couch.
114,3,Das Auto steht _____ dem Haus.,vor,,Das Auto steht vor dem Haus.,The car is in front of the house.
115,3,Der Bus hält _____ der Schule.,vor,,Der Bus hält vor der Schule.,The bus stops in front of the school.
116,3,Ich warte _____ dem Kino.,vor,,Ich warte vor dem Kino.,I am waiting in front of the cinema.
117,3,Die Katze sitzt _____ der Tür.,vor,,Die Katze sitzt vor der Tür.,The cat is sitting in front of the door.
118,3,Der Park ist _____ dem Hotel.,vor,,Der Park ist vor dem Hotel.,The park is in front of the hotel.
119,3,Der Tisch steht _____ dem Sofa und dem Stuhl.,zwischen,,Der Tisch steht zwischen dem Sofa und dem Stuhl.,The table is between the sofa and the chair.
120,3,Die Lampe hängt _____ den Regalen.,zwischen,,Die Lampe hängt zwischen den Regalen.,The lamp is hanging between the shelves.
121,3,Mein Auto ist _____ zwei anderen Autos geparkt.,zwischen,,Mein Auto ist zwischen zwei anderen Autos geparkt.,My car is parked between two other cars.
122,3,Das Café liegt _____ dem Supermarkt und der Bank.,zwischen,,Das Café liegt zwischen dem Supermarkt und der Bank.,The café is between the supermarket and the bank.
123,3,Das Buch ist _____ den Heften auf dem Tisch.,zwischen,,Das Buch ist zwischen den Heften auf dem Tisch.,The book is between the notebooks on the table.
124,4,Ich gehe _____ den Strand.,an,,Ich gehe an den Strand.,I am going to the beach.
125,4,Wir fahren _____ die Nordsee.,an,,Wir fahren an die Nordsee.,We are driving to the North Sea.
126,4,Er stellt das Glas _____ das Fenster.,an,,Er stellt das Glas an das Fenster.,He puts the glass by the window.
127,4,Sie hängt das Bild _____ die Wand.,an,,Sie hängt das Bild an die Wand.,She hangs the picture on the wall.
128,4,Wir setzen uns _____ den Tisch.,an,,Wir setzen uns an den Tisch.,We sit down at the table.
129,4,Ich gehe _____ den Markt.,auf,,Ich gehe auf den Markt.,I am going to the market.
130,4,Er legt das Buch _____ den Tisch.,auf,,Er legt das Buch auf den Tisch.,He puts the book on the table.
131,4,Wir steigen _____ den Berg.,auf,,Wir steigen auf den Berg.,We climb up the mountain.
132,4,Sie fährt _____ die Insel.,auf,,Sie fährt auf die Insel.,She is driving to the island.
133,4,Das Kind klettert _____ den Baum.,auf,,Das Kind klettert auf den Baum.,The child climbs up the tree.
134,4,Ich komme _____ Deutschland.,aus,,Ich komme aus Deutschland.,I come from Germany.
135,4,Er nimmt das Buch _____ der Tasche.,aus,,Er nimmt das Buch aus der Tasche.,He takes the book out of the bag.
136,4,Wir steigen _____ dem Zug.,aus,,Wir steigen aus dem Zug.,We get off the train.
137,4,Sie holt die Milch _____ dem Kühlschrank.,aus,,Sie holt die Milch aus dem Kühlschrank.,She takes the milk out of the fridge.
138,4,Das Kind schaut _____ dem Fenster.,aus,,Das Kind schaut aus dem Fenster.,The child looks out of the window.
139,4,Ich gehe _____ zur Ecke.,bis,,Ich gehe bis zur Ecke.,I walk up to the corner.
140,4,Fahr _____ zur nächsten Haltestelle.,bis,,Fahr bis zur nächsten Haltestelle.,Ride until the next stop.
141,4,Wir laufen _____ zum Park.,bis,,Wir laufen bis zum Park.,We’re walking as far as the park.
142,4,Der Zug fährt _____ nach München.,bis,,Der Zug fährt bis nach München.,The train goes as far as Munich.
143,4,Geh _____ zur Ampel und dann links.,bis,,Geh bis zur Ampel und dann links.,Go up to the traffic light and then left.
144,4,Ich gehe _____ die Schule.,in,,Ich gehe in die Schule.,I am going to school.
145,4,Er legt das Buch _____ den Rucksack.,in,,Er legt das Buch in den Rucksack.,He puts the book into the backpack.
146,4,Wir fahren _____ die Stadt.,in,,Wir fahren in die Stadt.,We are driving to the city.
147,4,Sie geht _____ das Zimmer.,in,,Sie geht in das Zimmer.,She goes into the room.
148,4,Das Kind springt _____ den Pool.,in,,Das Kind springt in den Pool.,The child jumps into the pool.
149,4,Ich fahre _____ Berlin.,nach,,Ich fahre nach Berlin.,I am driving to Berlin.
150,4,Er geht _____ Hause.,nach,,Er geht nach Hause.,He is going home.
151,4,Wir reisen _____ Italien.,nach,,Wir reisen nach Italien.,We are traveling to Italy.
152,4,Sie fliegt _____ Spanien.,nach,,Sie fliegt nach Spanien.,She is flying to Spain.
153,4,Nach der Arbeit gehe ich _____ Hause.,Nach,,Nach der Arbeit gehe ich nach Hause.,"After work, I go home."
154,4,Ich komme gerade _____ der Arbeit.,von,,Ich komme gerade von der Arbeit.,I just came from work.
155,4,Er fährt _____ der Schule nach Hause.,von,,Er fährt von der Schule nach Hause.,He is driving home from school.
156,4,Wir kommen _____ einer langen Reise.,von,,Wir kommen von einer langen Reise.,We are coming from a long trip.
157,4,Sie kommt _____ dem Arzt zurück.,von,,Sie kommt von dem Arzt zurück.,She is coming back from the doctor.
158,4,Ich habe das Buch _____ meinem Freund bekommen.,von,,Ich habe das Buch von meinem Freund bekommen.,I got the book from my friend.
159,4,Ich gehe _____ meinem Freund.,zu,,Ich gehe zu meinem Freund.,I am going to my friend’s place.
160,4,Sie fährt _____ ihrer Oma.,zu,,Sie fährt zu ihrer Oma.,She is driving to her grandma’s house.
161,4,Wir gehen zu Fuß _____ der Schule.,zu,,Wir gehen zu Fuß zu der Schule.,We are walking to school.
162,4,Er fährt mit dem Bus _____ seiner Arbeit.,zu,,Er fährt mit dem Bus zu seiner Arbeit.,He takes the bus to his workplace.
163,4,Ich bringe das Paket _____ der Post.,zu,,Ich bringe das Paket zu der Post.,I am taking the package to the post office.
164,5,Das Geschenk ist _____ dich.,für,,Das Geschenk ist für dich.,The gift is for you.
165,5,Ich kaufe ein Buch _____ meinen Freund.,für,,Ich kaufe ein Buch für meinen Freund.,I am buying a book for my friend.
166,5,Sie arbeitet als Beraterin _____ eine große Firma.,für,,Sie arbeitet als Beraterin für eine große Firma.,She works for a big company as a consultant.
167,5,Wir haben Tickets _____ das Konzert.,für,,Wir haben Tickets für das Konzert.,We have tickets for the concert.
168,5,Das ist gut _____ deine Gesundheit.,für,,Das ist gut für deine Gesundheit.,That is good for your health.
169,5,Er spielt _____ seinen Bruder Schach.,gegen,,Er spielt gegen seinen Bruder Schach.,He plays chess against his brother.
170,5,Das Medikament hilft _____ Kopfschmerzen.,gegen,,Das Medikament hilft gegen Kopfschmerzen.,The medicine helps against headaches.
171,5,Wir protestieren _____ die neuen Regeln.,gegen,,Wir protestieren gegen die neuen Regeln.,We are protesting against the new rules.
172,5,Sie hat sich _____ die Entscheidung gewehrt.,gegen,,Sie hat sich gegen die Entscheidung gewehrt.,She resisted the decision.
173,5,Das Auto fuhr _____ einen Baum.,gegen,,Das Auto fuhr gegen einen Baum.,The car crashed into a tree.
174,5,Ich fahre _____ dem Fahrrad zur Schule.,mit,,Ich fahre mit dem Fahrrad zur Schule.,I go to school by bike.
175,5,Sie spricht _____ ihrer Freundin.,mit,,Sie spricht mit ihrer Freundin.,She talks with her friend.
176,5,Wir essen _____ einem Löffel.,mit,,Wir essen mit einem Löffel.,We eat with a spoon.
177,5,Er arbeitet _____ einem Computer.,mit,,Er arbeitet mit einem Computer.,He works with a computer.
178,5,Ich schreibe _____ einem Bleistift.,mit,,Ich schreibe mit einem Bleistift.,I write with a pencil.
179,5,Ich trinke meinen Kaffee _____ Zucker.,ohne,,Ich trinke meinen Kaffee ohne Zucker.,I drink my coffee without sugar.
180,5,Er geht nie _____ sein Handy aus dem Haus.,ohne,,Er geht nie ohne sein Handy aus dem Haus.,He never leaves the house without his phone.
181,5,Wir können nicht _____ dich feiern.,ohne,,Wir können nicht ohne dich feiern.,We can't celebrate without you.
182,5,Sie fährt nie _____ Helm Fahrrad.,ohne,,Sie fährt nie ohne Helm Fahrrad.,She never rides a bike without a helmet.
183,5,_____ Brille kann ich nicht gut sehen.,Ohne,,Ohne Brille kann ich nicht gut sehen.,"Without glasses, I can't see well."
184,5,Ich trinke zwei Liter Wasser _____ Tag.,pro,,Ich trinke zwei Liter Wasser pro Tag.,I drink two liters of water per day.
185,5,Wir haben zweimal _____ Woche Deutschkurs.,pro,,Wir haben zweimal pro Woche Deutschkurs.,We have German class twice per week.
186,5,Das kostet fünf Euro _____ Person.,pro,,Das kostet fünf Euro pro Person.,That costs five euros per person.
187,5,Ich mache einmal _____ Monat einen Ausflug.,pro,,Ich mache einmal pro Monat einen Ausflug.,I go on a trip once per month.
188,5,Er arbeitet vier Stunden _____ Tag.,pro,,Er arbeitet vier Stunden pro Tag.,He works four hours per day.
189,5,Das Buch ist _____ meinem Bruder.,von,,Das Buch ist von meinem Bruder.,The book is from my brother.
190,5,Ich habe ein Geschenk _____ meiner Mutter bekommen.,von,,Ich habe ein Geschenk von meiner Mutter bekommen.,I got a gift from my mother.
191,5,Er spricht _____ seinem Urlaub.,von,,Er spricht von seinem Urlaub.,He is talking about his vacation.
192,5,Wir haben das Rezept _____ einer Freundin.,von,,Wir haben das Rezept von einer Freundin.,We got the recipe from a friend.
193,5,Das Lied ist _____ einer berühmten Band.,von,,Das Lied ist von einer berühmten Band.,The song is by a famous band.
194,6,_____ morgen beginnt mein Urlaub.,Ab,,"From tomorrow on, my vacation begins.",Ab morgen beginnt mein Urlaub.
195,6,Das Konzert startet _____ 19 Uhr.,ab,,The concert starts from 7 PM.,Das Konzert startet ab 19 Uhr.
196,6,Ich habe _____ Montag Deutschunterricht.,am,,Ich habe am Montag Deutschunterricht.,I have German class on Monday.
197,6,Wir fahren _____ Wochenende nach Berlin.,am,,Wir fahren am Wochenende nach Berlin.,We are going to Berlin on the weekend.
198,6,Mein Geburtstag ist _____ 3. Mai.,am,,Mein Geburtstag ist am 3. Mai.,My birthday is on May 3rd.
199,6,_____ Abend lese ich gern ein Buch.,Am,,Am Abend lese ich gern ein Buch.,"In the evening, I like to read a book."
200,6,_____ Morgen trinke ich immer Kaffee.,Am,,Am Morgen trinke ich immer Kaffee.,"In the morning, I always drink coffee."
201,6,Das Buch liegt _____ dem Tisch.,auf,,Das Buch liegt auf dem Tisch.,The book is on the table.
202,6,Die Katze sitzt _____ dem Sofa.,auf,,Die Katze sitzt auf dem Sofa.,The cat is sitting on the sofa.
203,6,Das Handy ist _____ dem Bett.,auf,,Das Handy ist auf dem Bett.,The phone is on the bed.
204,6,Das Kind klettert _____ den Baum.,auf,,Das Kind klettert auf den Baum.,The child climbs up the tree.
205,6,Ich komme _____ Deutschland.,aus,,Ich komme aus Deutschland.,I come from Germany.
206,6,Ich bin _____ meinem Freund.,bei,,Ich bin bei meinem Freund.,I am at my friend’s place.
207,6,Sie arbeitet _____ einer großen Firma.,bei,,Sie arbeitet bei einer großen Firma.,She works at a big company.
208,6,Ich arbeite _____ 18 Uhr.,bis,,Ich arbeite bis 18 Uhr.,I work until 6 PM.
209,6,Das Museum ist _____ 20 Uhr geöffnet.,bis,,Das Museum ist bis 20 Uhr geöffnet.,The museum is open until 8 PM.
210,6,_____ nächste Woche muss ich meine Hausaufgaben machen.,Bis,,Bis nächste Woche muss ich meine Hausaufgaben machen.,I have to do my homework by next week.
211,6,Geh _____ zur Ampel und dann links.,bis,,Geh bis zur Ampel und dann links.,Go up to the traffic light and then left.
212,6,Das Geschenk ist _____ dich.,für,,Das Geschenk ist für dich.,The gift is for you.
213,6,Er spielt _____ seinen Bruder Schach.,gegen,,Er spielt gegen seinen Bruder Schach.,He plays chess against his brother.
214,6,Das Medikament hilft _____ Kopfschmerzen.,gegen,,Das Medikament hilft gegen Kopfschmerzen.,The medicine helps against headaches.
215,6,Der Garten ist _____ dem Haus.,hinter,,Der Garten ist hinter dem Haus.,The garden is behind the house.
216,6,Die Katze versteckt sich _____ der Tür.,hinter,,Die Katze versteckt sich hinter der Tür.,The cat is hiding behind the door.
217,6,Ich fahre _____ einer Woche nach Spanien.,in,,Ich fahre in einer Woche nach Spanien.,I am going to Spain in a week.
218,6,Wir sehen uns _____ zwei Tagen wieder.,in,,Wir sehen uns in zwei Tagen wieder.,We will see each other again in two days.
219,6,_____ der Nacht ist es sehr ruhig.,In,,In der Nacht ist es sehr ruhig.,"At night, it is very quiet."
220,6,Mein Urlaub beginnt _____ drei Monaten.,in,,Mein Urlaub beginnt in drei Monaten.,My vacation starts in three months.
221,6,_____ einer Stunde beginnt der Unterricht.,In,,In einer Stunde beginnt der Unterricht.,The class starts in an hour.
222,6,Ich fahre _____ dem Fahrrad zur Schule.,mit,,Ich fahre mit dem Fahrrad zur Schule.,I go to school by bike.
223,6,Sie spricht _____ ihrer Freundin.,mit,,Sie spricht mit ihrer Freundin.,She talks with her friend.
224,6,_____ dem Frühstück gehe ich zur Arbeit.,Nach,,Nach dem Frühstück gehe ich zur Arbeit.,"After breakfast, I go to work."
225,6,Wir fahren _____ der Schule nach Hause.,nach,,Wir fahren nach der Schule nach Hause.,We go home after school.
226,6,_____ dem Konzert sind wir noch essen gegangen.,Nach,,Nach dem Konzert sind wir noch essen gegangen.,"After the concert, we went out to eat."
227,6,Der Stuhl steht _____ dem Tisch.,neben,,Der Stuhl steht neben dem Tisch.,The chair is next to the table.
228,6,Die Bank ist _____ dem Supermarkt.,neben,,Die Bank ist neben dem Supermarkt.,The bank is next to the supermarket.
229,6,Ich trinke meinen Kaffee _____ Zucker.,ohne,,Ich trinke meinen Kaffee ohne Zucker.,I drink my coffee without sugar.
230,6,Ich trinke zwei Liter Wasser _____ Tag.,pro,,Ich trinke zwei Liter Wasser pro Tag.,I drink two liters of water per day.
231,6,Ich wohne _____ 2018 in Berlin.,seit,,Ich wohne seit 2018 in Berlin.,I have been living in Berlin since 2018.
232,6,_____ einer Woche regnet es jeden Tag.,Seit,,Seit einer Woche regnet es jeden Tag.,It has been raining every day for a week.
233,6,Die Lampe hängt _____ dem Tisch.,über,,Die Lampe hängt über dem Tisch.,The lamp is hanging over the table.
234,6,Das Bild ist _____ dem Sofa.,über,,Das Bild ist über dem Sofa.,The picture is above the sofa.
235,6,Der Bus kommt _____ 8 Uhr.,um,,Der Bus kommt um 8 Uhr.,The bus arrives at 8 o’clock.
236,6,Die Tasche liegt _____ dem Tisch.,unter,,Die Tasche liegt unter dem Tisch.,The bag is under the table.
237,6,Der Hund schläft _____ dem Bett.,unter,,Der Hund schläft unter dem Bett.,The dog is sleeping under the bed.
238,6,Der Kurs geht _____ 9 bis 12 Uhr.,von,,Der Kurs geht von 9 bis 12 Uhr.,The course runs from 9 to 12 o’clock.
239,6,Ich arbeite _____ Montag bis Freitag.,von,,Ich arbeite von Montag bis Freitag.,I work from Monday to Friday.
240,6,_____ April bis Juni ist das Wetter meistens schön.,Von,,Von April bis Juni ist das Wetter meistens schön.,"From April to June, the weather is usually nice."
241,6,Der Film läuft _____ 18 bis 20 Uhr.,von,,Der Film läuft von 18 bis 20 Uhr.,The movie runs from 6 to 8 PM.
242,6,Das Lied ist _____ einer berühmten Band.,von,,Das Lied ist von einer berühmten Band.,The song is by a famous band.
243,6,Ich bin _____ einer Stunde angekommen.,vor,,Ich bin vor einer Stunde angekommen.,I arrived an hour ago.
244,6,Wir haben uns _____ zwei Tagen getroffen.,vor,,Wir haben uns vor zwei Tagen getroffen.,We met two days ago.
245,6,Der Park ist _____ dem Hotel.,vor,,Der Park ist vor dem Hotel.,The park is in front of the hotel.
246,6,Ich gehe _____ meinem Freund.,zu,,Ich gehe zu meinem Freund.,I am going to my friend’s place.
247,6,Sie fährt _____ ihrer Oma.,zu,,Sie fährt zu ihrer Oma.,She is driving to her grandma’s house.
248,6,_____ 8 und 9 Uhr frühstücke ich.,Zwischen,,Zwischen 8 und 9 Uhr frühstücke ich.,"Between 8 and 9 o’clock, I have breakfast."
249,6,Der Zug kommt _____ 14 und 15 Uhr an.,zwischen,,Der Zug kommt zwischen 14 und 15 Uhr an.,The train arrives between 2 and 3 PM.
250,6,_____ Montag und Freitag arbeite ich viel.,Zwischen,,Zwischen Montag und Freitag arbeite ich viel.,"Between Monday and Friday, I work a lot."
