Nr,level,german,english,ich,du,er/sie/es,wir,ihr,Sie
40,2,arbeiten,to work,,,arbeitete,,,
41,2,essen,to eat,,,ass,,,
42,2,spielen,to play,,,spielte,,,
43,2,fahren,"to go (by vehicle), to leave, to drive",,,fuhr,,,
44,2,versuchen,to try,,,versuchte,,,
45,2,erzählen,"to tell, to narrate",,,erzählte,,,
46,2,fragen,"to ask, to wonder (refl.)",,,fragte,,,
47,2,treffen,"to meet, to encounter",,,traf,,,
48,2,hoffen,to hope,,,hoffte,,,
49,2,suchen,"to seek, to search",,,suchte,,,
50,2,trinken,to drink,,,trank,,,
51,2,lernen,"to learn, to study (revise/review materials), to train something",,,lernte,,,
52,2,zeigen,"to show, to point at, to demonstrate",,,zeigte,,,
53,2,schlafen,to sleep,,,schlief,,,
54,2,kaufen,to buy,,,kaufte,,,
55,2,laufen,"to walk, to flow (of a fluid), to run (of an event)",,,lief,,,
56,2,erklären,"to explain, to declare, to assert",,,erklärte,,,
57,2,zahlen,"to pay (for something), to atone for",,,zahlte,,,
58,2,schwimmen,"to swim, to float",,,schwamm,,,
59,2,kochen,"to cook, to boil (to heat a liquid), to boil something",,,kochte,,,
60,2,waschen,to wash,,,wusch,,,
61,2,aufwachen,to wake up,,,wachte auf,,,
62,2,studieren,"to study, to go to university/college",,,studierte,,,
63,2,zeichnen,"to draw, to sketch",,,zeichnete,,,
64,2,aufstehen,"to get up, to be open (e.g. a window, door)",,,stand auf,,,
65,2,wiederholen,to repeat,,,wiederholte,,,
66,2,übersetzen,to translate,,,übersetzte,,,
67,2,wohnen,"to live, to reside, to dwell",,,wohnte,,,
68,2,schreiben,to write,,,schrieb,,,
69,2,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull",,,zog an,,,
70,2,ausziehen,"to take something off, to undress, to pull out, to move out",,,zog aus,,,
71,2,buchstabieren,to spell,,,buchstabierte,,,
72,2,tragen,"to wear (clothing), to carry, to hold",,,trug,,,
73,2,interessieren,"to interest, to be interested in (refl.)",,,interessierte,,,
74,2,ziehen,"to pull, to drag, to move",,,zog,,,
75,2,lesen,to read,,,las,,,
76,3,bedeuten,"to mean, to signify",,,bedeutete,,,
77,3,bestimmen,to determine,,,bestimmte,,,
78,3,holen,to fetch,,,holte,,,
79,3,funktionieren,"to function, to work",,,funktionierte,,,
80,3,fühlen,"to feel, to feel something (good/bad) (refl.)",,,fühlte,,,
81,3,kosten,"to cost, to taste",,,kostete,,,
82,3,erinnern,"to remind, to remember (refl.)",,,erinnerte,,,
83,3,verletzen,"to hurt, to injure, to violate (rules, laws, etc.)",,,verletzte,,,
84,3,anrufen,"to call by telephone, to call on (someone)",,,rief an,,,
85,3,aufhören,"to stop, to cease an activity/process",,,hörte auf,,,
86,3,führen,"to lead, to guide",,,führte,,,
87,3,anfangen,to begin something new,,,fing an,,,
88,3,gewinnen,to win,,,gewann,,,
89,3,regnen,to rain,,,regnete,,,
90,3,schneien,to snow,,,schneite,,,
91,3,wehtun,"to hurt, to be painful",,,tat weh,,,
92,3,diskutieren,"to discuss, to debate",,,diskutierte,,,
93,3,tanzen,to dance,,,tanzte,,,
94,3,öffnen,to open (formal),,,öffnete,,,
95,3,bezahlen,"to pay, to pay someone",,,bezahlte,,,
96,3,beginnen,to begin (on a date/time),,,begann,,,
97,3,benutzen,to use (something),,,benutzte,,,
98,3,schicken,to send,,,schickte,,,
99,3,lachen,to laugh,,,lachte,,,
100,3,scheinen,"to seem, to shine",,,schien,,,
101,3,ändern,to change (one's personality/behavior),,,änderte,,,
102,3,bitten,"to ask, to request",,,bat,,,
103,3,aufmachen,"to open (coll.), to head/move off (refl.), to undo something",,,machte auf,,,
104,3,verkaufen,to sell,,,verkaufte,,,
105,3,gehören,to belong to,,,gehörte,,,
106,3,sitzen,"to be seated, to stay, to fit (of clothing)",,,sass,,,
107,3,stellen,"to position, to put, to catch",,,stellte,,,
108,3,setzen,"to set, to sit down (refl.)",,,setzte,,,
109,3,liegen,"to lie, to be located",,,lag,,,
110,3,danken,to thank,,,dankte,,,
111,3,legen,"to lay, to lean, to lie down",,,legte,,,
112,3,schauen,to look at (Bayern/Austria),,,schaute,,,
113,3,singen,to sing,,,sang,,,
114,3,besuchen,to visit,,,besuchte,,,
115,3,freuen,"to make glad, to be glad (refl.), to look forward (refl.)",,,freute,,,
116,3,schliessen,"to shut, to close, to lock, to conclude",,,schloss,,,
117,3,einladen,"to invite, to load (something into a container)",,,lud ein,,,
118,3,gefallen,"to please, to appeal to",,,gefiel,,,
119,3,verdienen,to earn,,,verdiente,,,
120,3,wünschen,to wish,,,wünschte,,,
121,3,passen,"to fit, to suit",,,passte,,,
122,3,verändern,"to alter, to change something",,,veränderte,,,
123,3,folgen,to follow,,,folgte,,,
124,3,ansehen,"to look at something, to watch something",,,sah an,,,
125,3,aussehen,"to look (like), to appear",,,sah aus,,,
126,3,besitzen,"to own, to possess, to have",,,besass,,,
127,3,probieren,"to try, to taste, to sample, to probe",,,probierte,,,
128,3,träumen,to dream,,,träumte,,,
129,3,bestellen,"to order (e.g. food), to summon, to reserve",,,bestellte,,,
130,3,reisen,to travel,,,reiste,,,
131,3,feiern,to celebrate,,,feierte,,,
132,3,antworten,"to answer, to reply",,,antwortete,,,
133,3,wählen,"to choose, to dial (a number), to vote",,,wählte,,,
134,3,ausgehen,"to go out, to run out (e.g. of money)",,,ging aus,,,
135,3,zählen,to count,,,zählte,,,
136,3,fernsehen,to watch TV,,,sah fern,,,
137,3,ankommen,"to arrive, to depend on something",,,kam an,,,
138,3,dauern,"to last, to take (time)",,,dauerte,,,
139,3,kennenlernen,"to meet someone, to get to know someone/something",,,lernte kennen,,,
140,3,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to",,,trieb,,,
141,3,unterrichten,"to teach, to inform",,,unterrichtete,,,
142,3,zustimmen,"to agree, to consent",,,stimmte zu,,,
143,3,anmelden,"to register, to sign up",,,meldete an,,,
144,3,lassen,"to let, to stop (something)",,,liess,,,
145,3,verlassen,"to leave, to trust with something (refl.), to pass away, to die",,,verliess,,,
146,3,helfen,to help,,,half,,,
147,3,bewegen,to move,,,bewog,,,
148,3,vertrauen,to trust,,,vertraute,,,
149,3,versprechen,"to promise, to hope for, to misspeak",,,versprach,,,
150,3,hängen,"to hang, to be fond of, depend on",,,hing,,,
151,4,stimmen,"to be true, to vote, to tune",,,stimmte,,,
152,4,mieten,"to rent, to hire",,,mietete,,,
153,4,kämpfen,"to fight, to struggle",,,kämpfte,,,
154,4,üben,to practice,,,übte,,,
155,4,fehlen,"to lack, to be absent/missing",,,fehlte,,,
156,4,entscheiden,to decide,,,entschied,,,
157,4,sorgen,"to care, to worry",,,sorgte,,,
158,4,stecken,"to stick, to pin",,,steckte,,,
159,4,überraschen,to surprise,,,überraschte,,,
160,4,vorstellen,"to introduce, to present oneself (refl.), to move forward, to represent",,,stellte vor,,,
161,4,klingen,to sound,,,klang,,,
162,4,stehlen,to steal (formal),,,stahl,,,
163,4,rufen,"to call out, to call for help, to telephone",,,rief,,,
164,4,vermissen,to miss something/someone,,,vermisste,,,
165,4,werfen,to throw,,,warf,,,
166,4,erkennen,"to recognise, to realise",,,erkannte,,,
167,4,teilen,"to split, to share, to divide",,,teilte,,,
168,4,bauen,to build,,,baute,,,
169,4,putzen,"to clean, to rub",,,putzte,,,
170,4,entspannen,"to relax (refl.), to relieve pressure",,,entspannte,,,
171,4,unterschreiben,to sign (write one's signature),,,unterschrieb,,,
172,4,melden,"to report, to register",,,meldete,,,
173,4,bestehen,"to succeed, to pass (an exam), to consist, to insist",,,bestand,,,
174,4,planen,to plan,,,plante,,,
175,4,brechen,to break,,,brach,,,
176,4,zerstören,to destroy,,,zerstörte,,,
177,4,merken,"to notice, to realise, to remember (refl.)",,,merkte,,,
178,4,verbringen,to spend (time),,,verbrachte,,,
179,4,bemerken,"to notice, to remark something",,,bemerkte,,,
180,4,weinen,"to weep, cry",,,weinte,,,
181,4,entdecken,"to discover, to spot",,,entdeckte,,,
182,4,lügen,"to lie, to give false information (unintentionally)",,,log,,,
183,4,einschlafen,to fall asleep,,,schlief ein,,,
184,4,vorbereiten,"to prepare (in advance), to prepare oneself (refl.)",,,bereitete vor,,,
185,4,enden,to end (passive),,,endete,,,
186,4,aussprechen,"to pronounce, express",,,sprach aus,,,
187,4,stören,"to disturb, to interfere",,,störte,,,
188,4,buchen,"to book, to reserve",,,buchte,,,
189,4,liefern,"to deliver something, to provide something, to furnish",,,lieferte,,,
190,4,fliegen,to fly,,,flog,,,
191,4,abgeben,"to hand something in, to emit something, to deliver something, to cede something",,,gab ab,,,
192,4,annehmen,"to accept, to assume (a hypothesis), to receive, to suppose",,,nahm an,,,
193,4,übernehmen,to take over,,,übernahm,,,
194,4,stattfinden,"to take place, to occur",,,fand statt,,,
195,4,fangen,to catch,,,fing,,,
196,4,enthalten,"to contain, to include",,,enthielt,,,
197,4,empfehlen,"to recommend, to suggest",,,empfahl,,,
198,4,dienen,"to serve, to function",,,diente,,,
199,4,verschwinden,"to disappear, to get lost",,,verschwand,,,
200,4,schneiden,"to cut, to prune",,,schnitt,,,
201,4,schaffen,"to create, to produce, to achieve/reach a goal",,,schaffte,,,
202,4,schützen,"to defend (lawyer), to protect (sunprotection)",,,schützte,,,
203,4,nennen,"to name, to call someone something, to mention",,,nannte,,,
204,4,erfahren,"to experience, to find out, to learn",,,erfuhr,,,
205,4,schätzen,"to appreciate, to evaluate, to guess",,,schätzte,,,
206,4,erwarten,"to expect, to await",,,erwartete,,,
207,4,rauchen,to smoke (e.g. a cigarete),,,rauchte,,,
208,4,sterben,to die,,,starb,,,
209,4,töten,to kill,,,tötete,,,
210,4,drehen,"to turn, to veer",,,drehte,,,
211,4,behalten,to keep,,,behielt,,,
212,4,heiraten,to marry,,,heiratete,,,
213,4,verheiraten,"to marry (to perform the marriage), to get married (refl.)",,,verheiratete,,,
214,4,beenden,"to finish, to complete, to terminate (relationship)",,,beendete,,,
215,4,verpassen,"to miss (to be late for something, e.g. a train)",,,verpasste,,,
216,4,beantworten,to answer (a question),,,beantwortete,,,
217,4,schenken,"to gift, to give as a present",,,schenkte,,,
218,4,wachsen,"to grow, to increase",,,wuchs,,,
219,4,bilden,"to form, to educate oneself (refl.)",,,bildete,,,
220,4,ausbilden,to train for a profession,,,,,,
221,4,beschreiben,to describe,,,beschrieb,,,
222,4,verbinden,"to join, to connect, to bandage",,,verband,,,
223,4,springen,"to spring, to jump",,,sprang,,,
224,4,befinden,"to be located (refl.), to find, to consider (formal)",,,befand,,,
225,4,raten,"to advise, to recommend, to guess",,,riet,,,
226,5,verbieten,"to forbid, to prohibit (with dative)",,,verbot,,,
227,5,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)",,,bot,,,
228,5,schmecken,to taste,,,schmeckte,,,
229,5,kontrollieren,"to control, to check",,,kontrollierte,,,
230,5,spüren,to sense,,,spürte,,,
231,5,fallen,"to fall, to fall in battle, to collapse",,,fiel,,,
232,5,kümmern,"to take care (refl.), to trouble, to concern",,,kümmerte,,,
233,5,drucken,to print,,,druckte,,,
234,5,drücken,"to press, to push",,,drückte,,,
235,5,steigen,"to ascend, to climb, to rise",,,stieg,,,
236,5,vergleichen,to compare,,,verglich,,,
237,5,achten,"to respect, to regard someone, to pay attention to something",,,achtete,,,
238,5,mitnehmen,"to carry along, to pick up (something), to take away",,,nahm mit,,,
239,5,mitbringen,"to bring along, to bring with",,,brachte mit,,,
240,5,begrüssen,"to welcome, to greet",,,begrüsste,,,
241,5,nerven,"to annoy someone, to get on someone's nerves",,,nervte,,,
242,5,tauschen,"to swap, to trade, to exchange",,,tauschte,,,
243,5,besprechen,to discuss (work related),,,besprach,,,
244,5,lösen,"to loosen, to separate, to remove, to solve",,,löste,,,
245,5,sammeln,"to collect, to gather",,,sammelte,,,
246,5,aufpassen,"to watch out, to look after something, to be attentive with something",,,passte auf,,,
247,5,betrinken,to get drunk (refl.),,,betrank,,,
248,5,küssen,"to kiss, to make out",,,küsste,,,
249,5,schreien,"to shout, to yell, to scream",,,schrie,,,
250,5,erwachsen,"to grow up, to spring up, to accrue",,,erwuchs,,,
251,5,gucken,"to look, to watch, to have a certain facial expression (Northern Germany)",,,guckte,,,
252,5,atmen,to breathe,,,atmete,,,
253,5,erfinden,"to invent, to fabricate (something untrue), to find out",,,erfand,,,
254,5,rennen,"to race, to sprint, to run over someone (aux. with haben)",,,rannte,,,
255,5,beten,to pray,,,betete,,,
256,5,wiedersehen,"to see again, to meet again",,,sah wieder,,,
257,5,lächeln,to smile,,,lächelte,,,
258,5,hassen,to hate,,,hasste,,,
259,5,entschuldigen,"to excuse, to apologise",,,entschuldigte,,,
260,5,verlieben,to fall in love (refl.),,,verliebte,,,
261,5,verstecken,to hide,,,versteckte,,,
262,5,enttäuschen,to disappoint,,,enttäuschte,,,
263,5,zurückbringen,"to return something, to restore",,,brachte zurück,,,
264,5,zurückgehen,"to go back, to decline",,,ging zurück,,,
265,5,zurückkommen,to return (to come back),,,kam zurück,,,
266,5,verkleiden,"to dress up, to disguise oneself (refl.)",,,verkleidete,,,
267,5,vorhaben,to have something planned,,,hatte vor,,,
268,5,ärgern,to annoy oneself (refl.),,,ärgerte,,,
269,5,absagen,"to call off, to cancel",,,sagte ab,,,
270,5,bemühen,to make an effort,,,bemühte,,,
271,5,erledigen,"to finish, to take care of, to get something done",,,erledigte,,,
272,5,beschweren,to complain,,,beschwerte,,,
273,5,schieben,to push,,,schob,,,
274,5,herunterladen,to download,,,lud herunter,,,
275,5,beeilen,"to hurry, to hasten, to rush (refl.)",,,beeilte,,,
276,5,entlassen,"to dismiss (from a job), to fire, to release (a prisoner or patient)",,,entliess,,,
277,5,kündigen,"to terminate, to cancel",,,kündigte,,,
278,5,sparen,"to save up, to conserve",,,sparte,,,
279,5,fördern,"to promote, to support",,,förderte,,,
280,5,heben,"to lift, to raise",,,hob,,,
281,5,ausruhen,"to rest (refl.), to relax",,,ruhte aus,,,
282,5,abholen,"to pick up someone or something, to collect",,,holte ab,,,
283,5,füllen,to fill,,,füllte,,,
284,5,wechseln,"to replace, to change, to exchange",,,wechselte,,,
285,5,wirken,"to work, to be effective, to take affect, to act",,,wirkte,,,
286,5,erleben,"to experience, to witness",,,erlebte,,,
287,5,beschliessen,"to decide something, to end, to close",,,beschloss,,,
288,5,beschäftigen,"to concern oneself with something, to take care of",,,beschäftigte,,,
289,5,geniessen,"to enjoy (an experience), to relish",,,genoss,,,
290,5,entwickeln,to develop,,,entwickelte,,,
291,5,erhalten,"to receive (passively), to maintain, to save",,,erhielt,,,
292,5,erlauben,to allow/permit something to someone,,,erlaubte,,,
293,5,trennen,"to separate, part, uncouple, to disconnect, to isolate",,,trennte,,,
294,5,darstellen,"to represent, to portray",,,stellte dar,,,
295,5,verschieben,"to move (a meeting), to postpone, to defer",,,verschob,,,
296,5,leeren,to empty,,,leerte,,,
297,5,greifen,"to grab, to seize, to reach, to capture",,,griff,,,
298,5,ergeben,"to produce, to arise, to result in, to turn out, to surrender (refl.)",,,ergab,,,
299,5,richten,"to direct, to judge, to be directed (""auf"" towards, ""gegen"" at)",,,richtete,,,
300,5,entfernen,"to remove, to recede, to deviate, to desert (military)",,,entfernte,,,
