Nr,level,reflexive,question,answer,english,german
58,1,,kochen,gekocht,"to cook, to boil (to heat a liquid), to boil something",
59,1,sich,waschen,gewaschen,to wash,
60,1,,aufwachen,aufgewacht,to wake up,
61,1,,zeichnen,gezeichnet,"to draw, to sketch",
62,1,,wohnen,gewohnt,"to live, to reside, to dwell",
63,1,,schreiben,geschrieben,to write,
64,1,,tragen,getragen,"to wear (clothing), to carry, to hold",
65,1,sich,interessieren,interessiert,"to interest, to be interested in (refl.)",
66,1,,ziehen,gezogen,"to pull, to drag, to move",
67,1,,lesen,gelesen,to read,
68,1,,kosten,gekostet,"to cost, to taste",
69,2,,bedeuten,bedeutet,"to mean, to signify",
70,2,,bestimmen,bestimmt,to determine,
71,2,sich,holen,geholt,to fetch,
72,2,,funktionieren,funktioniert,"to function, to work",
73,2,sich,fühlen,gefühlt,"to feel, to feel something (good/bad) (refl.)",
74,2,sich,erinnern,erinnert,"to remind, to remember (refl.)",
75,2,sich,verletzen,verletzt,"to hurt, to injure, to violate (rules, laws, etc.)",
76,2,,Ich bin in Berlin _____.,gewesen,I have been to Berlin.,Ich bin in Berlin gewesen.
77,2,,Er hat viel Glück _____.,gehabt,He has had a lot of luck.,Er hat viel Glück gehabt.
78,2,,Sie ist Lehrerin _____.,geworden,She has become a teacher.,Sie ist Lehrerin geworden.
79,2,,Ich habe das nicht _____.,gekonnt,I was not able to do that.,Ich habe das nicht gekonnt.
80,2,,Er hat das nie _____.,gewollt,He never wanted that.,Er hat das nie gewollt.
81,2,,Ich habe früher viel lernen _____.,gemusst,I had to study a lot before.,Ich habe früher viel lernen gemusst.
82,2,,Er hat nach Hause gehen _____.,gesollt,He was supposed to go home.,Er hat nach Hause gehen gesollt.
83,2,,Ich habe den Film _____.,gemocht,I liked the movie.,Ich habe den Film gemocht.
84,2,,Wir haben lange bleiben _____.,gedurft,We were allowed to stay long.,Wir haben lange bleiben gedurft.
85,2,,Er hat es schon _____.,gewusst,He already knew it.,Er hat es schon gewusst.
86,2,,Ich habe meine Hausaufgaben _____.,gemacht,I have done my homework.,Ich habe meine Hausaufgaben gemacht.
87,2,,Sie hat nichts _____.,getan,She has done nothing.,Sie hat nichts getan.
88,2,,Er hat mir die Wahrheit _____.,gesagt,He told me the truth.,Er hat mir die Wahrheit gesagt.
89,2,,Wir sind ins Kino _____.,gegangen,We went to the cinema.,Wir sind ins Kino gegangen.
90,2,,Ich habe den Film _____.,gesehen,I saw the movie.,Ich habe den Film gesehen.
91,2,,Er hat mir ein Buch _____.,gegeben,He gave me a book.,Er hat mir ein Buch gegeben.
92,2,,Sie ist nach Hause _____.,gekommen,She has come home.,Sie ist nach Hause gekommen.
93,2,,Er hat an Gott _____.,geglaubt,He believed in God.,Er hat an Gott geglaubt.
94,2,,Ein Unfall ist _____.,passiert,An accident has happened.,Ein Unfall ist passiert.
95,2,,Wir haben über das Wetter _____.,geredet,We talked about the weather.,Wir haben über das Wetter geredet.
96,2,,Ich habe Musik _____.,gehört,I listened to music.,Ich habe Musik gehört.
97,2,,Er hat seinen Schlüssel _____.,gefunden,He found his key.,Er hat seinen Schlüssel gefunden.
98,2,,Wir sind zu Hause _____.,geblieben,We stayed at home.,Wir sind zu Hause geblieben.
99,2,,Ich habe das Geld _____.,gebraucht,I needed the money.,Ich habe das Geld gebraucht.
100,2,,Er hat sie immer _____.,geliebt,He always loved her.,Er hat sie immer geliebt.
101,2,,Ich habe ein Geschenk _____.,gebracht,I brought a gift.,Ich habe ein Geschenk gebracht.
102,2,,Sie hat lange vor der Tür _____.,gestanden,She stood in front of the door for a long time.,Sie hat lange vor der Tür gestanden.
103,2,,Er hat Peter _____.,geheissen,His name was Peter.,Er hat Peter geheissen.
104,2,,Ich habe den Bus _____.,genommen,I took the bus.,Ich habe den Bus genommen.
105,2,,Er hat mit mir _____.,gesprochen,He spoke with me.,Er hat mit mir gesprochen.
106,2,,Sie hat ein Geschenk _____.,bekommen,She received a gift.,Sie hat ein Geschenk bekommen.
107,2,,Ich habe meine Tasche _____.,vergessen,I forgot my bag.,Ich habe meine Tasche vergessen.
108,2,,Er hat das Versprechen _____.,gehalten,He kept the promise.,Er hat das Versprechen gehalten.
109,2,,Wir haben lange _____.,gewartet,We waited a long time.,Wir haben lange gewartet.
110,2,,Ich habe ihn gut _____.,gekannt,I knew him well.,Ich habe ihn gut gekannt.
111,2,,Er hat mich nicht _____.,verstanden,He didn't understand me.,Er hat mich nicht verstanden.
112,2,,Ich habe an dich _____.,gedacht,I thought of you.,Ich habe an dich gedacht.
113,2,,Er hat lange in Paris _____.,gelebt,He lived in Paris for a long time.,Er hat lange in Paris gelebt.
114,2,,Ich habe meine Uhr _____.,verloren,I lost my watch.,Ich habe meine Uhr verloren.
115,2,,Sie hat im Krankenhaus _____.,gearbeitet,She worked in a hospital.,Sie hat im Krankenhaus gearbeitet.
116,2,,Ich habe eine Pizza _____.,gegessen,I ate a pizza.,Ich habe eine Pizza gegessen.
117,2,,Er hat Fußball _____.,gespielt,He played football.,Er hat Fußball gespielt.
118,2,,Wir sind nach München _____.,gefahren,We drove to Munich.,Wir sind nach München gefahren.
119,2,,Er hat es _____.,versucht,He tried it.,Er hat es versucht.
120,2,,Sie hat eine Geschichte _____.,erzählt,She told a story.,Sie hat eine Geschichte erzählt.
121,2,,Ich habe ihn nach dem Weg _____.,gefragt,I asked him for directions.,Ich habe ihn nach dem Weg gefragt.
122,2,,Wir haben uns im Café _____.,getroffen,We met at the café.,Wir haben uns im Café getroffen.
123,2,,Ich habe auf gutes Wetter _____.,gehofft,I hoped for good weather.,Ich habe auf gutes Wetter gehofft.
124,2,,Er hat seine Brille _____.,gesucht,He looked for his glasses.,Er hat seine Brille gesucht.
125,2,,Ich habe ein Glas Wasser _____.,getrunken,I drank a glass of water.,Ich habe ein Glas Wasser getrunken.
126,2,,Ich habe Deutsch _____.,gelernt,I have learned German.,Ich habe Deutsch gelernt.
127,2,,Er hat mir das Bild _____.,gezeigt,He showed me the picture.,Er hat mir das Bild gezeigt.
128,2,,Ich habe lange _____.,geschlafen,I slept for a long time.,Ich habe lange geschlafen.
129,2,,Sie hat ein neues Auto _____.,gekauft,She bought a new car.,Sie hat ein neues Auto gekauft.
130,2,,Er ist schnell nach Hause _____.,gelaufen,He ran home quickly.,Er ist schnell nach Hause gelaufen.
131,2,,Der Lehrer hat die Aufgabe _____.,erklärt,The teacher explained the task.,Der Lehrer hat die Aufgabe erklärt.
132,2,,Ich habe die Rechnung _____.,gezahlt,I paid the bill.,Ich habe die Rechnung gezahlt.
133,2,,Wir sind im Meer _____.,geschwommen,We swam in the sea.,Wir sind im Meer geschwommen.
134,2,,Er hat eine Suppe _____.,gekocht,He cooked a soup.,Er hat eine Suppe gekocht.
135,2,,Sie hat ihre Hände _____.,gewaschen,She washed her hands.,Sie hat ihre Hände gewaschen.
136,2,,Ich bin spät _____.,aufgewacht,I woke up late.,Ich bin spät aufgewacht.
137,2,,Er hat in Berlin _____.,studiert,He studied in Berlin.,Er hat in Berlin studiert.
138,2,,Sie hat ein Bild _____.,gezeichnet,She drew a picture.,Sie hat ein Bild gezeichnet.
139,2,,Er ist um 7 Uhr _____.,aufgestanden,He got up at 7 o'clock.,Er ist um 7 Uhr aufgestanden.
140,2,,Ich habe die Frage _____.,wiederholt,I repeated the question.,Ich habe die Frage wiederholt.
141,2,,Er hat den Text _____.,übersetzt,He translated the text.,Er hat den Text übersetzt.
142,2,,Wir haben in München _____.,gewohnt,We lived in Munich.,Wir haben in München gewohnt.
143,2,,Sie hat einen Brief _____.,geschrieben,She wrote a letter.,Sie hat einen Brief geschrieben.
144,2,,Ich habe eine Jacke _____.,angezogen,I put on a jacket.,Ich habe eine Jacke angezogen.
145,2,,Er ist aus der Wohnung _____.,ausgezogen,He moved out of the apartment.,Er ist aus der Wohnung ausgezogen.
146,2,,Ich habe das Wort _____.,buchstabiert,I spelled the word.,Ich habe das Wort buchstabiert.
147,2,,Sie hat ein rotes Kleid _____.,getragen,She wore a red dress.,Sie hat ein rotes Kleid getragen.
148,2,,Ich habe mich für Kunst _____.,interessiert,I was interested in art.,Ich habe mich für Kunst interessiert.
149,2,,Er hat die Tür _____.,gezogen,He pulled the door.,Er hat die Tür gezogen.
150,2,,Ich habe ein Buch _____.,gelesen,I read a book.,Ich habe ein Buch gelesen.
151,3,,Ich _____ in Berlin gewesen.,bin,I have been to Berlin.,Ich bin in Berlin gewesen.
152,3,,Er _____ viel Glück gehabt.,hat,He has had a lot of luck.,Er hat viel Glück gehabt.
153,3,,Sie _____ Lehrerin geworden.,ist,She has become a teacher.,Sie ist Lehrerin geworden.
154,3,,Ich _____ das nicht gekonnt.,habe,I was not able to do that.,Ich habe das nicht gekonnt.
155,3,,Er _____ das nie gewollt.,hat,He never wanted that.,Er hat das nie gewollt.
156,3,,Ich _____ früher viel lernen gemusst.,habe,I had to study a lot before.,Ich habe früher viel lernen gemusst.
157,3,,Er _____ nach Hause gehen gesollt.,hat,He was supposed to go home.,Er hat nach Hause gehen gesollt.
158,3,,Ich _____ den Film gemocht.,habe,I liked the movie.,Ich habe den Film gemocht.
159,3,,Wir _____ lange bleiben gedurft.,haben,We were allowed to stay long.,Wir haben lange bleiben gedurft.
160,3,,Er _____ es schon gewusst.,hat,He already knew it.,Er hat es schon gewusst.
161,3,,Ich _____ meine Hausaufgaben gemacht.,habe,I have done my homework.,Ich habe meine Hausaufgaben gemacht.
162,3,,Sie _____ nichts getan.,hat,She has done nothing.,Sie hat nichts getan.
163,3,,Er _____ mir die Wahrheit gesagt.,hat,He told me the truth.,Er hat mir die Wahrheit gesagt.
164,3,,Wir _____ ins Kino gegangen.,sind,We went to the cinema.,Wir sind ins Kino gegangen.
165,3,,Ich _____ den Film gesehen.,habe,I saw the movie.,Ich habe den Film gesehen.
166,3,,Er _____ mir ein Buch gegeben.,hat,He gave me a book.,Er hat mir ein Buch gegeben.
167,3,,Sie _____ nach Hause gekommen.,ist,She has come home.,Sie ist nach Hause gekommen.
168,3,,Er _____ an Gott geglaubt.,hat,He believed in God.,Er hat an Gott geglaubt.
169,3,,Ein Unfall _____ passiert.,ist,An accident has happened.,Ein Unfall ist passiert.
170,3,,Wir _____ über das Wetter geredet.,haben,We talked about the weather.,Wir haben über das Wetter geredet.
171,3,,Ich _____ Musik gehört.,habe,I listened to music.,Ich habe Musik gehört.
172,3,,Er _____ seinen Schlüssel gefunden.,hat,He found his key.,Er hat seinen Schlüssel gefunden.
173,3,,Wir _____ zu Hause geblieben.,sind,We stayed at home.,Wir sind zu Hause geblieben.
174,3,,Ich _____ das Geld gebraucht.,habe,I needed the money.,Ich habe das Geld gebraucht.
175,3,,Er _____ sie immer geliebt.,hat,He always loved her.,Er hat sie immer geliebt.
176,3,,Ich _____ ein Geschenk gebracht.,habe,I brought a gift.,Ich habe ein Geschenk gebracht.
177,3,,Sie _____ lange vor der Tür gestanden.,hat,She stood in front of the door for a long time.,Sie hat lange vor der Tür gestanden.
178,3,,Er _____ Peter geheissen.,hat,His name was Peter.,Er hat Peter geheissen.
179,3,,Ich _____ den Bus genommen.,habe,I took the bus.,Ich habe den Bus genommen.
180,3,,Er _____ mit mir gesprochen.,hat,He spoke with me.,Er hat mit mir gesprochen.
181,3,,Sie _____ ein Geschenk bekommen.,hat,She received a gift.,Sie hat ein Geschenk bekommen.
182,3,,Ich _____ meine Tasche vergessen.,habe,I forgot my bag.,Ich habe meine Tasche vergessen.
183,3,,Er _____ das Versprechen gehalten.,hat,He kept the promise.,Er hat das Versprechen gehalten.
184,3,,Wir _____ lange gewartet.,haben,We waited a long time.,Wir haben lange gewartet.
185,3,,Ich _____ ihn gut gekannt.,habe,I knew him well.,Ich habe ihn gut gekannt.
186,3,,Er _____ mich nicht verstanden.,hat,He didn't understand me.,Er hat mich nicht verstanden.
187,3,,Ich _____ an dich gedacht.,habe,I thought of you.,Ich habe an dich gedacht.
188,3,,Er _____ lange in Paris gelebt.,hat,He lived in Paris for a long time.,Er hat lange in Paris gelebt.
189,3,,Ich _____ meine Uhr verloren.,habe,I lost my watch.,Ich habe meine Uhr verloren.
190,3,,Sie _____ im Krankenhaus gearbeitet.,hat,She worked in a hospital.,Sie hat im Krankenhaus gearbeitet.
191,3,,Ich _____ eine Pizza gegessen.,habe,I ate a pizza.,Ich habe eine Pizza gegessen.
192,3,,Er _____ Fußball gespielt.,hat,He played football.,Er hat Fußball gespielt.
193,3,,Wir _____ nach München gefahren.,sind,We drove to Munich.,Wir sind nach München gefahren.
194,3,,Er _____ es versucht.,hat,He tried it.,Er hat es versucht.
195,3,,Sie _____ eine Geschichte erzählt.,hat,She told a story.,Sie hat eine Geschichte erzählt.
196,3,,Ich _____ ihn nach dem Weg gefragt.,habe,I asked him for directions.,Ich habe ihn nach dem Weg gefragt.
197,3,,Wir _____ uns im Café getroffen.,haben,We met at the café.,Wir haben uns im Café getroffen.
198,3,,Ich _____ auf gutes Wetter gehofft.,habe,I hoped for good weather.,Ich habe auf gutes Wetter gehofft.
199,3,,Er _____ seine Brille gesucht.,hat,He looked for his glasses.,Er hat seine Brille gesucht.
200,3,,Ich _____ ein Glas Wasser getrunken.,habe,I drank a glass of water.,Ich habe ein Glas Wasser getrunken.
201,3,,Ich _____ Deutsch gelernt.,habe,I have learned German.,Ich habe Deutsch gelernt.
202,3,,Er _____ mir das Bild gezeigt.,hat,He showed me the picture.,Er hat mir das Bild gezeigt.
203,3,,Ich _____ lange geschlafen.,habe,I slept for a long time.,Ich habe lange geschlafen.
204,3,,Sie _____ ein neues Auto gekauft.,hat,She bought a new car.,Sie hat ein neues Auto gekauft.
205,3,,Er _____ schnell nach Hause gelaufen.,ist,He ran home quickly.,Er ist schnell nach Hause gelaufen.
206,3,,Der Lehrer _____ die Aufgabe erklärt.,hat,The teacher explained the task.,Der Lehrer hat die Aufgabe erklärt.
207,3,,Ich _____ die Rechnung gezahlt.,habe,I paid the bill.,Ich habe die Rechnung gezahlt.
208,3,,Wir _____ im Meer geschwommen.,sind,We swam in the sea.,Wir sind im Meer geschwommen.
209,3,,Er _____ eine Suppe gekocht.,hat,He cooked a soup.,Er hat eine Suppe gekocht.
210,3,,Sie _____ ihre Hände gewaschen.,hat,She washed her hands.,Sie hat ihre Hände gewaschen.
211,3,,Ich _____ spät aufgewacht.,bin,I woke up late.,Ich bin spät aufgewacht.
212,3,,Er _____ in Berlin studiert.,hat,He studied in Berlin.,Er hat in Berlin studiert.
213,3,,Sie _____ ein Bild gezeichnet.,hat,She drew a picture.,Sie hat ein Bild gezeichnet.
214,3,,Er _____ um 7 Uhr aufgestanden.,ist,He got up at 7 o'clock.,Er ist um 7 Uhr aufgestanden.
215,3,,Ich _____ die Frage wiederholt.,habe,I repeated the question.,Ich habe die Frage wiederholt.
216,3,,Er _____ den Text übersetzt.,hat,He translated the text.,Er hat den Text übersetzt.
217,3,,Wir _____ in München gewohnt.,haben,We lived in Munich.,Wir haben in München gewohnt.
218,3,,Sie _____ einen Brief geschrieben.,hat,She wrote a letter.,Sie hat einen Brief geschrieben.
219,3,,Ich _____ eine Jacke angezogen.,habe,I put on a jacket.,Ich habe eine Jacke angezogen.
220,3,,Er _____ aus der Wohnung ausgezogen.,ist,He moved out of the apartment.,Er ist aus der Wohnung ausgezogen.
221,3,,Ich _____ das Wort buchstabiert.,habe,I spelled the word.,Ich habe das Wort buchstabiert.
222,3,,Sie _____ ein rotes Kleid getragen.,hat,She wore a red dress.,Sie hat ein rotes Kleid getragen.
223,3,,Ich _____ mich für Kunst interessiert.,habe,I was interested in art.,Ich habe mich für Kunst interessiert.
224,3,,Er _____ die Tür gezogen.,hat,He pulled the door.,Er hat die Tür gezogen.
225,3,,Ich _____ ein Buch gelesen.,habe,I read a book.,Ich habe ein Buch gelesen.
226,4,,anrufen,angerufen,"to call by telephone, to call on (someone)",
227,4,,aufhören,aufgehört,"to stop, to cease an activity/process",
228,4,,führen,geführt,"to lead, to guide",
229,4,,anfangen,angefangen,to begin something new,
230,4,,gewinnen,gewonnen,to win,
231,4,,regnen,geregnet,to rain,
232,4,,schneien,geschneite,to snow,
233,4,,wehtun,wehgetan,"to hurt, to be painful",
234,4,,diskutieren,diskutiert,"to discuss, to debate",
235,4,,öffnen,geöffnet,to open (formal),
236,4,,bezahlen,bezahlt,"to pay, to pay someone",
237,4,,beginnen,begonnen,to begin (on a date/time),
238,4,,benutzen,benutzt,to use (something),
239,4,,schicken,geschickt,to send,
240,4,,lachen,gelacht,to laugh,
241,4,,scheinen,geschienen,"to seem, to shine",
242,4,sich,ändern,geändert,to change (one's personality/behavior),
243,4,,bitten,gebeten,"to ask, to request",
244,4,,aufmachen,aufgemacht,"to open (coll.), to head/move off (refl.), to undo something",
245,4,,verkaufen,verkauft,to sell,
246,4,,gehören,gehört,to belong to,
247,4,,sitzen,gesessen,"to be seated, to stay, to fit (of clothing)",
248,4,,stellen,gestellt,"to position, to put, to catch",
249,4,,setzen,gesetzt,"to set, to sit down (refl.)",
250,4,,liegen,gelegen,"to lie, to be located",
251,4,,danken,gedankt,to thank,
252,4,,legen,gelegt,"to lay, to lean, to lie down",
253,4,,schauen,geschaut,to look at (Bayern/Austria),
254,4,,besuchen,besucht,to visit,
255,4,sich,freuen,gefreut,"to make glad, to be glad (refl.), to look forward (refl.)",
256,4,,schließen,geschlossen,"to shut, to close, to lock, to conclude",
257,4,,einladen,eingeladen,"to invite, to load (something into a container)",
258,4,sich,gefallen,gefallen,"to please, to appeal to",
259,4,,wünschen,gewünscht,to wish,
260,4,,passen,gepasst,"to fit, to suit",
261,4,,verändern,verändert,"to alter, to change something",
262,4,,folgen,gefolgt,to follow,
263,4,sich,ansehen,angesehen,"to look at something, to watch something",
264,4,,aussehen,ausgesehen,"to look (like), to appear",
265,4,,besitzen,besessen,"to own, to possess, to have",
266,4,,probieren,probiert,"to try, to taste, to sample, to probe",
267,4,,träumen,geträumt,to dream,
268,4,,reisen,gereist,to travel,
269,4,,feiern,gefeiert,to celebrate,
270,4,,antworten,geantwortet,"to answer, to reply",
271,4,,wählen,gewählt,"to choose, to dial (a number), to vote",
272,4,,ausgehen,ausgegangen,"to go out, to run out (e.g. of money)",
273,4,,zählen,gezählt,to count,
274,4,,ankommen,angekommen,"to arrive, to depend on something",
275,4,,dauern,gedauert,"to last, to take (time)",
276,4,,kennenlernen,kennengelernt,"to meet someone, to get to know someone/something",
277,4,,zustimmen,zugestimmt,"to agree, to consent",
278,4,sich,anmelden,angemeldet,"to register, to sign up",
279,4,,lassen,gelassen,"to let, to stop (something)",
280,4,sich,verlassen,verlassen,"to leave, to trust with something (refl.), to pass away, to die",
281,4,,helfen,geholfen,to help,
282,4,sich,bewegen,bewegt,to move,
283,4,,vertrauen,vertraut,to trust,
284,4,,versprechen,versprochen,"to promise, to hope for, to misspeak",
285,4,,hängen,gehangen,"to hang, to be fond of, depend on",
286,4,,mieten,gemietet,"to rent, to hire",
287,4,,rauchen,geraucht,to smoke (e.g. a cigarette),
288,4,,sterben,gestorben,to die,
289,4,,heiraten,geheiratet,to marry,
290,4,sich,verheiraten,verheiratet,"to marry (to perform the marriage), to get married (refl.)",
291,4,,stimmen,gestimmt,"to be true, to vote, to tune",
292,4,,kämpfen,gekämpft,"to fight, to struggle",
293,4,,fehlen,gefehlt,"to lack, to be absent/missing",
294,4,sich,entscheiden,entschieden,to decide,
295,4,,sorgen,gesorgt,"to care, to worry",
296,4,,stecken,gesteckt,"to stick, to pin",
297,4,,überraschen,überrascht,to surprise,
298,4,sich,vorstellen,vorgestellt,"to introduce, to present oneself (refl.), to move forward, to represent",
299,4,,stehlen,gestohlen,to steal (formal),
300,4,,vermissen,vermisst,to miss something/someone,
301,5,,Das hat viel _____.,bedeutet,That meant a lot.,Das hat viel bedeutet.
302,5,,Sie hat den Termin _____.,bestimmt,She set the appointment.,Sie hat den Termin bestimmt.
303,5,,Ich habe die Zeitung _____.,geholt,I fetched the newspaper.,Ich habe die Zeitung geholt.
304,5,,Der Computer hat _____.,funktioniert,The computer worked.,Der Computer hat funktioniert.
305,5,,Ich habe mich schlecht _____.,gefühlt,I felt bad.,Ich habe mich schlecht gefühlt.
306,5,,Das hat viel Geld _____.,gekostet,That cost a lot of money.,Das hat viel Geld gekostet.
307,5,,Ich habe mich daran _____.,erinnert,I remembered that.,Ich habe mich daran erinnert.
308,5,,Er hat sich _____.,verletzt,He got injured.,Er hat sich verletzt.
309,5,,Ich habe meine Mutter _____.,angerufen,I called my mother.,Ich habe meine Mutter angerufen.
310,5,,Er hat mit dem Rauchen _____.,aufgehört,He stopped smoking.,Er hat mit dem Rauchen aufgehört.
311,5,,Er hat die Gruppe _____.,geführt,He led the group.,Er hat die Gruppe geführt.
312,5,,Wir haben mit der Arbeit _____.,angefangen,We started the work.,Wir haben mit der Arbeit angefangen.
313,5,,Er hat das Spiel _____.,gewonnen,He won the game.,Er hat das Spiel gewonnen.
314,5,,Es hat die ganze Nacht _____.,geregnet,It rained all night.,Es hat die ganze Nacht geregnet.
315,5,,Es hat gestern _____.,geschneit,It snowed yesterday.,Es hat gestern geschneit.
316,5,,Mein Kopf hat _____.,wehgetan,My head hurt.,Mein Kopf hat wehgetan.
317,5,,Wir haben lange _____.,diskutiert,We discussed for a long time.,Wir haben lange diskutiert.
318,5,,Sie hat die ganze Nacht _____.,getanzt,She danced all night.,Sie hat die ganze Nacht getanzt.
319,5,,Er hat die Tür _____.,geöffnet,He opened the door.,Er hat die Tür geöffnet.
320,5,,Ich habe die Getränke _____.,bezahlt,I paid for the drinks.,Ich habe die Getränke bezahlt.
321,5,,Das Konzert hat um 8 Uhr _____.,begonnen,The concert started at 8 o'clock.,Das Konzert hat um 8 Uhr begonnen.
322,5,,Ich habe das Werkzeug _____.,benutzt,I used the tool.,Ich habe das Werkzeug benutzt.
323,5,,Er hat mir eine E-Mail _____.,geschickt,He sent me an email.,Er hat mir eine E-Mail geschickt.
324,5,,Wir haben viel _____.,gelacht,We laughed a lot.,Wir haben viel gelacht.
325,5,,Die Sonne hat _____.,geschienen,The sun was shining.,Die Sonne hat geschienen.
326,5,,Ich habe meine Meinung _____.,geändert,I changed my opinion.,Ich habe meine Meinung geändert.
327,5,,Er hat mich um Hilfe _____.,gebeten,He asked me for help.,Er hat mich um Hilfe gebeten.
328,5,,Ich habe die Tür _____.,aufgemacht,I opened the door.,Ich habe die Tür aufgemacht.
329,5,,Sie hat ihr altes Auto _____.,verkauft,She sold her old car.,Sie hat ihr altes Auto verkauft.
330,5,,Das Buch hat mir _____.,gehört,The book belonged to me.,Das Buch hat mir gehört.
331,5,,Ich habe lange auf dem Stuhl _____.,gesessen,I sat on the chair for a long time.,Ich habe lange auf dem Stuhl gesessen.
332,5,,Ich habe die Vase auf den Tisch _____.,gestellt,I placed the vase on the table.,Ich habe die Vase auf den Tisch gestellt.
333,5,,Ich habe mich auf den Stuhl _____.,gesetzt,I sat down on the chair.,Ich habe mich auf den Stuhl gesetzt.
334,5,,Das Buch hat auf dem Tisch _____.,gelegen,The book was lying on the table.,Das Buch hat auf dem Tisch gelegen.
335,5,,Ich habe ihm für seine Hilfe _____.,gedankt,I thanked him for his help.,Ich habe ihm für seine Hilfe gedankt.
336,5,,Ich habe das Handy auf den Tisch _____.,gelegt,I laid the phone on the table.,Ich habe das Handy auf den Tisch gelegt.
337,5,,Er hat aus dem Fenster _____.,geschaut,He looked out of the window.,Er hat aus dem Fenster geschaut.
338,5,,Sie hat ein schönes Lied _____.,gesungen,She sang a beautiful song.,Sie hat ein schönes Lied gesungen.
339,5,,Wir haben unsere Großeltern _____.,besucht,We visited our grandparents.,Wir haben unsere Großeltern besucht.
340,5,,Ich habe mich über das Geschenk _____.,gefreut,I was happy about the gift.,Ich habe mich über das Geschenk gefreut.
341,5,,Er hat das Fenster _____.,geschlossen,He closed the window.,Er hat das Fenster geschlossen.
342,5,,Ich habe ihn zur Party _____.,eingeladen,I invited him to the party.,Ich habe ihn zur Party eingeladen.
343,5,,Der Film hat mir _____.,gefallen,I liked the movie.,Der Film hat mir gefallen.
344,5,,Er hat viel Geld _____.,verdient,He earned a lot of money.,Er hat viel Geld verdient.
345,5,,Ich habe mir ein neues Fahrrad _____.,gewünscht,I wished for a new bike.,Ich habe mir ein neues Fahrrad gewünscht.
346,5,,Die Schuhe haben mir nicht _____.,gepasst,The shoes didn't fit me.,Die Schuhe haben mir nicht gepasst.
347,5,,Sie hat ihr Leben _____.,verändert,She changed her life.,Sie hat ihr Leben verändert.
348,5,,Der Hund ist mir _____.,gefolgt,The dog followed me.,Der Hund ist mir gefolgt.
349,5,,Ich habe mir einen Film _____.,angesehen,I watched a movie.,Ich habe mir einen Film angesehen.
350,5,,Er hat müde _____.,ausgesehen,He looked tired.,Er hat müde ausgesehen.
