Nr,level,german,english,answer,question,type
41,4,Du hast das Buch vergessen? Also müssen wir zurückgehen.,You forgot the book? So we have to go back.,Also,Du hast das Buch vergessen? _____ müssen wir zurückgehen.,
42,4,"Er hat viel gelernt, also besteht er die Prüfung.","He studied a lot, so he passes the exam.",also,"Er hat viel gelernt, _____ besteht er die Prüfung.",
43,4,"Das Auto ist kaputt, also nehmen wir den Bus.","The car is broken, so we take the bus.",also,"Das Auto ist kaputt, _____ nehmen wir den Bus.",
44,4,"Ich hoffe, dass du mich bald besuchst.",I hope that you visit me soon.,dass,"Ich hoffe, _____ du mich bald besuchst.",
45,4,"Er sagt, dass er heute keine Zeit hat.",He says that he has no time today.,dass,"Er sagt, _____ er heute keine Zeit hat.",
46,4,"Wir wissen, dass Deutsch eine schwierige Sprache ist.",We know that German is a difficult language.,dass,"Wir wissen, _____ Deutsch eine schwierige Sprache ist.",
47,4,"Sie glaubt, dass er ihr helfen kann.",She believes that he can help her.,dass,"Sie glaubt, _____ er ihr helfen kann.",
48,4,"Ich finde, dass das Essen sehr lecker schmeckt.",I think that the food tastes very delicious.,dass,"Ich finde, _____ das Essen sehr lecker schmeckt.",
49,4,"Es regnet stark, deshalb nehme ich meinen Regenschirm.","It is raining heavily, therefore I take my umbrella.",deshalb,"Es regnet stark, _____ nehme ich meinen Regenschirm.",
50,4,"Ich habe meine Hausaufgaben vergessen, deshalb muss ich sie jetzt machen.","I forgot my homework, therefore I have to do it now.",deshalb,"Ich habe meine Hausaufgaben vergessen, _____ muss ich sie jetzt machen.",
51,4,"Er hat schlecht geschlafen, deshalb ist er heute müde.","He slept badly, therefore he is tired today.",deshalb,"Er hat schlecht geschlafen, _____ ist er heute müde.",
52,4,"Wir haben Hunger, deshalb kochen wir etwas zu essen.","We are hungry, therefore we cook something to eat.",deshalb,"Wir haben Hunger, _____ kochen wir etwas zu essen.",
53,4,"Sie hat ihren Bus verpasst, deshalb kommt sie zu spät.","She missed her bus, therefore she is late.",deshalb,"Sie hat ihren Bus verpasst, _____ kommt sie zu spät.",
54,4,"Wenn es regnet, nehme ich meinen Regenschirm.","When it rains, I take my umbrella.",Wenn,"_____ es regnet, nehme ich meinen Regenschirm.",
55,4,"Ich gehe joggen, wenn ich Zeit habe.",I go jogging when I have time.,wenn,"Ich gehe joggen, _____ ich Zeit habe.",
56,4,"Wenn er müde ist, trinkt er Kaffee.","When he is tired, he drinks coffee.",Wenn,"_____ er müde ist, trinkt er Kaffee.",
57,4,"Wir machen ein Picknick, wenn das Wetter schön ist.",We have a picnic when the weather is nice.,wenn,"Wir machen ein Picknick, _____ das Wetter schön ist.",
58,4,"Wenn sie Geburtstag hat, feiert sie mit ihrer Familie.","When it’s her birthday, she celebrates with her family.",Wenn,"_____ sie Geburtstag hat, feiert sie mit ihrer Familie.",
59,4,"Ich gehe spazieren, obwohl es regnet.",I go for a walk although it is raining.,obwohl,"Ich gehe spazieren, _____ es regnet.",
60,4,"Er arbeitet weiter, obwohl er müde ist.",He continues working although he is tired.,obwohl,"Er arbeitet weiter, _____ er müde ist.",
61,4,"Sie kommt zur Party, obwohl sie viel zu tun hat.",She comes to the party although she has a lot to do.,obwohl,"Sie kommt zur Party, _____ sie viel zu tun hat.",
62,4,"Wir spielen draussen, obwohl es kalt ist.",We play outside although it is cold.,obwohl,"Wir spielen draussen, _____ es kalt ist.",
63,4,"Ich esse das Gericht, obwohl ich es nicht mag.",I eat the dish although I don’t like it.,obwohl,"Ich esse das Gericht, _____ ich es nicht mag.",
64,4,"Ich stehe auf, dann mache ich mir einen Kaffee.","I get up, then I make myself a coffee.",dann,"Ich stehe auf, _____ mache ich mir einen Kaffee.",
65,4,"Er geht zur Arbeit, dann beginnt er mit seinem ersten Meeting.","He goes to work, then he starts his first meeting.",dann,"Er geht zur Arbeit, _____ beginnt er mit seinem ersten Meeting.",
66,4,"Wir kaufen die Zutaten ein, dann kochen wir das Abendessen.","We buy the ingredients, then we cook dinner.",dann,"Wir kaufen die Zutaten ein, _____ kochen wir das Abendessen.",
67,4,"Sie macht ihre Hausaufgaben, dann schaut sie einen Film.","She does her homework, then she watches a movie.",dann,"Sie macht ihre Hausaufgaben, _____ schaut sie einen Film.",
68,4,"Ich dusche, dann ziehe ich mich an.","I take a shower, then I get dressed.",dann,"Ich dusche, _____ ziehe ich mich an.",
69,4,"Der Test war schwieriger, als ich erwartet habe.",The test was more difficult than I expected.,als,"Der Test war schwieriger, _____ ich erwartet habe.",
70,4,"Das Haus ist größer, als wir gedacht haben.",The house is bigger than we thought.,als,"Das Haus ist größer, _____ wir gedacht haben.",
71,4,"Es ist günstiger, als wir geplant haben.",It is cheaper than we planned.,als,"Es ist günstiger, _____ wir geplant haben.",
72,4,"Das Buch ist interessanter, als ich es mir vorgestellt habe.",The book is more interesting than I imagined.,als,"Das Buch ist interessanter, _____ ich es mir vorgestellt habe.",
73,4,"Der Film war besser, als ich gedacht habe.",The movie was better than I thought.,als,"Der Film war besser, _____ ich gedacht habe.",
74,4,"Das Essen schmeckt besser, wie ich es erwartet habe.",The food tastes better than I expected.,wie,"Das Essen schmeckt besser, _____ ich es erwartet habe.",
75,4,"Die Prüfung war einfacher, wie der Lehrer gesagt hat.",The exam was easier than the teacher said.,wie,"Die Prüfung war einfacher, _____ der Lehrer gesagt hat.",
76,4,"Er fährt genauso schnell, wie es im Plan steht.",He drives just as fast as it was planned.,wie,"Er fährt genauso schnell, _____ es im Plan steht.",
77,4,"Ich habe das Problem genauso gelöst, wie du es mir erklärt hast.",I solved the problem exactly as you explained it to me.,wie,"Ich habe das Problem genauso gelöst, _____ du es mir erklärt hast.",
78,4,"Der Film war genauso spannend, wie ich gehofft habe.",The movie was just as exciting as I had hoped.,wie,"Der Film war genauso spannend, _____ ich gehofft habe.",
79,4,"Als ich ein Kind war, hatte ich einen Hund.","When I was a child, I had a dog.",Als,"_____ ich ein Kind war, hatte ich einen Hund.",
80,4,"Er war sehr glücklich, als er die Prüfung bestanden hat.",He was very happy when he passed the exam.,als,"Er war sehr glücklich, _____ er die Prüfung bestanden hat.",
81,4,"Als wir in Berlin waren, haben wir den Fernsehturm besucht.","When we were in Berlin, we visited the TV tower.",Als,"_____ wir in Berlin waren, haben wir den Fernsehturm besucht.",
82,4,"Ich habe ihn das erste Mal getroffen, als ich nach Deutschland gereist bin.",I met him for the first time when I traveled to Germany.,als,"Ich habe ihn das erste Mal getroffen, _____ ich nach Deutschland gereist bin.",
83,4,"Als sie ihr Auto gekauft hat, war sie sehr stolz.","When she bought her car, she was very proud.",Als,"_____ sie ihr Auto gekauft hat, war sie sehr stolz.",
84,5,seitdem,"since, since then",,,Subjunktion
85,5,bis,until,,,Subjunktion
86,5,bevor,before,,,Subjunktion
87,5,nachdem,after,,,Subjunktion
88,5,trotzdem,"despite it, nevertheless, yet, nonetheless",,,Adverb
89,5,damit,so that,,,Subjunktion
90,5,um zu,in order to,,,Subjunktion
91,5,ob,whether,,,Subjunktion
92,5,anstatt zu,instead of,,,Subjunktion
93,5,während,while,,,Subjunktion
94,5,falls,"in case, if",,,Subjunktion
95,5,indem,by,,,Subjunktion
96,5,sonst,"otherwise, else",,,Adverb
97,6,"Ich warte, bis du fertig bist.",I wait until you are finished.,bis,"Ich warte, _____ du fertig bist.",
98,6,"Er bleibt im Büro, bis er seine Arbeit beendet hat.",He stays in the office until he has finished his work.,bis,"Er bleibt im Büro, _____ er seine Arbeit beendet hat.",
99,6,"Wir spielen draussen, bis es dunkel wird.",We play outside until it gets dark.,bis,"Wir spielen draussen, _____ es dunkel wird.",
100,6,"Sie liest ein Buch, bis sie müde wird.",She reads a book until she gets tired.,bis,"Sie liest ein Buch, _____ sie müde wird.",
101,6,"Ich bleibe hier, bis du zurückkommst.",I stay here until you come back.,bis,"Ich bleibe hier, _____ du zurückkommst.",
102,6,"Ich mache mehr Sport, seitdem ich im Fitnessstudio angemeldet bin.",I exercise more since I signed up for the gym.,seitdem,"Ich mache mehr Sport, _____ ich im Fitnessstudio angemeldet bin.",
103,6,"Er fühlt sich besser, seitdem er gesünder isst.",He feels better since he started eating healthier.,seitdem,"Er fühlt sich besser, _____ er gesünder isst.",
104,6,"Wir sind glücklich, seitdem wir in diese Stadt gezogen sind.",We have been happy since we moved to this city.,seitdem,"Wir sind glücklich, _____ wir in diese Stadt gezogen sind.",
105,6,"Sie spricht fliessend Deutsch, seitdem sie in Deutschland lebt.",She speaks fluent German since she has been living in Germany.,seitdem,"Sie spricht fliessend Deutsch, _____ sie in Deutschland lebt.",
106,6,"Ich habe weniger Stress, seitdem ich regelmässig meditiere.",I have less stress since I started meditating regularly.,seitdem,"Ich habe weniger Stress, _____ ich regelmässig meditiere.",
107,6,"Ich wasche mir die Hände, bevor ich esse.",I wash my hands before I eat.,bevor,"Ich wasche mir die Hände, _____ ich esse.",
108,6,"Er macht seine Hausaufgaben, bevor er fern sieht.",He does his homework before he watches TV.,bevor,"Er macht seine Hausaufgaben, _____ er fern sieht.",
109,6,"Wir gehen spazieren, bevor es dunkel wird.",We go for a walk before it gets dark.,bevor,"Wir gehen spazieren, _____ es dunkel wird.",
110,6,"Sie ruft ihre Mutter an, bevor sie ins Bett geht.",She calls her mother before she goes to bed.,bevor,"Sie ruft ihre Mutter an, _____ sie ins Bett geht.",
111,6,"Ich packe meinen Koffer, bevor ich in den Urlaub fahre.",I pack my suitcase before I go on vacation.,bevor,"Ich packe meinen Koffer, _____ ich in den Urlaub fahre.",
112,6,"Ich esse Frühstück, nachdem ich aufgestanden bin.",I eat breakfast after I have gotten up.,nachdem,"Ich esse Frühstück, _____ ich aufgestanden bin.",
113,6,"Er geht ins Kino, nachdem er seine Arbeit beendet hat.",He goes to the cinema after he has finished his work.,nachdem,"Er geht ins Kino, _____ er seine Arbeit beendet hat.",
114,6,"Wir spielen Fussball, nachdem wir die Hausaufgaben gemacht haben.",We play football after we have done our homework.,nachdem,"Wir spielen Fussball, _____ wir die Hausaufgaben gemacht haben.",
115,6,"Sie geht schlafen, nachdem sie ein Buch gelesen hat.",She goes to sleep after she has read a book.,nachdem,"Sie geht schlafen, _____ sie ein Buch gelesen hat.",
116,6,"Ich trinke einen Kaffee, nachdem ich zur Arbeit gekommen bin.",I drink a coffee after I have arrived at work.,nachdem,"Ich trinke einen Kaffee, _____ ich zur Arbeit gekommen bin.",
117,6,"Ich lerne jeden Tag, um Deutsch zu verbessern.",I study every day in order to improve my German.,um,"Ich lerne jeden Tag, _____ Deutsch zu verbessern.",
118,6,"Er spart Geld, um eine Weltreise zu machen.",He saves money in order to travel around the world.,um,"Er spart Geld, _____ eine Weltreise zu machen.",
119,6,"Sie trainiert hart, um beim Marathon zu gewinnen.",She trains hard in order to win the marathon.,um,"Sie trainiert hart, _____ beim Marathon zu gewinnen.",
120,6,"Wir fahren früh los, um den Verkehr zu vermeiden.",We leave early in order to avoid traffic.,um,"Wir fahren früh los, _____ den Verkehr zu vermeiden.",
121,6,"Er liest viele Bücher, um sein Wissen zu erweitern.",He reads many books in order to expand his knowledge.,um,"Er liest viele Bücher, _____ sein Wissen zu erweitern.",
122,6,"Es regnet, trotzdem gehen wir spazieren.","It is raining; nevertheless, we are going for a walk.",trotzdem,"Es regnet, _____ gehen wir spazieren.",
123,6,"Er war müde, trotzdem hat er bis spät in die Nacht gearbeitet.","He was tired; nevertheless, he worked late into the night.",trotzdem,"Er war müde, _____ hat er bis spät in die Nacht gearbeitet.",
124,6,"Sie hatte wenig Zeit, trotzdem hat sie mir geholfen.","She had little time; nevertheless, she helped me.",trotzdem,"Sie hatte wenig Zeit, _____ hat sie mir geholfen.",
125,6,"Das Essen war teuer, trotzdem hat es sich gelohnt.","The food was expensive; nevertheless, it was worth it.",trotzdem,"Das Essen war teuer, _____ hat es sich gelohnt.",
126,6,"Ich war nervös, trotzdem habe ich die Präsentation gut gehalten.","I was nervous; nevertheless, I gave the presentation well.",trotzdem,"Ich war nervös, _____ habe ich die Präsentation gut gehalten.",
127,6,"Anstatt zu arbeiten, spielt er die ganze Zeit Videospiele.","Instead of working, he plays video games all the time.",Anstatt zu,"_____ arbeiten, spielt er die ganze Zeit Videospiele.",
128,6,"Sie hat sich für die Reise entschieden, anstatt zu Hause zu bleiben.",She decided to travel instead of staying at home.,anstatt,"Sie hat sich für die Reise entschieden, _____ zu Hause zu bleiben.",
129,6,"Er ging joggen, anstatt zu lernen.",He went jogging instead of studying.,anstatt zu,"Er ging joggen, _____ lernen.",
130,6,"Wir sind mit dem Zug gefahren, anstatt zu fliegen.",We took the train instead of flying.,anstatt zu,"Wir sind mit dem Zug gefahren, _____ fliegen.",
131,6,"Anstatt zu helfen, hat er nur zugesehen.","Instead of helping, he just watched.",Anstatt zu,"_____ helfen, hat er nur zugesehen.",
132,6,"Beeil dich, sonst verpassen wir den Zug.","Hurry up, otherwise we will miss the train.",sonst,"Beeil dich, _____ verpassen wir den Zug.",
133,6,"Du musst mehr lernen, sonst wirst du die Prüfung nicht bestehen.","You need to study more, otherwise, you will not pass the exam.",sonst,"Du musst mehr lernen, _____ wirst du die Prüfung nicht bestehen.",
134,6,"Ich gehe jetzt einkaufen, sonst haben wir nichts zum Abendessen.","I'm going shopping now, otherwise, we will have nothing for dinner.",sonst,"Ich gehe jetzt einkaufen, _____ haben wir nichts zum Abendessen.",
135,6,"Er sollte sich mehr bewegen, sonst wird seine Gesundheit leiden.","He should exercise more, otherwise, his health will suffer.",sonst,"Er sollte sich mehr bewegen, _____ wird seine Gesundheit leiden.",
136,6,"Speichere deine Arbeit regelmäßig, sonst könntest du alles verlieren.","Save your work regularly, otherwise, you could lose everything.",sonst,"Speichere deine Arbeit regelmäßig, _____ könntest du alles verlieren.",
137,6,"Während ich koche, hört mein Mann Musik.","While I am cooking, my husband is listening to music.",Während,"_____ ich koche, hört mein Mann Musik.",
138,6,"Er arbeitet, während seine Kollegen eine Pause machen.",He is working while his colleagues are taking a break.,während,"Er arbeitet, _____ seine Kollegen eine Pause machen.",
139,6,"Während sie für die Prüfung lernt, schaut ihr Bruder Fernsehen.","While she is studying for the exam, her brother is watching TV.",Während,"_____ sie für die Prüfung lernt, schaut ihr Bruder Fernsehen.",
140,6,"Wir haben im Restaurant gegessen, während draußen ein Sturm tobte.",We ate in the restaurant while a storm was raging outside.,während,"Wir haben im Restaurant gegessen, _____ draußen ein Sturm tobte.",
141,6,"Während ich das Buch lese, macht sie sich Notizen.","While I am reading the book, she is taking notes.",Während,"_____ ich das Buch lese, macht sie sich Notizen.",
142,6,"Ich lerne jeden Tag Deutsch, damit ich mich besser verständigen kann.",I study German every day so that I can communicate better.,damit,"Ich lerne jeden Tag Deutsch, _____ ich mich besser verständigen kann.",
143,6,"Er arbeitet hart, damit er sich eine Reise nach Japan leisten kann.",He works hard so that he can afford a trip to Japan.,damit,"Er arbeitet hart, _____ er sich eine Reise nach Japan leisten kann.",
144,6,"Wir fahren früher los, damit wir nicht im Stau stehen.",We are leaving earlier so that we don’t get stuck in traffic.,damit,"Wir fahren früher los, _____ wir nicht im Stau stehen.",
145,6,"Sie schreibt alles auf, damit sie nichts vergisst.",She writes everything down so that she doesn’t forget anything.,damit,"Sie schreibt alles auf, _____ sie nichts vergisst.",
146,6,"Ich trainiere regelmäßig, damit ich fit bleibe.",I train regularly so that I stay fit.,damit,"Ich trainiere regelmäßig, _____ ich fit bleibe.",
147,6,"Ich weiß nicht, ob er heute zur Party kommt.",I don’t know whether he is coming to the party today.,ob,"Ich weiß nicht, _____ er heute zur Party kommt.",
148,6,"Sie fragt mich, ob ich ihr helfen kann.",She asks me if I can help her.,ob,"Sie fragt mich, _____ ich ihr helfen kann.",
149,6,"Er ist unsicher, ob er den neuen Job annehmen soll.",He is unsure whether he should take the new job.,ob,"Er ist unsicher, _____ er den neuen Job annehmen soll.",
150,6,"Wir überlegen, ob wir dieses Jahr in den Urlaub fahren.",We are considering whether we should go on vacation this year.,ob,"Wir überlegen, _____ wir dieses Jahr in den Urlaub fahren.",
151,6,"Ich weiß nicht, ob das eine gute Idee ist.",I don’t know if that is a good idea.,ob,"Ich weiß nicht, _____ das eine gute Idee ist.",
152,6,"Er verbessert sein Deutsch, indem er jeden Tag deutsche Bücher liest.",He improves his German by reading German books every day.,indem,"Er verbessert sein Deutsch, _____ er jeden Tag deutsche Bücher liest.",
153,6,"Du kannst Energie sparen, indem du das Licht ausschaltest, wenn du den Raum verlässt.",You can save energy by turning off the light when you leave the room.,indem,"Du kannst Energie sparen, _____ du das Licht ausschaltest, wenn du den Raum verlässt.",
154,6,"Sie hält sich fit, indem sie regelmäßig joggt.",She keeps fit by jogging regularly.,indem,"Sie hält sich fit, _____ sie regelmäßig joggt.",
155,6,"Wir können Geld sparen, indem wir weniger auswärts essen.",We can save money by eating out less.,indem,"Wir können Geld sparen, _____ wir weniger auswärts essen.",
156,6,"Er löste das Problem, indem er eine neue Strategie entwickelte.",He solved the problem by developing a new strategy.,indem,"Er löste das Problem, _____ er eine neue Strategie entwickelte.",
157,6,"Falls es regnet, nehmen wir einen Regenschirm mit.","In case it rains, we will take an umbrella.",Falls,"_____ es regnet, nehmen wir einen Regenschirm mit.",
158,6,"Falls du Fragen hast, kannst du mich jederzeit anrufen.","If you have any questions, you can call me anytime.",Falls,"_____ du Fragen hast, kannst du mich jederzeit anrufen.",
159,6,"Er nimmt einen Mantel mit, falls es kalt wird.",He is taking a coat with him in case it gets cold.,falls,"Er nimmt einen Mantel mit, _____ es kalt wird.",
160,6,"Falls du dich verspätet, gib mir bitte Bescheid.","If you are running late, please let me know.",Falls,"_____ du dich verspätet, gib mir bitte Bescheid.",
161,6,"Falls der Zug ausfällt, fahren wir mit dem Auto.","If the train is canceled, we will go by car.",Falls,"_____ der Zug ausfällt, fahren wir mit dem Auto.",
162,7,stattdessen,instead,,,Adverb
163,7,einerseits,on the one hand,,,Adverb
164,7,andererseits,on the other hand,,,Adverb
165,7,auch wenn,even if,,,Subjunktion
166,7,zu diesem Zweck,for this purpose,,,
167,7,sondern,but rather,,,Konjunktion
168,7,auf diese Weise,in this way,,,
169,7,immer wenn,"everytime, whenever",,,Subjunktion
170,7,währenddessen,"meanwhile, in the meantime, by now",,,
171,7,dagegen,"however, on the other hand",,,Adverb
172,7,wohingegen,whereas,,,Subjunktion
173,7,folglich,"consequently, as a result, accordingly",,,Adverb
174,7,solange,"as long as, so long as",,,Subjunktion
175,7,sobald,"as soon as, whenever",,,Subjunktion
176,7,zumal,"especially since, particularly because",,,Subjunktion
177,7,entweder,either,,,Adverb
178,7,weder,neither,,,Adverb
179,7,noch,nor,,,Adverb
180,7,dadurch dass,"by, due to the fact that",,,
181,8,"Einerseits ist der Job sehr anspruchsvoll, andererseits bietet er viele Chancen.","On the one hand, the job is very demanding; on the other hand, it offers many opportunities.",Einerseits,"_____ ist der Job sehr anspruchsvoll, andererseits bietet er viele Chancen.",
182,8,"Einerseits möchte ich ins Ausland ziehen, andererseits vermisse ich meine Familie.","On the one hand, I want to move abroad; on the other hand, I miss my family.",Einerseits,"_____ möchte ich ins Ausland ziehen, andererseits vermisse ich meine Familie.",
183,8,"Einerseits ist das Angebot günstig, andererseits gibt es bessere Alternativen.","On the one hand, the offer is cheap; on the other hand, there are better alternatives.",Einerseits,"_____ ist das Angebot günstig, andererseits gibt es bessere Alternativen.",
184,8,"Einerseits liebe ich meine Arbeit, andererseits ist sie oft sehr stressig.","On the one hand, I love my job; on the other hand, it is often very stressful.",Einerseits,"_____ liebe ich meine Arbeit, andererseits ist sie oft sehr stressig.",
185,8,"Einerseits wäre ein eigenes Haus schön, andererseits sind die Kosten sehr hoch.","On the one hand, owning a house would be nice; on the other hand, the costs are very high.",Einerseits,"_____ wäre ein eigenes Haus schön, andererseits sind die Kosten sehr hoch.",
186,8,"Ich möchte mehr Freizeit haben, andererseits brauche ich das Geld.","I would like to have more free time; on the other hand, I need the money.",andererseits,"Ich möchte mehr Freizeit haben, _____ brauche ich das Geld.",
187,8,"Ein Auto zu besitzen ist praktisch, andererseits sind die Kosten sehr hoch.","Owning a car is practical; on the other hand, the costs are very high.",andererseits,"Ein Auto zu besitzen ist praktisch, _____ sind die Kosten sehr hoch.",
188,8,"Er mag seinen Job, andererseits würde er gerne etwas Neues ausprobieren.","He likes his job; on the other hand, he would like to try something new.",andererseits,"Er mag seinen Job, _____ würde er gerne etwas Neues ausprobieren.",
189,8,"Eine grosse Stadt bietet viele Möglichkeiten, andererseits kann es dort sehr laut sein.","A big city offers many opportunities; on the other hand, it can be very noisy there.",andererseits,"Eine grosse Stadt bietet viele Möglichkeiten, _____ kann es dort sehr laut sein.",
190,8,"Ich würde gerne umziehen, andererseits ist meine Wohnung sehr günstig.","I would like to move; on the other hand, my apartment is very affordable.",andererseits,"Ich würde gerne umziehen, _____ ist meine Wohnung sehr günstig.",
191,8,"Ich werde das Angebot annehmen, zumal es sehr vorteilhaft ist.","I will accept the offer, especially since it is very advantageous.",zumal,"Ich werde das Angebot annehmen, _____ es sehr vorteilhaft ist.",
192,8,"Wir bleiben heute zu Hause, zumal das Wetter schlecht ist.","We are staying home today, particularly because the weather is bad.",zumal,"Wir bleiben heute zu Hause, _____ das Wetter schlecht ist.",
193,8,"Er hat sich für das Studium entschieden, zumal er großes Interesse an der Thematik hat.","He decided to study this subject, especially since he has a great interest in it.",zumal,"Er hat sich für das Studium entschieden, _____ er großes Interesse an der Thematik hat.",
194,8,"Ich esse weniger Süßigkeiten, zumal sie nicht gesund sind.","I eat fewer sweets, particularly because they are not healthy.",zumal,"Ich esse weniger Süßigkeiten, _____ sie nicht gesund sind.",
195,8,"Wir sollten mit dem Fahrrad fahren, zumal es umweltfreundlicher ist.","We should go by bike, especially since it is more environmentally friendly.",zumal,"Wir sollten mit dem Fahrrad fahren, _____ es umweltfreundlicher ist.",
196,8,"Ich gehe joggen, auch wenn es regnet.",I go jogging even if it rains.,auch wenn,"Ich gehe joggen, _____ es regnet.",
197,8,"Er kommt zur Besprechung, auch wenn er keine Lust hat.",He comes to the meeting even though he doesn’t feel like it.,auch wenn,"Er kommt zur Besprechung, _____ er keine Lust hat.",
198,8,"Sie fährt mit dem Fahrrad, auch wenn der Weg lang ist.",She rides her bike even though the way is long.,auch wenn,"Sie fährt mit dem Fahrrad, _____ der Weg lang ist.",
199,8,"Wir machen Urlaub, auch wenn das Wetter schlecht ist.",We go on vacation even if the weather is bad.,auch wenn,"Wir machen Urlaub, _____ das Wetter schlecht ist.",
200,8,"Ich esse das Gericht, auch wenn ich es nicht mag.",I eat the dish even though I don’t like it.,auch wenn,"Ich esse das Gericht, _____ ich es nicht mag.",
201,8,"Ich wollte ins Kino gehen, stattdessen habe ich zu Hause einen Film geschaut.","I wanted to go to the cinema; instead, I watched a movie at home.",stattdessen,"Ich wollte ins Kino gehen, _____ habe ich zu Hause einen Film geschaut.",
