Nr,level,question,english,ich,du,er/sie/es,wir,ihr,Sie
61,5,zeichnen,"to draw, to sketch",zeichne,zeichnest,zeichnet,zeichnen,zeichnet,zeichnen
62,5,wohnen,"to live, to reside, to dwell",wohne,wohnst,wohnt,wohnen,wohnt,wohnen
63,5,schreiben,to write,schreibe,schreibst,schreibt,schreiben,schreibt,schreiben
64,5,tragen,"to wear (clothing), to carry, to hold",trage,trägst,trägt,tragen,tragt,tragen
65,5,interessieren,"to interest, to be interested in (refl.)",interessiere,interessierst,interessiert,interessieren,interessiert,interessieren
66,5,ziehen,"to pull, to drag, to move",ziehe,ziehst,zieht,ziehen,zieht,ziehen
67,5,lesen,to read,lese,liest,liest,lesen,lest,lesen
68,5,kosten,"to cost, to taste",koste,kostest,kostet,kosten,kostet,kosten
69,5,bedeuten,"to mean, to signify",bedeute,bedeutest,bedeutet,bedeuten,bedeutet,bedeuten
70,5,bestimmen,to determine,bestimme,bestimmst,bestimmt,bestimmen,bestimmt,bestimmen
71,5,holen,to fetch,hole,holst,holt,holen,holt,holen
72,5,funktionieren,"to function, to work",funktioniere,funktionierst,funktioniert,funktionieren,funktioniert,funktionieren
73,5,fühlen,"to feel, to feel something (good/bad) (refl.)",fühle,fühlst,fühlt,fühlen,fühlt,fühlen
74,5,erinnern,"to remind, to remember (refl.)",erinnere,erinnerst,erinnert,erinnern,erinnert,erinnern
75,5,verletzen,"to hurt, to injure, to violate (rules, laws, etc.)",verletze,verletzt,verletzt,verletzen,verletzt,verletzen
76,6,anrufen,"to call by telephone, to call on (someone)",rufe an,rufst an,ruft an,rufen an,ruft an,rufen an
77,6,aufhören,"to stop, to cease an activity/process",höre auf,hörst auf,hört auf,hören auf,hört auf,hören auf
78,6,führen,"to lead, to guide",führe,führst,führt,führen,führt,führen
79,6,anfangen,to begin something new,fange an,fängst an,fängt an,fangen an,fangt an,fangen an
80,6,gewinnen,to win,gewinne,gewinnst,gewinnt,gewinnen,gewinnt,gewinnen
81,6,regnen,to rain,regne,regnest,regnet,regnen,regnet,regnen
82,6,schneien,to snow,schneie,schneist,schneit,schneien,schneit,schneien
83,6,wehtun,"to hurt, to be painful",tue weh,tust weh,tut weh,tun weh,tut weh,tun weh
84,6,diskutieren,"to discuss, to debate",diskutiere,diskutierst,diskutiert,diskutieren,diskutiert,diskutieren
85,6,öffnen,to open (formal),öffne,öffnest,öffnet,öffnen,öffnet,öffnen
86,6,bezahlen,"to pay, to pay someone",bezahle,bezahlst,bezahlt,bezahlen,bezahlt,bezahlen
87,6,beginnen,to begin (on a date/time),beginne,beginnst,beginnt,beginnen,beginnt,beginnen
88,6,benutzen,to use (something),benutze,benutzt,benutzt,benutzen,benutzt,benutzen
89,6,schicken,to send,schicke,schickst,schickt,schicken,schickt,schicken
90,6,lachen,to laugh,lache,lachst,lacht,lachen,lacht,lachen
91,7,scheinen,"to seem, to shine",scheine,scheinst,scheint,scheinen,scheint,scheinen
92,7,ändern,to change (one's personality/behavior),ändere,änderst,ändert,ändern,ändert,ändern
93,7,bitten,"to ask, to request",bitte,bittest,bittet,bitten,bittet,bitten
94,7,aufmachen,"to open (coll.), to head/move off (refl.), to undo something",mache auf,machst auf,macht auf,machen auf,macht auf,machen auf
95,7,verkaufen,to sell,verkaufe,verkaufst,verkauft,verkaufen,verkauft,verkaufen
96,7,gehören,to belong to,gehöre,gehörst,gehört,gehören,gehört,gehören
97,7,sitzen,"to be seated, to stay, to fit (of clothing)",sitze,sitzt,sitzt,sitzen,sitzt,sitzen
98,7,stellen,"to position, to put, to catch",stelle,stellst,stellt,stellen,stellt,stellen
99,7,setzen,"to set, to sit down (refl.)",setze,setzt,setzt,setzen,setzt,setzen
100,7,liegen,"to lie, to be located",liege,liegst,liegt,liegen,liegt,liegen
101,7,danken,to thank,danke,dankst,dankt,danken,dankt,danken
102,7,legen,"to lay, to lean, to lie down",lege,legst,legt,legen,legt,legen
103,7,schauen,to look at (Bayern/Austria),schaue,schaust,schaut,schauen,schaut,schauen
104,7,besuchen,to visit,besuche,besuchst,besucht,besuchen,besucht,besuchen
105,7,freuen,"to make glad, to be glad (refl.), to look forward (refl.)",freue,freust,freut,freuen,freut,freuen
106,8,schließen,"to shut, to close, to lock, to conclude",schliesse,schliesst,schliesst,schliessen,schliesst,schliessen
107,8,einladen,"to invite, to load (something into a container)",lade ein,lädst ein,lädt ein,laden ein,ladet ein,laden ein
108,8,gefallen,"to please, to appeal to",gefalle,gefällst,gefällt,gefallen,gefallt,gefallen
109,8,wünschen,to wish,wünsche,wünschst,wünscht,wünschen,wünscht,wünschen
110,8,passen,"to fit, to suit",passe,passt,passt,passen,passt,passen
111,8,verändern,"to alter, to change something",verändere,veränderst,verändert,verändern,verändert,verändern
112,8,folgen,to follow,folge,folgst,folgt,folgen,folgt,folgen
113,8,ansehen,"to look at something, to watch something",sehe an,siehst an,sieht an,sehen an,seht an,sehen an
114,8,aussehen,"to look (like), to appear",sehe aus,siehst aus,sieht aus,sehen aus,seht aus,sehen aus
115,8,besitzen,"to own, to possess, to have",besitze,besitzt,besitzt,besitzen,besitzt,besitzen
116,8,probieren,"to try, to taste, to sample, to probe",probiere,probierst,probiert,probieren,probiert,probieren
117,8,träumen,to dream,träume,träumst,träumt,träumen,träumt,träumen
118,8,reisen,to travel,reise,reist,reist,reisen,reist,reisen
119,8,feiern,to celebrate,feiere,feierst,feiert,feiern,feiert,feiern
120,8,antworten,"to answer, to reply",antworte,antwortest,antwortet,antworten,antwortet,antworten
121,9,wählen,"to choose, to dial (a number), to vote",wähle,wählst,wählt,wählen,wählt,wählen
122,9,ausgehen,"to go out, to run out (e.g. of money)",gehe aus,gehst aus,geht aus,gehen aus,geht aus,gehen aus
123,9,zählen,to count,zähle,zählst,zählt,zählen,zählt,zählen
124,9,ankommen,"to arrive, to depend on something",komme an,kommst an,kommt an,kommen an,kommt an,kommen an
125,9,dauern,"to last, to take (time)",dauere,dauerst,dauert,dauern,dauert,dauern
126,9,kennenlernen,"to meet someone, to get to know someone/something",lerne kennen,lernst kennen,lernt kennen,lernen kennen,lernt kennen,lernen kennen
127,9,zustimmen,"to agree, to consent",stimme zu,stimmst zu,stimmt zu,stimmen zu,stimmt zu,stimmen zu
128,9,anmelden,"to register, to sign up",melde an,meldest an,meldet an,melden an,meldet an,melden an
129,9,lassen,"to let, to stop (something)",lasse,lässt,lässt,lassen,lasst,lassen
130,9,verlassen,"to leave, to trust with something (refl.), to pass away, to die",verlasse,verlässt,verlässt,verlassen,verlasst,verlassen
131,9,helfen,to help,helfe,hilfst,hilft,helfen,helft,helfen
132,9,bewegen,to move,bewege,bewegst,bewegt,bewegen,bewegt,bewegen
133,9,vertrauen,to trust,vertraue,vertraust,vertraut,vertrauen,vertraut,vertrauen
134,9,versprechen,"to promise, to hope for, to misspeak",verspreche,versprichst,verspricht,versprechen,versprecht,versprechen
135,9,hängen,"to hang, to be fond of, depend on",hänge,hängst,hängt,hängen,hängt,hängen
136,10,mieten,"to rent, to hire",,,,,,
137,10,rauchen,to smoke (e.g. a cigarette),,,,,,
138,10,sterben,to die,,,,,,
139,10,heiraten,to marry,,,,,,
140,10,verheiraten,"to marry (to perform the marriage), to get married (refl.)",,,,,,
141,10,stimmen,"to be true, to vote, to tune",stimme,stimmst,stimmt,stimmen,stimmt,stimmen
142,10,kämpfen,"to fight, to struggle",,,,,,
143,10,fehlen,"to lack, to be absent/missing",,,,,,
144,10,entscheiden,to decide,,,,,,
145,10,sorgen,"to care, to worry",,,,,,
146,10,stecken,"to stick, to pin",,,,,,
147,10,überraschen,to surprise,,,,,,
148,10,vorstellen,"to introduce, to present oneself (refl.), to move forward, to represent",,,,,,
149,10,stehlen,to steal (formal),,,,,,
150,10,vermissen,to miss something/someone,,,,,,
