Nr,level,question,answer,sentence,answer_2,sentence_2
23,2,"Der Freund, _____ ich kenne, ist nett.",den,"Der Freund, den ich kenne, ist nett.",,
24,2,"Der Lehrer, _____ du suchst, ist hier.",den,"Der Lehrer, den du suchst, ist hier.",,
25,2,"Der Brief, _____ ich geschrieben habe, liegt hier.",den,"Der Brief, den ich geschrieben habe, liegt hier.",,
26,2,"Die Frau, _____ ich getroffen habe, war freundlich.",die,"Die Frau, die ich getroffen habe, war freundlich.",,
27,2,"Die Blume, _____ ich gepflückt habe, ist schön.",die,"Die Blume, die ich gepflückt habe, ist schön.",,
28,2,"Die Katze, _____ er adoptiert hat, ist schwarz.",die,"Die Katze, die er adoptiert hat, ist schwarz.",,
29,2,"Die Straße, _____ wir entlanggehen, ist lang.",die,"Die Straße, die wir entlanggehen, ist lang.",,
30,2,"Die Tasche, _____ sie gekauft hat, ist teuer.",die,"Die Tasche, die sie gekauft hat, ist teuer.",,
31,2,"Das Buch, _____ er liest, gehört mir.",das,"Das Buch, das er liest, gehört mir.",,
32,2,"Das Haus, _____ ich besichtigt habe, ist groß.",das,"Das Haus, das ich besichtigt habe, ist groß.",,
33,2,"Das Auto, _____ sie fährt, ist schnell.",das,"Das Auto, das sie fährt, ist schnell.",,
34,2,"Das Bild, _____ du gemalt hast, ist schön.",das,"Das Bild, das du gemalt hast, ist schön.",,
35,2,"Das Spielzeug, _____ sie gekauft haben, ist kaputt.",das,"Das Spielzeug, das sie gekauft haben, ist kaputt.",,
36,2,"Die Kinder, _____ wir gesehen haben, sind laut.",die,"Die Kinder, die wir gesehen haben, sind laut.",,
37,2,"Die Hunde, _____ sie füttern, sind hungrig.",die,"Die Hunde, die sie füttern, sind hungrig.",,
38,2,"Die Leute, _____ wir getroffen haben, sind nett.",die,"Die Leute, die wir getroffen haben, sind nett.",,
39,2,"Die Bücher, _____ ich gelesen habe, sind spannend.",die,"Die Bücher, die ich gelesen habe, sind spannend.",,
40,2,"Die Frauen, _____ er eingeladen hat, kommen später.",die,"Die Frauen, die er eingeladen hat, kommen später.",,
41,3,"Der Mann, _____ ich geholfen habe, ist dankbar.",dem,"Der Mann, dem ich geholfen habe, ist dankbar.",,
42,3,"Die Frau, _____ ich das Buch gegeben habe, lacht.",der,"Die Frau, der ich das Buch gegeben habe, lacht.",,
43,3,"Das Kind, _____ ich eine Geschichte erzählt habe, hört zu.",dem,"Das Kind, dem ich eine Geschichte erzählt habe, hört zu.",,
44,3,"Die Freunde, _____ wir geschrieben haben, kommen morgen.",denen,"Die Freunde, denen wir geschrieben haben, kommen morgen.",,
45,3,"Die Katze, _____ ich das Futter gekauft habe, ist alt.",der,"Die Katze, der ich das Futter gekauft habe, ist alt.",,
46,3,"Die Kinder, _____ ich Süßigkeiten gegeben habe, sind fröhlich.",denen,"Die Kinder, denen ich Süßigkeiten gegeben habe, sind fröhlich.",,
47,3,"Der Hund, _____ sie Wasser gebracht hat, ist krank.",dem,"Der Hund, dem sie Wasser gebracht hat, ist krank.",,
48,3,"Die Blume, _____ wir Wasser gegeben haben, ist gewachsen.",der,"Die Blume, der wir Wasser gegeben haben, ist gewachsen.",,
49,3,"Die Frau, _____ er alles erklärt hat, ist zufrieden.",der,"Die Frau, der er alles erklärt hat, ist zufrieden.",,
50,3,"Der Lehrer, _____ wir zugehört haben, ist streng.",dem,"Der Lehrer, dem wir zugehört haben, ist streng.",,
51,3,"Das Auto, _____ wir die Reifen gewechselt haben, ist rot.",dem,"Das Auto, dem wir die Reifen gewechselt haben, ist rot.",,
52,3,"Die Kinder, _____ sie geholfen hat, danken ihr.",denen,"Die Kinder, denen sie geholfen hat, danken ihr.",,
53,3,"Die Frau, _____ wir die Adresse geschickt haben, kommt heute.",der,"Die Frau, der wir die Adresse geschickt haben, kommt heute.",,
54,3,"Das Kind, _____ Sie ein Spielzeug geschenkt hat, ist glücklich.",dem,"Das Kind, dem Sie ein Spielzeug geschenkt hat, ist glücklich.",,
55,3,"Die Männer, _____ sie neue Anzüge gekauft haben, sehen elegant aus.",denen,"Die Männer, denen sie neue Anzüge gekauft haben, sehen elegant aus.",,
56,3,"Der Arzt, _____ ich meine Symptome erklärt habe, war freundlich.",dem,"Der Arzt, dem ich meine Symptome erklärt habe, war freundlich.",,
57,3,"Das Haus, _____ wir eine neue Tür eingesetzt haben, sieht modern aus.",dem,"Das Haus, dem wir eine neue Tür eingesetzt haben, sieht modern aus.",,
58,3,"Die Leute, _____ wir geholfen haben, sind dankbar.",denen,"Die Leute, denen wir geholfen haben, sind dankbar.",,
59,3,"Der Mann, _____ ich einen Stift geliehen habe, hat ihn zurückgegeben.",dem,"Der Mann, dem ich einen Stift geliehen habe, hat ihn zurückgegeben.",,
60,4,"Der Mann, _____ Haus verkauft wurde, ist traurig.",dessen,"Der Mann, dessen Haus verkauft wurde, ist traurig.",,
61,4,"Die Frau, _____ Katze verschwunden ist, sucht sie.",deren,"Die Frau, deren Katze verschwunden ist, sucht sie.",,
62,4,"Das Auto, _____ Besitzer ich kenne, ist alt.",dessen,"Das Auto, dessen Besitzer ich kenne, ist alt.",,
63,4,"Die Kinder, _____ Spielsachen kaputt sind, weinen.",deren,"Die Kinder, deren Spielsachen kaputt sind, weinen.",,
64,4,"Der Hund, _____ Besitzer verreist ist, bellt viel.",dessen,"Der Hund, dessen Besitzer verreist ist, bellt viel.",,
65,4,"Die Blume, _____ Duft so angenehm ist, ist schön.",deren,"Die Blume, deren Duft so angenehm ist, ist schön.",,
66,4,"Das Haus, _____ Fenster offen sind, gehört mir.",dessen,"Das Haus, dessen Fenster offen sind, gehört mir.",,
67,4,"Die Frau, _____ Meinung gefragt wurde, ist klug.",deren,"Die Frau, deren Meinung gefragt wurde, ist klug.",,
68,4,"Die Freunde, _____ Namen ich vergessen habe, rufen mich an.",deren,"Die Freunde, deren Namen ich vergessen habe, rufen mich an.",,
69,4,"Der Lehrer, _____ Erklärung hilfreich war, wurde gelobt.",dessen,"Der Lehrer, dessen Erklärung hilfreich war, wurde gelobt.",,
70,4,"Das Buch, _____ Autor berühmt ist, wird viel gelesen.",dessen,"Das Buch, dessen Autor berühmt ist, wird viel gelesen.",,
71,4,"Die Männer, _____ Autos auf dem Parkplatz stehen, kommen bald.",deren,"Die Männer, deren Autos auf dem Parkplatz stehen, kommen bald.",,
72,4,"Die Frau, _____ Tasche gestohlen wurde, hat die Polizei gerufen.",deren,"Die Frau, deren Tasche gestohlen wurde, hat die Polizei gerufen.",,
73,4,"Der Mann, _____ Arbeit wir bewundern, ist sehr klug.",dessen,"Der Mann, dessen Arbeit wir bewundern, ist sehr klug.",,
74,4,"Das Kind, _____ Spielzeug ich kaputt gemacht habe, weint jetzt.",dessen,"Das Kind, dessen Spielzeug ich kaputt gemacht habe, weint jetzt.",,
75,4,"Die Familie, _____ Haus renoviert wurde, ist zufrieden.",deren,"Die Familie, deren Haus renoviert wurde, ist zufrieden.",,
76,4,"Der Arzt, _____ Praxis geschlossen ist, arbeitet jetzt woanders.",dessen,"Der Arzt, dessen Praxis geschlossen ist, arbeitet jetzt woanders.",,
77,4,"Die Frau, _____ Mann ein berühmter Künstler ist, ist sehr freundlich.",deren,"Die Frau, deren Mann ein berühmter Künstler ist, ist sehr freundlich.",,
78,4,"Die Kinder, _____ Eltern verreist sind, bleiben bei den Großeltern.",deren,"Die Kinder, deren Eltern verreist sind, bleiben bei den Großeltern.",,
79,4,"Der Junge, _____ Fahrrad gestohlen wurde, ist traurig.",dessen,"Der Junge, dessen Fahrrad gestohlen wurde, ist traurig.",,
80,4,"Das Buch, _____ Titel ich mich nicht erinnere, war spannend.",an dessen,"Das Buch, an dessen Titel ich mich nicht erinnere, war spannend.",,
81,5,"Der Mann, _____ hier steht, ist mein Lehrer.",der,"Der Mann, der hier steht, ist mein Lehrer.",,
82,5,"Der Hund, _____ draußen bellt, gehört Peter.",der,"Der Hund, der draußen bellt, gehört Peter.",,
83,5,"Der Arzt, _____ in Berlin wohnt, ist bekannt.",der,"Der Arzt, der in Berlin wohnt, ist bekannt.",,
84,5,"Der Junge, _____ Fußball spielt, ist schnell.",der,"Der Junge, der Fußball spielt, ist schnell.",,
85,5,"Der Freund, _____ ich kenne, ist nett.",den,"Der Freund, den ich kenne, ist nett.",,
86,5,"Die Frau, _____ dort sitzt, ist meine Mutter.",die,"Die Frau, die dort sitzt, ist meine Mutter.",,
87,5,"Die Katze, _____ schläft, ist grau.",die,"Die Katze, die schläft, ist grau.",,
88,5,"Die Studentin, _____ ein Buch liest, ist klug.",die,"Die Studentin, die ein Buch liest, ist klug.",,
89,5,"Die Blume, _____ duftet, ist schön.",die,"Die Blume, die duftet, ist schön.",,
90,5,"Die Lehrerin, _____ singt, ist freundlich.",die,"Die Lehrerin, die singt, ist freundlich.",,
91,5,"Das Kind, _____ lacht, ist glücklich.",das,"Das Kind, das lacht, ist glücklich.",,
92,5,"Das Auto, _____ schnell fährt, ist teuer.",das,"Das Auto, das schnell fährt, ist teuer.",,
93,5,"Das Buch, _____ du liest, ist spannend.",das,"Das Buch, das du liest, ist spannend.",,
94,5,"Das Spielzeug, _____ kaputt ist, ist alt.",das,"Das Spielzeug, das kaputt ist, ist alt.",,
95,5,"Das Haus, _____ renoviert wird, ist alt.",das,"Das Haus, das renoviert wird, ist alt.",,
96,5,"Die Kinder, _____ laut lachen, sind fröhlich.",die,"Die Kinder, die laut lachen, sind fröhlich.",,
97,5,"Die Hunde, _____ bellen, sind nervös.",die,"Die Hunde, die bellen, sind nervös.",,
98,5,"Die Leute, _____ hier wohnen, sind freundlich.",die,"Die Leute, die hier wohnen, sind freundlich.",,
99,5,"Die Bücher, _____ ich lese, sind interessant.",die,"Die Bücher, die ich lese, sind interessant.",,
100,5,"Die Frauen, _____ tanzen, sind elegant.",die,"Die Frauen, die tanzen, sind elegant.",,
101,5,"Der Mann, _____ ich gestern gesehen habe, kennst dich.",den,"Der Mann, den ich gestern gesehen habe, kennst dich.",,
102,5,"Der Hund, _____ sie gefunden haben, ist verloren.",den,"Der Hund, den sie gefunden haben, ist verloren.",,
103,5,"Der Film, _____ ich gesehen habe, war spannend.",den,"Der Film, den ich gesehen habe, war spannend.",,
104,5,"Der Lehrer, _____ du suchst, ist hier.",den,"Der Lehrer, den du suchst, ist hier.",,
105,5,"Der Brief, _____ ich geschrieben habe, liegt hier.",den,"Der Brief, den ich geschrieben habe, liegt hier.",,
106,5,"Die Frau, _____ ich getroffen habe, war freundlich.",die,"Die Frau, die ich getroffen habe, war freundlich.",,
107,5,"Die Blume, _____ ich gepflückt habe, ist schön.",die,"Die Blume, die ich gepflückt habe, ist schön.",,
108,5,"Die Katze, _____ er adoptiert hat, ist schwarz.",die,"Die Katze, die er adoptiert hat, ist schwarz.",,
109,5,"Die Straße, _____ wir entlanggehen, ist lang.",die,"Die Straße, die wir entlanggehen, ist lang.",,
110,5,"Die Tasche, _____ sie gekauft hat, ist teuer.",die,"Die Tasche, die sie gekauft hat, ist teuer.",,
111,5,"Das Buch, _____ er liest, gehört mir.",das,"Das Buch, das er liest, gehört mir.",,
112,5,"Das Haus, _____ ich besichtigt habe, ist groß.",das,"Das Haus, das ich besichtigt habe, ist groß.",,
113,5,"Das Auto, _____ sie fährt, ist schnell.",das,"Das Auto, das sie fährt, ist schnell.",,
114,5,"Das Bild, _____ du gemalt hast, ist schön.",das,"Das Bild, das du gemalt hast, ist schön.",,
115,5,"Das Spielzeug, _____ sie gekauft haben, ist kaputt.",das,"Das Spielzeug, das sie gekauft haben, ist kaputt.",,
116,5,"Die Kinder, _____ wir gesehen haben, sind laut.",die,"Die Kinder, die wir gesehen haben, sind laut.",,
117,5,"Die Hunde, _____ sie füttern, sind hungrig.",die,"Die Hunde, die sie füttern, sind hungrig.",,
118,5,"Die Leute, _____ wir getroffen haben, sind nett.",die,"Die Leute, die wir getroffen haben, sind nett.",,
119,5,"Die Bücher, _____ ich gelesen habe, sind spannend.",die,"Die Bücher, die ich gelesen habe, sind spannend.",,
120,5,"Die Frauen, _____ er eingeladen hat, kommen später.",die,"Die Frauen, die er eingeladen hat, kommen später.",,
121,5,"Der Mann, _____ ich geholfen habe, ist dankbar.",dem,"Der Mann, dem ich geholfen habe, ist dankbar.",,
122,5,"Die Frau, _____ ich das Buch gegeben habe, lacht.",der,"Die Frau, der ich das Buch gegeben habe, lacht.",,
123,5,"Das Kind, _____ ich eine Geschichte erzählt habe, hört zu.",dem,"Das Kind, dem ich eine Geschichte erzählt habe, hört zu.",,
124,5,"Die Freunde, _____ wir geschrieben haben, kommen morgen.",denen,"Die Freunde, denen wir geschrieben haben, kommen morgen.",,
125,5,"Die Katze, _____ ich das Futter gekauft habe, ist alt.",der,"Die Katze, der ich das Futter gekauft habe, ist alt.",,
126,5,"Die Kinder, _____ ich Süßigkeiten gegeben habe, sind fröhlich.",denen,"Die Kinder, denen ich Süßigkeiten gegeben habe, sind fröhlich.",,
127,5,"Der Hund, _____ sie Wasser gebracht hat, ist krank.",dem,"Der Hund, dem sie Wasser gebracht hat, ist krank.",,
128,5,"Die Blume, _____ wir Wasser gegeben haben, ist gewachsen.",der,"Die Blume, der wir Wasser gegeben haben, ist gewachsen.",,
129,5,"Die Frau, _____ er alles erklärt hat, ist zufrieden.",der,"Die Frau, der er alles erklärt hat, ist zufrieden.",,
130,5,"Der Lehrer, _____ wir zugehört haben, ist streng.",dem,"Der Lehrer, dem wir zugehört haben, ist streng.",,
131,5,"Das Auto, _____ wir die Reifen gewechselt haben, ist rot.",dem,"Das Auto, dem wir die Reifen gewechselt haben, ist rot.",,
132,5,"Die Kinder, _____ sie geholfen hat, danken ihr.",denen,"Die Kinder, denen sie geholfen hat, danken ihr.",,
133,5,"Die Frau, _____ wir die Adresse geschickt haben, kommt heute.",der,"Die Frau, der wir die Adresse geschickt haben, kommt heute.",,
134,5,"Das Kind, _____ Sie ein Spielzeug geschenkt hat, ist glücklich.",dem,"Das Kind, dem Sie ein Spielzeug geschenkt hat, ist glücklich.",,
135,5,"Die Männer, _____ sie neue Anzüge gekauft haben, sehen elegant aus.",denen,"Die Männer, denen sie neue Anzüge gekauft haben, sehen elegant aus.",,
136,5,"Der Arzt, _____ ich meine Symptome erklärt habe, war freundlich.",dem,"Der Arzt, dem ich meine Symptome erklärt habe, war freundlich.",,
137,5,"Das Haus, _____ wir eine neue Tür eingesetzt haben, sieht modern aus.",dem,"Das Haus, dem wir eine neue Tür eingesetzt haben, sieht modern aus.",,
138,5,"Die Leute, _____ wir geholfen haben, sind dankbar.",denen,"Die Leute, denen wir geholfen haben, sind dankbar.",,
139,5,"Der Mann, _____ ich einen Stift geliehen habe, hat ihn zurückgegeben.",dem,"Der Mann, dem ich einen Stift geliehen habe, hat ihn zurückgegeben.",,
140,5,"Der Mann, _____ Haus verkauft wurde, ist traurig.",dessen,"Der Mann, dessen Haus verkauft wurde, ist traurig.",,
141,5,"Die Frau, _____ Katze verschwunden ist, sucht sie.",deren,"Die Frau, deren Katze verschwunden ist, sucht sie.",,
142,5,"Das Auto, _____ Besitzer ich kenne, ist alt.",dessen,"Das Auto, dessen Besitzer ich kenne, ist alt.",,
143,5,"Die Kinder, _____ Spielsachen kaputt sind, weinen.",deren,"Die Kinder, deren Spielsachen kaputt sind, weinen.",,
144,5,"Der Hund, _____ Besitzer verreist ist, bellt viel.",dessen,"Der Hund, dessen Besitzer verreist ist, bellt viel.",,
145,5,"Die Blume, _____ Duft so angenehm ist, ist schön.",deren,"Die Blume, deren Duft so angenehm ist, ist schön.",,
146,5,"Das Haus, _____ Fenster offen sind, gehört mir.",dessen,"Das Haus, dessen Fenster offen sind, gehört mir.",,
147,5,"Die Frau, _____ Meinung gefragt wurde, ist klug.",deren,"Die Frau, deren Meinung gefragt wurde, ist klug.",,
148,5,"Die Freunde, _____ Namen ich vergessen habe, rufen mich an.",deren,"Die Freunde, deren Namen ich vergessen habe, rufen mich an.",,
149,5,"Der Lehrer, _____ Erklärung hilfreich war, wurde gelobt.",dessen,"Der Lehrer, dessen Erklärung hilfreich war, wurde gelobt.",,
150,5,"Das Buch, _____ Autor berühmt ist, wird viel gelesen.",dessen,"Das Buch, dessen Autor berühmt ist, wird viel gelesen.",,
151,5,"Die Männer, _____ Autos auf dem Parkplatz stehen, kommen bald.",deren,"Die Männer, deren Autos auf dem Parkplatz stehen, kommen bald.",,
152,5,"Die Frau, _____ Tasche gestohlen wurde, hat die Polizei gerufen.",deren,"Die Frau, deren Tasche gestohlen wurde, hat die Polizei gerufen.",,
153,5,"Der Mann, _____ Arbeit wir bewundern, ist sehr klug.",dessen,"Der Mann, dessen Arbeit wir bewundern, ist sehr klug.",,
154,5,"Das Kind, _____ Spielzeug ich kaputt gemacht habe, weint jetzt.",dessen,"Das Kind, dessen Spielzeug ich kaputt gemacht habe, weint jetzt.",,
155,5,"Die Familie, _____ Haus renoviert wurde, ist zufrieden.",deren,"Die Familie, deren Haus renoviert wurde, ist zufrieden.",,
156,5,"Der Arzt, _____ Praxis geschlossen ist, arbeitet jetzt woanders.",dessen,"Der Arzt, dessen Praxis geschlossen ist, arbeitet jetzt woanders.",,
157,5,"Die Frau, _____ Mann ein berühmter Künstler ist, ist sehr freundlich.",deren,"Die Frau, deren Mann ein berühmter Künstler ist, ist sehr freundlich.",,
158,5,"Die Kinder, _____ Eltern verreist sind, bleiben bei den Großeltern.",deren,"Die Kinder, deren Eltern verreist sind, bleiben bei den Großeltern.",,
159,5,"Der Junge, _____ Fahrrad gestohlen wurde, ist traurig.",dessen,"Der Junge, dessen Fahrrad gestohlen wurde, ist traurig.",,
160,5,"Das Buch, _____ Titel ich mich nicht erinnere, war spannend.",an dessen,"Das Buch, an dessen Titel ich mich nicht erinnere, war spannend.",,
161,6,"Das ist das Fahrrad, _____ schnell fährt.",das,"Das ist das Fahrrad, das schnell fährt.",,
162,6,"Die Reise, _____ wir geplant haben, ist teuer.",die,"Die Reise, die wir geplant haben, ist teuer.",,
163,6,"Der Film, _____ im Kino läuft, ist interessant.",der,"Der Film, der im Kino läuft, ist interessant.",,
164,6,"Die Wohnung, _____ wir gemietet haben, ist klein.",die,"Die Wohnung, die wir gemietet haben, ist klein.",,
165,6,"Das Problem, _____ wir lösen müssen, ist schwierig.",das,"Das Problem, das wir lösen müssen, ist schwierig.",,
166,6,"Die Aufgabe, _____ er bekommen hat, ist einfach.",die,"Die Aufgabe, die er bekommen hat, ist einfach.",,
167,6,"Der Computer, _____ neu ist, funktioniert gut.",der,"Der Computer, der neu ist, funktioniert gut.",,
168,6,"Die Musik, _____ ich höre, ist entspannend.",die,"Die Musik, die ich höre, ist entspannend.",,
169,6,"Das Essen, _____ gut schmeckt, ist teuer.",das,"Das Essen, das gut schmeckt, ist teuer.",,
170,6,"Die Leute, _____ hier wohnen, sind nett.",die,"Die Leute, die hier wohnen, sind nett.",,
171,6,"Der Zug, _____ Verspätung hat, kommt bald an.",der,"Der Zug, der Verspätung hat, kommt bald an.",,
172,6,"Das Hotel, _____ wir gebucht haben, ist modern.",das,"Das Hotel, das wir gebucht haben, ist modern.",,
173,6,"Die Sprache, _____ ich lerne, ist schwer.",die,"Die Sprache, die ich lerne, ist schwer.",,
174,6,"Der Sport, _____ ich mache, ist gesund.",der,"Der Sport, der ich mache, ist gesund.",,
175,6,"Die Arbeit, _____ er sucht, ist interessant.",die,"Die Arbeit, die er sucht, ist interessant.",,
176,6,"Das Wetter, _____ heute ist, ist schön.",das,"Das Wetter, das heute ist, ist schön.",,
177,6,"Die Ferien, _____ wir hatten, waren toll.",die,"Die Ferien, die wir hatten, waren toll.",,
178,6,"Der Urlaub, _____ sie macht, ist lang.",den,"Der Urlaub, den sie macht, ist lang.",,
179,6,"Das Geschenk, _____ ich bekommen habe, ist schön.",das,"Das Geschenk, das ich bekommen habe, ist schön.",,
180,6,"Die Party, _____ wir gefeiert haben, war lustig.",die,"Die Party, die wir gefeiert haben, war lustig.",,
181,6,"Das ist das Buch, _____ ich gelesen habe.",das,"Das ist das Buch, das ich gelesen habe.",,
182,6,"Die Reise, _____ wir gebucht haben, war schön.",die,"Die Reise, die wir gebucht haben, war schön.",,
183,6,"Der Film, _____ wir gesehen haben, war spannend.",den,"Der Film, den wir gesehen haben, war spannend.",,
184,6,"Die Wohnung, _____ wir suchen, ist groß.",die,"Die Wohnung, die wir suchen, ist groß.",,
185,6,"Das Problem, _____ wir besprochen haben, ist gelöst.",das,"Das Problem, das wir besprochen haben, ist gelöst.",,
186,6,"Die Aufgabe, _____ er erledigt hat, war schwierig.",die,"Die Aufgabe, die er erledigt hat, war schwierig.",,
187,6,"Den Computer, _____ ich gekauft habe, ist schnell.",den,"Den Computer, den ich gekauft habe, ist schnell.",,
188,6,"Die Musik, _____ du hörst, gefällt mir.",die,"Die Musik, die du hörst, gefällt mir.",,
189,6,"Das Essen, _____ wir bestellt haben, ist lecker.",das,"Das Essen, das wir bestellt haben, ist lecker.",,
190,6,"Die Leute, _____ ich getroffen habe, waren freundlich.",die,"Die Leute, die ich getroffen habe, waren freundlich.",,
191,6,"Den Zug, _____ wir verpasst haben, fährt später.",den,"Den Zug, den wir verpasst haben, fährt später.",,
192,6,"Das Hotel, _____ sie gefunden haben, ist billig.",das,"Das Hotel, das sie gefunden haben, ist billig.",,
193,6,"Die Sprache, _____ er spricht, ist fließend.",die,"Die Sprache, die er spricht, ist fließend.",,
194,6,"Den Sport, _____ du magst, ist interessant.",den,"Den Sport, den du magst, ist interessant.",,
195,6,"Die Arbeit, _____ sie gefunden hat, ist gut bezahlt.",die,"Die Arbeit, die sie gefunden hat, ist gut bezahlt.",,
196,6,"Das Wetter, _____ wir hatten, war schlecht.",das,"Das Wetter, das wir hatten, war schlecht.",,
197,6,"Die Ferien, _____ sie geplant haben, sind kurz.",die,"Die Ferien, die sie geplant haben, sind kurz.",,
198,6,"Den Urlaub, _____ er macht, ist erholsam.",den,"Den Urlaub, den er macht, ist erholsam.",,
199,6,"Das Geschenk, _____ du bekommen hast, ist nützlich.",das,"Das Geschenk, das du bekommen hast, ist nützlich.",,
200,6,"Die Party, _____ sie organisiert haben, war super.",die,"Die Party, die sie organisiert haben, war super.",,
201,6,"Das ist der Mann, _____ ich geholfen habe.",dem,"Das ist der Mann, dem ich geholfen habe.",,
202,6,"Die Frau, _____ ich das Buch gegeben habe, ist nett.",der,"Die Frau, der ich das Buch gegeben habe, ist nett.",,
203,6,"Dem Kind, _____ wir gratuliert haben, hat sich gefreut.",dem,"Dem Kind, dem wir gratuliert haben, hat sich gefreut.",,
204,6,"Der Firma, _____ wir die Rechnung geschickt haben, ist groß.",der,"Der Firma, der wir die Rechnung geschickt haben, ist groß.",,
205,6,"Dem Freund, _____ ich vertraue, kann ich alles erzählen.",dem,"Dem Freund, dem ich vertraue, kann ich alles erzählen.",,
206,6,"Der Kollegin, _____ ich die Nachricht geschickt habe, arbeitet im Büro.",der,"Der Kollegin, der ich die Nachricht geschickt habe, arbeitet im Büro.",,
207,6,"Dem Lehrer, _____ wir zuhören, ist erfahren.",dem,"Dem Lehrer, dem wir zuhören, ist erfahren.",,
208,6,"Der Familie, _____ wir einen Besuch abgestattet haben, geht es gut.",der,"Der Familie, der wir einen Besuch abgestattet haben, geht es gut.",,
209,6,"Der Stuhl, _____ du sitzt, ist bequem.",auf dem,"Der Stuhl, auf dem du sitzt, ist bequem.",,
210,6,"Das Fenster, _____ es zieht, ist undicht.",aus dem,"Das Fenster, aus dem es zieht, ist undicht.",,
211,6,"Der Baum, _____ viele Vögel nisten, ist alt.",in dem,"Der Baum, in dem viele Vögel nisten, ist alt.",,
212,6,"Die Lampe, _____ ich eine neue Birne eingesetzt habe, leuchtet wieder.",in die,"Die Lampe, in die ich eine neue Birne eingesetzt habe, leuchtet wieder.",,
213,6,"Der Tisch, _____ wir uns setzen, ist gedeckt.",an den,"Der Tisch, an den wir uns setzen, ist gedeckt.",,
214,6,"Dem Chef, _____ ich die Idee vorgestellt habe, hat sie gefallen.",dem,"Dem Chef, dem ich die Idee vorgestellt habe, hat sie gefallen.",,
215,6,"Den Kindern, _____ wir Geschenke gegeben haben, haben sich gefreut.",denen,"Den Kindern, denen wir Geschenke gegeben haben, haben sich gefreut.",,
216,6,"Dem Projekt, _____ wir arbeiten, ist wichtig.",an dem,"Dem Projekt, an dem wir arbeiten, ist wichtig.",,
217,6,"Dem Problem, _____ wir uns beschäftigen, ist kompliziert.",mit dem,"Dem Problem, mit dem wir uns beschäftigen, ist kompliziert.",,
218,6,"Dem Computer, _____ ich arbeite, ist neu.",mit dem,"Dem Computer, mit dem ich arbeite, ist neu.",,
219,6,"Dem Auto, _____ er fährt, ist schnell.",mit dem,"Dem Auto, mit dem er fährt, ist schnell.",,
220,6,"Dem Zug, _____ wir fahren, ist pünktlich.",mit dem,"Dem Zug, mit dem wir fahren, ist pünktlich.",,
221,6,"Dem Hotel, _____ wir übernachtet haben, war komfortabel.",in dem,"Dem Hotel, in dem wir übernachtet haben, war komfortabel.",,
222,6,"Der Stadt, _____ ich wohne, gefällt mir gut.",in der,"Der Stadt, in der ich wohne, gefällt mir gut.",,
223,6,"Dem Land, _____ er lebt, ist schön.",in dem,"Dem Land, in dem er lebt, ist schön.",,
