Nr,level,question,answer,english,german
93,3,Das Buch ist _____ der Jacke.,unter,The book is under the jacket.,Das Buch ist unter der Jacke.
94,3,Die Katze versteckt sich _____ der Couch.,unter,The cat is hiding under the couch.,Die Katze versteckt sich unter der Couch.
95,3,Das Auto steht _____ dem Haus.,vor,The car is in front of the house.,Das Auto steht vor dem Haus.
96,3,Der Bus hält _____ der Schule.,vor,The bus stops in front of the school.,Der Bus hält vor der Schule.
97,3,Ich warte _____ dem Kino.,vor,I am waiting in front of the cinema.,Ich warte vor dem Kino.
98,3,Die Katze sitzt _____ der Tür.,vor,The cat is sitting in front of the door.,Die Katze sitzt vor der Tür.
99,3,Der Park ist _____ dem Hotel.,vor,The park is in front of the hotel.,Der Park ist vor dem Hotel.
100,3,Das Buch ist _____ der Tasche.,in,The book is in the bag.,Das Buch ist in der Tasche.
101,3,Ich bin _____ der Schule.,in,I am at school.,Ich bin in der Schule.
102,3,Die Schuhe stehen _____ der Ecke.,in,The shoes are in the corner.,Die Schuhe stehen in der Ecke.
103,3,Er sitzt _____ seinem Zimmer.,in,He is sitting in his room.,Er sitzt in seinem Zimmer.
104,3,Die Milch ist _____ dem Kühlschrank.,in,The milk is in the fridge.,Die Milch ist in dem Kühlschrank.
105,3,Das Buch liegt _____ dem Tisch.,auf,The book is on the table.,Das Buch liegt auf dem Tisch.
106,3,Die Katze sitzt _____ dem Sofa.,auf,The cat is sitting on the sofa.,Die Katze sitzt auf dem Sofa.
107,3,Das Handy ist _____ dem Bett.,auf,The phone is on the bed.,Das Handy ist auf dem Bett.
108,3,Die Blumen stehen _____ dem Fensterbrett.,auf,The flowers are on the windowsill.,Die Blumen stehen auf dem Fensterbrett.
109,3,Mein Laptop liegt _____ dem Schreibtisch.,auf,My laptop is on the desk.,Mein Laptop liegt auf dem Schreibtisch.
110,3,Die Lampe hängt _____ dem Tisch.,über,The lamp is hanging over the table.,Die Lampe hängt über dem Tisch.
111,3,Das Bild ist _____ dem Sofa.,über,The picture is above the sofa.,Das Bild ist über dem Sofa.
112,3,Die Brücke ist _____ dem Fluss.,über,The bridge is over the river.,Die Brücke ist über dem Fluss.
113,3,Die Uhr hängt _____ der Tür.,über,The clock is hanging above the door.,Die Uhr hängt über der Tür.
114,3,Ein Flugzeug fliegt _____ der Stadt.,über,A plane is flying over the city.,Ein Flugzeug fliegt über der Stadt.
115,3,Der Stuhl steht _____ dem Tisch.,neben,The chair is next to the table.,Der Stuhl steht neben dem Tisch.
116,3,Die Bank ist _____ dem Supermarkt.,neben,The bank is next to the supermarket.,Die Bank ist neben dem Supermarkt.
117,3,Mein Haus ist _____ der Schule.,neben,My house is next to the school.,Mein Haus ist neben der Schule.
118,3,Die Lampe steht _____ dem Bett.,neben,The lamp is next to the bed.,Die Lampe steht neben dem Bett.
119,3,Der Parkplatz ist _____ dem Kino.,neben,The parking lot is next to the cinema.,Der Parkplatz ist neben dem Kino.
120,4,Ich gehe _____ den Markt.,auf,I am going to the market.,Ich gehe auf den Markt.
121,4,Er legt das Buch _____ den Tisch.,auf,He puts the book on the table.,Er legt das Buch auf den Tisch.
122,4,Wir steigen _____ den Berg.,auf,We climb up the mountain.,Wir steigen auf den Berg.
123,4,Sie fährt _____ die Insel.,auf,She is driving to the island.,Sie fährt auf die Insel.
124,4,Das Kind klettert _____ den Baum.,auf,The child climbs up the tree.,Das Kind klettert auf den Baum.
125,4,Ich komme _____ Deutschland.,aus,I come from Germany.,Ich komme aus Deutschland.
126,4,Er nimmt das Buch _____ der Tasche.,aus,He takes the book out of the bag.,Er nimmt das Buch aus der Tasche.
127,4,Wir steigen _____ dem Zug.,aus,We get off the train.,Wir steigen aus dem Zug.
128,4,Sie holt die Milch _____ dem Kühlschrank.,aus,She takes the milk out of the fridge.,Sie holt die Milch aus dem Kühlschrank.
129,4,Das Kind schaut _____ dem Fenster.,aus,The child looks out of the window.,Das Kind schaut aus dem Fenster.
130,4,Ich komme gerade _____ der Arbeit.,von,I just came from work.,Ich komme gerade von der Arbeit.
131,4,Er fährt _____ der Schule nach Hause.,von,He is driving home from school.,Er fährt von der Schule nach Hause.
132,4,Wir kommen _____ einer langen Reise.,von,We are coming from a long trip.,Wir kommen von einer langen Reise.
133,4,Sie kommt _____ Arzt zurück.,vom,She is coming back from the doctor.,Sie kommt vom Arzt zurück.
134,4,Ich habe das Buch _____ meinem Freund bekommen.,von,I got the book from my friend.,Ich habe das Buch von meinem Freund bekommen.
135,4,Ich gehe _____ die Schule.,in,I am going to school.,Ich gehe in die Schule.
136,4,Er legt das Buch _____ den Rucksack.,in,He puts the book into the backpack.,Er legt das Buch in den Rucksack.
137,4,Wir fahren _____ die Stadt.,in,We are driving to the city.,Wir fahren in die Stadt.
138,4,Sie geht _____ das Zimmer.,in,She goes into the room.,Sie geht in das Zimmer.
139,4,Das Kind springt _____ den Pool.,in,The child jumps into the pool.,Das Kind springt in den Pool.
140,4,Ich gehe _____ meinem Freund.,zu,I am going to my friend’s place.,Ich gehe zu meinem Freund.
141,4,Sie fährt _____ ihrer Oma.,zu,She is driving to her grandma’s house.,Sie fährt zu ihrer Oma.
142,4,Wir gehen zu Fuß _____ Schule.,zur,We are walking to school.,Wir gehen zu Fuß zur Schule.
143,4,Er fährt mit dem Bus _____ seiner Arbeit.,zu,He takes the bus to his workplace.,Er fährt mit dem Bus zu seiner Arbeit.
144,4,Ich bringe das Paket _____ Post.,zur,I am taking the package to the post office.,Ich bringe das Paket zur Post.
145,4,Ich gehe _____ den Strand.,an,I am going to the beach.,Ich gehe an den Strand.
146,4,Wir fahren _____ die Nordsee.,an,We are driving to the North Sea.,Wir fahren an die Nordsee.
147,4,Er stellt das Glas _____ das Fenster.,an,He puts the glass by the window.,Er stellt das Glas an das Fenster.
148,4,Sie hängt das Bild _____ die Wand.,an,She hangs the picture on the wall.,Sie hängt das Bild an die Wand.
149,4,Wir setzen uns _____ den Tisch.,an,We sit down at the table.,Wir setzen uns an den Tisch.
150,4,Ich fahre _____ Berlin.,nach,I am driving to Berlin.,Ich fahre nach Berlin.
151,4,Er geht _____ Hause.,nach,He is going home.,Er geht nach Hause.
152,4,Wir reisen _____ Italien.,nach,We are traveling to Italy.,Wir reisen nach Italien.
153,4,Sie fliegt _____ Spanien.,nach,She is flying to Spain.,Sie fliegt nach Spanien.
154,4,Nach der Arbeit gehe ich _____ Hause.,Nach,"After work, I go home.",Nach der Arbeit gehe ich nach Hause.
155,5,Er spielt _____ seinen Bruder Schach.,gegen,He plays chess against his brother.,Er spielt gegen seinen Bruder Schach.
156,5,Das Medikament hilft _____ Kopfschmerzen.,gegen,The medicine helps against headaches.,Das Medikament hilft gegen Kopfschmerzen.
157,5,Wir protestieren _____ die neuen Regeln.,gegen,We are protesting against the new rules.,Wir protestieren gegen die neuen Regeln.
158,5,Sie hat sich _____ die Entscheidung gewehrt.,gegen,She resisted the decision.,Sie hat sich gegen die Entscheidung gewehrt.
159,5,Das Auto fuhr _____ einen Baum.,gegen,The car crashed into a tree.,Das Auto fuhr gegen einen Baum.
160,5,Das Buch ist _____ meinem Bruder.,von,The book is from my brother.,Das Buch ist von meinem Bruder.
161,5,Ich habe ein Geschenk _____ meiner Mutter bekommen.,von,I got a gift from my mother.,Ich habe ein Geschenk von meiner Mutter bekommen.
162,5,Er spricht _____ seinem Urlaub.,von,He is talking about his vacation.,Er spricht von seinem Urlaub.
163,5,Wir haben das Rezept _____ einer Freundin.,von,We got the recipe from a friend.,Wir haben das Rezept von einer Freundin.
164,5,Das Lied ist _____ einer berühmten Band.,von,The song is by a famous band.,Das Lied ist von einer berühmten Band.
165,5,Das Geschenk ist _____ dich.,für,The gift is for you.,Das Geschenk ist für dich.
166,5,Ich kaufe ein Buch _____ meinen Freund.,für,I am buying a book for my friend.,Ich kaufe ein Buch für meinen Freund.
167,5,Sie arbeitet als Beraterin _____ eine große Firma.,für,She works for a big company as a consultant.,Sie arbeitet als Beraterin für eine große Firma.
168,5,Wir haben Tickets _____ das Konzert.,für,We have tickets for the concert.,Wir haben Tickets für das Konzert.
169,5,Das ist gut _____ deine Gesundheit.,für,That is good for your health.,Das ist gut für deine Gesundheit.
170,5,Ich trinke meinen Kaffee _____ Zucker.,ohne,I drink my coffee without sugar.,Ich trinke meinen Kaffee ohne Zucker.
171,5,Er geht nie _____ sein Handy aus dem Haus.,ohne,He never leaves the house without his phone.,Er geht nie ohne sein Handy aus dem Haus.
172,5,Wir können nicht _____ dich feiern.,ohne,We can't celebrate without you.,Wir können nicht ohne dich feiern.
173,5,Sie fährt nie _____ Helm Fahrrad.,ohne,She never rides a bike without a helmet.,Sie fährt nie ohne Helm Fahrrad.
174,5,_____ Brille kann ich nicht gut sehen.,Ohne,"Without glasses, I can't see well.",Ohne Brille kann ich nicht gut sehen.
175,5,Ich fahre _____ dem Fahrrad zur Schule.,mit,I go to school by bike.,Ich fahre mit dem Fahrrad zur Schule.
176,5,Sie spricht _____ ihrer Freundin.,mit,She talks with her friend.,Sie spricht mit ihrer Freundin.
177,5,Wir essen _____ einem Löffel.,mit,We eat with a spoon.,Wir essen mit einem Löffel.
178,5,Er arbeitet _____ einem Computer.,mit,He works with a computer.,Er arbeitet mit einem Computer.
179,5,Ich schreibe _____ einem Bleistift.,mit,I write with a pencil.,Ich schreibe mit einem Bleistift.
180,6,Mein Bruder ist _____ groß wie ich.,so,My brother is as tall as I am.,Mein Bruder ist so groß wie ich.
181,6,Das Essen hier ist _____ lecker wie in Italien.,so,The food here is as delicious as in Italy.,Das Essen hier ist so lecker wie in Italien.
182,6,Der Park ist _____ schön wie der Garten.,so,The park is as beautiful as the garden.,Der Park ist so schön wie der Garten.
183,6,Dieser Film ist _____ spannend wie der letzte.,so,This movie is as exciting as the last one.,Dieser Film ist so spannend wie der letzte.
184,6,Sie ist _____ freundlich wie ihre Schwester.,so,She is as friendly as her sister.,Sie ist so freundlich wie ihre Schwester.
185,6,Peter ist größer _____ sein Bruder.,als,Peter is taller than his brother.,Peter ist größer als sein Bruder.
186,6,Das Auto ist schneller _____ das Fahrrad.,als,The car is faster than the bike.,Das Auto ist schneller als das Fahrrad.
187,6,Diese Aufgabe ist schwieriger _____ die letzte.,als,This task is more difficult than the last one.,Diese Aufgabe ist schwieriger als die letzte.
188,6,Der Urlaub in den Bergen war besser _____ am Strand.,als,The vacation in the mountains was better than at the beach.,Der Urlaub in den Bergen war besser als am Strand.
189,6,Das Buch ist interessanter _____ der Film.,als,The book is more interesting than the movie.,Das Buch ist interessanter als der Film.
190,6,Du bist so stark _____ dein Bruder.,wie,You are as strong as your brother.,Du bist so stark wie dein Bruder.
191,6,Dieses Kleid ist genauso schön _____ das andere.,wie,This dress is just as beautiful as the other one.,Dieses Kleid ist genauso schön wie das andere.
192,6,Der Film war so spannend _____ das Buch.,wie,The movie was as exciting as the book.,Der Film war so spannend wie das Buch.
193,6,Das Wetter ist heute genauso schlecht _____ gestern.,wie,The weather today is just as bad as yesterday.,Das Wetter ist heute genauso schlecht wie gestern.
194,6,Mein Hund ist genauso freundlich _____ deine Katze.,wie,My dog is just as friendly as your cat.,Mein Hund ist genauso freundlich wie deine Katze.
195,6,Er ist älter _____ ich.,als,He is older than me.,Er ist älter als ich.
196,6,Diese Stadt ist größer _____ mein Heimatdorf.,als,This city is bigger than my hometown.,Diese Stadt ist größer als mein Heimatdorf.
197,6,Der Kuchen schmeckt besser _____ die Torte.,als,The cake tastes better than the tart.,Der Kuchen schmeckt besser als die Torte.
198,6,Heute ist es heißer _____ gestern.,als,Today is hotter than yesterday.,Heute ist es heißer als gestern.
199,6,Dieses Auto ist schneller _____ das alte.,als,This car is faster than the old one.,Dieses Auto ist schneller als das alte.
200,6,Mein Haus ist nicht so groß _____ dein Haus.,wie,My house is not as big as your house.,Mein Haus ist nicht so groß wie dein Haus.
201,6,Er ist nicht so schnell _____ sein Bruder.,wie,He is not as fast as his brother.,Er ist nicht so schnell wie sein Bruder.
202,6,Das Wetter heute ist nicht so schön _____ gestern.,wie,The weather today is not as nice as yesterday.,Das Wetter heute ist nicht so schön wie gestern.
203,6,Diese Stadt ist nicht so laut _____ Berlin.,wie,This city is not as loud as Berlin.,Diese Stadt ist nicht so laut wie Berlin.
204,6,Meine Katze ist nicht so verspielt _____ dein Hund.,wie,My cat is not as playful as your dog.,Meine Katze ist nicht so verspielt wie dein Hund.
205,6,Der Film war _____ spannend wie das Buch.,nicht so,The movie was not as exciting as the book.,Der Film war nicht so spannend wie das Buch.
206,6,Das Hotel war _____ teuer wie erwartet.,nicht so,The hotel was not as expensive as expected.,Das Hotel war nicht so teuer wie erwartet.
207,6,Peter ist _____ freundlich wie Maria.,nicht so,Peter is not as friendly as Maria.,Peter ist nicht so freundlich wie Maria.
208,6,Mein Auto ist _____ neu wie deins.,nicht so,My car is not as new as yours.,Mein Auto ist nicht so neu wie deins.
209,6,Die Aufgabe war _____ schwer wie ich dachte.,nicht so,The task was not as difficult as I thought.,Die Aufgabe war nicht so schwer wie ich dachte.
210,7,Ich wohne _____ der Strasse.,an,I live on the street.,Ich wohne an der Strasse.
211,7,Das Bild hängt _____ der Wand.,an,The picture hangs on the wall.,Das Bild hängt an der Wand.
212,7,Wir treffen uns _____ Montag.,am,We meet on Monday.,Wir treffen uns am Montag.
213,7,Ich arbeite _____ Computer.,am,I work on the computer.,Ich arbeite am Computer.
214,7,Sie steht _____ Fenster.,am,She stands at the window.,Sie steht am Fenster.
215,7,Das Buch liegt _____ dem Tisch,auf,The book lies on the table,Das Buch liegt auf dem Tisch
216,7,Die Katze sitzt _____ dem Stuhl,auf,The cat sits on the chair,Die Katze sitzt auf dem Stuhl
217,7,Der Vogel sitzt _____ dem Baum,auf,The bird sits on the tree,Der Vogel sitzt auf dem Baum
218,7,Wir fahren _____ die Insel,auf,We travel onto the island,Wir fahren auf die Insel
219,7,Die Kinder spielen _____ dem Spielplatz,auf,The children play on the playground,Die Kinder spielen auf dem Spielplatz
220,7,Ich komme _____ Deutschland.,aus,I come from Germany.,Ich komme aus Deutschland.
221,7,Das Wasser kommt _____ der Flasche.,aus,The water comes out of the bottle.,Das Wasser kommt aus der Flasche.
222,7,Der Brief ist _____ Papier.,aus,The letter is made of paper.,Der Brief ist aus Papier.
223,7,Sie trinkt _____ einer Tasse.,aus,She drinks from a cup.,Sie trinkt aus einer Tasse.
224,7,Er geht _____ dem Haus.,aus,He goes out of the house.,Er geht aus dem Haus.
225,7,Sie arbeitet _____ einer Bäckerei.,bei,She works at a bakery.,Sie arbeitet bei einer Bäckerei.
226,7,_____ uns ist es warm.,Bei,"At our place, it is warm.",Bei uns ist es warm.
227,7,Wir essen _____ Oma.,bei,We eat at Grandma's.,Wir essen bei Oma.
228,7,_____ Regen bleibe ich zu Hause.,Bei,"When it rains, I stay at home.",Bei Regen bleibe ich zu Hause.
229,7,Ich lerne Deutsch _____ der Volkshochschule,bei,I learn German at the adult education center,Ich lerne Deutsch bei der Volkshochschule
230,7,Ich warte _____ morgen.,bis,I will wait until tomorrow.,Ich warte bis morgen.
231,7,Der Zug fährt nur _____ Hamburg.,bis,The train only goes until Hamburg.,Der Zug fährt nur bis Hamburg.
232,7,Ich arbeite _____ fünf Uhr.,bis,I work until five o'clock.,Ich arbeite bis fünf Uhr.
233,7,Lies bitte _____ Seite zehn.,bis,Please read up to page ten.,Lies bitte bis Seite zehn.
234,7,Die Geschäfte sind _____ acht Uhr geöffnet.,bis,The shops are open until eight o'clock.,Die Geschäfte sind bis acht Uhr geöffnet.
235,7,Das Geschenk ist _____ dich.,für,The gift is for you.,Das Geschenk ist für dich.
236,7,Ich kaufe Brot _____ das Frühstück.,für,I'm buying bread for breakfast.,Ich kaufe Brot für das Frühstück.
237,7,Sie arbeitet _____ eine grosse Firma als Beraterin.,für,She works for a large company as an advisor.,Sie arbeitet für eine grosse Firma als Beraterin.
238,7,Er lernt Deutsch _____ die Reise.,für,He is learning German for the trip.,Er lernt Deutsch für die Reise.
239,7,Das ist gut _____ die Gesundheit.,für,That is good for your health.,Das ist gut für die Gesundheit.
240,7,Ich bin _____ diese Idee.,gegen,I am against this idea.,Ich bin gegen diese Idee.
241,7,Der Ball fliegt _____ die Wand.,gegen,The ball flies against the wall.,Der Ball fliegt gegen die Wand.
242,7,Wir spielen _____ Bayern München.,gegen,We are playing against Bayern Munich.,Wir spielen gegen Bayern München.
243,7,_____ Abend wird es kühler.,Gegen,Towards evening it gets cooler.,Gegen Abend wird es kühler.
244,7,Das Medikament hilft _____ Kopfschmerzen.,gegen,The medicine helps against headaches.,Das Medikament hilft gegen Kopfschmerzen.
245,7,Der Ball ist _____ dem Sofa.,hinter,The ball is behind the sofa.,Der Ball ist hinter dem Sofa.
246,7,Das Haus ist _____ dem Baum.,hinter,The house is behind the tree.,Das Haus ist hinter dem Baum.
247,7,Ich wohne _____ der Bäckerei.,hinter,I live behind the bakery.,Ich wohne hinter der Bäckerei.
248,7,Schreib deinen Namen _____ die Zahl.,hinter,Write your name behind the number.,Schreib deinen Namen hinter die Zahl.
249,7,Was steckt _____ dieser Geschichte?,hinter,What's behind this story?,Was steckt hinter dieser Geschichte?
250,7,Ich bin _____ der Schule.,in,I am in school.,Ich bin in der Schule.
251,7,Das Buch ist _____ der Tasche.,in,The book is in the bag.,Das Buch ist in der Tasche.
252,7,Wir wohnen _____ Berlin.,in,We live in Berlin.,Wir wohnen in Berlin.
253,7,_____ Sommer ist es warm.,Im,In summer it is warm.,Im Sommer ist es warm.
254,7,Ich bin _____ Büro.,im,I am in the office.,Ich bin im Büro.
255,7,Ich fahre _____ dem Bus.,mit,I go by bus.,Ich fahre mit dem Bus.
256,7,Ich esse _____ meiner Familie.,mit,I eat with my family.,Ich esse mit meiner Familie.
257,7,Sie spielt _____ ihren Freunden.,mit,She plays with her friends.,Sie spielt mit ihren Freunden.
258,7,Ich trinke Kaffee _____ Milch.,mit,I drink coffee with milk.,Ich trinke Kaffee mit Milch.
259,7,Er schreibt _____ einem Stift.,mit,He writes with a pen.,Er schreibt mit einem Stift.
260,7,Ich fahre _____ Berlin.,nach,I am going to Berlin.,Ich fahre nach Berlin.
261,7,Wir fliegen _____ Italien.,nach,We are flying to Italy.,Wir fliegen nach Italien.
262,7,_____ dem Essen spüle ich das Geschirr.,Nach,"After the meal, I wash the dishes.",Nach dem Essen spüle ich das Geschirr.
263,7,Ich gehe _____ Hause.,nach,I am going home.,Ich gehe nach Hause.
264,7,_____ langer Zeit sehen wir uns wieder.,Nach,"After a long time, we see each other again.",Nach langer Zeit sehen wir uns wieder.
