exercise,question,answer,konnektor,german,english,french,case_english,case_french,explanation_english,explanation_french,explanation_synonym_english,explanation_synonym_french
5,,,da,da,"because, since","parce que, puisque, vu que",Subordinating conjunction,Conjonctions de subordination,"da = because, since ● Subordinating conjunction","da = parce que, puisque, vu que ● Conjonctions de subordination",,
6,,,,wohin,"Where to, Whither",Vers où,,,"wohin = where to, whither",wohin = vers où,,
6,,,,woher,"Where from, Whence",D'où,,,"woher = where from, whence",woher = d'où,,
6,,,,Welche,Which ● Feminine,Quelle ● Féminin,,,Welche = Which ● Feminine,Welche = Quelle ● Féminin,,
6,,,,Welcher,Which ● Masculine,Quel ● Masculin,,,Welcher = Which ● Masculine,Welcher = Quel ● Masculin,,
6,,,,Welches,Which ● Neuter,"Quel, Quelle ● Neutre",,,Welches = Which ● Neuter,"Welches = Quel, Quelle ● Neutre",,
6,,,,Welche,Which ● Plural,"Quels, Quelles ● Pluriel",,,Welche = Which ● Plural,"Welche = Quels, Quelles ● Pluriel",,
6,,,,Wie viel,How much,"Combien, Quelle quantité (indénombrable)",,,Wie viel = How much,"Wie viel = Combien, Quelle quantité (indénombrable)",,
6,,,,Wie viele,How many,Combien (dénombrable),,,Wie viele = How many,Wie viele = Combien (dénombrable),,
6,,,,Wie spät,"What time, At what time",À quelle heure,,,"Wie spät = What time, At what time",Wie spät = À quelle heure,,
7,,,,fast,almost,presque,,,fast = almost,fast = presque,,
7,,,,selten,"rarely, seldom",rarement,,,"selten = rarely, seldom",selten = rarement,,
7,,,,genug,enough,assez,,,genug = enough,genug = assez,,
7,,,,vielleicht,maybe,peut-être,,,vielleicht = maybe,vielleicht = peut-être,,
7,,,,wirklich,"really, truly",vraiment,,,"wirklich = really, truly",wirklich = vraiment,,
7,,,,zusammen,together,ensemble,,,zusammen = together,zusammen = ensemble,,
7,,,,allein,alone,seul,,,allein = alone,allein = seul,,
7,,,,bitte,please,"s'il te plaît, s'il vous plaît",,,bitte = please,"bitte = s'il te plaît, s'il vous plaît",,
8,,,,meistens,"mostly, usually","principalement, habituellement",,,"meistens = mostly, usually","meistens = principalement, habituellement",,
8,,,,gern,gladly,volontiers,,,gern = gladly,gern = volontiers,,
8,,,,so,so,"si, tellement",,,so = so,"so = si, tellement",,
8,,,,ein bisschen,a little,un peu,,,ein bisschen = a little,ein bisschen = un peu,,
8,,,,wieder,"again, another time, back","encore, à nouveau",,,"wieder = again, another time, back","wieder = encore, à nouveau",,
8,,,,drinnen,"inside, indoors",à l'intérieur,,,"drinnen = inside, indoors",drinnen = à l'intérieur,,
8,,,,draußen,"outside, outdoors","dehors, à l'extérieur",,,"draußen = outside, outdoors","draußen = dehors, à l'extérieur",,
8,,,,geradeaus,straight ahead,tout droit,,,geradeaus = straight ahead,geradeaus = tout droit,,
9,,,,regelmäßig,regularly,régulièrement,,,regelmäßig = regularly,regelmäßig = régulièrement,,
9,,,,mindestens,"at least, minimum","au moins, au minimum",,,"mindestens = at least, minimum","mindestens = au moins, au minimum",,
9,,,,höchstens,"at most, maximum","au plus, au maximum",,,"höchstens = at most, maximum","höchstens = au plus, au maximum",,
9,,,,gleich,"right away, at once, in a short moment","tout de suite, dans un instant",,,"gleich = right away, at once, in a short moment","gleich = tout de suite, dans un instant",,
9,,,,oben,"above, at the top","au-dessus, en haut",,,"oben = above, at the top","oben = au-dessus, en haut",,
9,,,,unten,"below, at the bottom","ci-dessous, en bas",,,"unten = below, at the bottom","unten = ci-dessous, en bas",,
9,,,,früh,early,tôt,,,früh = early,früh = tôt,,
9,,,,spät,late,tard,,,spät = late,spät = tard,,
