Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,level,type
79,4,,gegessen,essen,to eat,manger,"essen, aß, gegessen","essen, aß, gegessen",A1,all
80,4,,angezogen,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer","anziehen, zog an, angezogen","anziehen, zog an, angezogen",A1,all
81,5,,ausgezogen,ausziehen,"to take something off, to undress, to pull out, to move out","enlever quelque chose, se déshabiller, se retirer, sortir","ausziehen, zog aus, ausgezogen","ausziehen, zog aus, ausgezogen",A1,all
82,5,,gespielt,spielen,to play,jouer,"spielen, spielte, gespielt","spielen, spielte, gespielt",A1,all
83,5,,gefahren,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire","fahren, fuhr, gefahren","fahren, fuhr, gefahren",A1,all
84,5,,erzählt,erzählen,"to tell, to narrate","raconter, narrer","erzählen, erzählte, erzählt","erzählen, erzählte, erzählt",A1,all
85,5,,gefragt,fragen,"to ask, to wonder (refl.)","demander, se demander (réfl.)","fragen, fragte, gefragt","fragen, fragte, gefragt",A1,all
86,5,,getroffen,treffen,"to meet (refl.), to encounter (refl.), to hit, to affect","rencontrer (refl.), se rencontrer (refl.), heurter, frapper","treffen, traf, getroffen","treffen, traf, getroffen",A1,all
87,5,,gehofft,hoffen,to hope,espérer,"hoffen, hoffte, gehofft","hoffen, hoffte, gehofft",A1,all
88,5,,gesucht,suchen,"to seek, to search","chercher, rechercher","suchen, suchte, gesucht","suchen, suchte, gesucht",A1,all
89,5,,getrunken,trinken,to drink,boire,"trinken, trank, getrunken","trinken, trank, getrunken",A1,all
90,5,,gelernt,lernen,"to learn, to study, to train something","apprendre, étudier, se former à quelque chose","lernen, lernte, gelernt","lernen, lernte, gelernt",A1,all
91,5,,gezeigt,zeigen,"to show, to point at, to demonstrate","montrer, pointer du doigt, démontrer","zeigen, zeigte, gezeigt","zeigen, zeigte, gezeigt",A1,all
92,5,,geschlafen,schlafen,to sleep,dormir,"schlafen, schlief, geschlafen","schlafen, schlief, geschlafen",A1,all
93,5,,gekauft,kaufen,to buy,acheter,"kaufen, kaufte, gekauft","kaufen, kaufte, gekauft",A1,all
94,5,,gelaufen,laufen,"to walk, to flow (of a fluid), to run (of an event)","marcher, couler (un fluide), se dérouler (un événement)","laufen, lief, gelaufen","laufen, lief, gelaufen",A1,all
95,5,,gezahlt,zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier","zahlen, zahlte, gezahlt","zahlen, zahlte, gezahlt",A1,all
96,5,,gekocht,kochen,"to cook, to boil (to heat a liquid), to boil something","cuire, faire bouillir (chauffer un liquide), faire bouillir quelque chose","kochen, kochte, gekocht","kochen, kochte, gekocht",A1,all
97,5,,gewaschen,waschen,to wash,laver,"waschen, wusch, gewaschen","waschen, wusch, gewaschen",A1,all
98,5,,gewohnt,wohnen,"to live, to reside, to dwell","vivre, résider, habiter","wohnen, wohnte, gewohnt","wohnen, wohnte, gewohnt",A1,all
99,5,,geschrieben,schreiben,to write,écrire,"schreiben, schrieb, geschrieben","schreiben, schrieb, geschrieben",A1,all
100,5,,getragen,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir","tragen, trug, getragen","tragen, trug, getragen",A1,all
101,6,,gezogen,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer","ziehen, zog, gezogen","ziehen, zog, gezogen",A1,all
102,6,,gelesen,lesen,to read,lire,"lesen, las, gelesen","lesen, las, gelesen",A1,all
103,6,,gekostet,kosten,"to cost, to taste",coûter,"kosten, kostete, gekostet","kosten, kostete, gekostet",A1,all
104,6,,wiederholt,wiederholen,to repeat,répéter,"wiederholen, wiederholte, wiederholt","wiederholen, wiederholte, wiederholt",A1,all
105,6,,übersetzt,übersetzen,to translate,traduire,"übersetzen, übersetzte, übersetzt","übersetzen, übersetzte, übersetzt",A1,all
106,6,,gefühlt/sich gefühlt,fühlen,"to feel, to feel something (refl.)","sentir, ressentir quelque chose (réfl.)","fühlen, fühlte, gefühlt","fühlen, fühlte, gefühlt",A1,all
107,6,,geregnet,regnen,to rain,pleuvoir,"regnen, regnete, geregnet","regnen, regnete, geregnet",A1,all
108,6,,geschneit,schneien,to snow,neiger,"schneien, schneite, geschneit","schneien, schneite, geschneit",A1,all
109,6,,verloren,verlieren,to lose,perdre,"verlieren, verlor, verloren","verlieren, verlor, verloren",A1,all
110,6,,bezahlt,bezahlen,"to pay, to pay someone (transitive)","payer, payer quelqu'un (transitif)","bezahlen, bezahlte, bezahlt","bezahlen, bezahlte, bezahlt",A1,all
111,6,,geöffnet,öffnen,to open,ouvrir,"öffnen, öffnete, geöffnet","öffnen, öffnete, geöffnet",A1,all
112,6,,begonnen,beginnen,to begin (on a certain date or time),commencer (à une certaine date ou heure),"beginnen, begann, begonnen","beginnen, begann, begonnen",A1,all
113,6,,geschlossen,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure","schließen, schloss, geschlossen","schließen, schloss, geschlossen",A1,all
114,6,,gereist,reisen,to travel,voyager,"reisen, reiste, gereist","reisen, reiste, gereist",A1,all
115,6,,gefeiert,feiern,to celebrate,célébrer,"feiern, feierte, gefeiert","feiern, feierte, gefeiert",A1,all
116,6,,geholfen,helfen,to help,aider,"helfen, half, geholfen","helfen, half, geholfen",A1,all
117,6,,verkauft,verkaufen,to sell,vendre,"verkaufen, verkaufte, verkauft","verkaufen, verkaufte, verkauft",A1,all
118,6,,geschickt,schicken,to send,envoyer,"schicken, schickte, geschickt","schicken, schickte, geschickt",A1,all
119,6,,besucht,besuchen,to visit,visiter,"besuchen, besuchte, besucht","besuchen, besuchte, besucht",A1,all
120,6,,gesessen,sitzen,"to be seated, to stay, to fit (of clothing)","être assis, rester","sitzen, saß, gesessen","sitzen, saß, gesessen",A1,all
121,7,,geboten,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)","bieten, bot, geboten","bieten, bot, geboten",A2,irregular
122,7,,angerufen,anrufen,"to call by telephone, to call on (someone)",appeler par téléphone,"anrufen, rief an, angerufen","anrufen, rief an, angerufen",A2,irregular
123,7,,angefangen,anfangen,to begin something new,commencer quelque chose de nouveau,"anfangen, fing an, angefangen","anfangen, fing an, angefangen",A2,irregular
124,7,,gewonnen,gewinnen,to win,gagner,"gewinnen, gewann, gewonnen","gewinnen, gewann, gewonnen",A2,irregular
125,7,,geschienen,scheinen,"to shine, to seem (formal)","briller, paraître (formel)","scheinen, schien, geschienen","scheinen, schien, geschienen",A2,irregular
126,7,,aufgestanden,aufstehen,"to get up, to be open (e.g. a window, door)","se lever, être ouvert (par exemple une fenêtre, une porte)","aufstehen, stand auf, aufgestanden","aufstehen, stand auf, aufgestanden",A2,irregular
127,7,,wehgetan/sich wehgetan,wehtun,"to hurt, to be painful","blesser, être douloureux","wehtun, tat weh, wehgetan","wehtun, tat weh, wehgetan",A2,irregular
128,7,,gelegen,liegen,"to lie, to be located","être allongé, être localisé","liegen, lag, gelegen","liegen, lag, gelegen",A2,irregular
129,7,,eingeladen,einladen,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)","einladen, lud ein, eingeladen","einladen, lud ein, eingeladen",A2,irregular
130,7,,gefallen,gefallen,"to please, to appeal to",plaire,"gefallen, gefiel, gefallen","gefallen, gefiel, gefallen",A2,irregular
131,7,,ausgesehen,aussehen,"to look like, to appear","paraître, ressembler, apparaître","aussehen, sah aus, ausgesehen","aussehen, sah aus, ausgesehen",A2,irregular
132,7,,ferngesehen,fernsehen,to watch TV,regarder la télévision,"fernsehen, sah fern, ferngesehen","fernsehen, sah fern, ferngesehen",A2,irregular
133,7,,geschwommen,schwimmen,"to swim, to float","nager, flotter","schwimmen, schwamm, geschwommen","schwimmen, schwamm, geschwommen",A2,irregular
134,7,,ausgegangen,ausgehen,"to go out, to run out (e.g. of money)","sortir, être à court (par exemple d'argent)","ausgehen, ging aus, ausgegangen","ausgehen, ging aus, ausgegangen",A2,irregular
135,7,,angekommen,ankommen,"to arrive, to depend on something","arriver, dépendre de quelque chose","ankommen, kam an, angekommen","ankommen, kam an, angekommen",A2,irregular
136,7,,angemeldet,anmelden,"to register, to sign up, to sign on",s'inscrire,"anmelden, meldete an, angemeldet","anmelden, meldete an, angemeldet",A2,irregular
137,8,,gelassen,lassen,"to let, to leave, to allow","laisser, quitter, permettre","lassen, ließ, gelassen","lassen, ließ, gelassen",A2,irregular
138,8,,verlassen,verlassen,"to leave, to trust with something (refl.), to pass away, to die","partir, confier quelque chose (réfl.), décéder, mourir","verlassen, verließ, verlassen","verlassen, verließ, verlassen",A2,irregular
139,8,,gehangen,hängen,"to hang, to be fond of, depend on","accrocher, aimer, dépendre de","hängen, hing, gehangen","hängen, hing, gehangen",A2,irregular
140,8,,gestorben,sterben,to die,mourir,"sterben, starb, gestorben","sterben, starb, gestorben",A2,irregular
141,8,,entschieden/sich entschieden,entscheiden,to decide,décider,"entscheiden, entschied, entschieden","entscheiden, entschied, entschieden",A2,irregular
142,8,,geworfen,werfen,to throw,"jeter, lancer","werfen, warf, geworfen","werfen, warf, geworfen",A2,irregular
143,8,,gebrochen,brechen,to break,"casser, briser","brechen, brach, gebrochen","brechen, brach, gebrochen",A2,irregular
144,8,,gestiegen,steigen,"to ascend, to climb, to rise","monter, grimper, s'élever","steigen, stieg, gestiegen","steigen, stieg, gestiegen",A2,irregular
145,8,,gesungen,singen,to sing,chanter,"singen, sang, gesungen","singen, sang, gesungen",A2,irregular
146,8,,empfohlen,empfehlen,"to recommend, to suggest","recommander, suggérer","empfehlen, empfahl, empfohlen","empfehlen, empfahl, empfohlen",A2,irregular
147,8,,gebeten,bitten,"to ask, to request","demander, requérir","bitten, bat, gebeten","bitten, bat, gebeten",A2,irregular
148,8,,angenommen,annehmen,"to accept, to assume (a hypothesis), to receive, to suppose","accepter, supposer (une hypothèse), recevoir","annehmen, nahm an, angenommen","annehmen, nahm an, angenommen",A2,irregular
149,8,,ausgestiegen,aussteigen,"to exit, to get off","sortir, descendre","aussteigen, stieg aus, ausgestiegen","aussteigen, stieg aus, ausgestiegen",A2,irregular
150,8,,eingestiegen,einsteigen,"to enter, to get in, to board","entrer, monter à bord, embarquer","einsteigen, stieg ein, eingestiegen","einsteigen, stieg ein, eingestiegen",A2,irregular
151,8,,umgezogen,umziehen,"to move (house), to change clothes","déménager, changer de vêtements","umziehen, zog um, umgezogen","umziehen, zog um, umgezogen",A2,irregular
152,8,,verglichen,vergleichen,to compare,comparer,"vergleichen, verglich, verglichen","vergleichen, verglich, verglichen",A2,irregular
153,9,,erklärt,erklären,"to explain, to declare, to assert","expliquer, déclarer, affirmer","erklären, erklärte, erklärt","erklären, erklärte, erklärt",A2,all
154,9,,passiert,passieren,"to happen (colloquial), to move beyond, to strain",se produire,"passieren, passierte, passiert","passieren, passierte, passiert",A2,all
155,9,,geboten,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)","bieten, bot, geboten","bieten, bot, geboten",A2,all
156,9,,versucht,versuchen,"to try, to attempt","essayer, tenter","versuchen, versuchte, versucht","versuchen, versuchte, versucht",A2,all
157,9,,interessiert/sich interessiert,interessieren,"to interest, to be interested in (refl.)","intéresser, être intéressé par (réfl.)","interessieren, interessierte, interessiert","interessieren, interessierte, interessiert",A2,all
158,9,,bedeutet,bedeuten,"to mean, to signify","vouloir dire, signifier","bedeuten, bedeutete, bedeutet","bedeuten, bedeutete, bedeutet",A2,all
159,9,,funktioniert,funktionieren,"to function, to work",fonctionner,"funktionieren, funktionierte, funktioniert","funktionieren, funktionierte, funktioniert",A2,all
160,9,,erinnert/sich erinnert,erinnern,"to remind, to remember (refl.)","rappeler, se souvenir (réfl.)","erinnern, erinnerte, erinnert","erinnern, erinnerte, erinnert",A2,all
161,9,,geführt,führen,"to lead, to guide","guider, conduire","führen, führte, geführt","führen, führte, geführt",A2,all
162,9,,gezeichnet,zeichnen,"to draw, to sketch","dessiner, esquisser","zeichnen, zeichnete, gezeichnet","zeichnen, zeichnete, gezeichnet",A2,all
163,9,,geholt,holen,to fetch,aller chercher,"holen, holte, geholt","holen, holte, geholt",A2,all
164,9,,angerufen,anrufen,"to call by telephone, to call on (someone)",appeler par téléphone,"anrufen, rief an, angerufen","anrufen, rief an, angerufen",A2,all
165,9,,aufgehört,aufhören,"to stop, to cease an activity or process","arrêter, cesser une activité ou un processus","aufhören, hörte auf, aufgehört","aufhören, hörte auf, aufgehört",A2,all
166,9,,angefangen,anfangen,to begin something new,commencer quelque chose de nouveau,"anfangen, fing an, angefangen","anfangen, fing an, angefangen",A2,all
167,9,,gewonnen,gewinnen,to win,gagner,"gewinnen, gewann, gewonnen","gewinnen, gewann, gewonnen",A2,all
168,9,,benutzt,benutzen,to use (transitive),utiliser (transitif),"benutzen, benutzte, benutzt","benutzen, benutzte, benutzt",A2,all
169,9,,gelacht,lachen,to laugh,rire,"lachen, lachte, gelacht","lachen, lachte, gelacht",A2,all
170,9,,geschienen,scheinen,"to shine, to seem (formal)","briller, paraître (formel)","scheinen, schien, geschienen","scheinen, schien, geschienen",A2,all
171,9,,geändert,ändern,to change (one's personality or behavior),changer (sa personnalité ou son comportement),"ändern, änderte, geändert","ändern, änderte, geändert",A2,all
172,9,,gehört,gehören,to belong to,appartenir à,"gehören, gehörte, gehört","gehören, gehörte, gehört",A2,all
173,10,,aufgestanden,aufstehen,"to get up, to be open (e.g. a window, door)","se lever, être ouvert (par exemple une fenêtre, une porte)","aufstehen, stand auf, aufgestanden","aufstehen, stand auf, aufgestanden",A2,all
174,10,,aufgewacht,aufwachen,to wake up,se réveiller,"aufwachen, wachte auf, aufgewacht","aufwachen, wachte auf, aufgewacht",A2,all
175,10,,wehgetan/sich wehgetan,wehtun,"to hurt, to be painful","blesser, être douloureux","wehtun, tat weh, wehgetan","wehtun, tat weh, wehgetan",A2,all
176,10,,gestellt,stellen,"to position, to put, to catch","positionner, mettre","stellen, stellte, gestellt","stellen, stellte, gestellt",A2,all
177,10,,gesetzt,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),"setzen, setzte, gesetzt","setzen, setzte, gesetzt",A2,all
178,10,,gelegen,liegen,"to lie, to be located","être allongé, être localisé","liegen, lag, gelegen","liegen, lag, gelegen",A2,all
179,10,,gedankt,danken,to thank,remercier,"danken, dankte, gedankt","danken, dankte, gedankt",A2,all
180,10,,gelegt,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger","legen, legte, gelegt","legen, legte, gelegt",A2,all
181,10,,geschaut,schauen,to look at (Bayern and Austria),regarder (Bayern et Autriche),"schauen, schaute, geschaut","schauen, schaute, geschaut",A2,all
182,10,,sich gefreut,sich freuen,"to make glad, to be glad (refl.), to look forward (refl.)","rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)","sich freuen, freute sich, sich gefreut","sich freuen, freute sich, sich gefreut",A2,all
183,10,,eingeladen,einladen,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)","einladen, lud ein, eingeladen","einladen, lud ein, eingeladen",A2,all
184,10,,gefallen,gefallen,"to please, to appeal to",plaire,"gefallen, gefiel, gefallen","gefallen, gefiel, gefallen",A2,all
185,10,,gewünscht,wünschen,to wish,souhaiter,"wünschen, wünschte, gewünscht","wünschen, wünschte, gewünscht",A2,all
186,10,,gepasst,passen,"to fit, to suit","s'adapter, convenir","passen, passte, gepasst","passen, passte, gepasst",A2,all
187,10,,gefolgt,folgen,to follow,suivre,"folgen, folgte, gefolgt","folgen, folgte, gefolgt",A2,all
188,10,,ausgesehen,aussehen,"to look like, to appear","paraître, ressembler, apparaître","aussehen, sah aus, ausgesehen","aussehen, sah aus, ausgesehen",A2,all
189,10,,geträumt,träumen,to dream,rêver,"träumen, träumte, geträumt","träumen, träumte, geträumt",A2,all
190,10,,ferngesehen,fernsehen,to watch TV,regarder la télévision,"fernsehen, sah fern, ferngesehen","fernsehen, sah fern, ferngesehen",A2,all
191,10,,geschwommen,schwimmen,"to swim, to float","nager, flotter","schwimmen, schwamm, geschwommen","schwimmen, schwamm, geschwommen",A2,all
192,10,,geantwortet,antworten,"to answer, to reply","répondre, répliquer","antworten, antwortete, geantwortet","antworten, antwortete, geantwortet",A2,all
193,11,,gewählt,wählen,"to choose, to dial (a number), to vote","choisir, composer (un numéro), voter","wählen, wählte, gewählt","wählen, wählte, gewählt",A2,all
194,11,,ausgegangen,ausgehen,"to go out, to run out (e.g. of money)","sortir, être à court (par exemple d'argent)","ausgehen, ging aus, ausgegangen","ausgehen, ging aus, ausgegangen",A2,all
195,11,,gezählt,zählen,to count,compter,"zählen, zählte, gezählt","zählen, zählte, gezählt",A2,all
196,11,,angekommen,ankommen,"to arrive, to depend on something","arriver, dépendre de quelque chose","ankommen, kam an, angekommen","ankommen, kam an, angekommen",A2,all
197,11,,gedauert,dauern,"to last, to take (time)","durer, prendre (du temps)","dauern, dauerte, gedauert","dauern, dauerte, gedauert",A2,all
