exercise,question,answer,german,english,french,explanation_english,explanation_french
4,,sitzend,sitzen,"to be seated, to stay, to fit (of clothing)","être assis, rester",losing,perdant
5,,erklärend,erklären,"to explain, to declare, to assert","expliquer, déclarer, affirmer",fetching,allant chercher
5,,passierend,passieren,"to happen (colloquial), to move beyond, to strain",se produire,calling,discutant au téléphone
5,,bietend,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)",stopping,arrêtant
5,,versuchend,versuchen,"to try, to attempt","essayer, tenter",starting,débutant
5,,interessierend/sich interessierend,interessieren,"to interest, to be interested in (refl.)","intéresser, être intéressé par (réfl.)",winning,gagnant
5,,bedeutend,bedeuten,"to mean, to signify","vouloir dire, signifier",opening,ouvrant
5,,funktionierend,funktionieren,"to function, to work",fonctionner,paying,payant
5,,erinnernd/sich erinnernd,erinnern,"to remind, to remember (refl.)","rappeler, se souvenir (réfl.)",beginning,débutant
5,,führend,führen,"to lead, to guide","guider, conduire",using,utilisant
5,,zeichnend,zeichnen,"to draw, to sketch","dessiner, esquisser",sending,envoyant
5,,holend,holen,to fetch,aller chercher,laughing,riant
5,,anrufend,anrufen,"to call by telephone, to call on (someone)",appeler par téléphone,seeming,brillant
5,,aufhörend,aufhören,"to stop, to cease an activity or process","arrêter, cesser une activité ou un processus",changing,changeant
5,,anfangend,anfangen,to begin something new,commencer quelque chose de nouveau,selling,vendant
5,,gewinnend,gewinnen,to win,gagner,belonging,appartenant
5,,benutzend,benutzen,to use (transitive),utiliser (transitif),sitting,étant assis
5,,lachend,lachen,to laugh,rire,getting up,se levant
5,,scheinend,scheinen,"to shine, to seem (formal)","briller, paraître (formel)",waking up,se réveillant
5,,ändernd,ändern,to change (one's personality or behavior),changer (sa personnalité ou son comportement),determining,déterminant
5,,gehörend,gehören,to belong to,appartenir à,hurting,souffrant
1000,,aufstehend,aufstehen,"to get up, to be open (e.g. a window, door)","se lever, être ouvert (par exemple une fenêtre, une porte)",laying,
1000,,aufwachend,aufwachen,to wake up,se réveiller,looking,
1000,,wehtund/sich wehtund,wehtun,"to hurt, to be painful","blesser, être douloureux",visiting,
1000,,stellend,stellen,"to position, to put, to catch","positionner, mettre",joying,
1000,,setzend,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),closing,
1000,,liegend,liegen,"to lie, to be located","être allongé, être localisé",inviting,
1000,,dankend,danken,to thank,remercier,pleasing,
1000,,legend,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger",desiring,
1000,,schauend,schauen,to look at (Bayern and Austria),regarder (Bayern et Autriche),fitting,
1000,,sich freuend,sich freuen,"to make glad, to be glad (refl.), to look forward (refl.)","rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)",following,
1000,,einladend,einladen,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)",looking,
1000,,gefallend,gefallen,"to please, to appeal to",plaire,looking like,
1000,,wünschend,wünschen,to wish,souhaiter,trying,
1000,,passend,passen,"to fit, to suit","s'adapter, convenir",dreaming,
1000,,folgend,folgen,to follow,suivre,watching TV,
1000,,aussehend,aussehen,"to look like, to appear","paraître, ressembler, apparaître",swimming,
1000,,träumend,träumen,to dream,rêver,,
1000,,fernsehend,fernsehen,to watch TV,regarder la télévision,,
1000,,schwimmend,schwimmen,"to swim, to float","nager, flotter",,
1000,,,antworten,"to answer, to reply","répondre, répliquer",,
