exercise,question,answer,german,english,french,ich,du,er/sie/es,wir,ihr,Sie
9,,,spielen,to play,jouer,spiele,spielst,spielt,spielen,spielt,spielen
9,,,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire",fahre,fährst,fährt,fahren,fahrt,fahren
9,,,erzählen,"to tell, to narrate","raconter, narrer",erzähle,erzählst,erzählt,erzählen,erzählt,erzählen
9,,,fragen,"to ask, to wonder (refl.)","demander, se demander (réfl.)",frage,fragst,fragt,fragen,fragt,fragen
10,,,treffen,"to meet (refl.), to encounter (refl.), to hit, to affect","rencontrer (refl.), se rencontrer (refl.), heurter, frapper",treffe,triffst,trifft,treffen,trefft,treffen
10,,,hoffen,to hope,espérer,hoffe,hoffst,hofft,hoffen,hofft,hoffen
10,,,suchen,"to seek, to search","chercher, rechercher",suche,suchst,sucht,suchen,sucht,suchen
10,,,trinken,to drink,boire,trinke,trinkst,trinkt,trinken,trinkt,trinken
10,,,lernen,"to learn, to study, to train something","apprendre, étudier, se former à quelque chose",lerne,lernst,lernt,lernen,lernt,lernen
11,,,zeigen,"to show, to point at, to demonstrate","montrer, pointer du doigt, démontrer",zeige,zeigst,zeigt,zeigen,zeigt,zeigen
11,,,schlafen,to sleep,dormir,schlafe,schläfst,schläft,schlafen,schlaft,schlafen
11,,,kaufen,to buy,acheter,kaufe,kaufst,kauft,kaufen,kauft,kaufen
11,,,laufen,"to walk, to flow (of a fluid), to run (of an event)","marcher, couler (un fluide), se dérouler (un événement)",laufe,läufst,läuft,laufen,lauft,laufen
11,,,zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier",zahle,zahlst,zahlt,zahlen,zahlt,zahlen
12,,,kochen,"to cook, to boil (to heat a liquid), to boil something","cuire, faire bouillir (chauffer un liquide), faire bouillir quelque chose",koche,kochst,kocht,kochen,kocht,kochen
12,,,waschen,to wash,laver,wasche,wäschst,wäscht,waschen,wascht,waschen
12,,,wohnen,"to live, to reside, to dwell","vivre, résider, habiter",wohne,wohnst,wohnt,wohnen,wohnt,wohnen
12,,,schreiben,to write,écrire,schreibe,schreibst,schreibt,schreiben,schreibt,schreiben
12,,,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir",trage,trägst,trägt,tragen,tragt,tragen
13,,,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",ziehe,ziehst,zieht,ziehen,zieht,ziehen
13,,,lesen,to read,lire,lese,liest,liest,lesen,lest,lesen
13,,,kosten,"to cost, to taste",coûter,koste,kostest,kostet,kosten,kostet,kosten
13,,,wiederholen,to repeat,répéter,wiederhole,wiederholst,wiederholt,wiederholen,wiederholt,wiederholen
13,,,übersetzen,to translate,traduire,übersetze,übersetzt,übersetzt,übersetzen,übersetzt,übersetzen
14,,,fühlen,"to feel, to feel something (refl.)","sentir, ressentir quelque chose (réfl.)",fühle/fühle mich,fühlst/fühlst dich,fühlt/fühlt sich,fühlen/fühlen uns,fühlt/fühlt euch,fühlen/fühlen sich
14,,,regnen,to rain,pleuvoir,regne,regnest,regnet,regnen,regnet,regnen
14,,,schneien,to snow,neiger,schneie,schneist,schneit,schneien,schneit,schneien
14,,,verlieren,to lose,perdre,verliere,verlierst,verliert,verlieren,verliert,verlieren
14,,,bezahlen,"to pay, to pay someone (transitive)","payer, payer quelqu'un (transitif)",bezahle,bezahlst,bezahlt,bezahlen,bezahlt,bezahlen
15,,,öffnen,to open,ouvrir,öffne,öffnest,öffnet,öffnen,öffnet,öffnen
15,,,beginnen,to begin (on a certain date or time),commencer (à une certaine date ou heure),beginne,beginnst,beginnt,beginnen,beginnt,beginnen
15,,,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",schließe,schließt,schließt,schließen,schließt,schließen
15,,,reisen,to travel,voyager,reise,reist,reist,reisen,reist,reisen
15,,,feiern,to celebrate,célébrer,feiere,feierst,feiert,feiern,feiert,feiern
16,,,helfen,to help,aider,helfe,hilfst,hilft,helfen,helft,helfen
16,,,verkaufen,to sell,vendre,verkaufe,verkaufst,verkauft,verkaufen,verkauft,verkaufen
16,,,schicken,to send,envoyer,schicke,schickst,schickt,schicken,schickt,schicken
16,,,besuchen,to visit,visiter,besuche,besuchst,besucht,besuchen,besucht,besuchen
16,,,sitzen,"to be seated, to stay, to fit (of clothing)","être assis, rester",sitze,sitzt,sitzt,sitzen,sitzt,sitzen
17,,,erklären,"to explain, to declare, to assert","expliquer, déclarer, affirmer",erkläre,erklärst,erklärt,erklären,erklärt,erklären
17,,,passieren,"to happen (colloquial), to move beyond, to strain",se produire,passiere,passierst,passiert,passieren,passiert,passieren
17,,,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)",biete,bietest,bietet,bieten,bietet,bieten
17,,,versuchen,"to try, to attempt","essayer, tenter",versuche,versuchst,versucht,versuchen,versucht,versuchen
17,,,interessieren,"to interest, to be interested in (refl.)","intéresser, être intéressé par (réfl.)",interessiere/interessiere mich,interessierst/interessierst dich,interessiert/interessiert sich,interessieren/interessieren uns,interessiert/interessiert euch,interessieren/interessieren sich
18,,,bedeuten,"to mean, to signify","vouloir dire, signifier",bedeute,bedeutest,bedeutet,bedeuten,bedeutet,bedeuten
18,,,funktionieren,"to function, to work",fonctionner,funktioniere,funktionierst,funktioniert,funktionieren,funktioniert,funktionieren
18,,,erinnern,"to remind, to remember (refl.)","rappeler, se souvenir (réfl.)",erinnere/erinnere mich,erinnerst/erinnerst dich,erinnert/erinnert sich,erinnern/erinnern uns,erinnert/erinnert euch,erinnern/erinnern sich
18,,,führen,"to lead, to guide","guider, conduire",führe,führst,führt,führen,führt,führen
18,,,zeichnen,"to draw, to sketch","dessiner, esquisser",zeichne,zeichnest,zeichnet,zeichnen,zeichnet,zeichnen
19,,,holen,to fetch,aller chercher,hole,holst,holt,holen,holt,holen
19,,,anrufen,"to call by telephone, to call on (someone)",appeler par téléphone,rufe an,rufst an,ruft an,rufen an,ruft an,rufen an
19,,,aufhören,"to stop, to cease an activity or process","arrêter, cesser une activité ou un processus",höre auf,hörst auf,hört auf,hören auf,hört auf,hören auf
19,,,anfangen,to begin something new,commencer quelque chose de nouveau,fange an,fängst an,fängt an,fangen an,fangt an,fangen an
19,,,gewinnen,to win,gagner,gewinne,gewinnst,gewinnt,gewinnen,gewinnt,gewinnen
20,,,benutzen,to use (transitive),utiliser (transitif),benutze,benutzt,benutzt,benutzen,benutzt,benutzen
20,,,lachen,to laugh,rire,lache,lachst,lacht,lachen,lacht,lachen
20,,,scheinen,"to shine, to seem (formal)","briller, paraître (formel)",scheine,scheinst,scheint,scheinen,scheint,scheinen
20,,,ändern,to change (one's personality or behavior),changer (sa personnalité ou son comportement),ändere,änderst,ändert,ändern,ändert,ändern
20,,,gehören,to belong to,appartenir à,gehöre,gehörst,gehört,gehören,gehört,gehören
21,,,aufstehen,"to get up, to be open (e.g. a window, door)","se lever, être ouvert (par exemple une fenêtre, une porte)",stehe auf,stehst auf,steht auf,stehen auf,steht auf,stehen auf
21,,,aufwachen,to wake up,se réveiller,wache auf,wachst auf,wacht auf,wachen auf,wacht auf,wachen auf
21,,,wehtun,"to hurt, to be painful","blesser, être douloureux",tue weh/tue mir weh,tust weh/tust dir weh,tut weh/tut sich weh,tun weh/tun uns weh,tut weh/tut euch weh,tun weh/tun sich weh
21,,,stellen,"to position, to put, to catch","positionner, mettre",stelle,stellst,stellt,stellen,stellt,stellen
21,,,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),setze,setzt,setzt,setzen,setzt,setzen
22,,,liegen,"to lie, to be located","être allongé, être localisé",liege,liegst,liegt,liegen,liegt,liegen
22,,,danken,to thank,remercier,danke,dankst,dankt,danken,dankt,danken
22,,,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger",lege,legst,legt,legen,legt,legen
22,,,schauen,to look at (Bayern and Austria),regarder (Bayern et Autriche),schaue,schaust,schaut,schauen,schaut,schauen
22,,,sich freuen,"to make glad, to be glad (refl.), to look forward (refl.)","rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)",freue mich,freust dich,freut sich,freuen uns,freut euch,freuen sich
23,,,einladen,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)",lade ein,lädst ein,lädt ein,laden ein,ladet ein,laden ein
23,,,gefallen,"to please, to appeal to",plaire,gefalle,gefällst,gefällt,gefallen,gefallt,gefallen
23,,,wünschen,to wish,souhaiter,wünsche,wünschst,wünscht,wünschen,wünscht,wünschen
23,,,passen,"to fit, to suit","s'adapter, convenir",passe,passt,passt,passen,passt,passen
23,,,folgen,to follow,suivre,folge,folgst,folgt,folgen,folgt,folgen
24,,,aussehen,"to look like, to appear","paraître, ressembler, apparaître",sehe aus,siehst aus,sieht aus,sehen aus,seht aus,sehen aus
24,,,träumen,to dream,rêver,träume,träumst,träumt,träumen,träumt,träumen
24,,,fernsehen,to watch TV,regarder la télévision,sehe fern,siehst fern,sieht fern,sehen fern,seht fern,sehen fern
24,,,schwimmen,"to swim, to float","nager, flotter",schwimme,schwimmst,schwimmt,schwimmen,schwimmt,schwimmen
24,,,antworten,"to answer, to reply","répondre, répliquer",antworte,antwortest,antwortet,antworten,antwortet,antworten
25,,,wählen,"to choose, to dial (a number), to vote","choisir, composer (un numéro), voter",wähle,wählst,wählt,wählen,wählt,wählen
25,,,ausgehen,"to go out, to run out (e.g. of money)","sortir, être à court (par exemple d'argent)",gehe aus,gehst aus,geht aus,gehen aus,geht aus,gehen aus
25,,,zählen,to count,compter,zähle,zählst,zählt,zählen,zählt,zählen
25,,,ankommen,"to arrive, to depend on something","arriver, dépendre de quelque chose",komme an,kommst an,kommt an,kommen an,kommt an,kommen an
25,,,dauern,"to last, to take (time)","durer, prendre (du temps)",dauere,dauerst,dauert,dauern,dauert,dauern
26,,,anmelden,"to register, to sign up, to sign on",s'inscrire,melde an,meldest an,meldet an,melden an,meldet an,melden an
26,,,lassen,"to let, to leave, to allow","laisser, quitter, permettre",lasse,lässt,lässt,lassen,lasst,lassen
26,,,verlassen,"to leave, to trust with something (refl.), to pass away, to die","partir, confier quelque chose (réfl.), décéder, mourir",verlasse,verlässt,verlässt,verlassen,verlasst,verlassen
26,,,bewegen,to move,se déplacer,bewege,bewegst,bewegt,bewegen,bewegt,bewegen
26,,,hängen,"to hang, to be fond of, depend on","accrocher, aimer, dépendre de",hänge,hängst,hängt,hängen,hängt,hängen
27,,,mieten,"to rent, to hire","louer, embaucher",miete,mietest,mietet,mieten,mietet,mieten
27,,,rauchen,to smoke (e.g. a cigarette),fumer (par exemple une cigarette),rauche,rauchst,raucht,rauchen,raucht,rauchen
27,,,sterben,to die,mourir,sterbe,stirbst,stirbt,sterben,sterbt,sterben
27,,,heiraten,to marry,se marier,heirate,heiratest,heiratet,heiraten,heiratet,heiraten
27,,,kämpfen,"to fight, to struggle","se battre, lutter",kämpfe,kämpfst,kämpft,kämpfen,kämpft,kämpfen
28,,,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant",fehle,fehlst,fehlt,fehlen,fehlt,fehlen
28,,,sorgen,"to care, to worry","se soucier, s'inquiéter",sorge,sorgst,sorgt,sorgen,sorgt,sorgen
28,,,vorstellen,"to introduce, to present oneself (refl.), to move forward, to represent","introduire, se présenter (réfl.), représenter",stelle vor,stellst vor,stellt vor,stellen vor,stellt vor,stellen vor
28,,,entscheiden,to decide,décider,entscheide/entscheide mich,entscheidest/entscheidest dich,entscheidet/entscheidet sich,entscheiden/entscheiden uns,entscheidet/entscheidet euch,entscheiden/entscheiden sich
28,,,vermissen,to miss something or someone,se manquer quelque chose ou quelqu'un,vermisse,vermisst,vermisst,vermissen,vermisst,vermissen
29,,,werfen,to throw,"jeter, lancer",werfe,wirfst,wirft,werfen,werft,werfen
29,,,teilen,"to split, to share, to divide","diviser, partager",teile,teilst,teilt,teilen,teilt,teilen
29,,,bauen,to build,construire,baue,baust,baut,bauen,baut,bauen
29,,,melden,"to report, to register","signaler, enregistrer",melde,meldest,meldet,melden,meldet,melden
29,,,brechen,to break,"casser, briser",breche,brichst,bricht,brechen,brecht,brechen
30,,,steigen,"to ascend, to climb, to rise","monter, grimper, s'élever",steige,steigst,steigt,steigen,steigt,steigen
30,,,singen,to sing,chanter,singe,singst,singt,singen,singt,singen
30,,,empfehlen,"to recommend, to suggest","recommander, suggérer",empfehle,empfiehlst,empfiehlt,empfehlen,empfehlt,empfehlen
30,,,bitten,"to ask, to beg, to plead, to request","demander, prier (quelqu'un de faire quelque chose), requérir, inviter poliment",bitte,bittest,bittet,bitten,bittet,bitten
30,,,merken,"to notice, to realise, to remember (refl.)","remarquer, se rendre compte, se souvenir (réfl.)",merke,merkst,merkt,merken,merkt,merken
31,,,stören,"to disturb, to interfere","déranger, interférer",störe,störst,stört,stören,stört,stören
31,,,annehmen,"to accept, to assume (a hypothesis), to receive, to suppose","accepter, supposer (une hypothèse), recevoir",nehme an,nimmst an,nimmt an,nehmen an,nehmt an,nehmen an
31,,,aussteigen,"to exit, to get off","sortir, descendre",steige aus,steigst aus,steigt aus,steigen aus,steigt aus,steigen aus
31,,,einsteigen,"to enter, to get in, to board","entrer, monter à bord, embarquer",steige ein,steigst ein,steigt ein,steigen ein,steigt ein,steigen ein
31,,,vorbereiten,"to prepare, to get ready, to prepare in advance",se préparer,bereite vor,bereitest vor,bereitet vor,bereiten vor,bereitet vor,bereiten vor
32,,,umziehen,"to move (house), to change clothes","déménager, changer de vêtements",ziehe um,ziehst um,zieht um,ziehen um,zieht um,ziehen um
32,,,vergleichen,to compare,comparer,vergleiche,vergleichst,vergleicht,vergleichen,vergleicht,vergleichen
32,,,entdecken,"to discover, to find","découvrir, trouver",entdecke,entdeckst,entdeckt,entdecken,entdeckt,entdecken
32,,,planen,"to plan, to schedule","planifier, programmer",plane,planst,plant,planen,plant,planen
32,,,üben,"to practice, to exercise, to rehearse","pratiquer, s'exercer, répéter",übe,übst,übt,üben,übt,üben
33,,,verändern,"to alter, to change something","modifier, changer quelque chose",verändere,veränderst,verändert,verändern,verändert,verändern
33,,,stattfinden,"to take place, to occur","avoir lieu, se produire",finde statt,findest statt,findet statt,finden statt,findet statt,finden statt
33,,,stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder",stimme,stimmst,stimmt,stimmen,stimmt,stimmen
33,,,versprechen,"to promise, to hope for, to misspeak","promettre, espérer",verspreche,versprichst,verspricht,versprechen,versprecht,versprechen
33,,,erkennen,"to recognize, to realise","reconnaître, réaliser",erkenne,erkennst,erkennt,erkennen,erkennt,erkennen
34,,,besitzen,"to own, to possess, to have","posséder, avoir",besitze,besitzt,besitzt,besitzen,besitzt,besitzen
34,,,übernehmen,to take over,"prendre le relais, prendre le contrôle",übernehme,übernimmst,übernimmt,übernehmen,übernehmt,übernehmen
34,,,enthalten,"to contain, to include","contenir, inclure",enthalte,enthältst,enthält,enthalten,enthaltet,enthalten
34,,,dienen,"to serve, to function","servir, fonctionner",diene,dienst,dient,dienen,dient,dienen
34,,,verschwinden,"to disappear, to get lost","disparaître, se perdre",verschwinde,verschwindest,verschwindet,verschwinden,verschwindet,verschwinden
35,,,schützen,"to defend (lawyer), to protect (sunprotection)","défendre (avocat), protéger (protection solaire)",schütze,schützt,schützt,schützen,schützt,schützen
35,,,nennen,"to name, to call someone something, to mention","nommer, appeler quelqu'un par quelque chose, mentionner",nenne,nennst,nennt,nennen,nennt,nennen
35,,,schätzen,"to appreciate, to evaluate, to guess","apprécier, évaluer",schätze,schätzt,schätzt,schätzen,schätzt,schätzen
35,,,erwarten,"to expect, to await",s'attendre à,erwarte,erwartest,erwartet,erwarten,erwartet,erwarten
35,,,behalten,to keep,garder,behalte,behältst,behält,behalten,behaltet,behalten
36,,,verpassen,"to miss (to be late for something, e.g. a train)","manquer (être en retard pour quelque chose, par exemple un train)",verpasse,verpasst,verpasst,verpassen,verpasst,verpassen
36,,,schenken,"to gift, to give as a present","offrir, faire un cadeau",schenke,schenkst,schenkt,schenken,schenkt,schenken
36,,,wachsen,"to grow, to increase","grandir, augmenter",wachse,wächst,wächst,wachsen,wachst,wachsen
36,,,springen,"to spring, to jump","sauter, bondir",springe,springst,springt,springen,springt,springen
36,,,befinden,"to be located (refl.), to find, to consider (formal)","être localisé (réfl.), trouver, considérer (formel)",befinde/befinde mich,befindest/befindest dich,befindet/befindet sich,befinden/befinden uns,befindet/befindet euch,befinden/befinden sich
37,,,fallen,"to fall, to fall in battle, to collapse","tomber, tomber au combat, s'effondrer",falle,fällst,fällt,fallen,fallt,fallen
37,,,kümmern,"to take care (refl.), to trouble, to concern","prendre soin (réfl.), être troublé par, se préoccuper",kümmere/kümmere mich,kümmerst/kümmerst dich,kümmert/kümmert sich,kümmern/kümmern uns,kümmert/kümmert euch,kümmern/kümmern sich
37,,,drücken,"to press, to push","appuyer, pousser",drücke,drückst,drückt,drücken,drückt,drücken
37,,,putzen,"to clean, to rub","nettoyer, frotter",putze,putzt,putzt,putzen,putzt,putzen
37,,,einkaufen,to shop,"faire les courses, faire du shopping",kaufe ein,kaufst ein,kauft ein,kaufen ein,kauft ein,kaufen ein
38,,,bestimmen,"to determine, to assign, to decide, to ascertain","déterminer, fixer, décider, identifier, assigner",bestimme,bestimmst,bestimmt,bestimmen,bestimmt,bestimmen
38,,,lösen,"to loosen, to solve, to separate, to remove","desserrer, résoudre, séparer, enlever",löse,löst,löst,lösen,löst,lösen
38,,,unterstützen,"to support, to provide help","soutenir, apporter de l'aide",unterstütze,unterstützt,unterstützt,unterstützen,unterstützt,unterstützen
38,,,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to","pratiquer (sport), propulser, mettre en avant, pousser (au sens figuré), baiser, flotter, germer, se lever",treibe,treibst,treibt,treiben,treibt,treiben
38,,,tanzen,to dance,danser,tanze,tanzt,tanzt,tanzen,tanzt,tanzen
39,,,studieren,"to study, to major in (a subject)","étudier, se spécialiser dans (une matière)",studiere,studierst,studiert,studieren,studiert,studieren
39,,,schmecken,"to taste, to be tasty, to enjoy (with Dat.)","être savoureux, apprécier (avec Dat.)",schmecke,schmeckst,schmeckt,schmecken,schmeckt,schmecken
39,,,streiten,"to argue, to fight, to quarrel","se disputer, se battre, se quereller",streite,streitest,streitet,streiten,streitet,streiten
39,,,entwickeln,"to develop, to evolve, to create","développer, évoluer, créer",entwickle,entwickelst,entwickelt,entwickeln,entwickelt,entwickeln
39,,,beenden,"to finish, to end, to complete","finir, terminer, achever",beende,beendest,beendet,beenden,beendet,beenden
40,,,wechseln,"to change, to switch, to exchange","changer, échanger",wechsle,wechselst,wechselt,wechseln,wechselt,wechseln
40,,,erhalten,"to receive, to get, to obtain, to preserve","recevoir, obtenir, acquérir, préserver",erhalte,erhältst,erhält,erhalten,erhaltet,erhalten
40,,,erlauben,"to allow, to permit","permettre, donner l'autorisation",erlaube,erlaubst,erlaubt,erlauben,erlaubt,erlauben
40,,,verdienen,"to earn, to deserve","gagner, mériter",verdiene,verdienst,verdient,verdienen,verdient,verdienen
40,,,rufen,"to call, to shout, to summon","appeler, crier, convoquer",rufe,rufst,ruft,rufen,ruft,rufen
