exercise,question,answer,german,english,french,transitivity_english,transitivity_french
6,,wünschen,wünschen,to wish,souhaiter,Sometimes Reflexive,Parfois Réfléchi
6,,passen,passen,"to fit, to suit","s'adapter, convenir",,
6,,folgen,folgen,to follow,suivre,,
6,,aussehen,aussehen,"to look like, to appear","paraître, ressembler, apparaître",,
6,,träumen,träumen,to dream,rêver,Sometimes Reflexive,Parfois Réfléchi
6,,fernsehen,fernsehen,to watch TV,regarder la télévision,,
6,,schwimmen,schwimmen,"to swim, to float","nager, flotter",,
6,,antworten,antworten,"to answer, to reply","répondre, répliquer",,
7,,wählen,wählen,"to choose, to dial (a number), to vote","choisir, composer (un numéro), voter",,
7,,ausgehen,ausgehen,"to go out, to run out (e.g. of money)","sortir, être à court (par exemple d'argent)",Sometimes Reflexive,Parfois Réfléchi
7,,zählen,zählen,to count,compter,,
7,,ankommen,ankommen,"to arrive, to depend on something","arriver, dépendre de quelque chose",,
7,,dauern,dauern,"to last, to take (time)","durer, prendre (du temps)",,
7,,anmelden,anmelden,"to register, to sign up, to sign on",s'inscrire,Sometimes Reflexive,Parfois Réfléchi
7,,lassen,lassen,"to let, to leave, to allow","laisser, quitter, permettre",Sometimes Reflexive,Parfois Réfléchi
7,,verlassen,verlassen,"to leave, to trust with something (refl.), to pass away, to die","partir, confier quelque chose (réfl.), décéder, mourir",Sometimes Reflexive,Parfois Réfléchi
7,,bewegen,bewegen,to move,se déplacer,Sometimes Reflexive,Parfois Réfléchi
7,,hängen,hängen,"to hang, to be fond of, depend on","accrocher, aimer, dépendre de",Sometimes Reflexive,Parfois Réfléchi
7,,mieten,mieten,"to rent, to hire","louer, embaucher",,
7,,rauchen,rauchen,to smoke (e.g. a cigarette),fumer (par exemple une cigarette),,
7,,sterben,sterben,to die,mourir,,
7,,heiraten,heiraten,to marry,se marier,,
7,,kämpfen,kämpfen,"to fight, to struggle","se battre, lutter",,
7,,fehlen,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant",,
7,,sorgen,sorgen,"to care, to worry","se soucier, s'inquiéter",Sometimes Reflexive,Parfois Réfléchi
7,,vorstellen,vorstellen,"to introduce, to present oneself (refl.), to move forward, to represent","introduire, se présenter (réfl.), représenter",Sometimes Reflexive,Parfois Réfléchi
7,,entscheiden/sich entscheiden,entscheiden,to decide,décider,Mostly Reflexive,Principalement Réfléchi
7,,vermissen,vermissen,to miss something or someone,se manquer quelque chose ou quelqu'un,,
8,,werfen,werfen,to throw,"jeter, lancer",,
8,,teilen,teilen,"to split, to share, to divide","diviser, partager",,
8,,bauen,bauen,to build,construire,,
8,,melden,melden,"to report, to register","signaler, enregistrer",Sometimes Reflexive,Parfois Réfléchi
8,,brechen,brechen,to break,"casser, briser",Sometimes Reflexive,Parfois Réfléchi
8,,steigen,steigen,"to ascend, to climb, to rise","monter, grimper, s'élever",,
8,,singen,singen,to sing,chanter,,
8,,empfehlen,empfehlen,"to recommend, to suggest","recommander, suggérer",Sometimes Reflexive,Parfois Réfléchi
8,,bitten,bitten,"to ask, to beg, to plead, to request","demander, prier (quelqu'un de faire quelque chose), requérir, inviter poliment",,
8,,merken,merken,"to notice, to realise, to remember (refl.)","remarquer, se rendre compte, se souvenir (réfl.)",Sometimes Reflexive,Parfois Réfléchi
8,,stören,stören,"to disturb, to interfere","déranger, interférer",,
8,,annehmen,annehmen,"to accept, to assume (a hypothesis), to receive, to suppose","accepter, supposer (une hypothèse), recevoir",,
8,,aussteigen,aussteigen,"to exit, to get off","sortir, descendre",,
8,,einsteigen,einsteigen,"to enter, to get in, to board","entrer, monter à bord, embarquer",,
8,,vorbereiten,vorbereiten,"to prepare, to get ready, to prepare in advance",se préparer,Sometimes Reflexive,Parfois Réfléchi
8,,umziehen,umziehen,"to move (house), to change clothes","déménager, changer de vêtements",Sometimes Reflexive,Parfois Réfléchi
8,,vergleichen,vergleichen,to compare,comparer,Sometimes Reflexive,Parfois Réfléchi
8,,entdecken,entdecken,"to discover, to find","découvrir, trouver",,
8,,planen,planen,"to plan, to schedule","planifier, programmer",,
8,,üben,üben,"to practice, to exercise, to rehearse","pratiquer, s'exercer, répéter",Sometimes Reflexive,Parfois Réfléchi
9,,,verändern,"to alter, to change something","modifier, changer quelque chose",Sometimes Reflexive,Parfois Réfléchi
9,,,stattfinden,"to take place, to occur","avoir lieu, se produire",,
9,,,stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder",,
9,,,versprechen,"to promise, to hope for, to misspeak","promettre, espérer",Sometimes Reflexive,Parfois Réfléchi
9,,,erkennen,"to recognize, to realise","reconnaître, réaliser",,
9,,,besitzen,"to own, to possess, to have","posséder, avoir",,
9,,,übernehmen,to take over,"prendre le relais, prendre le contrôle",,
9,,,enthalten,"to contain, to include","contenir, inclure",,
9,,,dienen,"to serve, to function","servir, fonctionner",,
9,,,verschwinden,"to disappear, to get lost","disparaître, se perdre",,
9,,,schützen,"to defend (lawyer), to protect (sunprotection)","défendre (avocat), protéger (protection solaire)",Sometimes Reflexive,Parfois Réfléchi
9,,,nennen,"to name, to call someone something, to mention","nommer, appeler quelqu'un par quelque chose, mentionner",,
9,,,schätzen,"to appreciate, to evaluate, to guess","apprécier, évaluer",,
9,,,erwarten,"to expect, to await",s'attendre à,,
9,,,behalten,to keep,garder,,
9,,,verpassen,"to miss (to be late for something, e.g. a train)","manquer (être en retard pour quelque chose, par exemple un train)",,
9,,,schenken,"to gift, to give as a present","offrir, faire un cadeau",,
9,,,wachsen,"to grow, to increase","grandir, augmenter",,
9,,,springen,"to spring, to jump","sauter, bondir",,
9,,,befinden,"to be located (refl.), to find, to consider (formal)","être localisé (réfl.), trouver, considérer (formel)",Mostly Reflexive,Principalement Réfléchi
10,,,fallen,"to fall, to fall in battle, to collapse","tomber, tomber au combat, s'effondrer",Sometimes Reflexive,Parfois Réfléchi
10,,,kümmern,"to take care (refl.), to trouble, to concern","prendre soin (réfl.), être troublé par, se préoccuper",Mostly Reflexive,Principalement Réfléchi
10,,,drücken,"to press, to push","appuyer, pousser",Sometimes Reflexive,Parfois Réfléchi
10,,,putzen,"to clean, to rub","nettoyer, frotter",Sometimes Reflexive,Parfois Réfléchi
10,,,einkaufen,to shop,"faire les courses, faire du shopping",,
10,,,bestimmen,"to determine, to assign, to decide, to ascertain","déterminer, fixer, décider, identifier, assigner",Sometimes Reflexive,Parfois Réfléchi
10,,,lösen,"to loosen, to solve, to separate, to remove","desserrer, résoudre, séparer, enlever",Sometimes Reflexive,Parfois Réfléchi
10,,,unterstützen,"to support, to provide help","soutenir, apporter de l'aide",,
10,,,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to","pratiquer (sport), propulser, mettre en avant, pousser (au sens figuré), baiser, flotter, germer, se lever",Sometimes Reflexive,Parfois Réfléchi
10,,,tanzen,to dance,danser,,
10,,,studieren,"to study, to major in (a subject)","étudier, se spécialiser dans (une matière)",,
10,,,schmecken,"to taste, to be tasty, to enjoy (with Dat.)","être savoureux, apprécier (avec Dat.)",,
10,,,streiten,"to argue, to fight, to quarrel","se disputer, se battre, se quereller",Sometimes Reflexive,Parfois Réfléchi
10,,,entwickeln,"to develop, to evolve, to create","développer, évoluer, créer",Sometimes Reflexive,Parfois Réfléchi
10,,,beenden,"to finish, to end, to complete","finir, terminer, achever",,
10,,,wechseln,"to change, to switch, to exchange","changer, échanger",Sometimes Reflexive,Parfois Réfléchi
10,,,erhalten,"to receive, to get, to obtain, to preserve","recevoir, obtenir, acquérir, préserver",,
10,,,erlauben,"to allow, to permit","permettre, donner l'autorisation",Sometimes Reflexive,Parfois Réfléchi
10,,,verdienen,"to earn, to deserve","gagner, mériter",,
10,,,rufen,"to call, to shout, to summon","appeler, crier, convoquer",,
11,,,fliegen,"to fly, to travel by plane","voler, voyager en avion",Sometimes Reflexive,Parfois Réfléchi
11,,,testen,"to test, to examine","tester, examiner",,
11,,,kontrollieren,"to control, to check","contrôler, vérifier",,
11,,,probieren,"to try, to taste, to sample, to probe","essayer, goûter, échantillonner, sonder",Sometimes Reflexive,Parfois Réfléchi
11,,,kennenlernen,"to meet someone, to get to know someone","rencontrer quelqu'un, apprendre à connaître quelqu'un",Sometimes Reflexive,Parfois Réfléchi
11,,,stehlen,to steal,voler,,
11,,,ersetzen,"to replace, to substitute, to compensate for","remplacer, substituer, compenser",,
11,,,leiden,"to suffer, to endure, to bear","souffrir, endurer, supporter",,
11,,,diskutieren,"to discuss, to debate","discuter, débattre",,
11,,,vorschlagen,"to suggest, to propose","suggérer, proposer",,
11,,,teilnehmen,"to participate, to take part, to partake","participer, prendre part",,
11,,,überprüfen,"to check, to examine, to verify","vérifier, examiner",,
11,,,beraten,"to advise, to consult, to discuss","conseiller, consulter, discuter",Sometimes Reflexive,Parfois Réfléchi
11,,,bewerben,"to apply (for a job, position)","postuler (à un emploi, un poste)",Mostly Reflexive,Principalement Réfléchi
11,,,korrigieren,"to correct, to fix, to revise","corriger, réparer, réviser",,
11,,,anbieten,"to offer, to provide, to propose","offrir, fournir, proposer",Sometimes Reflexive,Parfois Réfléchi
11,,,mitnehmen,"to take along, to take with",emporter,Sometimes Reflexive,Parfois Réfléchi
11,,,mitbringen,"to bring along, to bring with",apporter,,
11,,,sammeln,"to collect, to gather, to accumulate","recueillir, rassembler, accumuler",Sometimes Reflexive,Parfois Réfléchi
11,,,aufpassen,"to pay attention, to watch out, to take care","faire attention, prendre soin",,
12,,,hassen,"to hate, to detest","haïr, détester",,
12,,,ärgern,"to annoy, to irritate, to anger","irriter, mettre en colère",Sometimes Reflexive,Parfois Réfléchi
12,,,heben,"to lift, to raise","soulever, élever",,
12,,,abholen,"to pick up, to collect","ramasser, collecter",,
12,,,wirken,"to have an effect, to work","avoir un effet, functionner",,
12,,,verletzen,"to injure, to hurt, to violate","blesser, faire du mal, être violent",Sometimes Reflexive,Parfois Réfléchi
12,,,zustimmen,"to agree, to consent, to approve","être d'accord, consentir, approuver",,
12,,,trennen,"to separate, to divide, to split","séparer, diviser",Sometimes Reflexive,Parfois Réfléchi
12,,,greifen,"to grab, to grasp, to seize","saisir, s'emparer",Sometimes Reflexive,Parfois Réfléchi
12,,,entfernen,"to remove, to eliminate","supprimer, éliminer",Sometimes Reflexive,Parfois Réfléchi
12,,,sich verlieben,to fall in love,tomber amoureux,Always Reflexive,Toujours Réfléchi
12,,,aufräumen,"to tidy up, to clean up, to clear","ranger, nettoyer, débarrasser",,
12,,,beschreiben,"to describe, to depict","décrire, représenter",,
12,,,verbinden,"to connect, to link, to join, to bandage","connecter, lier, joindre, bander",Sometimes Reflexive,Parfois Réfléchi
12,,,abhängen,"to depend on, to hang out (coll.)","dépendre de, fréquenter (coll.)",Sometimes Reflexive,Parfois Réfléchi
12,,,telefonieren,to talk on the phone,parler au téléphone,,
12,,,zurückgeben,"to return, to give back, to answer back","rendre, répondre",,
12,,,mitkommen,"to come along, to keep up","venir, suivre",,
12,,,rennen,"to run, to race, to sprint","courir, faire la course, sprinter",Sometimes Reflexive,Parfois Réfléchi
12,,,ausruhen,"to rest, to relax","se reposer, se détendre",Mostly Reflexive,Principalement Réfléchi
13,,,entspannen,"to relax, to unwind","se détendre, se relaxer",Mostly Reflexive,Principalement Réfléchi
13,,,verbringen,"to spend (time), to pass",passer (du temps),,
13,,,vorhaben,"to intend, to plan, to be up to","avoir l'intention de, planifier, être à la hauteur",,
13,,,erleben,"to experience, to live through","expérimenter, vivre",,
13,,,malen,"to paint, to draw","peindre, dessiner",,
13,,,sich erholen,"to recover, to recuperate","récupérer, se rétablir",Always Reflexive,Toujours Réfléchi
13,,,erfahren,"to learn, to find out, to experience","apprendre, découvrir, expérimenter",,
13,,,besichtigen,"to visit, to tour, to inspect","visiter, faire un tour, inspecter",,
13,,,spazieren,"to stroll, to walk leisurely","flâner, marcher tranquillement",,
13,,,wandern,"to hike, to wander, to migrate","faire de la randonnée, errer, migrer",,
13,,,trainieren,"to train, to practice, to coach","entraîner, pratiquer, coacher",Sometimes Reflexive,Parfois Réfléchi
13,,,buchen,"to book, to reserve",réserver,,
13,,,überraschen,to surprise,surprendre,Sometimes Reflexive,Parfois Réfléchi
13,,,verbieten,"to forbid, to prohibit","interdire, prohiber",,
13,,,unterschreiben,"to sign, to subscribe, to unterwrite","signer, souscrire",,
13,,,empfangen,"to receive, to welcome, to greet","recevoir, accueillir, saluer",,
13,,,bestellen,"to order, to reserve","commander, réserver",,
13,,,liefern,"to deliver, to supply","livrer, approvisionner",,
13,,,vertrauen,to trust,faire confiance,,
13,,,raten,"to advise, to recommend, to guess","conseiller, recommander, deviner",,
14,,,schneiden,"to cut, to slice","couper, trancher",Sometimes Reflexive,Parfois Réfléchi
14,,,sparen,"to save, to conserve","sauver, conserver",,
14,,,braten,"to fry, to roast, to sauté","frire, rôtir, sauter",,
14,,,backen,to bake,cuire (du pain ou des pâtisseries),,
14,,,senden,"to send, to broadcast","envoyer, diffuser",,
14,,,reservieren,"to reserve, to book",réserver,,
14,,,aufnehmen,"to record, to take in, to absorb, to include","enregistrer, assimiler, absorber, inclure",Sometimes Reflexive,Parfois Réfléchi
14,,,verbessern,"to improve, to enhance, to correct","améliorer, renforcer, corriger",Sometimes Reflexive,Parfois Réfléchi
14,,,sichern,"to secure, to safeguard, to back up","sécuriser, sauvegarder",Sometimes Reflexive,Parfois Réfléchi
14,,,beantworten,"to answer, to reply to (transitive)","répondre, répliquer à (transitif)",,
14,,,beschäftigen,"to employ, to occupy, to engage","employer, occuper, engager",Mostly Reflexive,Principalement Réfléchi
14,,,weinen,"to cry, to weep","pleurer, sangloter",,
14,,,nutzen,"to use, to utilize, to benefit from","utiliser, exploiter, bénéficier de",,
14,,,besprechen,"to discuss, to talk about","discuter, parler de",,
14,,,erfinden,"to invent, to make up, to fabricate","inventer, fabriquer",,
14,,,rechnen,"to calculate, to expect, to count on","calculer, s'attendre à, compter sur",Sometimes Reflexive,Parfois Réfléchi
14,,,unterrichten,"to teach, to instruct, to inform","enseigner, instruire, informer",,
14,,,bestehen,"to pass, to exist, to consist, to insist","passer, exister, consister, insister",,
14,,,abschließen,"to complete, to conclude, to lock","compléter, conclure, verrouiller",Sometimes Reflexive,Parfois Réfléchi
14,,,bilden,"to form, to constitute, to educate","former, constituer, éduquer",Sometimes Reflexive,Parfois Réfléchi
15,,,ausbilden,"to train, to educate, to develop","former, éduquer, développer (une compétence)",Sometimes Reflexive,Parfois Réfléchi
15,,,herausfinden,"to find out, to discover, to figure out","découvrir, comprendre",,
15,,,konzentrieren,"to concentrate, to focus","se concentrer, se focaliser",Mostly Reflexive,Principalement Réfléchi
15,,,küssen,"to kiss, to make out","embrasser, peloter",Sometimes Reflexive,Parfois Réfléchi
15,,,zurückkommen,"to come back, to return","revenir, retourner",,
15,,,zerstören,"to destroy, to ruin","détruire, ruiner",,
15,,,enden,"to end, to finish, to conclude","terminer, achever, conclure",,
15,,,achten,"to respect, to pay attention to, to heed","respecter, prêter attention à",Sometimes Reflexive,Parfois Réfléchi
15,,,absagen,"to cancel, to call off",annuler,,
15,,,spüren,"to feel, to sense, to perceive","sentir, pressentir, percevoir",,
15,,,atmen,to breathe,respirer,,
15,,,lächeln,to smile,sourire,,
15,,,empfinden,"to feel, to sense, to perceive","sentir, pressentir, percevoir",,
15,,,beobachten,"to observe, to watch, to monitor","observer, surveiller",,
15,,,riechen,"to smell, to scent, to sniff, to reek","sentir, flairer, renifler, empester",Sometimes Reflexive,Parfois Réfléchi
15,,,schlagen,"to hit, to beat, to strike, to defeat","frapper, battre, vaincre",Sometimes Reflexive,Parfois Réfléchi
15,,,messen,"to measure, to gauge","mesurer, jauger",Sometimes Reflexive,Parfois Réfléchi
15,,,spülen,"to rinse, to wash, to flush","rincer, laver, tirer la chasse",Sometimes Reflexive,Parfois Réfléchi
15,,,lügen,"to lie, to tell a falsehood","mentir, dire une fausseté",,
15,,,schreien,"to scream, to shout, to yell","crier, hurler",,
16,,,informieren,"to inform, to notify","informer, notifier",Sometimes Reflexive,Parfois Réfléchi
16,,,reagieren,"to react, to respond","réagir, répondre",,
16,,,herunterladen,to download,télécharger,,
16,,,berichten,"to report, to inform, to cover","signaler, informer, couvrir",,
16,,,organisieren,"to organize, to arrange","organiser, arranger",Sometimes Reflexive,Parfois Réfléchi
16,,,begrüßen,"to greet, to welcome","saluer, accueillir",,
16,,,umsteigen,"to change, to transfer, to switch","changer, transférer, commuter",,
16,,,enttäuschen,"to disappoint, to let down","décevoir, laisser tomber",Sometimes Reflexive,Parfois Réfléchi
16,,,laden,"to load, to charge, to invite","charger, inviter",,
16,,,fotografieren,"to take a photo, to photograph","prendre une photo, photographier",,
16,,,frühstücken,to have breakfast,prendre le petit déjeuner,,
16,,,handeln,"to act, to deal, to trade, to negotiate","agir, traiter, commercer, négocier",,
16,,,leihen,"to lend, to borrow","prêter, emprunter",Sometimes Reflexive,Parfois Réfléchi
16,,,vermeiden,"to avoid, to prevent","éviter, empêcher",,
16,,,erhöhen,"to increase, to raise, to enhance","augmenter, élever, rehausser",Sometimes Reflexive,Parfois Réfléchi
16,,,fliehen,"to flee, to escape, to diverge","fuir, s'échapper, diverger",,
16,,,verstecken,"to hide, to conceal","cacher, dissimuler",Sometimes Reflexive,Parfois Réfléchi
16,,,retten,"to save, to rescue","sauver, secourir",Sometimes Reflexive,Parfois Réfléchi
16,,,übernachten,"to stay overnight, to spend the night",passer la nuit,,
16,,,ausgeben,"to spend, to expend, to issue","dépenser, émettre",Sometimes Reflexive,Parfois Réfléchi
17,,verändern,verändern,"to alter, to change something","modifier, changer quelque chose",Sometimes Reflexive,Parfois Réfléchi
17,,stattfinden,stattfinden,"to take place, to occur","avoir lieu, se produire",,
17,,stimmen,stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder",,
17,,versprechen,versprechen,"to promise, to hope for, to misspeak","promettre, espérer",Sometimes Reflexive,Parfois Réfléchi
17,,erkennen,erkennen,"to recognize, to realise","reconnaître, réaliser",,
17,,besitzen,besitzen,"to own, to possess, to have","posséder, avoir",,
17,,übernehmen,übernehmen,to take over,"prendre le relais, prendre le contrôle",,
