Nr,exercise,level_verben,Nr_verben,level_noun,level_goethe,level_routledge,question,answer,german,root_english,english,root_french,french,german_verb,english_verb,french_verb,german_noun,english_noun,french_noun,gender_english,gender_french
55,3,A1,74,A1,B1,A1,die Erinnerung,erinnern,,the memory,"to remind, to remember (refl.)",le souvenir,"rappeler, se souvenir (réfl.)",erinnern,"to remind, to remember (refl.)","rappeler, se souvenir (réfl.)",die Erinnerung,the memory,le souvenir,,
56,3,A1,75,A1,B1,A1,das Gefühl,fühlen,,the feeling,"to feel, to feel something (refl.)",le sentiment,"sentir, ressentir quelque chose (réfl.)",fühlen,"to feel, to feel something (refl.)","sentir, ressentir quelque chose (réfl.)",das Gefühl,the feeling,le sentiment,,
57,3,A1,85,A2,B1,A1,der Gewinn,gewinnen,,the victory,to win,la victoire,gagner,gewinnen,to win,gagner,der Gewinn,the victory,la victoire,,
58,3,A1,94,A2,,A2,der Verkauf,verkaufen,,the sale,to sell,la vente,vendre,verkaufen,to sell,vendre,der Verkauf,the sale,la vente,,
59,3,A1,19,A1,B1,A1,die Rede,reden,,the speech,to talk,le discours,"parler, discuter",reden,to talk,"parler, discuter",die Rede,the speech,le discours,,
60,3,A1,8,A1,B1,A1,die Möglichkeit,mögen,,"the possibility, the likelihood",to like,"la possibilité, la probabilité","aimer, apprécier",mögen,to like,"aimer, apprécier",die Möglichkeit,"the possibility, the likelihood","la possibilité, la probabilité",,
61,4,A1,10,A2,B1,,wissen,das Wissen,,"to know, to have knowledge",the knowledge,savoir,la connaissance,wissen,"to know, to have knowledge",savoir,das Wissen,the knowledge,la connaissance,Neuter,Neutre
62,4,A1,10,A2,,A1,wissen,die Wissenschaft,,"to know, to have knowledge",the science,savoir,la science,wissen,"to know, to have knowledge",savoir,die Wissenschaft,the science,la science,Feminine,Féminin
63,4,A1,10,A2,B1,A2,wissen,der Wissenschaftler,,"to know, to have knowledge",the scientist,savoir,le scientifique,wissen,"to know, to have knowledge",savoir,der Wissenschaftler,the scientist,le scientifique,Masculine,Masculin
64,4,A1,11,A2,,A1,machen,die Macht,,"to make, to prepare (e.g. food), to do",the power,"faire, préparer (par exemple de la nourriture)",le pouvoir,machen,"to make, to prepare (e.g. food), to do","faire, préparer (par exemple de la nourriture)",die Macht,the power,le pouvoir,Feminine,Féminin
65,4,A1,,B1,A2,B1,übersetzen,die Übersetzung,,to translate,the translation,traduire,la traduction,übersetzen,to translate,traduire,die Übersetzung,the translation,la traduction,Feminine,Féminin
66,4,A1,,A2,A2,B1,anziehen,der Anzug,,"to get dressed, to put on, to dress someone, to attract, to pull",the suit,"s'habiller, mettre, habiller quelqu'un, attirer, tirer",le costume,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer",der Anzug,the suit,le costume,Masculine,Masculin
67,4,A1,,B1,A2,B1,waschen,die Wäsche,,to wash,the laundry,laver,la lessive,waschen,to wash,laver,die Wäsche,the laundry,la lessive,Feminine,Féminin
68,4,A1,,B1,B1,A2,erzählen,die Erzählung,,"to tell, to narrate",the narration,"raconter, narrer",la narration,erzählen,"to tell, to narrate","raconter, narrer",die Erzählung,the narration,la narration,Feminine,Féminin
69,4,A1,,A1,B1,A1,hoffen,die Hoffnung,,to hope,the hope,espérer,l'espoir,hoffen,to hope,espérer,die Hoffnung,the hope,l'espoir,Feminine,Féminin
70,4,A1,,A2,B1,A2,schlafen,der Schlaf,,to sleep,the sleep,dormir,le sommeil,schlafen,to sleep,dormir,der Schlaf,the sleep,le sommeil,Masculine,Masculin
71,4,A1,,A2,B1,A2,kaufen,der Kauf,,to buy,the purchase,acheter,l'achat,kaufen,to buy,acheter,der Kauf,the purchase,l'achat,Masculine,Masculin
72,4,A1,,A1,B1,A1,erklären,die Erklärung,,"to explain, to declare, to assert",the explanation,"expliquer, déclarer, affirmer",l'explication,erklären,"to explain, to declare, to assert","expliquer, déclarer, affirmer",die Erklärung,the explanation,l'explication,Feminine,Féminin
73,4,A1,,A1,B1,A1,bedeuten,die Bedeutung,,"to mean, to signify",the meaning,"vouloir dire, signifier",la signification,bedeuten,"to mean, to signify","vouloir dire, signifier",die Bedeutung,the meaning,la signification,Feminine,Féminin
74,4,A1,,A2,,A1,funktionieren,die Funktion,,"to function, to work",the functionality,fonctionner,la fonctionnalité,funktionieren,"to function, to work",fonctionner,die Funktion,the functionality,la fonctionnalité,Feminine,Féminin
75,4,A1,,A1,B1,A1,erinnern,die Erinnerung,,"to remind, to remember (refl.)",the memory,"rappeler, se souvenir (réfl.)",le souvenir,erinnern,"to remind, to remember (refl.)","rappeler, se souvenir (réfl.)",die Erinnerung,the memory,le souvenir,Feminine,Féminin
76,4,A1,,A1,B1,A1,fühlen,das Gefühl,,"to feel, to feel something (refl.)",the feeling,"sentir, ressentir quelque chose (réfl.)",le sentiment,fühlen,"to feel, to feel something (refl.)","sentir, ressentir quelque chose (réfl.)",das Gefühl,the feeling,le sentiment,Neuter,Neutre
77,4,A1,,A2,B1,A1,gewinnen,der Gewinn,,to win,the victory,gagner,la victoire,gewinnen,to win,gagner,der Gewinn,the victory,la victoire,Masculine,Masculin
78,4,A1,,A2,,A2,verkaufen,der Verkauf,,to sell,the sale,vendre,la vente,verkaufen,to sell,vendre,der Verkauf,the sale,la vente,Masculine,Masculin
79,4,A1,19,A1,B1,A1,reden,die Rede,,to talk,the speech,"parler, discuter",le discours,reden,to talk,"parler, discuter",die Rede,the speech,le discours,Feminine,Féminin
80,4,A1,8,A1,B1,A1,mögen,die Möglichkeit,,to like,"the possibility, the likelihood","aimer, apprécier","la possibilité, la probabilité",mögen,to like,"aimer, apprécier",die Möglichkeit,"the possibility, the likelihood","la possibilité, la probabilité",Feminine,Féminin
81,5,A2,101,A1,A1,A1,die Stelle,stellen,,the position (work),"to position, to put, to catch",le poste (travail),"positionner, mettre",stellen,"to position, to put, to catch","positionner, mettre",die Stelle,the position (work),le poste (travail),,
82,5,A2,107,A1,A2,A1,der Besuch,besuchen,,the visit,to visit,la visite,visiter,besuchen,to visit,visiter,der Besuch,the visit,la visite,,
83,5,A2,108,A1,B1,A1,die Freude,freuen,,the joy,"to make glad, to be glad (refl.), to look forward (refl.)",la joie,"rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)",freuen,"to make glad, to be glad (refl.), to look forward (refl.)","rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)",die Freude,the joy,la joie,,
84,5,A2,109,A2,,,der Schloss,schließen,,the castle,"to shut, to close, to lock, to conclude",le château,"fermer, clore, verrouiller, conclure",schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",der Schloss,the castle,le château,,
85,5,A2,109,A1,A1,A2,der Schlüssel,schließen,,the key,"to shut, to close, to lock, to conclude",la clé,"fermer, clore, verrouiller, conclure",schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",der Schlüssel,the key,la clé,,
86,5,A2,110,A2,A1,B1,die Einladung,einladen,,the invitation,"to invite, to load (something into a container)",l'invitation,"inviter, charger (quelque chose dans un conteneur)",einladen,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)",die Einladung,the invitation,l'invitation,,
87,5,A2,112,A1,A2,A1,der Wunsch,wünschen,,the wish,to wish,le souhait,souhaiter,wünschen,to wish,souhaiter,der Wunsch,the wish,le souhait,,
88,5,A2,116,A1,A2,A1,der Traum,träumen,,the dream,to dream,le rêve,rêver,träumen,to dream,rêver,der Traum,the dream,le rêve,,
89,5,A2,119,A1,A1,A1,die Reise,reisen,,the journey,to travel,le voyage,voyager,reisen,to travel,voyager,die Reise,the journey,le voyage,,
90,5,A2,121,A1,A1,A1,die Antwort,antworten,,the answer,"to answer, to reply",la réponse,"répondre, répliquer",antworten,"to answer, to reply","répondre, répliquer",die Antwort,the answer,la réponse,,
91,5,A2,124,A1,A2,A1,die Zahl,zählen,,the number,to count,le nombre,compter,zählen,to count,compter,die Zahl,the number,le nombre,,
92,5,A2,125,A2,A1,,die Ankunft,ankommen,,the arrival,"to arrive, to depend on something",l'arrivée,"arriver, dépendre de quelque chose",ankommen,"to arrive, to depend on something","arriver, dépendre de quelque chose",die Ankunft,the arrival,l'arrivée,,
93,5,A2,127,B1,A1,,die Anmeldung,anmelden,,the registration,"to register, to sign up, to sign on",l'inscription,s'inscrire,anmelden,"to register, to sign up, to sign on",s'inscrire,die Anmeldung,the registration,l'inscription,,
94,5,A2,130,A1,A1,A1,die Hilfe,helfen,,the help,to help,l'aide,aider,helfen,to help,aider,die Hilfe,the help,l'aide,,
95,5,A2,134,A2,A1,B1,die Miete,mieten,,"the rent, the rental","to rent, to hire","le loyer, le loyer","louer, embaucher",mieten,"to rent, to hire","louer, embaucher",die Miete,"the rent, the rental","le loyer, le loyer",,
96,5,A2,139,A1,A1,A1,der Fehler,fehlen,,"the mistake, the fault","to lack, to be absent or missing","l'erreur, la faute","manquer, être absent ou manquant",fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant",der Fehler,"the mistake, the fault","l'erreur, la faute",,
97,6,A2,101,A1,A1,A1,stellen,die Stelle,,"to position, to put, to catch",the position (work),"positionner, mettre",le poste (travail),stellen,"to position, to put, to catch","positionner, mettre",die Stelle,the position (work),le poste (travail),Feminine,Féminin
98,6,A2,107,A1,A2,A1,besuchen,der Besuch,,to visit,the visit,visiter,la visite,besuchen,to visit,visiter,der Besuch,the visit,la visite,Masculine,Masculin
99,6,A2,108,A1,B1,A1,freuen,die Freude,,"to make glad, to be glad (refl.), to look forward (refl.)",the joy,"rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)",la joie,freuen,"to make glad, to be glad (refl.), to look forward (refl.)","rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)",die Freude,the joy,la joie,Feminine,Féminin
100,6,A2,109,A2,,,schließen,der Schloss,,"to shut, to close, to lock, to conclude",the castle,"fermer, clore, verrouiller, conclure",le château,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",der Schloss,the castle,le château,Masculine,Masculin
101,6,A2,109,A1,A1,A2,schließen,der Schlüssel,,"to shut, to close, to lock, to conclude",the key,"fermer, clore, verrouiller, conclure",la clé,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",der Schlüssel,the key,la clé,Masculine,Masculin
102,6,A2,110,A2,A1,B1,einladen,die Einladung,,"to invite, to load (something into a container)",the invitation,"inviter, charger (quelque chose dans un conteneur)",l'invitation,einladen,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)",die Einladung,the invitation,l'invitation,Feminine,Féminin
103,6,A2,112,A1,A2,A1,wünschen,der Wunsch,,to wish,the wish,souhaiter,le souhait,wünschen,to wish,souhaiter,der Wunsch,the wish,le souhait,Masculine,Masculin
104,6,A2,116,A1,A2,A1,träumen,der Traum,,to dream,the dream,rêver,le rêve,träumen,to dream,rêver,der Traum,the dream,le rêve,Masculine,Masculin
105,6,A2,119,A1,A1,A1,reisen,die Reise,,to travel,the journey,voyager,le voyage,reisen,to travel,voyager,die Reise,the journey,le voyage,Feminine,Féminin
106,6,A2,121,A1,A1,A1,antworten,die Antwort,,"to answer, to reply",the answer,"répondre, répliquer",la réponse,antworten,"to answer, to reply","répondre, répliquer",die Antwort,the answer,la réponse,Feminine,Féminin
107,6,A2,124,A1,A2,A1,zählen,die Zahl,,to count,the number,compter,le nombre,zählen,to count,compter,die Zahl,the number,le nombre,Feminine,Féminin
108,6,A2,125,A2,A1,,ankommen,die Ankunft,,"to arrive, to depend on something",the arrival,"arriver, dépendre de quelque chose",l'arrivée,ankommen,"to arrive, to depend on something","arriver, dépendre de quelque chose",die Ankunft,the arrival,l'arrivée,Feminine,Féminin
109,6,A2,127,B1,A1,,anmelden,die Anmeldung,,"to register, to sign up, to sign on",the registration,s'inscrire,l'inscription,anmelden,"to register, to sign up, to sign on",s'inscrire,die Anmeldung,the registration,l'inscription,Feminine,Féminin
110,6,A2,130,A1,A1,A1,helfen,die Hilfe,,to help,the help,aider,l'aide,helfen,to help,aider,die Hilfe,the help,l'aide,Feminine,Féminin
111,6,A2,134,A2,A1,B1,mieten,die Miete,,"to rent, to hire","the rent, the rental","louer, embaucher","le loyer, le loyer",mieten,"to rent, to hire","louer, embaucher",die Miete,"the rent, the rental","le loyer, le loyer",Feminine,Féminin
112,6,A2,139,A1,A1,A1,fehlen,der Fehler,,"to lack, to be absent or missing","the mistake, the fault","manquer, être absent ou manquant","l'erreur, la faute",fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant",der Fehler,"the mistake, the fault","l'erreur, la faute",Masculine,Masculin
113,7,A2,155,A2,A1,A1,die Bitte,bitten,,the request,"to ask, to request",la demande,"demander, requérir",bitten,"to ask, to request","demander, requérir",die Bitte,the request,la demande,,
114,7,A2,173,A1,A1,B1,das Geschenk,schenken,,the gift,"to gift, to give as a present",le cadeau,"offrir, faire un cadeau",schenken,"to gift, to give as a present","offrir, faire un cadeau",das Geschenk,the gift,le cadeau,,
115,7,A2,184,A1,A1,A1,die Lösung,lösen,,the solution,"to loosen, to solve, to separate, to remove",la solution,"desserrer, résoudre, séparer, enlever",lösen,"to loosen, to solve, to separate, to remove","desserrer, résoudre, séparer, enlever",die Lösung,the solution,la solution,,
116,7,A2,188,A1,A1,A1,das Studium,studieren,,the studies,"to study, to major in (a subject)",les études,"étudier, se spécialiser dans (une matière)",studieren,"to study, to major in (a subject)","étudier, se spécialiser dans (une matière)",das Studium,the studies,les études,,
117,7,A2,196,B1,A2,,die Erlaubnis,erlauben,,the permission,"to allow, to permit",l'autorisation,"permettre, donner l'autorisation",erlauben,"to allow, to permit","permettre, donner l'autorisation",die Erlaubnis,the permission,l'autorisation,,
118,7,A2,200,A2,A2,B1,der Flug,fliegen,,the flight,"to fly, to travel by plane",le vol,"voler, voyager en avion",fliegen,"to fly, to travel by plane","voler, voyager en avion",der Flug,the flight,le vol,,
119,7,A2,,A2,A1,A1,der Dank,danken,,"the thanks, the gratitude",to thank,"les remerciements, la gratitude",remercier,danken,to thank,remercier,der Dank,"the thanks, the gratitude","les remerciements, la gratitude",,
120,7,A2,,A2,A1,B1,der Ausgang,ausgehen,,the exit,"to go out, to run out (e.g. of money)",la sortie,"sortir, être à court (par exemple d'argent)",ausgehen,"to go out, to run out (e.g. of money)","sortir, être à court (par exemple d'argent)",der Ausgang,the exit,la sortie,,
121,7,A2,117,A1,B1,A1,das Fernsehen,fernsehen,,the television,to watch TV,la télévision,regarder la télévision,fernsehen,to watch TV,regarder la télévision,das Fernsehen,the television,la télévision,,
122,7,A2,120,B1,A2,B1,die Feier,feiern,,the celebration,to celebrate,la célébration,célébrer,feiern,to celebrate,célébrer,die Feier,the celebration,la célébration,,
123,7,A2,148,A1,B1,A1,das Gebäude,bauen,,the building,to build,le bâtiment,construire,bauen,to build,construire,das Gebäude,the building,le bâtiment,,
124,7,A2,138,A1,B1,A1,der Kampf,kämpfen,,the fight,"to fight, to struggle",le combat,"se battre, lutter",kämpfen,"to fight, to struggle","se battre, lutter",der Kampf,the fight,le combat,,
125,7,A2,141,A2,B1,A1,die Vorstellung,vorstellen,,the introduction,"to introduce, to present oneself (refl.), to move forward, to represent",l'introduction,"introduire, se présenter (réfl.), représenter",vorstellen,"to introduce, to present oneself (refl.), to move forward, to represent","introduire, se présenter (réfl.), représenter",die Vorstellung,the introduction,l'introduction,,
126,7,A2,143,A1,B1,A1,die Entscheidung,entscheiden,,the decision,to decide,la décision,décider,entscheiden,to decide,décider,die Entscheidung,the decision,la décision,,
127,7,A2,180,A1,B1,A1,der Vergleich,vergleichen,,the comparison,to compare,la comparaison,comparer,vergleichen,to compare,comparer,der Vergleich,the comparison,la comparaison,,
128,7,A2,,A1,B1,A2,die Stimmung,stimmen,,"the mood, the atmosphere","to be true, to vote, to tune","l'ambiance, l'atmosphère","être vrai, voter, s'accorder",stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder",die Stimmung,"the mood, the atmosphere","l'ambiance, l'atmosphère",,
129,8,A2,155,A2,A1,A1,bitten,die Bitte,,"to ask, to request",the request,"demander, requérir",la demande,bitten,"to ask, to request","demander, requérir",die Bitte,the request,la demande,Feminine,Féminin
130,8,A2,173,A1,A1,B1,schenken,das Geschenk,,"to gift, to give as a present",the gift,"offrir, faire un cadeau",le cadeau,schenken,"to gift, to give as a present","offrir, faire un cadeau",das Geschenk,the gift,le cadeau,Neuter,Neutre
131,8,A2,184,A1,A1,A1,lösen,die Lösung,,"to loosen, to solve, to separate, to remove",the solution,"desserrer, résoudre, séparer, enlever",la solution,lösen,"to loosen, to solve, to separate, to remove","desserrer, résoudre, séparer, enlever",die Lösung,the solution,la solution,Feminine,Féminin
132,8,A2,188,A1,A1,A1,studieren,das Studium,,"to study, to major in (a subject)",the studies,"étudier, se spécialiser dans (une matière)",les études,studieren,"to study, to major in (a subject)","étudier, se spécialiser dans (une matière)",das Studium,the studies,les études,Neuter,Neutre
