exercise,question,answer,german,english,french,explanation_english,explanation_french,antonym
3,,weit,,far,loin,<br><br>weit ↔ nah,<br><br>weit ↔ nah,nah
3,,nah,,"close, near","proche, près",<br><br>nah ↔ weit,<br><br>nah ↔ weit,weit
3,,lustig,,funny,drôle,​,​,
3,,gesund,,healthy,"sain, en bonne santé",<br><br>gesund ↔ ungesund,<br><br>gesund ↔ ungesund,ungesund
3,,müde,,tired,fatigué,​,​,
3,,dumm,,stupid,stupide,<br><br>dumm ↔ klug,<br><br>dumm ↔ klug,klug
3,,klug,,smart,intelligent,<br><br>klug ↔ dumm,<br><br>klug ↔ dumm,dumm
3,,letzte,,last,dernier,​,​,
3,,erste,,first,premier,​,​,
3,,stark,,strong,fort,<br><br>stark ↔ schwach,<br><br>stark ↔ schwach,schwach
3,,schwach,,weak,faible,<br><br>schwach ↔ stark,<br><br>schwach ↔ stark,stark
4,,krank,,sick,malade,​,​,
4,,orange,,orange,orange,​,​,
4,,rosa,,rose,rose,​,​,
4,,lila,,purple,violet,​,​,
4,,braun,,brown,brun,​,​,
4,,deutsch,,german,allemand,​,​,
4,,möglich,,"possible, likely",possible,<br><br>möglich ↔ unmöglich,<br><br>möglich ↔ unmöglich,unmöglich
4,,unmöglich,,"impossible, unlikely",impossible,<br><br>unmöglich ↔ möglich,<br><br>unmöglich ↔ möglich,möglich
4,,klar,,clear,clair,<br><br>klar ↔ unklar,<br><br>klar ↔ unklar,unklar
4,,schwer,,heavy,lourd,<br><br>schwer ↔ leicht,<br><br>schwer ↔ leicht,leicht
4,,leicht,,light,léger,<br><br>leicht ↔ schwer,<br><br>leicht ↔ schwer,schwer
4,,fertig,,finished,fini,​,​,
4,,kulturell,,cultural,culturel,​,​,
4,,aktuell,,current,actuel,​,​,
4,,dunkel,,dark,sombre,<br><br>dunkel ↔ hell,<br><br>dunkel ↔ hell,hell
4,,hell,,"bright, light, clear","clair, brillant",<br><br>hell ↔ dunkel,<br><br>hell ↔ dunkel,dunkel
4,,praktisch,,practical,pratique,​,​,
4,,ruhig,,"calm, quiet","calme, silencieux",<br><br>ruhig ↔ unruhig,<br><br>ruhig ↔ unruhig,unruhig
4,,leise,,"quiet, soft",silencieux,<br><br>leise ↔ laut,<br><br>leise ↔ laut,laut
4,,laut,,loud,fort,<br><br>laut ↔ leise,<br><br>laut ↔ leise,leise
5,,voll,,"full, fully",plein,<br><br>voll ↔ leer,<br><br>voll ↔ leer,leer
5,,leer,,empty,vide,<br><br>leer ↔ voll,<br><br>leer ↔ voll,voll
5,,breit,,wide,large,<br><br>breit ↔ eng,<br><br>breit ↔ eng,eng
5,,eng,,"tight, narrow","étroit, serré",<br><br>eng ↔ breit,<br><br>eng ↔ breit,breit
5,,zufrieden,,satisfied,satisfait,<br><br>zufrieden ↔ unzufrieden,<br><br>zufrieden ↔ unzufrieden,unzufrieden
5,,unzufrieden,,unsatisfied,insatisfait,<br><br>unzufrieden ↔ zufrieden,<br><br>unzufrieden ↔ zufrieden,zufrieden
5,,hart,,"hard, tough",dur,<br><br>hart ↔ weich,<br><br>hart ↔ weich,weich
5,,weich,,soft,doux,<br><br>weich ↔ hart,<br><br>weich ↔ hart,hart
5,,toll,,great,super,<br><br>toll ↔ schrecklich,<br><br>toll ↔ schrecklich,schrecklich
5,,schrecklich,,terrible,terrible,<br><br>schrecklich ↔ toll,<br><br>schrecklich ↔ toll,toll
5,,wunderbar,,wonderful,merveilleux,​,​,
5,,häufig,,frequent,fréquent,<br><br>häufig ↔ selten,<br><br>häufig ↔ selten,selten
5,,selten,,rare,rare,<br><br>selten ↔ häufig,<br><br>selten ↔ häufig,häufig
5,,sicher,,"safe, secure","sûr, sécurisé",<br><br>sicher ↔ unsicher,<br><br>sicher ↔ unsicher,unsicher
5,,kostenlos,,free of charge,gratuit,​,​,
5,,ähnlich,,similar,similaire,​,​,
5,,dick,,"thick, fat, swollen",épais,<br><br>dick ↔ dünn,<br><br>dick ↔ dünn,dünn
5,,dünn,,thin,mince,<br><br>dünn ↔ dick,<br><br>dünn ↔ dick,dick
5,,warm,,warm,"chaud, doux",<br><br>warm ↔ kühl,<br><br>warm ↔ kühl,kühl
5,,kühl,,cool,"frais, froid",<br><br>kühl ↔ warm,<br><br>kühl ↔ warm,warm
6,,trocken,,dry,sec,<br><br>trocken ↔ nass,<br><br>trocken ↔ nass,nass
6,,nass,,wet,"humide, mouillé",<br><br>nass ↔ trocken,<br><br>nass ↔ trocken,trocken
6,,freundlich,,friendly,amical,<br><br>freundlich ↔ unfreundlich,<br><br>freundlich ↔ unfreundlich,unfreundlich
6,,interessant,,interesting,intéressant,<br><br>interessant ↔ langweilig,<br><br>interessant ↔ langweilig,langweilig
6,,langweilig,,boring,ennuyeux,<br><br>langweilig ↔ interessant,<br><br>langweilig ↔ interessant,interessant
6,,erfolgreich,,successful,"réussi, prospère, fructueux",<br><br>erfolgreich ↔ erfolglos,<br><br>erfolgreich ↔ erfolglos,erfolglos
6,,komisch,,"strange, funny","étrange, drôle",​,​,
6,,faul,,lazy,paresseux,<br><br>faul ↔ fleißig,<br><br>faul ↔ fleißig,fleißig
6,,fleißig,,hardworking,diligent,<br><br>fleißig ↔ faul,<br><br>fleißig ↔ faul,faul
6,,sonnig,,sunny,ensoleillé,​,​,
6,,neblig,,foggy,brumeux,​,​,
6,,windig,,windy,venteux,​,​,
6,,bewölkt,,cloudy,nuageux,​,​,
6,,öffentlich,,public,publique,<br><br>öffentlich ↔ privat,<br><br>öffentlich ↔ privat,privat
6,,privat,,private,privé,<br><br>privat ↔ öffentlich,<br><br>privat ↔ öffentlich,öffentlich
6,,bitter,,bitter,amer,​,​,
6,,süß,,sweet,sucré,​,​,
6,,scharf,,spicy,épicé,​,​,
6,,sauer,,sour,aigre,​,​,
6,,salzig,,salty,salé,​,​,
7,,modern,,modern,moderne,<br><br>modern ↔ traditionell,<br><br>modern ↔ traditionell,traditionell
7,,traditionell,,traditional,traditionnel,<br><br>traditionell ↔ modern,<br><br>traditionell ↔ modern,modern
7,,notwendig,,necessary,nécessaire,<br><br>notwendig ↔ unnötig,<br><br>notwendig ↔ unnötig,unnötig
7,,unnötig,,unnecessary,superflue,<br><br>unnötig ↔ notwendig,<br><br>unnötig ↔ notwendig,notwendig
7,,nutzlos,,useless,inutile,<br><br>nutzlos ↔ nützlich,<br><br>nutzlos ↔ nützlich,nützlich
7,,nützlich,,useful,utile,<br><br>nützlich ↔ nutzlos,<br><br>nützlich ↔ nutzlos,nutzlos
7,,sympathisch,,sympathetic,sympathique,<br><br>sympathisch ↔ unsympathisch,<br><br>sympathisch ↔ unsympathisch,unsympathisch
7,,eigen,,own,propre (le sien),​,​,
7,,tot,,dead,mort,​,​,
7,,lieb,,lovely,"cher, gentil",​,​,
7,,genau,,precise,précis,​,​,
7,,deutlich,,"articulate, clear, distinct, considerable","clair, notable, évident",​,​,
7,,tief,,deep,profond,​,​,
7,,echt,,"real, genuine",réel,​,​,
7,,direkt,,direct,direct,<br><br>direkt ↔ indirekt,<br><br>direkt ↔ indirekt,indirekt
7,,indirekt,,indirect,indirect,<br><br>indirekt ↔ direkt,<br><br>indirekt ↔ direkt,direkt
7,,allgemein,,general,général,​,​,
7,,einzig,,"unique, only, sole","unique, seul",​,​,
7,,gemeinsam,,"common, collective","commun, collectif",​,​,
7,,tatsächlich,,actual,"effectif, réel",​,​,
8,,zusätzlich,,additional,supplémentaire,​,​,
8,,aktiv,,active,actif,<br><br>aktiv ↔ passiv,<br><br>aktiv ↔ passiv,passiv
8,,passiv,,passive,passif,<br><br>passiv ↔ aktiv,<br><br>passiv ↔ aktiv,aktiv
8,,automatisch,,automatic,automatique,<br><br>automatisch ↔ manuell,<br><br>automatisch ↔ manuell,manuell
8,,manuell,,manual,manuel,<br><br>manuell ↔ automatisch,<br><br>manuell ↔ automatisch,automatisch
8,,persönlich,,personal,personnel,​,​,
8,,weiblich,,feminine,féminin,<br><br>weiblich ↔ männlich,<br><br>weiblich ↔ männlich,männlich
8,,männlich,,male,mâle,<br><br>männlich ↔ weiblich,<br><br>männlich ↔ weiblich,weiblich
8,,arbeitslos,,unemployed,"sans emploi, au chômage",<br><br>arbeitslos ↔ berufstätig,<br><br>arbeitslos ↔ berufstätig,berufstätig
8,,streng,,strict,strict,<br><br>streng ↔ flexibel,<br><br>streng ↔ flexibel,flexibel
8,,flexibel,,flexible,flexible,<br><br>flexibel ↔ streng,<br><br>flexibel ↔ streng,streng
8,,frisch,,fresh,frais,​,​,
8,,willkommen,,welcome,accueilli,<br><br>willkommen ↔ unwillkommen,<br><br>willkommen ↔ unwillkommen,unwillkommen
8,,bunt,,colorful,coloré,​,​,
8,,freiwillig,,voluntary,volontaire,<br><br>freiwillig ↔ unfreiwillig,<br><br>freiwillig ↔ unfreiwillig,unfreiwillig
8,,fest,,firm,ferme,​,​,
8,,gleichzeitig,,simultaneous,simultané,​,​,
8,,knapp,,"scarce, short","rare, court",​,​,
8,,menschlich,,human,humain,​,​,
8,,offenbar,,"obvious, evident",évident,​,​,
9,,fremd,,foreign,étranger,​,​,
9,,ständig,,constant,constante,​,​,
9,,zahlreich,,numerous,nombreux,​,​,
9,,üblich,,usual,habituel,​,​,
9,,übrig,,remaining,restant,​,​,
9,,sportlich,,athletic,athlétique,​,​,
9,,typisch,,typical,typique,​,​,
9,,individuell,,individual,individuel,​,​,
9,,positiv,,positive,positif,<br><br>positiv ↔ negativ,<br><br>positiv ↔ negativ,negativ
9,,negativ,,negative,négatif,<br><br>negativ ↔ positiv,<br><br>negativ ↔ positiv,positiv
9,,herzlich,,"warm, cordial","chaleureux, cordial",​,​,
9,,böse,,"evil, angry","méchant, en colère",​,​,
9,,bequem,,"comfortable, convenient","confortable, pratique",<br><br>bequem ↔ unbequem,<br><br>bequem ↔ unbequem,unbequem
9,,natürlich,,"natural, self-evident","naturel, évident",​,​,
9,,gültig,,valid,valide,<br><br>gültig ↔ ungültig,<br><br>gültig ↔ ungültig,ungültig
9,,angenehm,,"pleasant, pleasing",agréable,<br><br>angenehm ↔ unangenehm,<br><br>angenehm ↔ unangenehm,unangenehm
9,,aufmerksam,,attentive,attentif,<br><br>aufmerksam ↔ unaufmerksam,<br><br>aufmerksam ↔ unaufmerksam,unaufmerksam
9,,bereit,,ready,prêt,​,​,
9,,gefährlich,,dangerous,dangereux,<br><br>gefährlich ↔ ungefährlich,<br><br>gefährlich ↔ ungefährlich,ungefährlich
9,,beruflich,,professional,professionnel,​,​,
10,,ehrlich,,honest,honnête,<br><br>ehrlich ↔ unehrlich,<br><br>ehrlich ↔ unehrlich,unehrlich
10,,ernst,,serious,sérieux,​,​,
10,,extrem,,extreme,extrêmement,​,​,
10,,stolz,,proud,fier,​,​,
10,,riesig,,huge,énorme,<br><br>riesig ↔ winzig,<br><br>riesig ↔ winzig,winzig
10,,winzig,,tiny,minuscule,<br><br>winzig ↔ riesig,<br><br>winzig ↔ riesig,riesig
10,,sichtbar,,visible,visible,<br><br>sichtbar ↔ unsichtbar,<br><br>sichtbar ↔ unsichtbar,unsichtbar
10,,unsichtbar,,invisible,invisible,<br><br>unsichtbar ↔ sichtbar,<br><br>unsichtbar ↔ sichtbar,sichtbar
10,,verantwortlich,,responsible,responsable,​,​,
10,,ordentlich,,orderly,ordonné,​,​,
10,,pünktlich,,punctual,ponctuel,​,​,
10,,nervös,,nervous,nerveux,​,​,
10,,kaputt,,broken,cassé,​,​,
10,,furchtbar,,terrible,terrible,​,​,
10,,schwanger,,pregnant,enceinte,​,​,
10,,dankbar,,grateful,reconnaissant,​,​,
10,,fett,,fat,gras,​,​,
10,,stressig,,stressful,stressant,​,​,
10,,neugierig,,"curious, eager",curieux,​,​,
10,,mutig,,courageous,courageux,​,​,
11,,höflich,,"polite, courteous","poli, courtois",<br><br>höflich ↔ unhöflich,<br><br>höflich ↔ unhöflich,unhöflich
11,,unhöflich,,"rude, impolite","malpoli, impoli",<br><br>unhöflich ↔ höflich,<br><br>unhöflich ↔ höflich,höflich
11,,ärgerlich,,annoying,ennuyeux,​,​,
11,,ledig,,"single, celibate",célibataire,​,​,
11,,verheiratet,,married,marié,​,​,
11,,geschieden,,"separated, divorced","séparé, divorcé",​,​,
11,,lecker,,tasty,savoureux,​,​,
11,,offiziell,,official,officiel,<br><br>offiziell ↔ inoffiziell,<br><br>offiziell ↔ inoffiziell,inoffiziell
11,,unabhängig,,independent,indépendant,<br><br>unabhängig ↔ abhängig,<br><br>unabhängig ↔ abhängig,abhängig
11,,abhängig,,dependent,dépendant,<br><br>abhängig ↔ unabhängig,<br><br>abhängig ↔ unabhängig,unabhängig
11,,gemütlich,,"cozy, comfortable","douillet, confortable",​,​,
11,,optimistisch,,optimistic,optimiste,<br><br>optimistisch ↔ pessimistisch,<br><br>optimistisch ↔ pessimistisch,pessimistisch
11,,pessimistisch,,pessimistic,pessimiste,<br><br>pessimistisch ↔ optimistisch,<br><br>pessimistisch ↔ optimistisch,optimistisch
11,,realistisch,,realistic,réaliste,<br><br>realistisch ↔ unrealistisch,<br><br>realistisch ↔ unrealistisch,unrealistisch
11,,offen,,"open, honest","ouvert, franc",<br><br>offen ↔ geschlossen,<br><br>offen ↔ geschlossen,geschlossen
11,,geschlossen,,closed,fermé,<br><br>geschlossen ↔ offen,<br><br>geschlossen ↔ offen,offen
11,,verschieden,,"different, various","divers, différent",​,​,
11,,halb,,half,demi,<br><br>halb ↔ doppelt,<br><br>halb ↔ doppelt,doppelt
11,,doppelt,,double,double,<br><br>doppelt ↔ halb,<br><br>doppelt ↔ halb,halb
11,,kreativ,,creative,créatif,​,​,
12,,billig,günstig,cheap,bon marché,<br><br>billig ↔ ungünstig,<br><br>billig ↔ ungünstig,ungünstig
12,,möglich,wahrscheinlich,"possible, likely",possible,<br><br>möglich ↔ unwahrscheinlich,<br><br>möglich ↔ unwahrscheinlich,unwahrscheinlich
12,,schlecht,schlimm,bad,mauvais,​,​,
12,,glücklich,froh,"happy, glad","heureux, content",​,​,
12,,toll,super,great,super,​,​,
12,,notwendig,erforderlich,necessary,nécessaire,​,​,
12,,notwendig,nötig,necessary,nécessaire,​,​,
12,,verantwortlich,zuständig,responsible,responsable,​,​,
12,,eng,schmal,"tight, narrow","étroit, serré",​,​,
12,,ganz,völlig,"whole, entire, complete","entier, complet",​,​,
12,,toll,klasse,great,super,​,​,
12,,schön,wunderschön,beautiful,beau,​,​,
12,,klug,intelligent,smart,intelligent,​,​,
12,,dumm,blöd,stupid,stupide,​,​,
12,,komisch,seltsam,"strange, funny","étrange, drôle",​,​,
12,,einzig,einzeln,"unique, only, sole","unique, seul",​,​,
12,,richtig,korrekt,"right, correct","correct, juste",​,​,
12,,anders,unterschiedlich,"other, different","autre, différent",​,​,
13,,biologisch,,biological,biologique,​,​,
13,,frech,,cheeky,"effronté, insolent",​,​,
13,,ungünstig,,unfavorable,défavorable,<br><br>ungünstig ↔ günstig,<br><br>ungünstig ↔ günstig,günstig
13,,zukünftig,,future,futur,<br><br>zukünftig ↔ vergangen,<br><br>zukünftig ↔ vergangen,vergangen
13,,regelmäßig,,regular,régulier,<br><br>regelmäßig ↔ unregelmäßig,<br><br>regelmäßig ↔ unregelmäßig,unregelmäßig
13,,unregelmäßig,,irregular,irrégulier,<br><br>unregelmäßig ↔ regelmäßig,<br><br>unregelmäßig ↔ regelmäßig,regelmäßig
13,,endgültig,,"final, ultimate, definitive","final, définitif",​,​,
13,,perfekt,,perfect,parfait,​,​,
13,,ursprünglich,,original,original,​,​,
13,,einsam,,lonely,solitaire,​,​,
13,,vergangen,,past,passé,<br><br>vergangen ↔ zukünftig,<br><br>vergangen ↔ zukünftig,zukünftig
13,,kürzlich,,recent,récent,​,​,
13,,flach,,"flat, shallow","plat, superficiel",<br><br>flach ↔ steil,<br><br>flach ↔ steil,steil
13,,steil,,steep,raide,<br><br>steil ↔ flach,<br><br>steil ↔ flach,flach
13,,besondere,,special,spécial,​,​,
13,,körperlich,,physical,physique,​,​,
13,,sinnvoll,,sensible,sensible,<br><br>sinnvoll ↔ sinnlos,<br><br>sinnvoll ↔ sinnlos,sinnlos
13,,sinnlos,,pointless,inutile,<br><br>sinnlos ↔ sinnvoll,<br><br>sinnlos ↔ sinnvoll,sinnvoll
13,,rechtlich,,legal,légal,<br><br>rechtlich ↔ illegal,<br><br>rechtlich ↔ illegal,illegal
13,,illegal,,illegal,illégal,<br><br>illegal ↔ rechtlich,<br><br>illegal ↔ rechtlich,rechtlich
14,,unsicher,,unsure,incertain,<br><br>unsicher ↔ sicher,<br><br>unsicher ↔ sicher,sicher
14,,wild,,wild,sauvage,​,​,
14,,intensiv,,intensive,intensif,​,​,
14,,durchschnittlich,,average,moyenne,​,​,
14,,alltäglich,,everyday,tous les jours,​,​,
14,,hübsch,,pretty,joli,​,​,
14,,treu,,loyal,loyal,​,​,
14,,schriftlich,,written,écrit,<br><br>schriftlich ↔ mündlich,<br><br>schriftlich ↔ mündlich,mündlich
14,,mündlich,,oral,oral,<br><br>mündlich ↔ schriftlich,<br><br>mündlich ↔ schriftlich,schriftlich
14,,selbstständig,,"self-employed, independent","autonome, indépendant, à son compte",​,​,
14,,finanziell,,financial,financier,​,​,
14,,historisch,,historical,historisch,​,​,
14,,technisch,,technical,technique,​,​,
14,,wesentlich,,"essential, substantial",essentiel,<br><br>wesentlich ↔ unwesentlich,<br><br>wesentlich ↔ unwesentlich,unwesentlich
14,,wirtschaftlich,,economic,économique,​,​,
14,,elektronisch,,electronic,électronique,​,​,
14,,kritisch,,critical,critique,​,​,
14,,unbedingt,,"absolute, unconditional","inconditionnel, absolu",​,​,
14,,dicht,,dense,dense,​,​,
14,,ewig,,eternal,éternel,​,​,
15,,künstlich,,artificial,artificiel,​,​,
15,,ideal,,ideal,idéal,​,​,
15,,relativ,,relative,relatif,​,​,
15,,musikalisch,,musical,musical,​,​,
15,,städtisch,,urban,urbain,<br><br>städtisch ↔ ländlich,<br><br>städtisch ↔ ländlich,ländlich
15,,ländlich,,rural,rural,<br><br>ländlich ↔ stadtisch,<br><br>ländlich ↔ stadtisch,stadtisch
15,,ungefähr,,approximate,"approximate, proche",​,​,
15,,unglaublich,,unbelievable,incroyable,​,​,
15,,wertvoll,,valuable,précieux,<br><br>wertvoll ↔ wertlos,<br><br>wertvoll ↔ wertlos,wertlos
15,,wertlos,,worthless,sans valeur,<br><br>wertlos ↔ wertvoll,<br><br>wertlos ↔ wertvoll,wertvoll
15,,maximal,,"maximum, maximal",maximal,<br><br>maximal ↔ minimal,<br><br>maximal ↔ minimal,minimal
15,,minimal,,minimal,minimal,<br><br>minimal ↔ maximal,<br><br>minimal ↔ maximal,maximal
15,,geheim,,secret,secret,​,​,
15,,zufällig,,random,"aléatoire, fortuit",​,​,
15,,fit,,fit,"en forme, fit",​,​,
15,,schädlich,,harmful,nocif,<br><br>schädlich ↔ harmlos,<br><br>schädlich ↔ harmlos,harmlos
15,,harmlos,,harmless,inoffensif,<br><br>harmlos ↔ schädlich,<br><br>harmlos ↔ schädlich,schädlich
15,,anwesend,,present,présent,<br><br>anwesend ↔ abwesend,<br><br>anwesend ↔ abwesend,abwesend
15,,abwesend,,absent,absent,<br><br>abwesend ↔ anwesend,<br><br>abwesend ↔ anwesend,anwesend
15,,berufstätig,,"employed, working","actif, employé",<br><br>berufstätig ↔ arbeitslos,<br><br>berufstätig ↔ arbeitslos,arbeitslos
16,,elegant,,elegant,élégant,​,​,
16,,fair,,fair,"juste, équitable",<br><br>fair ↔ unfair,<br><br>fair ↔ unfair,unfair
16,,unfair,,unfair,"injuste, inéquitable",<br><br>unfair ↔ fair,<br><br>unfair ↔ fair,fair
16,,fällig,,due,exigible,​,​,
16,,gewöhnlich,,ordinary,"ordinaire, habituel",​,​,
16,,ungewöhnlich,,unusual,inhabituel,​,​,
16,,glatt,,"smooth, slippery",lisse,<br><br>glatt ↔ grob,<br><br>glatt ↔ grob,grob
16,,grob,,rough,grossier,<br><br>grob ↔ glatt,<br><br>grob ↔ glatt,glatt
16,,gründlich,,thorough,"minutieux, rigoureux",​,​,
16,,rechtzeitig,,"timely, punctual",opportun,​,​,
16,,schuldig,,guilty,coupable,<br><br>schuldig ↔ unschuldig,<br><br>schuldig ↔ unschuldig,unschuldig
16,,unschuldig,,innocent,innocent,<br><br>unschuldig ↔ schuldig,<br><br>unschuldig ↔ schuldig,schuldig
16,,vernünftig,,reasonable,raisonnable,​,​,
16,,voraussichtlich,,"expected, anticipated","prévu, anticipé",​,​,
16,,zuverlässig,,reliable,fiable,<br><br>zuverlässig ↔ unzuverlässig,<br><br>zuverlässig ↔ unzuverlässig,unzuverlässig
16,,sparsam,,frugal,économe,​,​,
16,,gesamt,,"total, entire","total, complet",​,​,
16,,giftig,,toxic,toxique,​,​,
16,,satt,,full,rassasié,​,​,
16,,haltbar,,durable,"durable, résistant",​,​,
17,,unhaltbar,,untenable,intenable,​,​,
17,,schick,,chic,chic,​,​,
17,,vegetarisch,,vegetarian,végétarien,​,​,
17,,ängstlich,,anxious,craintif,​,​,
17,,wach,,awake,éveillé,​,​,
17,,blass,,pale,pâle,​,​,
17,,weiter,,further,"plus loin, lointain",​,​,
17,,ehemalig,,former,ancien,<br><br>ehemalig ↔ nächste,<br><br>ehemalig ↔ nächste,nächste
17,,nächste,,next,suivant,<br><br>nächste ↔ ehemalig,<br><br>nächste ↔ ehemalig,ehemalig
17,,gesellschaftlich,,"social, societal","social, sociétale",​,​,
17,,heutig,,"today's, contemporary","actuel, d'aujourd'hui",​,​,
17,,konkret,,"concrete, specific",concret,​,​,
17,,plötzlich,,sudden,soudain,​,​,
17,,täglich,,daily,quotidien,​,​,
17,,jährlich,,yearly,annuel,​,​,
17,,monatlich,,monthly,mensuel,​,​,
17,,wöchentlich,,weekly,hebdomadaire,​,​,
17,,grundsätzlich,,"basic, fundamental",fondamental,​,​,
17,,langfristig,,long-term,à long terme ,<br><br>langfristig ↔ kurzfristig,<br><br>langfristig ↔ kurzfristig,kurzfristig
17,,hungrig,,hungry,affamé,​,​,
18,,durstig,,thirsty,assoiffé,​,​,
18,,kurzfristig,,short-term,à court terme,<br><br>kurzfristig ↔ langfristig,<br><br>kurzfristig ↔ langfristig,langfristig
18,,unbekannt,,unknown,inconnu,​,​,
18,,bekannt,,known,connu,​,​,
18,,attraktiv,,attractive,attrayant,​,​,
18,,egal,,"unimportant, all the same","sans importance, égal",<br><br>egal ↔ wichtig,<br><br>egal ↔ wichtig,wichtig
18,,rein,,pure,pur,<br><br>rein ↔ unrein,<br><br>rein ↔ unrein,unrein
18,,wissenschaftlich,,scientific,scientifique,​,​,
18,,eilig,,"in a hurry, urgent","pressé, urgent",​,​,
18,,gegenseitig,,"mutual, reciprocal, opposite","réciproque, mutuel",​,​,
18,,rund,,round,rond,​,​,
18,,blond,,blond,blond,​,​,
18,,vielfältig,,"diverse, varied","varié, divers",​,​,
18,,nachhaltig,,"sustainable, lasting",durable,​,​,
18,,mild,,mild,doux,​,​,
18,,kräftig,,vigorous,"fort, vigoureux",​,​,
18,,heilig,,holy,sacré,<br><br>heilig ↔ unheilig,<br><br>heilig ↔ unheilig,unheilig
18,,peinlich,,awkward,"embarrassant, gênant",​,​,
18,,verfügbar,,"available, at hand","disponible, accessible",​,​,
18,,vorsichtig,,"careful, cautious","prudent, vigilant",​,​,
19,,lebendig,,"alive, lively","vivant, vif",​,​,
19,,moralisch,,moral,moral,​,​,
