Nr,exercise,level,level_adjektive,level_verb,question,answer,german,english,root_english,french,root_french,adjective_german,adjective_english,adjective_french,verb_german,verb_english,verb_french
14,1,B1,B1,A1,arbeiten,arbeitslos,,unemployed,to work,"sans emploi, au chômage",travailler,arbeitslos,unemployed,"sans emploi, au chômage",arbeiten,to work,travailler
15,1,B1,B1,A1,sehen,sichtbar,,visible,"to see, to realise",visible,"voir, se rendre compte",sichtbar,visible,visible,sehen,"to see, to realise","voir, se rendre compte"
16,2,A2,A2,A1,möglich,mögen,,to like,"possible, likely","aimer, apprécier",possible,möglich,"possible, likely",possible,mögen,to like,"aimer, apprécier"
17,2,A2,A2,A1,kostenlos,kosten,,"to cost, to taste",free of charge,coûter,gratuit,kostenlos,free of charge,gratuit,kosten,"to cost, to taste",coûter
18,2,A2,A2,A1,interessant,interessieren,,"to interest, to be interested in (refl.)",interesting,"intéresser, être intéressé par (réfl.)",intéressant,interessant,interesting,intéressant,interessieren,"to interest, to be interested in (refl.)","intéresser, être intéressé par (réfl.)"
19,2,A2,A2,A2,öffentlich,veröffentlichen,,"to publish, to release",public,"publier, diffuser",publique,öffentlich,public,publique,veröffentlichen,"to publish, to release","publier, diffuser"
20,2,B1,A1,B1,richtig,richten,,"to direct, to adjust, to focus, to judge","right, correct","diriger, ajuster, focaliser, juger","correct, juste",richtig,"right, correct","correct, juste",richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger"
21,2,B1,A1,B1,hoch,erhöhen,,"to increase, to raise, to enhance",high,"augmenter, élever, rehausser",haut,hoch,high,haut,erhöhen,"to increase, to raise, to enhance","augmenter, élever, rehausser"
22,2,B1,A1,B1,weit,erweitern,,"to expand, to broaden, to widen, to extend",far,"étendre, élargir, étendre",loin,weit,far,loin,erweitern,"to expand, to broaden, to widen, to extend","étendre, élargir, étendre"
23,2,B1,A2,B1,klar,klären,,"to clarify, to resolve, to clear up",clear,"clarifier, résoudre, éclaircir",clair,klar,clear,clair,klären,"to clarify, to resolve, to clear up","clarifier, résoudre, éclaircir"
24,2,B1,A2,B1,sicher,sichern,,"to secure, to safeguard, to back up","safe, secure","sécuriser, sauvegarder","sûr, sécurisé",sicher,"safe, secure","sûr, sécurisé",sichern,"to secure, to safeguard, to back up","sécuriser, sauvegarder"
25,2,B1,B1,B1,nutzlos,nutzen,,"to use, to utilize, to benefit from",useless,"utiliser, exploiter, bénéficier de",inutile,nutzlos,useless,inutile,nutzen,"to use, to utilize, to benefit from","utiliser, exploiter, bénéficier de"
26,2,B1,B1,B1,nützlich,nutzen,,"to use, to utilize, to benefit from",useful,"utiliser, exploiter, bénéficier de",utile,nützlich,useful,utile,nutzen,"to use, to utilize, to benefit from","utiliser, exploiter, bénéficier de"
27,2,B1,B1,B1,tot,töten,,"to kill, to slay",dead,"tuer, égorger",mort,tot,dead,mort,töten,"to kill, to slay","tuer, égorger"
28,2,B1,B1,A1,lieb,lieben,,to love,lovely,"aimer, être amoureux de","cher, gentil",lieb,lovely,"cher, gentil",lieben,to love,"aimer, être amoureux de"
29,2,B1,B1,A1,arbeitslos,arbeiten,,to work,unemployed,travailler,"sans emploi, au chômage",arbeitslos,unemployed,"sans emploi, au chômage",arbeiten,to work,travailler
30,2,B1,B1,A1,sichtbar,sehen,,"to see, to realise",visible,"voir, se rendre compte",visible,sichtbar,visible,visible,sehen,"to see, to realise","voir, se rendre compte"
31,3,B1,B1,A1,stehen,ständig,,constant,"to stand, to be, to appear",constante,"être debout, apparaître",ständig,constant,constante,stehen,"to stand, to be, to appear","être debout, apparaître"
32,3,B1,B1,A1,zahlen,zahlreich,,numerous,"to pay (for something), to atone for",nombreux,"payer (pour quelque chose), expier",zahlreich,numerous,nombreux,zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier"
33,3,B1,B1,B1,üben,üblich,,usual,"to practice, to exercise, to rehearse",habituel,"pratiquer, s'exercer, répéter",üblich,usual,habituel,üben,"to practice, to exercise, to rehearse","pratiquer, s'exercer, répéter"
34,3,B1,B1,B1,gelten,gültig,,valid,"to apply, to be valid, to count",valide,"appliquer, être valide, compter",gültig,valid,valide,gelten,"to apply, to be valid, to count","appliquer, être valide, compter"
35,3,B1,B1,A2,merken,aufmerksam,,attentive,"to notice, to realise, to remember (refl.)",attentif,"remarquer, se rendre compte, se souvenir (réfl.)",aufmerksam,attentive,attentif,merken,"to notice, to realise, to remember (refl.)","remarquer, se rendre compte, se souvenir (réfl.)"
36,3,B1,B1,A2,antworten,verantwortlich,,responsible,"to answer, to reply",responsable,"répondre, répliquer",verantwortlich,responsible,responsable,antworten,"to answer, to reply","répondre, répliquer"
37,3,B1,B1,B1,fürchten,furchtbar,,terrible,"to fear, to be afraid of",terrible,avoir peur de,furchtbar,terrible,terrible,fürchten,"to fear, to be afraid of",avoir peur de
38,3,B1,B1,A2,danken,dankbar,,grateful,to thank,reconnaissant,remercier,dankbar,grateful,reconnaissant,danken,to thank,remercier
39,3,B1,B1,B1,ärgern,ärgerlich,,annoying,"to annoy, to irritate, to anger",ennuyeux,"irriter, mettre en colère",ärgerlich,annoying,ennuyeux,ärgern,"to annoy, to irritate, to anger","irriter, mettre en colère"
40,3,B1,B1,B1,scheiden,geschieden,,"separated, divorced","to separate, to divorce, to part","séparé, divorcé","se séparer, divorcer",geschieden,"separated, divorced","séparé, divorcé",scheiden,"to separate, to divorce, to part","se séparer, divorcer"
41,3,B1,B1,A1,öffnen,offen,,"open, honest",to open,"ouvert, franc",ouvrir,offen,"open, honest","ouvert, franc",öffnen,to open,ouvrir
42,3,B1,B1,A2,schließen,geschlossen,,closed,"to shut, to close, to lock, to conclude",fermé,"fermer, clore, verrouiller, conclure",geschlossen,closed,fermé,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure"
43,3,B1,B1,A2,freuen,froh,,"happy, glad","to make glad, to be glad (refl.), to look forward (refl.)","heureux, content","rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)",froh,"happy, glad","heureux, content",freuen,"to make glad, to be glad (refl.), to look forward (refl.)","rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)"
44,3,B1,B1,A1,scheinen,wahrscheinlich,,"possible, likely","to shine, to seem (formal)",possible,"briller, paraître (formel)",wahrscheinlich,"possible, likely",possible,scheinen,"to shine, to seem (formal)","briller, paraître (formel)"
45,4,B1,B1,A1,ständig,stehen,,"to stand, to be, to appear",constant,"être debout, apparaître",constante,ständig,constant,constante,stehen,"to stand, to be, to appear","être debout, apparaître"
46,4,B1,B1,A1,zahlreich,zahlen,,"to pay (for something), to atone for",numerous,"payer (pour quelque chose), expier",nombreux,zahlreich,numerous,nombreux,zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier"
47,4,B1,B1,B1,üblich,üben,,"to practice, to exercise, to rehearse",usual,"pratiquer, s'exercer, répéter",habituel,üblich,usual,habituel,üben,"to practice, to exercise, to rehearse","pratiquer, s'exercer, répéter"
48,4,B1,B1,B1,gültig,gelten,,"to apply, to be valid, to count",valid,"appliquer, être valide, compter",valide,gültig,valid,valide,gelten,"to apply, to be valid, to count","appliquer, être valide, compter"
49,4,B1,B1,A2,aufmerksam,merken,,"to notice, to realise, to remember (refl.)",attentive,"remarquer, se rendre compte, se souvenir (réfl.)",attentif,aufmerksam,attentive,attentif,merken,"to notice, to realise, to remember (refl.)","remarquer, se rendre compte, se souvenir (réfl.)"
50,4,B1,B1,A2,verantwortlich,antworten,,"to answer, to reply",responsible,"répondre, répliquer",responsable,verantwortlich,responsible,responsable,antworten,"to answer, to reply","répondre, répliquer"
51,4,B1,B1,B1,furchtbar,fürchten,,"to fear, to be afraid of",terrible,avoir peur de,terrible,furchtbar,terrible,terrible,fürchten,"to fear, to be afraid of",avoir peur de
52,4,B1,B1,A2,dankbar,danken,,to thank,grateful,remercier,reconnaissant,dankbar,grateful,reconnaissant,danken,to thank,remercier
53,4,B1,B1,B1,ärgerlich,ärgern,,"to annoy, to irritate, to anger",annoying,"irriter, mettre en colère",ennuyeux,ärgerlich,annoying,ennuyeux,ärgern,"to annoy, to irritate, to anger","irriter, mettre en colère"
54,4,B1,B1,B1,geschieden,scheiden,,"to separate, to divorce, to part","separated, divorced","se séparer, divorcer","séparé, divorcé",geschieden,"separated, divorced","séparé, divorcé",scheiden,"to separate, to divorce, to part","se séparer, divorcer"
55,4,B1,B1,A1,offen,öffnen,,to open,"open, honest",ouvrir,"ouvert, franc",offen,"open, honest","ouvert, franc",öffnen,to open,ouvrir
56,4,B1,B1,A2,geschlossen,schließen,,"to shut, to close, to lock, to conclude",closed,"fermer, clore, verrouiller, conclure",fermé,geschlossen,closed,fermé,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure"
57,4,B1,B1,A2,froh,freuen,,"to make glad, to be glad (refl.), to look forward (refl.)","happy, glad","rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)","heureux, content",froh,"happy, glad","heureux, content",freuen,"to make glad, to be glad (refl.), to look forward (refl.)","rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)"
58,4,B1,B1,A1,wahrscheinlich,scheinen,,"to shine, to seem (formal)","possible, likely","briller, paraître (formel)",possible,wahrscheinlich,"possible, likely",possible,scheinen,"to shine, to seem (formal)","briller, paraître (formel)"
59,5,B2,A1,B2,vergrößern,groß,,"big, tall",to enlarge,grand,pour agrandir,groß,"big, tall",grand,vergrößern,to enlarge,pour agrandir
60,5,B2,A1,B2,gleichen,gleich,,same,"to equal, to match, to resemble",même,"égaler, ressembler",gleich,same,même,gleichen,"to equal, to match, to resemble","égaler, ressembler"
61,5,B2,B1,B2,unterscheiden,unterschiedlich,,"other, different","to distinguish, to differentiate","autre, différent","distinguer, différencier",unterschiedlich,"other, different","autre, différent",unterscheiden,"to distinguish, to differentiate","distinguer, différencier"
62,5,B2,A1,B2,verlängern,lang,,long,"to extend, to prolong",long,"étendre, prolonger",lang,long,long,verlängern,"to extend, to prolong","étendre, prolonger"
63,5,B2,A1,B2,stärken,stark,,strong,"to strengthen, to reinforce",fort,"renforcer, consolider",stark,strong,fort,stärken,"to strengthen, to reinforce","renforcer, consolider"
64,5,B2,A2,B2,erleichtern,leicht,,light,"to facilitate, to ease, to relieve",léger,"faciliter, alléger, soulager",leicht,light,léger,erleichtern,"to facilitate, to ease, to relieve","faciliter, alléger, soulager"
65,5,B2,A2,B2,erschrecken,schrecklich,,terrible,"to be frightened, to frighten",terrible,"avoir peur, effrayer",schrecklich,terrible,terrible,erschrecken,"to be frightened, to frighten","avoir peur, effrayer"
66,5,B2,A2,B2,trocknen,trocken,,dry,"to dry, to dehumidify",sec,"sécher, déshumidifier",trocken,dry,sec,trocknen,"to dry, to dehumidify","sécher, déshumidifier"
67,5,B2,A2,B2,erfolgen,erfolgreich,,successful,"to occur, to take place","réussi, prospère, fructueux","se produire, avoir lieu",erfolgreich,successful,"réussi, prospère, fructueux",erfolgen,"to occur, to take place","se produire, avoir lieu"
68,5,B2,B1,B2,eignen,eigen,,own,"to be suitable, to be appropriate",propre (le sien),"être convenable, être approprié",eigen,own,propre (le sien),eignen,"to be suitable, to be appropriate","être convenable, être approprié"
69,5,B2,B1,B2,ordnen,ordentlich,,orderly,"to arrange, to organize, to classify",ordonné,"arranger, organiser, classer",ordentlich,orderly,ordonné,ordnen,"to arrange, to organize, to classify","arranger, organiser, classer"
70,5,B2,B1,B2,abhängen,abhängig,,dependent,"to depend on, to hang out (coll.)",dépendant,"dépendre de, fréquenter (coll.)",abhängig,dependent,dépendant,abhängen,"to depend on, to hang out (coll.)","dépendre de, fréquenter (coll.)"
71,5,B2,B1,B2,erfordern,erforderlich,,necessary,"to require, to demand, to necessitate",nécessaire,"exiger, nécessiter",erforderlich,necessary,nécessaire,erfordern,"to require, to demand, to necessitate","exiger, nécessiter"
72,5,B2,B1,B2,benötigen,nötig,,necessary,"to need, to require (formal)",nécessaire,"avoir besoin, exiger",nötig,necessary,nécessaire,benötigen,"to need, to require (formal)","avoir besoin, exiger"
73,5,B2,B2,B2,regeln,regelmäßig,,regular,"to regulate, to control, to settle",régulier,"réguler, contrôler, régler",regelmäßig,regular,régulier,regeln,"to regulate, to control, to settle","réguler, contrôler, régler"
74,5,B2,B2,B1,vertrauen,treu,,loyal,to trust,loyal,faire confiance,treu,loyal,loyal,vertrauen,to trust,faire confiance
75,5,B2,B2,A1,schreiben,schriftlich,,written,to write,écrit,écrire,schriftlich,written,écrit,schreiben,to write,écrire
76,5,B2,B2,B2,finanzieren,finanziell,,financial,"to finance, to fund",financier,"financer, financer",finanziell,financial,financier,finanzieren,"to finance, to fund","financer, financer"
77,5,B2,B2,A1,sein,wesentlich,,"essential, substantial",to be,essentiel,être,wesentlich,"essential, substantial",essentiel,sein,to be,être
78,5,B2,B2,B1,kritisieren,kritisch,,critical,"to criticize, to censure",critique,"critiquer, censurer",kritisch,critical,critique,kritisieren,"to criticize, to censure","critiquer, censurer"
79,6,B2,A1,B2,groß,vergrößern,,to enlarge,"big, tall",pour agrandir,grand,groß,"big, tall",grand,vergrößern,to enlarge,pour agrandir
80,6,B2,A1,B2,gleich,gleichen,,"to equal, to match, to resemble",same,"égaler, ressembler",même,gleich,same,même,gleichen,"to equal, to match, to resemble","égaler, ressembler"
81,6,B2,B1,B2,unterschiedlich,unterscheiden,,"to distinguish, to differentiate","other, different","distinguer, différencier","autre, différent",unterschiedlich,"other, different","autre, différent",unterscheiden,"to distinguish, to differentiate","distinguer, différencier"
82,6,B2,A1,B2,lang,verlängern,,"to extend, to prolong",long,"étendre, prolonger",long,lang,long,long,verlängern,"to extend, to prolong","étendre, prolonger"
83,6,B2,A1,B2,stark,stärken,,"to strengthen, to reinforce",strong,"renforcer, consolider",fort,stark,strong,fort,stärken,"to strengthen, to reinforce","renforcer, consolider"
84,6,B2,A2,B2,leicht,erleichtern,,"to facilitate, to ease, to relieve",light,"faciliter, alléger, soulager",léger,leicht,light,léger,erleichtern,"to facilitate, to ease, to relieve","faciliter, alléger, soulager"
85,6,B2,A2,B2,schrecklich,erschrecken,,"to be frightened, to frighten",terrible,"avoir peur, effrayer",terrible,schrecklich,terrible,terrible,erschrecken,"to be frightened, to frighten","avoir peur, effrayer"
86,6,B2,A2,B2,trocken,trocknen,,"to dry, to dehumidify",dry,"sécher, déshumidifier",sec,trocken,dry,sec,trocknen,"to dry, to dehumidify","sécher, déshumidifier"
87,6,B2,A2,B2,erfolgreich,erfolgen,,"to occur, to take place",successful,"se produire, avoir lieu","réussi, prospère, fructueux",erfolgreich,successful,"réussi, prospère, fructueux",erfolgen,"to occur, to take place","se produire, avoir lieu"
88,6,B2,B1,B2,eigen,eignen,,"to be suitable, to be appropriate",own,"être convenable, être approprié",propre (le sien),eigen,own,propre (le sien),eignen,"to be suitable, to be appropriate","être convenable, être approprié"
89,6,B2,B1,B2,ordentlich,ordnen,,"to arrange, to organize, to classify",orderly,"arranger, organiser, classer",ordonné,ordentlich,orderly,ordonné,ordnen,"to arrange, to organize, to classify","arranger, organiser, classer"
90,6,B2,B1,B2,abhängig,abhängen,,"to depend on, to hang out (coll.)",dependent,"dépendre de, fréquenter (coll.)",dépendant,abhängig,dependent,dépendant,abhängen,"to depend on, to hang out (coll.)","dépendre de, fréquenter (coll.)"
91,6,B2,B1,B2,erforderlich,erfordern,,"to require, to demand, to necessitate",necessary,"exiger, nécessiter",nécessaire,erforderlich,necessary,nécessaire,erfordern,"to require, to demand, to necessitate","exiger, nécessiter"
92,6,B2,B1,B2,nötig,benötigen,,"to need, to require (formal)",necessary,"avoir besoin, exiger",nécessaire,nötig,necessary,nécessaire,benötigen,"to need, to require (formal)","avoir besoin, exiger"
93,6,B2,B2,B2,regelmäßig,regeln,,"to regulate, to control, to settle",regular,"réguler, contrôler, régler",régulier,regelmäßig,regular,régulier,regeln,"to regulate, to control, to settle","réguler, contrôler, régler"
94,6,B2,B2,B1,treu,vertrauen,,to trust,loyal,faire confiance,loyal,treu,loyal,loyal,vertrauen,to trust,faire confiance
95,6,B2,B2,A1,schriftlich,schreiben,,to write,written,écrire,écrit,schriftlich,written,écrit,schreiben,to write,écrire
96,6,B2,B2,B2,finanziell,finanzieren,,"to finance, to fund",financial,"financer, financer",financier,finanziell,financial,financier,finanzieren,"to finance, to fund","financer, financer"
97,6,B2,B2,A1,wesentlich,sein,,to be,"essential, substantial",être,essentiel,wesentlich,"essential, substantial",essentiel,sein,to be,être
98,6,B2,B2,B1,kritisch,kritisieren,,"to criticize, to censure",critical,"critiquer, censurer",critique,kritisch,critical,critique,kritisieren,"to criticize, to censure","critiquer, censurer"
99,7,B2,B2,A1,können,künstlich,,artificial,"can, to be able to",artificiel,"pouvoir, être capable de",künstlich,artificial,artificiel,können,"can, to be able to","pouvoir, être capable de"
100,7,B2,B2,A1,glauben,unglaublich,,unbelievable,to believe,incroyable,croire,unglaublich,unbelievable,incroyable,glauben,to believe,croire
101,7,B2,B2,B2,schaden,schädlich,,harmful,"to damage, to harm (someone)",nocif,"endommager, nuire (à quelqu'un)",schädlich,harmful,nocif,schaden,"to damage, to harm (someone)","endommager, nuire (à quelqu'un)"
102,7,B2,B2,A2,fallen,fällig,,due,"to fall, to fall in battle, to collapse",exigible,"tomber, tomber au combat, s'effondrer",fällig,due,exigible,fallen,"to fall, to fall in battle, to collapse","tomber, tomber au combat, s'effondrer"
103,7,B2,B2,B1,gewöhnen,gewöhnlich,,ordinary,"to get used to, to accustom oneself","ordinaire, habituel","s'habituer à, s'accoutumer",gewöhnlich,ordinary,"ordinaire, habituel",gewöhnen,"to get used to, to accustom oneself","s'habituer à, s'accoutumer"
104,7,B2,B2,A1,sollen,schuldig,,guilty,"shall, to be asked to (do something), to be supposed to (do something)",coupable,"devoir, être invité (à faire quelque chose)",schuldig,guilty,coupable,sollen,"shall, to be asked to (do something), to be supposed to (do something)","devoir, être invité (à faire quelque chose)"
105,7,B2,B2,A2,verlassen,zuverlässig,,reliable,"to leave, to trust with something (refl.), to pass away, to die",fiable,"partir, confier quelque chose (réfl.), décéder, mourir",zuverlässig,reliable,fiable,verlassen,"to leave, to trust with something (refl.), to pass away, to die","partir, confier quelque chose (réfl.), décéder, mourir"
106,7,B2,B2,B1,sparen,sparsam,,frugal,"to save, to conserve",économe,"sauver, conserver",sparsam,frugal,économe,sparen,"to save, to conserve","sauver, conserver"
107,7,B2,B2,B1,sammeln,gesamt,,"total, entire","to collect, to gather, to accumulate","total, complet","recueillir, rassembler, accumuler",gesamt,"total, entire","total, complet",sammeln,"to collect, to gather, to accumulate","recueillir, rassembler, accumuler"
108,7,B2,B2,A1,halten,haltbar,,durable,"to hold, to stop (a movement), to support, to keep","durable, résistant","tenir, arrêter (un mouvement), soutenir, garder",haltbar,durable,"durable, résistant",halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
109,7,B2,B2,A1,kennen,bekannt,,known,"to know, to be acquainted with, to be familiar with",connu,"connaître, être familier avec",bekannt,known,connu,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec"
110,7,B2,B2,B1,reinigen,rein,,pure,"to clean, to cleanse",pur,"nettoyer, purifier",rein,pure,pur,reinigen,"to clean, to cleanse","nettoyer, purifier"
111,7,B2,B2,A1,wissen,wissenschaftlich,,scientific,"to know, to have knowledge",scientifique,savoir,wissenschaftlich,scientific,scientifique,wissen,"to know, to have knowledge",savoir
112,7,B2,B2,B2,heilen,heilig,,holy,to heal,sacré,guérir,heilig,holy,sacré,heilen,to heal,guérir
113,7,B2,B2,B2,verfügen,verfügbar,,"available, at hand","to have at one’s disposal (formal), to possess, to control","disponible, accessible","avoir à sa disposition (formel), posséder, contrôler",verfügbar,"available, at hand","disponible, accessible",verfügen,"to have at one’s disposal (formal), to possess, to control","avoir à sa disposition (formel), posséder, contrôler"
114,7,B2,B2,A1,leben,lebendig,,"alive, lively",to live,"vivant, vif",vivre,lebendig,"alive, lively","vivant, vif",leben,to live,vivre
115,7,B2,B2,B1,empfinden,empfindlich,,sensitive,"to feel, to sense, to perceive",sensible,"sentir, pressentir, percevoir",empfindlich,sensitive,sensible,empfinden,"to feel, to sense, to perceive","sentir, pressentir, percevoir"
116,7,B2,B2,A2,entscheiden,entscheidend,,"decisive, crucial",to decide,décisif,décider,entscheidend,"decisive, crucial",décisif,entscheiden,to decide,décider
117,7,B2,B2,B2,ausreichen,ausreichend,,sufficient,"to suffice, to be sufficient, to be adequate",suffisant,"suffire, être suffisant, être adéquat",ausreichend,sufficient,suffisant,ausreichen,"to suffice, to be sufficient, to be adequate","suffire, être suffisant, être adéquat"
118,7,B2,B2,B2,aufregen,aufgeregt,,excited,"to upset, to agitate, to annoy",excité,"déranger, agiter, ennuyer",aufgeregt,excited,excité,aufregen,"to upset, to agitate, to annoy","déranger, agiter, ennuyer"
119,8,B2,B2,A1,künstlich,können,,"can, to be able to",artificial,"pouvoir, être capable de",artificiel,künstlich,artificial,artificiel,können,"can, to be able to","pouvoir, être capable de"
120,8,B2,B2,A1,unglaublich,glauben,,to believe,unbelievable,croire,incroyable,unglaublich,unbelievable,incroyable,glauben,to believe,croire
121,8,B2,B2,B2,schädlich,schaden,,"to damage, to harm (someone)",harmful,"endommager, nuire (à quelqu'un)",nocif,schädlich,harmful,nocif,schaden,"to damage, to harm (someone)","endommager, nuire (à quelqu'un)"
122,8,B2,B2,A2,fällig,fallen,,"to fall, to fall in battle, to collapse",due,"tomber, tomber au combat, s'effondrer",exigible,fällig,due,exigible,fallen,"to fall, to fall in battle, to collapse","tomber, tomber au combat, s'effondrer"
123,8,B2,B2,B1,gewöhnlich,gewöhnen,,"to get used to, to accustom oneself",ordinary,"s'habituer à, s'accoutumer","ordinaire, habituel",gewöhnlich,ordinary,"ordinaire, habituel",gewöhnen,"to get used to, to accustom oneself","s'habituer à, s'accoutumer"
124,8,B2,B2,A1,schuldig,sollen,,"shall, to be asked to (do something), to be supposed to (do something)",guilty,"devoir, être invité (à faire quelque chose)",coupable,schuldig,guilty,coupable,sollen,"shall, to be asked to (do something), to be supposed to (do something)","devoir, être invité (à faire quelque chose)"
125,8,B2,B2,A2,zuverlässig,verlassen,,"to leave, to trust with something (refl.), to pass away, to die",reliable,"partir, confier quelque chose (réfl.), décéder, mourir",fiable,zuverlässig,reliable,fiable,verlassen,"to leave, to trust with something (refl.), to pass away, to die","partir, confier quelque chose (réfl.), décéder, mourir"
126,8,B2,B2,B1,sparsam,sparen,,"to save, to conserve",frugal,"sauver, conserver",économe,sparsam,frugal,économe,sparen,"to save, to conserve","sauver, conserver"
127,8,B2,B2,B1,gesamt,sammeln,,"to collect, to gather, to accumulate","total, entire","recueillir, rassembler, accumuler","total, complet",gesamt,"total, entire","total, complet",sammeln,"to collect, to gather, to accumulate","recueillir, rassembler, accumuler"
128,8,B2,B2,A1,haltbar,halten,,"to hold, to stop (a movement), to support, to keep",durable,"tenir, arrêter (un mouvement), soutenir, garder","durable, résistant",haltbar,durable,"durable, résistant",halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
129,8,B2,B2,A1,bekannt,kennen,,"to know, to be acquainted with, to be familiar with",known,"connaître, être familier avec",connu,bekannt,known,connu,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec"
130,8,B2,B2,B1,rein,reinigen,,"to clean, to cleanse",pure,"nettoyer, purifier",pur,rein,pure,pur,reinigen,"to clean, to cleanse","nettoyer, purifier"
131,8,B2,B2,A1,wissenschaftlich,wissen,,"to know, to have knowledge",scientific,savoir,scientifique,wissenschaftlich,scientific,scientifique,wissen,"to know, to have knowledge",savoir
132,8,B2,B2,B2,heilig,heilen,,to heal,holy,guérir,sacré,heilig,holy,sacré,heilen,to heal,guérir
133,8,B2,B2,B2,verfügbar,verfügen,,"to have at one’s disposal (formal), to possess, to control","available, at hand","avoir à sa disposition (formel), posséder, contrôler","disponible, accessible",verfügbar,"available, at hand","disponible, accessible",verfügen,"to have at one’s disposal (formal), to possess, to control","avoir à sa disposition (formel), posséder, contrôler"
134,8,B2,B2,A1,lebendig,leben,,to live,"alive, lively",vivre,"vivant, vif",lebendig,"alive, lively","vivant, vif",leben,to live,vivre
135,8,B2,B2,B1,empfindlich,empfinden,,"to feel, to sense, to perceive",sensitive,"sentir, pressentir, percevoir",sensible,empfindlich,sensitive,sensible,empfinden,"to feel, to sense, to perceive","sentir, pressentir, percevoir"
136,8,B2,B2,A2,entscheidend,entscheiden,,to decide,"decisive, crucial",décider,décisif,entscheidend,"decisive, crucial",décisif,entscheiden,to decide,décider
137,8,B2,B2,B2,ausreichend,ausreichen,,"to suffice, to be sufficient, to be adequate",sufficient,"suffire, être suffisant, être adéquat",suffisant,ausreichend,sufficient,suffisant,ausreichen,"to suffice, to be sufficient, to be adequate","suffire, être suffisant, être adéquat"
138,8,B2,B2,B2,aufgeregt,aufregen,,"to upset, to agitate, to annoy",excited,"déranger, agiter, ennuyer",excité,aufgeregt,excited,excité,aufregen,"to upset, to agitate, to annoy","déranger, agiter, ennuyer"
