Nr,exercise,level,level_adjektive,level_noun,question,answer,german,english,root_english,french,root_french,adjective_german,adjective_english,adjective_french,noun_german,noun_english,noun_french,gender_english,gender_french
25,2,A2,A1,A2,jung,die Jugend,,the youth,young,la jeunesse,jeune,jung,young,jeune,die Jugend,the youth,la jeunesse,Feminine,Féminin
26,2,A2,A1,A2,schwierig,die Schwierigkeit,,the difficulty,difficult,la difficulté,difficile,schwierig,difficult,difficile,die Schwierigkeit,the difficulty,la difficulté,Feminine,Féminin
27,2,A2,A1,A2,lang,die Länge,,the length,long,la longueur,long,lang,long,long,die Länge,the length,la longueur,Feminine,Féminin
28,2,A2,A1,A2,heiß,die Hitze,,the heat,hot,la chaleur,chaud,heiß,hot,chaud,die Hitze,the heat,la chaleur,Feminine,Féminin
29,2,A2,A1,A2,lustig,die Lust,,the desire,funny,la convoitise,drôle,lustig,funny,drôle,die Lust,the desire,la convoitise,Feminine,Féminin
30,2,A2,A1,A2,stark,die Stärke,,the strength,strong,la force,fort,stark,strong,fort,die Stärke,the strength,la force,Feminine,Féminin
31,2,A2,A2,A1,krank,die Krankheit,,"the illness, disease",sick,la maladie,malade,krank,sick,malade,die Krankheit,"the illness, disease",la maladie,Feminine,Féminin
32,2,A2,A2,A1,möglich,die Möglichkeit,,the possibility,"possible, likely",la possibilité,possible,möglich,"possible, likely",possible,die Möglichkeit,the possibility,la possibilité,Feminine,Féminin
33,3,A2,A2,A1,die Kultur,kulturell,,cultural,the culture,culturel,la culture,kulturell,cultural,culturel,die Kultur,the culture,la culture,,
34,3,A2,A2,A1,die Ruhe,ruhig,,"calm, quiet","the silence, peace","calme, silencieux",la paix,ruhig,"calm, quiet","calme, silencieux",die Ruhe,"the silence, peace",la paix,,
35,3,A2,A2,A1,der Frieden,zufrieden,,satisfied,the peace,satisfait,la paix,zufrieden,satisfied,satisfait,der Frieden,the peace,la paix,,
36,3,A2,A2,A2,das Wunder,wunderbar,,wonderful,the miracle,merveilleux,le miracle,wunderbar,wonderful,merveilleux,das Wunder,the miracle,le miracle,,
37,3,A2,A2,A1,die Sicherheit,sicher,,"safe, secure","the security, safety","sûr, sécurisé",la sécurité,sicher,"safe, secure","sûr, sécurisé",die Sicherheit,"the security, safety",la sécurité,,
38,3,A2,A2,A2,die Kosten,kostenlos,,free of charge,"the costs, expenses",gratuit,les coûts,kostenlos,free of charge,gratuit,die Kosten,"the costs, expenses",les coûts,,
39,3,A2,A2,A2,die Wärme,warm,,warm,"the warmth, heat","chaud, doux",la chaleur,warm,warm,"chaud, doux",die Wärme,"the warmth, heat",la chaleur,,
40,3,A2,A2,A1,der Freund,freundlich,,friendly,the friend,amical,l'ami,freundlich,friendly,amical,der Freund,the friend,l'ami,,
41,3,A2,A2,A1,die Interesse,interessant,,interesting,the interest,intéressant,l'intérêt,interessant,interesting,intéressant,die Interesse,the interest,l'intérêt,,
42,3,A2,A2,A1,der Erfolg,erfolgreich,,successful,the success,"réussi, prospère, fructueux",le succès,erfolgreich,successful,"réussi, prospère, fructueux",der Erfolg,the success,le succès,,
43,3,A2,A2,A1,die Sonne,sonnig,,sunny,the sun,ensoleillé,le soleil,sonnig,sunny,ensoleillé,die Sonne,the sun,le soleil,,
44,3,A2,A2,A2,der Nebel,neblig,,foggy,the fog,brumeux,le brouillard,neblig,foggy,brumeux,der Nebel,the fog,le brouillard,,
45,3,A2,A2,A1,der Wind,windig,,windy,the wind,venteux,le vent,windig,windy,venteux,der Wind,the wind,le vent,,
46,3,A2,A2,A2,die Wolke,bewölkt,,cloudy,the cloud,nuageux,le nuage,bewölkt,cloudy,nuageux,die Wolke,the cloud,le nuage,,
47,3,A2,A2,A2,die Öffentlichkeit,öffentlich,,public,the public,publique,le public,öffentlich,public,publique,die Öffentlichkeit,the public,le public,,
48,3,A2,A2,A1,das Salz,salzig,,salty,the salt,salé,le sel,salzig,salty,salé,das Salz,the salt,le sel,,
49,4,A2,A2,A1,kulturell,die Kultur,,the culture,cultural,la culture,culturel,kulturell,cultural,culturel,die Kultur,the culture,la culture,Feminine,Féminin
50,4,A2,A2,A1,ruhig,die Ruhe,,"the silence, peace","calm, quiet",la paix,"calme, silencieux",ruhig,"calm, quiet","calme, silencieux",die Ruhe,"the silence, peace",la paix,Feminine,Féminin
51,4,A2,A2,A1,zufrieden,der Frieden,,the peace,satisfied,la paix,satisfait,zufrieden,satisfied,satisfait,der Frieden,the peace,la paix,Masculine,Masculin
52,4,A2,A2,A2,wunderbar,das Wunder,,the miracle,wonderful,le miracle,merveilleux,wunderbar,wonderful,merveilleux,das Wunder,the miracle,le miracle,Neuter,Neutre
53,4,A2,A2,A1,sicher,die Sicherheit,,"the security, safety","safe, secure",la sécurité,"sûr, sécurisé",sicher,"safe, secure","sûr, sécurisé",die Sicherheit,"the security, safety",la sécurité,Feminine,Féminin
54,4,A2,A2,A2,kostenlos,die Kosten,,"the costs, expenses",free of charge,les coûts,gratuit,kostenlos,free of charge,gratuit,die Kosten,"the costs, expenses",les coûts,Plural,Pluriel
55,4,A2,A2,A2,warm,die Wärme,,"the warmth, heat",warm,la chaleur,"chaud, doux",warm,warm,"chaud, doux",die Wärme,"the warmth, heat",la chaleur,Feminine,Féminin
56,4,A2,A2,A1,freundlich,der Freund,,the friend,friendly,l'ami,amical,freundlich,friendly,amical,der Freund,the friend,l'ami,Masculine,Masculin
57,4,A2,A2,A1,interessant,die Interesse,,the interest,interesting,l'intérêt,intéressant,interessant,interesting,intéressant,die Interesse,the interest,l'intérêt,Feminine,Féminin
58,4,A2,A2,A1,erfolgreich,der Erfolg,,the success,successful,le succès,"réussi, prospère, fructueux",erfolgreich,successful,"réussi, prospère, fructueux",der Erfolg,the success,le succès,Masculine,Masculin
59,4,A2,A2,A1,sonnig,die Sonne,,the sun,sunny,le soleil,ensoleillé,sonnig,sunny,ensoleillé,die Sonne,the sun,le soleil,Feminine,Féminin
60,4,A2,A2,A2,neblig,der Nebel,,the fog,foggy,le brouillard,brumeux,neblig,foggy,brumeux,der Nebel,the fog,le brouillard,Masculine,Masculin
61,4,A2,A2,A1,windig,der Wind,,the wind,windy,le vent,venteux,windig,windy,venteux,der Wind,the wind,le vent,Masculine,Masculin
62,4,A2,A2,A2,bewölkt,die Wolke,,the cloud,cloudy,le nuage,nuageux,bewölkt,cloudy,nuageux,die Wolke,the cloud,le nuage,Feminine,Féminin
63,4,A2,A2,A2,öffentlich,die Öffentlichkeit,,the public,public,le public,publique,öffentlich,public,publique,die Öffentlichkeit,the public,le public,Feminine,Féminin
64,4,A2,A2,A1,salzig,das Salz,,the salt,salty,le sel,salé,salzig,salty,salé,das Salz,the salt,le sel,Neuter,Neutre
65,5,B1,A1,B1,die Schönheit,schön,,beautiful,the beauty,beau,la beauté,schön,beautiful,beau,die Schönheit,the beauty,la beauté,,
66,5,B1,A1,B1,die Heizung,heiß,,hot,the heating,chaud,le système de chauffage,heiß,hot,chaud,die Heizung,the heating,le système de chauffage,,
67,5,B1,A1,B1,die Kälte,kalt,,cold,the cold,froid,le froid,kalt,cold,froid,die Kälte,the cold,le froid,,
68,5,B1,A1,B1,der Reichtum,reich,,rich,the wealth,riche,la richesse,reich,rich,riche,der Reichtum,the wealth,la richesse,,
69,5,B1,A1,B1,die Armut,arm,,poor,the poverty,pauvre,la pauvreté,arm,poor,pauvre,die Armut,the poverty,la pauvreté,,
70,5,B1,A1,B1,der Schmutz,schmutzig,,dirty,the dirt,sale,la saleté,schmutzig,dirty,sale,der Schmutz,the dirt,la saleté,,
71,5,B1,A1,B1,die Schwäche,schwach,,weak,the weakness,faible,la faiblesse,schwach,weak,faible,die Schwäche,the weakness,la faiblesse,,
72,5,B1,A2,B1,die Dunkelheit,dunkel,,dark,the darkness,sombre,l'obscurité,dunkel,dark,sombre,die Dunkelheit,the darkness,l'obscurité,,
73,5,B1,A2,B1,die Breite,breit,,wide,the width,large,la largeur,breit,wide,large,die Breite,the width,la largeur,,
74,5,B1,B1,A2,das Nutzen,nützlich,,useful,"the use, the benefit",utile,l'avantage,nützlich,useful,utile,das Nutzen,"the use, the benefit",l'avantage,,
75,5,B1,B1,B1,das Eigentum,eigen,,own,the property,propre (le sien),la propriété,eigen,own,propre (le sien),das Eigentum,the property,la propriété,,
76,5,B1,B1,A1,der Tod,tot,,dead,the death,mort,la mort,tot,dead,mort,der Tod,the death,la mort,,
77,5,B1,B1,A1,die Liebe,lieb,,lovely,the love,"cher, gentil",l'amour,lieb,lovely,"cher, gentil",die Liebe,the love,l'amour,,
78,5,B1,B1,A2,die Tiefe,tief,,deep,the depth,profond,la profondeur,tief,deep,profond,die Tiefe,the depth,la profondeur,,
79,5,B1,B1,A1,die Tatsache,tatsächlich,,actual,the fact,"effectif, réel",le fait,tatsächlich,actual,"effectif, réel",die Tatsache,the fact,le fait,,
80,5,B1,B1,A1,der Mann,männlich,,male,the man,mâle,l'homme,männlich,male,mâle,der Mann,the man,l'homme,,
81,5,B1,B1,A1,die Arbeit,arbeitslos,,unemployed,the work,"sans emploi, au chômage",le travail,arbeitslos,unemployed,"sans emploi, au chômage",die Arbeit,the work,le travail,,
82,5,B1,B1,A1,der Mensch,menschlich,,human,"the human being, man",humain,l'être humain,menschlich,human,humain,der Mensch,"the human being, man",l'être humain,,
83,5,B1,B1,A1,der Stand,ständig,,constant,"the stand, stage",constante,le stand,ständig,constant,constante,der Stand,"the stand, stage",le stand,,
84,5,B1,B1,A2,die Übung,üblich,,usual,"the exercise, practice",habituel,l'exercice,üblich,usual,habituel,die Übung,"the exercise, practice",l'exercice,,
85,5,B1,B1,A1,der Sport,sportlich,,athletic,the sport,athlétique,le sport,sportlich,athletic,athlétique,der Sport,the sport,le sport,,
86,5,B1,B1,A1,das Herz,herzlich,,"warm, cordial",the heart,"chaleureux, cordial",le cœur,herzlich,"warm, cordial","chaleureux, cordial",das Herz,the heart,le cœur,,
87,6,B1,A1,B1,schön,die Schönheit,,the beauty,beautiful,la beauté,beau,schön,beautiful,beau,die Schönheit,the beauty,la beauté,Feminine,Féminin
88,6,B1,A1,B1,heiß,die Heizung,,the heating,hot,le système de chauffage,chaud,heiß,hot,chaud,die Heizung,the heating,le système de chauffage,Feminine,Féminin
89,6,B1,A1,B1,kalt,die Kälte,,the cold,cold,le froid,froid,kalt,cold,froid,die Kälte,the cold,le froid,Feminine,Féminin
90,6,B1,A1,B1,reich,der Reichtum,,the wealth,rich,la richesse,riche,reich,rich,riche,der Reichtum,the wealth,la richesse,Masculine,Masculin
91,6,B1,A1,B1,arm,die Armut,,the poverty,poor,la pauvreté,pauvre,arm,poor,pauvre,die Armut,the poverty,la pauvreté,Feminine,Féminin
92,6,B1,A1,B1,schmutzig,der Schmutz,,the dirt,dirty,la saleté,sale,schmutzig,dirty,sale,der Schmutz,the dirt,la saleté,Masculine,Masculin
93,6,B1,A1,B1,schwach,die Schwäche,,the weakness,weak,la faiblesse,faible,schwach,weak,faible,die Schwäche,the weakness,la faiblesse,Feminine,Féminin
94,6,B1,A2,B1,dunkel,die Dunkelheit,,the darkness,dark,l'obscurité,sombre,dunkel,dark,sombre,die Dunkelheit,the darkness,l'obscurité,Feminine,Féminin
95,6,B1,A2,B1,breit,die Breite,,the width,wide,la largeur,large,breit,wide,large,die Breite,the width,la largeur,Feminine,Féminin
96,6,B1,B1,A2,nützlich,das Nutzen,,"the use, the benefit",useful,l'avantage,utile,nützlich,useful,utile,das Nutzen,"the use, the benefit",l'avantage,Neuter,Neutre
97,6,B1,B1,B1,eigen,das Eigentum,,the property,own,la propriété,propre (le sien),eigen,own,propre (le sien),das Eigentum,the property,la propriété,Neuter,Neutre
98,6,B1,B1,A1,tot,der Tod,,the death,dead,la mort,mort,tot,dead,mort,der Tod,the death,la mort,Masculine,Masculin
99,6,B1,B1,A1,lieb,die Liebe,,the love,lovely,l'amour,"cher, gentil",lieb,lovely,"cher, gentil",die Liebe,the love,l'amour,Feminine,Féminin
100,6,B1,B1,A2,tief,die Tiefe,,the depth,deep,la profondeur,profond,tief,deep,profond,die Tiefe,the depth,la profondeur,Feminine,Féminin
101,6,B1,B1,A1,tatsächlich,die Tatsache,,the fact,actual,le fait,"effectif, réel",tatsächlich,actual,"effectif, réel",die Tatsache,the fact,le fait,Feminine,Féminin
102,6,B1,B1,A1,männlich,der Mann,,the man,male,l'homme,mâle,männlich,male,mâle,der Mann,the man,l'homme,Masculine,Masculin
103,6,B1,B1,A1,arbeitslos,die Arbeit,,the work,unemployed,le travail,"sans emploi, au chômage",arbeitslos,unemployed,"sans emploi, au chômage",die Arbeit,the work,le travail,Feminine,Féminin
104,6,B1,B1,A1,menschlich,der Mensch,,"the human being, man",human,l'être humain,humain,menschlich,human,humain,der Mensch,"the human being, man",l'être humain,Masculine,Masculin
105,6,B1,B1,A1,ständig,der Stand,,"the stand, stage",constant,le stand,constante,ständig,constant,constante,der Stand,"the stand, stage",le stand,Masculine,Masculin
106,6,B1,B1,A2,üblich,die Übung,,"the exercise, practice",usual,l'exercice,habituel,üblich,usual,habituel,die Übung,"the exercise, practice",l'exercice,Feminine,Féminin
107,6,B1,B1,A1,sportlich,der Sport,,the sport,athletic,le sport,athlétique,sportlich,athletic,athlétique,der Sport,the sport,le sport,Masculine,Masculin
108,6,B1,B1,A1,herzlich,das Herz,,the heart,"warm, cordial",le cœur,"chaleureux, cordial",herzlich,"warm, cordial","chaleureux, cordial",das Herz,the heart,le cœur,Neuter,Neutre
109,7,B1,B1,A1,die Natur,natürlich,,"natural, self-evident",the nature,"naturel, évident",la nature,natürlich,"natural, self-evident","naturel, évident",die Natur,the nature,la nature,,
110,7,B1,B1,A2,die Aufmerksamkeit,aufmerksam,,attentive,the attention,attentif,l'attention,aufmerksam,attentive,attentif,die Aufmerksamkeit,the attention,l'attention,,
111,7,B1,B1,A1,die Gefahr,gefährlich,,dangerous,the danger,dangereux,le danger,gefährlich,dangerous,dangereux,die Gefahr,the danger,le danger,,
112,7,B1,B1,A1,der Beruf,beruflich,,professional,"the occupation, job, profession",professionnel,le travail,beruflich,professional,professionnel,der Beruf,"the occupation, job, profession",le travail,,
113,7,B1,B1,B1,der Ernst,ernst,,serious,the seriousness,sérieux,le sérieux,ernst,serious,sérieux,der Ernst,the seriousness,le sérieux,,
114,7,B1,B1,B1,der Stolz,stolz,,proud,the pride,fier,la fierté,stolz,proud,fier,der Stolz,the pride,la fierté,,
115,7,B1,B1,B1,der Riese,riesig,,huge,the giant,énorme,le géant,riesig,huge,énorme,der Riese,the giant,le géant,,
116,7,B1,B1,A2,die Sicht,sichtbar,,visible,"the view, visibility",visible,la vue,sichtbar,visible,visible,die Sicht,"the view, visibility",la vue,,
117,7,B1,B1,A1,die Antwort,verantwortlich,,responsible,"the answer, reply",responsable,la réponse,verantwortlich,responsible,responsable,die Antwort,"the answer, reply",la réponse,,
118,7,B1,B1,A1,die Ordnung,ordentlich,,orderly,"the order, tidiness",ordonné,l'ordre,ordentlich,orderly,ordonné,die Ordnung,"the order, tidiness",l'ordre,,
119,7,B1,B1,A1,der Punkt,pünktlich,,punctual,"the dot, point, period",ponctuel,le point,pünktlich,punctual,ponctuel,der Punkt,"the dot, point, period",le point,,
120,7,B1,B1,B1,der Nerv,nervös,,nervous,the nerve,nerveux,le nerf,nervös,nervous,nerveux,der Nerv,the nerve,le nerf,,
121,7,B1,B1,B1,die Schwangerschaft,schwanger,,pregnant,the pregnancy,enceinte,la grossesse,schwanger,pregnant,enceinte,die Schwangerschaft,the pregnancy,la grossesse,,
122,7,B1,B1,A1,der Dank,dankbar,,grateful,"the gratitude, the thanks",reconnaissant,le remerciement,dankbar,grateful,reconnaissant,der Dank,"the gratitude, the thanks",le remerciement,,
123,7,B1,B1,B1,das Fett,fett,,fat,the fat,gras,la graisse,fett,fat,gras,das Fett,the fat,la graisse,,
124,7,B1,B1,A2,der Stress,stressig,,stressful,the stress,stressant,le stress,stressig,stressful,stressant,der Stress,the stress,le stress,,
125,7,B1,B1,B1,der Mut,mutig,,courageous,the courage,courageux,le courage,mutig,courageous,courageux,der Mut,the courage,le courage,,
126,7,B1,B1,A1,der Hof,höflich,,"polite, courteous","the courtyard, yard","poli, courtois",la cour,höflich,"polite, courteous","poli, courtois",der Hof,"the courtyard, yard",la cour,,
127,7,B1,B1,A2,der Ärger,ärgerlich,,annoying,"the annoyance, trouble",ennuyeux,le problème,ärgerlich,annoying,ennuyeux,der Ärger,"the annoyance, trouble",le problème,,
128,7,B1,B1,A1,die Freude,froh,,"happy, glad",the joy,"heureux, content",la joie,froh,"happy, glad","heureux, content",die Freude,the joy,la joie,,
129,7,B1,B1,A2,das Wunder,wunderschön,,beautiful,the miracle,beau,le miracle,wunderschön,beautiful,beau,das Wunder,the miracle,le miracle,,
130,8,B1,B1,A1,natürlich,die Natur,,the nature,"natural, self-evident",la nature,"naturel, évident",natürlich,"natural, self-evident","naturel, évident",die Natur,the nature,la nature,Feminine,Féminin
131,8,B1,B1,A2,aufmerksam,die Aufmerksamkeit,,the attention,attentive,l'attention,attentif,aufmerksam,attentive,attentif,die Aufmerksamkeit,the attention,l'attention,Feminine,Féminin
132,8,B1,B1,A1,gefährlich,die Gefahr,,the danger,dangerous,le danger,dangereux,gefährlich,dangerous,dangereux,die Gefahr,the danger,le danger,Feminine,Féminin
133,8,B1,B1,A1,beruflich,der Beruf,,"the occupation, job, profession",professional,le travail,professionnel,beruflich,professional,professionnel,der Beruf,"the occupation, job, profession",le travail,Masculine,Masculin
134,8,B1,B1,B1,ernst,der Ernst,,the seriousness,serious,le sérieux,sérieux,ernst,serious,sérieux,der Ernst,the seriousness,le sérieux,Masculine,Masculin
135,8,B1,B1,B1,stolz,der Stolz,,the pride,proud,la fierté,fier,stolz,proud,fier,der Stolz,the pride,la fierté,Masculine,Masculin
136,8,B1,B1,B1,riesig,der Riese,,the giant,huge,le géant,énorme,riesig,huge,énorme,der Riese,the giant,le géant,Masculine,Masculin
137,8,B1,B1,A2,sichtbar,die Sicht,,"the view, visibility",visible,la vue,visible,sichtbar,visible,visible,die Sicht,"the view, visibility",la vue,Feminine,Féminin
138,8,B1,B1,A1,verantwortlich,die Antwort,,"the answer, reply",responsible,la réponse,responsable,verantwortlich,responsible,responsable,die Antwort,"the answer, reply",la réponse,Feminine,Féminin
139,8,B1,B1,A1,ordentlich,die Ordnung,,"the order, tidiness",orderly,l'ordre,ordonné,ordentlich,orderly,ordonné,die Ordnung,"the order, tidiness",l'ordre,Feminine,Féminin
140,8,B1,B1,A1,pünktlich,der Punkt,,"the dot, point, period",punctual,le point,ponctuel,pünktlich,punctual,ponctuel,der Punkt,"the dot, point, period",le point,Masculine,Masculin
141,8,B1,B1,B1,nervös,der Nerv,,the nerve,nervous,le nerf,nerveux,nervös,nervous,nerveux,der Nerv,the nerve,le nerf,Masculine,Masculin
142,8,B1,B1,B1,schwanger,die Schwangerschaft,,the pregnancy,pregnant,la grossesse,enceinte,schwanger,pregnant,enceinte,die Schwangerschaft,the pregnancy,la grossesse,Feminine,Féminin
143,8,B1,B1,A1,dankbar,der Dank,,"the gratitude, the thanks",grateful,le remerciement,reconnaissant,dankbar,grateful,reconnaissant,der Dank,"the gratitude, the thanks",le remerciement,Masculine,Masculin
144,8,B1,B1,B1,fett,das Fett,,the fat,fat,la graisse,gras,fett,fat,gras,das Fett,the fat,la graisse,Neuter,Neutre
145,8,B1,B1,A2,stressig,der Stress,,the stress,stressful,le stress,stressant,stressig,stressful,stressant,der Stress,the stress,le stress,Masculine,Masculin
146,8,B1,B1,B1,mutig,der Mut,,the courage,courageous,le courage,courageux,mutig,courageous,courageux,der Mut,the courage,le courage,Masculine,Masculin
147,8,B1,B1,A1,höflich,der Hof,,"the courtyard, yard","polite, courteous",la cour,"poli, courtois",höflich,"polite, courteous","poli, courtois",der Hof,"the courtyard, yard",la cour,Masculine,Masculin
148,8,B1,B1,A2,ärgerlich,der Ärger,,"the annoyance, trouble",annoying,le problème,ennuyeux,ärgerlich,annoying,ennuyeux,der Ärger,"the annoyance, trouble",le problème,Masculine,Masculin
149,8,B1,B1,A1,froh,die Freude,,the joy,"happy, glad",la joie,"heureux, content",froh,"happy, glad","heureux, content",die Freude,the joy,la joie,Feminine,Féminin
150,8,B1,B1,A2,wunderschön,das Wunder,,the miracle,beautiful,le miracle,beau,wunderschön,beautiful,beau,das Wunder,the miracle,le miracle,Neuter,Neutre
151,9,B2,A1,B2,die Kürze,kurz,,short,the brevity,court,la brièveté,kurz,short,court,die Kürze,the brevity,la brièveté,,
152,9,B2,A2,B2,die Klarheit,klar,,clear,the clarity,clair,la clarté,klar,clear,clair,die Klarheit,the clarity,la clarté,,
153,9,B2,A2,B2,die Zufriedenheit,zufrieden,,satisfied,the satisfaction,satisfait,la satisfaction,zufrieden,satisfied,satisfait,die Zufriedenheit,the satisfaction,la satisfaction,,
154,9,B2,A2,B2,der Schreck,schrecklich,,terrible,"the fright, shock",terrible,la peur,schrecklich,terrible,terrible,der Schreck,"the fright, shock",la peur,,
155,9,B2,A2,B2,die Süßigkeit,süß,,sweet,the candy,sucré,le sucré,süß,sweet,sucré,die Süßigkeit,the candy,le sucré,,
156,9,B2,B1,B2,die Notwendigkeit,notwendig,,necessary,the necessity,nécessaire,le besoin,notwendig,necessary,nécessaire,die Notwendigkeit,the necessity,le besoin,,
157,9,B2,B1,B2,die Gemeinsamkeit,gemeinsam,,"common, collective",the commonality,"commun, collectif",le point commun,gemeinsam,"common, collective","commun, collectif",die Gemeinsamkeit,the commonality,le point commun,,
158,9,B2,B1,B2,die Flexibilität,flexibel,,flexible,the flexibility,flexible,la flexibilité,flexibel,flexible,flexible,die Flexibilität,the flexibility,la flexibilité,,
159,9,B2,B1,B2,die Bereitschaft,bereit,,ready,the readiness,prêt,"la disponibilité, la promptitude",bereit,ready,prêt,die Bereitschaft,the readiness,"la disponibilité, la promptitude",,
160,9,B2,B1,B2,die Furcht,furchtbar,,terrible,the fear,terrible,la peur,furchtbar,terrible,terrible,die Furcht,the fear,la peur,,
161,9,B2,B1,B2,die Unabhängigkeit,unabhängig,,independent,the independence,indépendant,l'indépendance,unabhängig,independent,indépendant,die Unabhängigkeit,the independence,l'indépendance,,
162,9,B2,B1,B2,die Abhängigkeit,abhängig,,dependent,the dependence,dépendant,la dépendance,abhängig,dependent,dépendant,die Abhängigkeit,the dependence,la dépendance,,
163,9,B2,B1,B2,das Gemüt,gemütlich,,"cozy, comfortable","the feeling, the heart, the soul","douillet, confortable",l'esprit,gemütlich,"cozy, comfortable","douillet, confortable",das Gemüt,"the feeling, the heart, the soul",l'esprit,,
164,9,B2,B1,B2,die Gunst,günstig,,cheap,"the goodwill, favor",bon marché,la faveur,günstig,cheap,bon marché,die Gunst,"the goodwill, favor",la faveur,,
165,9,B2,B1,B2,die Wahrscheinlichkeit,wahrscheinlich,,"possible, likely",the probability,possible,la probabilité,wahrscheinlich,"possible, likely",possible,die Wahrscheinlichkeit,the probability,la probabilité,,
166,9,B2,B2,A1,die Zukunft,zukünftig,,future,the future,futur,l'avenir,zukünftig,future,futur,die Zukunft,the future,l'avenir,,
167,9,B2,B2,B2,der Ursprung,ursprünglich,,original,the origin,original,l'origine,ursprünglich,original,original,der Ursprung,the origin,l'origine,,
168,9,B2,B2,B2,die Einsamkeit,einsam,,lonely,the loneliness,solitaire,la solitude,einsam,lonely,solitaire,die Einsamkeit,the loneliness,la solitude,,
169,9,B2,B2,A1,die Vergangenheit,vergangen,,past,the past,passé,le passé,vergangen,past,passé,die Vergangenheit,the past,le passé,,
170,9,B2,B2,A2,die Fläche,flach,,"flat, shallow","the area, surface","plat, superficiel",la région,flach,"flat, shallow","plat, superficiel",die Fläche,"the area, surface",la région,,
171,10,B2,A1,B2,kurz,die Kürze,,the brevity,short,la brièveté,court,kurz,short,court,die Kürze,the brevity,la brièveté,Feminine,Féminin
