exercise,question,answer,german,english,french,explanation_english,explanation_french,comparative,superlative
3,,gesünder,gesund,healthy,"sain, en bonne santé","gesund, gesünder, am gesündesten","gesund, gesünder, am gesündesten",gesünder,am gesündesten
3,,müder,müde,tired,fatigué,"müde, müder, am müdesten","müde, müder, am müdesten",müder,am müdesten
3,,dümmer,dumm,stupid,stupide,"dumm, dümmer, am dümmsten","dumm, dümmer, am dümmsten",dümmer,am dümmsten
3,,klüger,klug,smart,intelligent,"klug, klüger, am klügsten","klug, klüger, am klügsten",klüger,am klügsten
4,,am ältesten,alt,old,vieux,"alt, älter, am ältesten","alt, älter, am ältesten",älter,am ältesten
4,,am jüngsten,jung,young,jeune,"jung, jünger, am jüngsten","jung, jünger, am jüngsten",jünger,am jüngsten
4,,am neuesten,neu,new,nouveau,"neu, neuer, am neuesten","neu, neuer, am neuesten",neuer,am neuesten
4,,am einfachsten,einfach,"easy, simple","facile, simple","einfach, einfacher, am einfachsten","einfach, einfacher, am einfachsten",einfacher,am einfachsten
4,,am schwierigsten,schwierig,difficult,difficile,"schwierig, schwieriger, am schwierigsten","schwierig, schwieriger, am schwierigsten",schwieriger,am schwierigsten
4,,am richtigsten,richtig,"right, correct","correct, juste","richtig, richtiger, am richtigsten","richtig, richtiger, am richtigsten",richtiger,am richtigsten
4,,am falschesten,falsch,"false, wrong",faux,"falsch, falscher, am falschesten","falsch, falscher, am falschesten",falscher,am falschesten
4,,am größten,groß,"big, tall",grand,"groß, größer, am größten","groß, größer, am größten",größer,am größten
4,,am kleinsten,klein,small,petit,"klein, kleiner, am kleinsten","klein, kleiner, am kleinsten",kleiner,am kleinsten
4,,am besten,gut,good,"bon, bien","gut, besser, am besten","gut, besser, am besten",besser,am besten
4,,am schlechtesten,schlecht,bad,mauvais,"schlecht, schlechter, am schlechtesten","schlecht, schlechter, am schlechtesten",schlechter,am schlechtesten
4,,am schnellsten,schnell,fast,rapide,"schnell, schneller, am schnellsten","schnell, schneller, am schnellsten",schneller,am schnellsten
4,,am langsamsten,langsam,slow,lent,"langsam, langsamer, am langsamsten","langsam, langsamer, am langsamsten",langsamer,am langsamsten
4,,am schönsten,schön,beautiful,beau,"schön, schöner, am schönsten","schön, schöner, am schönsten",schöner,am schönsten
4,,am hässlichsten,hässlich,ugly,laid,"hässlich, hässlicher, am hässlichsten","hässlich, hässlicher, am hässlichsten",hässlicher,am hässlichsten
4,,am wichtigsten,wichtig,important,important,"wichtig, wichtiger, am wichtigsten","wichtig, wichtiger, am wichtigsten",wichtiger,am wichtigsten
5,,am höchsten,hoch,high,haut,"hoch, höher, am höchsten","hoch, höher, am höchsten",höher,am höchsten
5,,am niedrigsten,niedrig,low,bas,"niedrig, niedriger, am niedrigsten","niedrig, niedriger, am niedrigsten",niedriger,am niedrigsten
5,,am kürzesten,kurz,short,court,"kurz, kürzer, am kürzesten","kurz, kürzer, am kürzesten",kürzer,am kürzesten
5,,am längsten,lang,long,long,"lang, länger, am längsten","lang, länger, am längsten",länger,am längsten
5,,am rotesten,rot,red,rouge,"rot, roter, am rotesten","rot, roter, am rotesten",roter,am rotesten
5,,am schwärzesten,schwarz,black,noir,"schwarz, schwärzer, am schwärzesten","schwarz, schwärzer, am schwärzesten",schwärzer,am schwärzesten
5,,am weißesten,weiß,white,blanc,"weiß, weißer, am weißesten","weiß, weißer, am weißesten",weißer,am weißesten
5,,am blausten,blau,blue,bleu,"blau, blauer, am blausten","blau, blauer, am blausten",blauer,am blausten
5,,am grünsten,grün,green,vert,"grün, grüner, am grünsten","grün, grüner, am grünsten",grüner,am grünsten
5,,am gelbsten,gelb,yellow,jaune,"gelb, gelber, am gelbsten","gelb, gelber, am gelbsten",gelber,am gelbsten
5,,am grausten,grau,grey,gris,"grau, grauer, am grausten","grau, grauer, am grausten",grauer,am grausten
5,,am freiesten,frei,free,libre,"frei, freier, am freiesten","frei, freier, am freiesten",freier,am freiesten
5,,am spätesten,spät,late,"tard, en retard","spät, später, am spätesten","spät, später, am spätesten",später,am spätesten
5,,am frühesten,früh,early,tôt,"früh, früher, am frühesten","früh, früher, am frühesten",früher,am frühesten
5,,am billigsten,billig,cheap,bon marché,"billig, billiger, am billigsten","billig, billiger, am billigsten",billiger,am billigsten
5,,am teuersten,teuer,expensive,cher,"teuer, teurer, am teuersten","teuer, teurer, am teuersten",teurer,am teuersten
5,,am normalsten,normal,normal,normale,"normal, normaler, am normalsten","normal, normaler, am normalsten",normaler,am normalsten
5,,am wahrsten,wahr,true,vrai,"wahr, wahrer, am wahrsten","wahr, wahrer, am wahrsten",wahrer,am wahrsten
5,,am heißesten,heiß,hot,chaud,"heiß, heißer, am heißesten","heiß, heißer, am heißesten",heißer,am heißesten
5,,am kältesten,kalt,cold,froid,"kalt, kälter, am kältesten","kalt, kälter, am kältesten",kälter,am kältesten
6,,am glücklichsten,glücklich,"happy, glad","heureux, content","glücklich, glücklicher, am glücklichsten","glücklich, glücklicher, am glücklichsten",glücklicher,am glücklichsten
6,,am traurigsten,traurig,sad,triste,"traurig, trauriger, am traurigsten","traurig, trauriger, am traurigsten",trauriger,am traurigsten
6,,am meisten,viel,much,beaucoup,"viel, mehr, am meisten","viel, mehr, am meisten",mehr,am meisten
6,,am wenigsten,wenig,little,peu,"wenig, weniger, am wenigsten","wenig, weniger, am wenigsten",weniger,am wenigsten
6,,am reichsten,reich,rich,riche,"reich, reicher, am reichsten","reich, reicher, am reichsten",reicher,am reichsten
6,,am ärmsten,arm,poor,pauvre,"arm, ärmer, am ärmsten","arm, ärmer, am ärmsten",ärmer,am ärmsten
6,,am schmutzigsten,schmutzig,dirty,sale,"schmutzig, schmutziger, am schmutzigsten","schmutzig, schmutziger, am schmutzigsten",schmutziger,am schmutzigsten
6,,am saubersten,sauber,clean,propre,"sauber, sauberer, am saubersten","sauber, sauberer, am saubersten",sauberer,am saubersten
6,,am weitesten,weit,far,loin,"weit, weiter, am weitesten","weit, weiter, am weitesten",weiter,am weitesten
6,,am nächsten,nah,"close, near","proche, près","nah, näher, am nächsten","nah, näher, am nächsten",näher,am nächsten
6,,am lustigsten,lustig,funny,drôle,"lustig, lustiger, am lustigsten","lustig, lustiger, am lustigsten",lustiger,am lustigsten
6,,am nettesten,nett,nice,"bon, gentils","nett, netter, am nettesten","nett, netter, am nettesten",netter,am nettesten
6,,am gesündesten,gesund,healthy,"sain, en bonne santé","gesund, gesünder, am gesündesten","gesund, gesünder, am gesündesten",gesünder,am gesündesten
6,,am müdesten,müde,tired,fatigué,"müde, müder, am müdesten","müde, müder, am müdesten",müder,am müdesten
6,,am dümmsten,dumm,stupid,stupide,"dumm, dümmer, am dümmsten","dumm, dümmer, am dümmsten",dümmer,am dümmsten
6,,am klügsten,klug,smart,intelligent,"klug, klüger, am klügsten","klug, klüger, am klügsten",klüger,am klügsten
7,,kränker,krank,sick,malade,"krank, kränker, am kränksten","krank, kränker, am kränksten",kränker,am kränksten
7,,brauner,braun,brown,brun,"braun, brauner, am braunsten","braun, brauner, am braunsten",brauner,am braunsten
7,,deutscher,deutsch,german,allemand,"deutsch, deutscher, am deutschesten","deutsch, deutscher, am deutschesten",deutscher,am deutschesten
7,,möglicher,möglich,"possible, likely",possible,"möglich, möglicher, am möglichsten","möglich, möglicher, am möglichsten",möglicher,am möglichsten
7,,klarer,klar,clear,clair,"klar, klarer, am klarsten","klar, klarer, am klarsten",klarer,am klarsten
7,,schwerer,schwer,heavy,lourd,"schwer, schwerer, am schwersten","schwer, schwerer, am schwersten",schwerer,am schwersten
7,,leichter,leicht,light,léger,"leicht, leichter, am leichtesten","leicht, leichter, am leichtesten",leichter,am leichtesten
7,,stärker,stark,strong,fort,"stark, stärker, am stärksten","stark, stärker, am stärksten",stärker,am stärksten
7,,schwächer,schwach,weak,faible,"schwach, schwächer, am schwächsten","schwach, schwächer, am schwächsten",schwächer,am schwächsten
7,,fertiger,fertig,finished,fini,"fertig, fertiger, am fertigsten","fertig, fertiger, am fertigsten",fertiger,am fertigsten
7,,kultureller,kulturell,cultural,culturel,"kulturell, kultureller, am kulturellsten","kulturell, kultureller, am kulturellsten",kultureller,am kulturellsten
7,,aktueller,aktuell,current,actuel,"aktuell, aktueller, am aktuellsten","aktuell, aktueller, am aktuellsten",aktueller,am aktuellsten
7,,dunkler,dunkel,dark,sombre,"dunkel, dunkler, am dunkelsten","dunkel, dunkler, am dunkelsten",dunkler,am dunkelsten
7,,heller,hell,"bright, light, clear","clair, brillant","hell, heller, am hellsten","hell, heller, am hellsten",heller,am hellsten
8,,voller,voll,"full, fully",plein,"voll, voller, am vollsten","voll, voller, am vollsten",voller,am vollsten
8,,leerer,leer,empty,vide,"leer, leerer, am leersten","leer, leerer, am leersten",leerer,am leersten
8,,breiter,breit,wide,large,"breit, breiter, am breitesten","breit, breiter, am breitesten",breiter,am breitesten
8,,ruhiger,ruhig,"calm, quiet","calme, silencieux","ruhig, ruhiger, am ruhigsten","ruhig, ruhiger, am ruhigsten",ruhiger,am ruhigsten
8,,lauter,laut,loud,fort,"laut, lauter, am lautesten","laut, lauter, am lautesten",lauter,am lautesten
8,,zufriedener,zufrieden,satisfied,satisfait,"zufrieden, zufriedener, am zufriedensten","zufrieden, zufriedener, am zufriedensten",zufriedener,am zufriedensten
8,,härter,hart,"hard, tough",dur,"hart, härter, am härtesten","hart, härter, am härtesten",härter,am härtesten
8,,weicher,weich,soft,doux,"weich, weicher, am weichsten","weich, weicher, am weichsten",weicher,am weichsten
8,,toller,toll,great,super,"toll, toller, am tollsten","toll, toller, am tollsten",toller,am tollsten
8,,schrecklicher,schrecklich,terrible,terrible,"schrecklich, schrecklicher, am schrecklichsten","schrecklich, schrecklicher, am schrecklichsten",schrecklicher,am schrecklichsten
8,,wunderbarer,wunderbar,wonderful,merveilleux,"wunderbar, wunderbarer, am wunderbarsten","wunderbar, wunderbarer, am wunderbarsten",wunderbarer,am wunderbarsten
8,,häufiger,häufig,frequent,fréquent,"häufig, häufiger, am häufigsten","häufig, häufiger, am häufigsten",häufiger,am häufigsten
8,,seltener,selten,rare,rare,"selten, seltener, am seltensten","selten, seltener, am seltensten",seltener,am seltensten
8,,sicherer,sicher,"safe, secure","sûr, sécurisé","sicher, sicherer, am sichersten","sicher, sicherer, am sichersten",sicherer,am sichersten
8,,kostenloser,kostenlos,free of charge,gratuit,"kostenlos, kostenloser, am kostenlosesten","kostenlos, kostenloser, am kostenlosesten",kostenloser,am kostenlosesten
9,,ähnlicher,ähnlich,similar,similaire,"ähnlich, ähnlicher, am ähnlichsten","ähnlich, ähnlicher, am ähnlichsten",ähnlicher,am ähnlichsten
9,,dicker,dick,"thick, fat, swollen",épais,"dick, dicker, am dicksten","dick, dicker, am dicksten",dicker,am dicksten
9,,dünner,dünn,thin,mince,"dünn, dünner, am dünnsten","dünn, dünner, am dünnsten",dünner,am dünnsten
9,,wärmer,warm,warm,"chaud, doux","warm, wärmer, am wärmsten","warm, wärmer, am wärmsten",wärmer,am wärmsten
9,,kühler,kühl,cool,"frais, froid","kühl, kühler, am kühlsten","kühl, kühler, am kühlsten",kühler,am kühlsten
9,,trockener,trocken,dry,sec,"trocken, trockener, am trockensten","trocken, trockener, am trockensten",trockener,am trockensten
9,,nasser,nass,wet,"humide, mouillé","nass, nasser, am nassesten","nass, nasser, am nassesten",nasser,am nassesten
9,,freundlicher,freundlich,friendly,amical,"freundlich, freundlicher, am freundlichsten","freundlich, freundlicher, am freundlichsten",freundlicher,am freundlichsten
9,,interessanter,interessant,interesting,intéressant,"interessant, interessanter, am interessantesten","interessant, interessanter, am interessantesten",interessanter,am interessantesten
9,,langweiliger,langweilig,boring,ennuyeux,"langweilig, langweiliger, am langweiligsten","langweilig, langweiliger, am langweiligsten",langweiliger,am langweiligsten
9,,erfolgreicher,erfolgreich,successful,"réussi, prospère, fructueux","erfolgreich, erfolgreicher, am erfolgreichsten","erfolgreich, erfolgreicher, am erfolgreichsten",erfolgreicher,am erfolgreichsten
9,,komischer,komisch,"strange, funny","étrange, drôle","komisch, komischer, am komischsten","komisch, komischer, am komischsten",komischer,am komischsten
9,,fauler,faul,lazy,paresseux,"faul, fauler, am faulsten","faul, fauler, am faulsten",fauler,am faulsten
9,,fleißiger,fleißig,hardworking,diligent,"fleißig, fleißiger, am fleißigsten","fleißig, fleißiger, am fleißigsten",fleißiger,am fleißigsten
9,,sonniger,sonnig,sunny,ensoleillé,"sonnig, sonniger, am sonnigsten","sonnig, sonniger, am sonnigsten",sonniger,am sonnigsten
9,,nebliger,neblig,foggy,brumeux,"neblig, nebliger, am nebligsten","neblig, nebliger, am nebligsten",nebliger,am nebligsten
9,,windiger,windig,windy,venteux,"windig, windiger, am windigsten","windig, windiger, am windigsten",windiger,am windigsten
10,,am kränksten,krank,sick,malade,"krank, kränker, am kränksten","krank, kränker, am kränksten",kränker,am kränksten
10,,am braunsten,braun,brown,brun,"braun, brauner, am braunsten","braun, brauner, am braunsten",brauner,am braunsten
10,,am deutschesten,deutsch,german,allemand,"deutsch, deutscher, am deutschesten","deutsch, deutscher, am deutschesten",deutscher,am deutschesten
10,,am möglichsten,möglich,"possible, likely",possible,"möglich, möglicher, am möglichsten","möglich, möglicher, am möglichsten",möglicher,am möglichsten
10,,am klarsten,klar,clear,clair,"klar, klarer, am klarsten","klar, klarer, am klarsten",klarer,am klarsten
10,,am schwersten,schwer,heavy,lourd,"schwer, schwerer, am schwersten","schwer, schwerer, am schwersten",schwerer,am schwersten
10,,am leichtesten,leicht,light,léger,"leicht, leichter, am leichtesten","leicht, leichter, am leichtesten",leichter,am leichtesten
10,,am stärksten,stark,strong,fort,"stark, stärker, am stärksten","stark, stärker, am stärksten",stärker,am stärksten
10,,am schwächsten,schwach,weak,faible,"schwach, schwächer, am schwächsten","schwach, schwächer, am schwächsten",schwächer,am schwächsten
10,,am fertigsten,fertig,finished,fini,"fertig, fertiger, am fertigsten","fertig, fertiger, am fertigsten",fertiger,am fertigsten
10,,am kulturellsten,kulturell,cultural,culturel,"kulturell, kultureller, am kulturellsten","kulturell, kultureller, am kulturellsten",kultureller,am kulturellsten
10,,am aktuellsten,aktuell,current,actuel,"aktuell, aktueller, am aktuellsten","aktuell, aktueller, am aktuellsten",aktueller,am aktuellsten
10,,am dunkelsten,dunkel,dark,sombre,"dunkel, dunkler, am dunkelsten","dunkel, dunkler, am dunkelsten",dunkler,am dunkelsten
10,,am hellsten,hell,"bright, light, clear","clair, brillant","hell, heller, am hellsten","hell, heller, am hellsten",heller,am hellsten
11,,am vollsten,voll,"full, fully",plein,"voll, voller, am vollsten","voll, voller, am vollsten",voller,am vollsten
11,,am leersten,leer,empty,vide,"leer, leerer, am leersten","leer, leerer, am leersten",leerer,am leersten
11,,am breitesten,breit,wide,large,"breit, breiter, am breitesten","breit, breiter, am breitesten",breiter,am breitesten
11,,am ruhigsten,ruhig,"calm, quiet","calme, silencieux","ruhig, ruhiger, am ruhigsten","ruhig, ruhiger, am ruhigsten",ruhiger,am ruhigsten
11,,am lautesten,laut,loud,fort,"laut, lauter, am lautesten","laut, lauter, am lautesten",lauter,am lautesten
11,,am zufriedensten,zufrieden,satisfied,satisfait,"zufrieden, zufriedener, am zufriedensten","zufrieden, zufriedener, am zufriedensten",zufriedener,am zufriedensten
11,,am härtesten,hart,"hard, tough",dur,"hart, härter, am härtesten","hart, härter, am härtesten",härter,am härtesten
11,,am weichsten,weich,soft,doux,"weich, weicher, am weichsten","weich, weicher, am weichsten",weicher,am weichsten
11,,am tollsten,toll,great,super,"toll, toller, am tollsten","toll, toller, am tollsten",toller,am tollsten
11,,am schrecklichsten,schrecklich,terrible,terrible,"schrecklich, schrecklicher, am schrecklichsten","schrecklich, schrecklicher, am schrecklichsten",schrecklicher,am schrecklichsten
11,,am wunderbarsten,wunderbar,wonderful,merveilleux,"wunderbar, wunderbarer, am wunderbarsten","wunderbar, wunderbarer, am wunderbarsten",wunderbarer,am wunderbarsten
11,,am häufigsten,häufig,frequent,fréquent,"häufig, häufiger, am häufigsten","häufig, häufiger, am häufigsten",häufiger,am häufigsten
11,,am seltensten,selten,rare,rare,"selten, seltener, am seltensten","selten, seltener, am seltensten",seltener,am seltensten
11,,am sichersten,sicher,"safe, secure","sûr, sécurisé","sicher, sicherer, am sichersten","sicher, sicherer, am sichersten",sicherer,am sichersten
11,,am kostenlosesten,kostenlos,free of charge,gratuit,"kostenlos, kostenloser, am kostenlosesten","kostenlos, kostenloser, am kostenlosesten",kostenloser,am kostenlosesten
12,,am ähnlichsten,ähnlich,similar,similaire,"ähnlich, ähnlicher, am ähnlichsten","ähnlich, ähnlicher, am ähnlichsten",ähnlicher,am ähnlichsten
12,,am dicksten,dick,"thick, fat, swollen",épais,"dick, dicker, am dicksten","dick, dicker, am dicksten",dicker,am dicksten
12,,am dünnsten,dünn,thin,mince,"dünn, dünner, am dünnsten","dünn, dünner, am dünnsten",dünner,am dünnsten
12,,am wärmsten,warm,warm,"chaud, doux","warm, wärmer, am wärmsten","warm, wärmer, am wärmsten",wärmer,am wärmsten
12,,am kühlsten,kühl,cool,"frais, froid","kühl, kühler, am kühlsten","kühl, kühler, am kühlsten",kühler,am kühlsten
12,,am trockensten,trocken,dry,sec,"trocken, trockener, am trockensten","trocken, trockener, am trockensten",trockener,am trockensten
12,,am nassesten,nass,wet,"humide, mouillé","nass, nasser, am nassesten","nass, nasser, am nassesten",nasser,am nassesten
12,,am freundlichsten,freundlich,friendly,amical,"freundlich, freundlicher, am freundlichsten","freundlich, freundlicher, am freundlichsten",freundlicher,am freundlichsten
12,,am interessantesten,interessant,interesting,intéressant,"interessant, interessanter, am interessantesten","interessant, interessanter, am interessantesten",interessanter,am interessantesten
12,,am langweiligsten,langweilig,boring,ennuyeux,"langweilig, langweiliger, am langweiligsten","langweilig, langweiliger, am langweiligsten",langweiliger,am langweiligsten
12,,am erfolgreichsten,erfolgreich,successful,"réussi, prospère, fructueux","erfolgreich, erfolgreicher, am erfolgreichsten","erfolgreich, erfolgreicher, am erfolgreichsten",erfolgreicher,am erfolgreichsten
12,,am komischsten,komisch,"strange, funny","étrange, drôle","komisch, komischer, am komischsten","komisch, komischer, am komischsten",komischer,am komischsten
12,,am faulsten,faul,lazy,paresseux,"faul, fauler, am faulsten","faul, fauler, am faulsten",fauler,am faulsten
12,,am fleißigsten,fleißig,hardworking,diligent,"fleißig, fleißiger, am fleißigsten","fleißig, fleißiger, am fleißigsten",fleißiger,am fleißigsten
12,,am sonnigsten,sonnig,sunny,ensoleillé,"sonnig, sonniger, am sonnigsten","sonnig, sonniger, am sonnigsten",sonniger,am sonnigsten
12,,am nebligsten,neblig,foggy,brumeux,"neblig, nebliger, am nebligsten","neblig, nebliger, am nebligsten",nebliger,am nebligsten
12,,am windigsten,windig,windy,venteux,"windig, windiger, am windigsten","windig, windiger, am windigsten",windiger,am windigsten
