Nr,exercise,level_verben,question,answer,german,english
249,6,A2,the hatred,der Hass,hassen,to hate
250,6,A2,the resignation,die Kündigung,kündigen,to resign
251,6,A2,the kiss,der Kuss,küssen,to kiss
252,6,A2,the collection,die Sammlung,sammeln,to collect
253,6,A2,the push,der Schub,schieben,to push
254,6,A2,the separation,die Trennung,trennen,to separate
255,6,A2,the move,der Umzug,umziehen,to move
256,6,A2,the disguise,die Verkleidung,verkleiden,to disguise
257,6,A2,the change,der Wechsel,wechseln,to change
258,6,A2,the effect,die Wirkung,wirken,to have an effect
259,6,A2,the comeback,das Zurückkommen,zurückkommen,to come back
260,7,B1,the rest,die Ruhe,ausruhen,to rest
261,7,B1,the description,die Beschreibung,beschreiben,to describe
262,7,B1,the visit,die Besichtigung,besichtigen,to visit (sightseeing)
263,7,B1,the prayer,das Gebet,beten,to pray
264,7,B1,the discovery,die Entdeckung,entdecken,to discover
265,7,B1,the relaxation,die Entspannung,entspannen,to relax
266,7,B1,the disappointment,die Enttäuschung,enttäuschen,to disappoint
267,7,B1,the experience,die Erfahrung,erfahren,to experience
268,7,B1,the recovery,die Erholung,erholen,to recover
269,7,B1,the exploration,die Erkundung,erkunden,to explore
270,7,B1,the experience,das Erlebnis,erleben,to experience
271,7,B1,the idleness,das Faulenzen,faulenzen,to laze around
272,7,B1,the flight,der Flug,fliegen,to fly
273,7,B1,the enjoyment,der Genuss,geniessen,to enjoy
274,7,B1,the hunt,die Jagd,jagen,to hunt
275,7,B1,the painting,das Malen,malen,to paint
276,7,B1,the plan,der Plan,planen,to plan
277,7,B1,the race,das Rennen,rennen,to run
278,7,B1,the walk,der Spaziergang,spazieren,to stroll
279,7,B1,the dance,der Tanz,tanzen,to dance
280,7,B1,the training,das Training,trainieren,to train
281,7,B1,the exercise,der Sport,treiben,to engage in (sports)
282,7,B1,the connection,die Verbindung,verbinden,to connect
283,7,B1,the plan,der Plan,vorhaben,to plan
284,7,B1,the hike,die Wanderung,wandern,to hike
285,7,B1,the preparation,die Bereitung,bereiten,to prepare
286,7,B1,the order,die Bestellung,bestellen,to order
287,7,B1,the intoxication,die Betrunkenheit,betrinken,to get drunk
288,7,B1,the preference,die Bevorzugung,bevorzugen,to prefer
289,7,B1,the booking,die Buchung,buchen,to book
290,7,B1,the reception,der Empfang,empfangen,to receive
291,7,B1,the recommendation,die Empfehlung,empfehlen,to recommend
292,7,B1,the nutrition,die Ernährung,ernähren,to nourish
293,7,B1,the indulgence,die Gönnung,gönnen,to indulge
294,7,B1,the barbecue,der Grill,grillen,to grill
295,7,B1,the delivery,die Lieferung,liefern,to deliver
296,7,B1,the mixture,die Mischung,mischen,to mix
297,7,B1,the cut,der Schnitt,schneiden,to cut
298,7,B1,the service,das Servieren,servieren,to serve
299,7,B1,the savings,die Ersparnisse,sparen,to save
300,7,B1,the completion,der Abschluss,abschliessen,to complete
301,7,B1,the completion,die Absolvierung,absolvieren,to complete (education)
302,7,B1,the training,die Ausbildung,ausbilden,to train
303,7,B1,the existence,das Bestehen,bestehen,to exist
304,7,B1,the proof,der Beweis,beweisen,to prove
305,7,B1,the formation,die Bildung,bilden,to form
306,7,B1,the memorization,die Einprägung,einprägen,to memorize
307,7,B1,the invention,die Erfindung,erfinden,to invent
308,7,B1,the achievement,die Erzielung,erzielen,to achieve
309,7,B1,the research,die Forschung,forschen,to research
310,8,B1,the discovery,die Herausfindung,herausfinden,to find out
311,8,B1,the control,die Kontrolle,kontrollieren,to control
312,8,B1,the concentration,die Konzentration,konzentrieren,to concentrate
313,8,B1,the praise,das Lob,loben,to praise
314,8,B1,the solution,die Lösung,lösen,to solve
315,8,B1,the calculation,das Rechnen,rechnen,to calculate
316,8,B1,the bill,die Rechnung,rechnen,to calculate
317,8,B1,the study,das Studium,studieren,to study
318,8,B1,the test,der Test,testen,to test
319,8,B1,the practice,die Übung,üben,to practice
320,8,B1,the lesson,der Unterricht,unterrichten,to teach
321,8,B1,the support,die Unterstützung,unterstützen,to support
322,8,B1,the publication,die Veröffentlichung,veröffentlichen,to publish
323,8,B1,the preparation,die Vorbereitung,vorbereiten,to prepare
324,8,B1,the aim,das Ziel,zielen,to aim
325,8,B1,the touch,das Anfassen,anfassen,to touch
326,8,B1,the breath,der Atem,atmen,to breath
327,8,B1,the observation,die Beobachtung,beobachten,to observe
328,8,B1,"the look, the glance, the gaze",der Blick,blicken,"to glance, to gaze"
329,8,B1,the fragrance,der Duft,duften,to emit a scent
330,8,B1,the sensation,die Empfindung,empfinden,to feel
331,8,B1,the fear,die Furcht,fürchten,to fear
332,8,B1,the sound,der Klang,klingen,to sound
333,8,B1,the smile,das Lächeln,lächeln,to smile
334,8,B1,the sound,der Laut,lauten,to sound
335,8,B1,the annoyance,die Nervosität,nerven,to annoy
336,8,B1,the smell,der Geruch,riechen,to smell
337,8,B1,the taste,der Geschmack,schmecken,to taste
338,8,B1,the sensation,das Gespür,spüren,to sense
339,8,B1,the reunion,das Wiedersehen,wiedersehen,to see again
340,8,B1,the distraction,die Ablenkung,ablenken,to distract
341,8,B1,the weight loss,die Abnahme,abnehmen,to lose weight
342,8,B1,the recording,die Aufnahme,aufnehmen,to record
343,8,B1,the selection,die Auswahl,auswählen,to select
344,8,B1,the evaluation,die Bewertung,bewerten,to evaluate
345,8,B1,the coverage,die Deckung,decken,to cover
346,8,B1,the correspondence,die Entsprechung,entsprechen,to correspond
347,8,B1,the emergence,die Entstehung,entstehen,"to arise, to emerge"
348,8,B1,the development,die Entwicklung,entwickeln,to develop
349,8,B1,the withdrawal,der Entzug,entziehen,to withdraw
350,8,B1,the fulfillment,die Erfüllung,erfüllen,to fulfill
351,8,B1,the supplement,die Ergänzung,ergänzen,to supplement
352,8,B1,the replacement,der Ersatz,ersetzen,to replace
353,8,B1,the birth,die Geburt,gebären,to give birth
354,8,B1,the validity,die Gültigkeit,gelten,to be valid
355,8,B1,the incident,das Geraten,geraten,to get into
356,8,B1,the habituation,die Gewöhnung,gewöhnen,"to accustom, to get used to"
357,8,B1,the habit,die Gewohnheit,gewöhnen,"to accustom, to get used to"
358,8,B1,the emphasis,die Hervorhebung,hervorheben,to emphasize
359,8,B1,the hindrance,das Hindernis,hindern,to hinder
360,9,B1,"the suffering, the grief",das Leiden,leiden,to suffer
361,9,B1,the relief,die Linderung,lindern,to relieve
362,9,B1,the reward,die Belohnung,lohnen,to be worthwhile
363,9,B1,the avoidance,die Meidung,meiden,to avoid
364,9,B1,the measurement,die Messung,messen,to measure
365,9,B1,the participation,das Mitmachen,mitmachen,to take part
366,9,B1,the use,die Nutzung,nutzen,to use
367,9,B1,the direction,die Richtung,richten,to direct
368,9,B1,the divorce,die Scheidung,scheiden,to divorce
369,9,B1,the hit,der Schlag,schlagen,to hit
370,9,B1,the pain,der Schmerz,schmerzen,to hurt
371,9,B1,the decline,das Sinken,sinken,to sink
372,9,B1,the push,der Stoß,stossen,to push
373,9,B1,the step,der Tritt,treten,to step
374,9,B1,the avoidance,die Vermeidung,vermeiden,to avoid
375,9,B1,the cause,die Ursache,verursachen,to cause
376,9,B1,the renunciation,der Verzicht,verzichten,to renounce
377,9,B1,the pretense,die Vorgabe,vorgeben,to pretend
378,9,B1,the awakening,das Wecken,wecken,to wake up (someone)
379,9,B1,the bet,die Wette,wetten,to bet
380,9,B1,"the weight gain, the increase",die Zunahme,zunehmen,to gain weight
381,9,B1,the announcement,die Ankündigung,ankündigen,to announce
382,9,B1,the expression,die Äußerung,äussern,to express
383,9,B1,the pronunciation,die Aussprache,aussprechen,to pronounce
384,9,B1,the justification,die Begründung,begründen,to justify
385,9,B1,the complaint,die Beschwerde,beschweren,to complain
386,9,B1,the confirmation,die Bestätigung,bestätigen,to confirm
387,9,B1,the admiration,die Bewunderung,bewundern,to admire
388,9,B1,the discussion,die Diskussion,diskutieren,to discuss
389,9,B1,the informal address,das Duzen,duzen,to address informally
390,9,B1,the apology,die Entschuldigung,entschuldigen,to apologize
391,9,B1,the mention,die Erwähnung,erwähnen,to mention
392,9,B1,the formulation,die Formulierung,formulieren,to formulate
393,9,B1,the guarantee,die Garantie,garantieren,to guarantee
394,9,B1,the information,die Information,informieren,to inform
395,9,B1,the clarification,die Klärung,klären,to clarify
396,9,B1,the criticism,die Kritik,kritisieren,to criticize
397,9,B1,the lie,die Lüge,lügen,to lie
398,9,B1,the opinion,die Meinung,meinen,to mean
399,9,B1,the reflection,das Nachdenken,nachdenken,to reflect
400,9,B1,the reaction,die Reaktion,reagieren,to react
401,9,B1,the call,der Ruf,rufen,to call
402,9,B1,the scream,der Schrei,schreien,to scream
403,9,B1,the formal address,das Siezen,siezen,to address formally
404,9,B1,the consideration,die Überlegung,überlegen,to consider
405,9,B1,the conviction,die Überzeugung,überzeugen,to convince
406,9,B1,the interruption,die Unterbrechung,unterbrechen,to interrupt
407,9,B1,the assumption,die Vermutung,vermuten,to suspect
408,9,B1,the suggestion,der Vorschlag,vorschlagen,to suggest
409,9,B1,the warning,die Warnung,warnen,to warn
410,9,B1,the hesitation,das Zögern,zögern,to hesitate
411,9,B1,the admission,die Zugabe,zugeben,to admit
412,9,B1,the acceptance,die Zusage,zusagen,to accept
413,9,B1,the doubt,der Zweifel,zweifeln,to doubt
414,10,B2,the recognition,die Anerkennung,anerkennen,to recognize
415,10,B2,the application,die Anwendung,anwenden,to apply
416,10,B2,the evaluation,die Auswertung,auswerten,to evaluate
417,10,B2,the impact,die Auswirkung,auswirken,to affect
418,10,B2,"the edit, the editing",die Bearbeitung,bearbeiten,to edit
419,10,B2,the treatment,die Behandlung,behandeln,to treat
420,10,B2,the contribution,der Beitrag,beitragen,to contribute
421,10,B2,the need,die Benötigung,benötigen,to need
422,10,B2,the advice,die Beratung,beraten,to advise
423,10,B2,the discussion,die Besprechung,besprechen,to discuss
424,10,B2,the participation,die Beteiligung,beteiligen,to participate
425,10,B2,the part,der Teil,beteiligen,to take part
426,10,B2,the application,die Bewerbung,bewerben,to apply (for a job)
427,10,B2,the printer,der Drucker,drucken,to print
428,10,B2,the inclusion,die Einbeziehung,einbeziehen,to include
429,10,B2,the introduction,die Einführung,einführen,to introduce
430,10,B2,the setup,die Einrichtung,einrichten,to furnish
431,10,B2,the adjustment,die Einstellung,einstellen,to adjust
432,10,B2,the dismissal,die Entlassung,entlassen,to dismiss
433,10,B2,the decision,der Entschluss,entschliessen,to decide
434,10,B2,the design,der Entwurf,entwerfen,to design
435,10,B2,the result,das Ergebnis,ergeben,to result
436,10,B2,the completion,die Erledigung,erledigen,to accomplish
437,10,B2,the creation,die Erstellung,erstellen,to create
438,10,B2,the generation,die Erzeugung,erzeugen,to generate
439,10,B2,the event,das Geschehen,geschehen,to happen
440,10,B2,the foundation,die Gründung,gründen,to found
441,10,B2,"the ground, the land, the reason",der Grund,gründen,"to found, to establish"
442,10,B2,the action,die Handlung,handeln,to act
443,10,B2,the download,der Download,herunterladen,to download
444,10,B2,the indication,der Hinweis,hinweisen,to indicate
445,10,B2,the installation,die Installation,installieren,to install
446,10,B2,the performance,die Leistung,leisten,to accomplish
447,10,B2,the leadership,die Leitung,leiten,to lead
448,10,B2,the care,die Pflege,pflegen,to care for
449,10,B2,the presentation,die Präsentation,präsentieren,to present
450,10,B2,the production,die Produktion,produzieren,to produce
451,10,B2,the examination,die Prüfung,prüfen,to examine
452,10,B2,the cleaning,die Reinigung,reinigen,to clean
453,10,B2,the repair,die Reparatur,reparieren,to repair
454,10,B2,the achievement,die Schaffung,schaffen,to accomplish
455,10,B2,the switch,der Schalter,schalten,to switch
456,10,B2,the participation,die Teilnahme,teilnehmen,to participate
457,10,B2,the verification,die Überprüfung,überprüfen,to check
458,10,B2,the enterprise,das Unternehmen,unternehmen,to undertake
459,10,B2,the investigation,die Untersuchung,untersuchen,to investigate
460,10,B2,the signature,die Unterzeichnung,unterzeichnen,to sign
461,10,B2,the processing,die Verarbeitung,verarbeiten,to process
462,10,B2,the agreement,die Vereinbarung,vereinbaren,to arrange
463,10,B2,the availability,die Verfügung,verfügen,to have at one's disposal
464,11,B2,the postponement,die Verschiebung,verschieben,to postpone
465,11,B2,the supply,die Versorgung,versorgen,to supply
466,11,B2,the representation,die Vertretung,vertreten,to represent
467,11,B2,the administration,die Verwaltung,verwalten,to manage
468,11,B2,the usage,die Verwendung,verwenden,to use
469,11,B2,the impression,der Eindruck,beeindrucken,to impress
470,11,B2,the influence,der Einfluss,beeinflussen,to influence
471,11,B2,the behavior,das Benehmen,benehmen,to behave
472,11,B2,the report,der Bericht,berichten,to report
473,11,B2,the judgment,die Beurteilung,beurteilen,to judge
474,11,B2,the success,das Erfolg,erfolgen,to occur
475,11,B2,the promotion,die Förderung,fördern,to promote
476,11,B2,the accompaniment,das Mitkommen,mitkommen,to come along
477,11,B2,the nod,das Nicken,nicken,to nod
478,11,B2,the regulation,die Regelung,regeln,to regulate
479,11,B2,the rule,die Regel,regeln,to regulate
480,11,B2,the sufficiency,die Reichweite,reichen,to be enough
481,11,B2,the survival,das Überleben,überleben,to survive
482,11,B2,the condemnation,die Verurteilung,verurteilen,to condemn
483,11,B2,the advertising,die Werbung,werben,to advertise
484,11,B2,the permission,die Zulassung,zulassen,to allow
485,11,B2,the withdrawal,die Abhebung,abheben,to withdraw
486,11,B2,the financing,die Finanzierung,finanzieren,to finance
487,11,B2,the investment,die Investition,investieren,to invest
488,11,B2,the loan,die Leihe,leihen,to lend
489,11,B2,the exchange,der Tausch,tauschen,to exchange
490,11,B2,the transfer,die Überweisung,überweisen,to transfer (money)
491,11,B2,the exchange,der Umtausch,umtauschen,to exchange
492,11,B2,the increase,die Erhöhung,erhöhen,to increase
493,11,B2,the enablement,die Ermöglichung,ermöglichen,to enable
494,11,B2,the expansion,die Erweiterung,erweitern,to expand
