Nr,level,question,answer,german,english,case
116,6,"Wir spielen Fussball, _____ wir die Hausaufgaben gemacht haben.",nachdem,"Wir spielen Fussball, nachdem wir die Hausaufgaben gemacht haben.",We play football after we have done our homework.,
117,6,"Sie geht schlafen, _____ sie ein Buch gelesen hat.",nachdem,"Sie geht schlafen, nachdem sie ein Buch gelesen hat.",She goes to sleep after she has read a book.,
118,6,"Ich trinke einen Kaffee, _____ ich zur Arbeit gekommen bin.",nachdem,"Ich trinke einen Kaffee, nachdem ich zur Arbeit gekommen bin.",I drink a coffee after I have arrived at work.,
119,6,"Ich lerne jeden Tag, _____ Deutsch zu verbessern.",um,"Ich lerne jeden Tag, um Deutsch zu verbessern.",I study every day in order to improve my German.,
120,6,"Er spart Geld, _____ eine Weltreise zu machen.",um,"Er spart Geld, um eine Weltreise zu machen.",He saves money in order to travel around the world.,
121,6,"Sie trainiert hart, _____ beim Marathon zu gewinnen.",um,"Sie trainiert hart, um beim Marathon zu gewinnen.",She trains hard in order to win the marathon.,
122,6,"Wir fahren früh los, _____ den Verkehr zu vermeiden.",um,"Wir fahren früh los, um den Verkehr zu vermeiden.",We leave early in order to avoid traffic.,
123,6,"Er liest viele Bücher, _____ sein Wissen zu erweitern.",um,"Er liest viele Bücher, um sein Wissen zu erweitern.",He reads many books in order to expand his knowledge.,
124,6,"Es regnet, _____ gehen wir spazieren.",trotzdem,"Es regnet, trotzdem gehen wir spazieren.","It is raining; nevertheless, we are going for a walk.",
125,6,"Er war müde, _____ hat er bis spät in die Nacht gearbeitet.",trotzdem,"Er war müde, trotzdem hat er bis spät in die Nacht gearbeitet.","He was tired; nevertheless, he worked late into the night.",
126,6,"Sie hatte wenig Zeit, _____ hat sie mir geholfen.",trotzdem,"Sie hatte wenig Zeit, trotzdem hat sie mir geholfen.","She had little time; nevertheless, she helped me.",
127,6,"Das Essen war teuer, _____ hat es sich gelohnt.",trotzdem,"Das Essen war teuer, trotzdem hat es sich gelohnt.","The food was expensive; nevertheless, it was worth it.",
128,6,"Ich war nervös, _____ habe ich die Präsentation gut gehalten.",trotzdem,"Ich war nervös, trotzdem habe ich die Präsentation gut gehalten.","I was nervous; nevertheless, I gave the presentation well.",
129,6,"_____ arbeiten, spielt er die ganze Zeit Videospiele.",Anstatt zu,"Anstatt zu arbeiten, spielt er die ganze Zeit Videospiele.","Instead of working, he plays video games all the time.",
130,6,"Sie hat sich für die Reise entschieden, _____ zu Hause zu bleiben.",anstatt,"Sie hat sich für die Reise entschieden, anstatt zu Hause zu bleiben.",She decided to travel instead of staying at home.,
131,6,"Er ging joggen, _____ lernen.",anstatt zu,"Er ging joggen, anstatt zu lernen.",He went jogging instead of studying.,
132,6,"Wir sind mit dem Zug gefahren, _____ fliegen.",anstatt zu,"Wir sind mit dem Zug gefahren, anstatt zu fliegen.",We took the train instead of flying.,
133,6,"_____ helfen, hat er nur zugesehen.",Anstatt zu,"Anstatt zu helfen, hat er nur zugesehen.","Instead of helping, he just watched.",
134,6,"Er ging, _____ bezahlen.",ohne zu,"Er ging, ohne zu bezahlen.",He left without paying.,
135,6,"Sie hat das Haus verlassen, _____ sprechen.",ohne zu,"Sie hat das Haus verlassen, ohne zu sprechen.",She left the house without speaking.,
136,6,"Wir konnten den Text verstehen, _____ übersetzen.",ohne zu,"Wir konnten den Text verstehen, ohne zu übersetzen.",We were able to understand the text without translating.,
137,6,"Ich habe die Aufgabe gelöst, _____ fragen.",ohne zu,"Ich habe die Aufgabe gelöst, ohne zu fragen.",I solved the task without asking.,
138,6,"Die Kinder spielten stundenlang draußen, _____ streiten.",ohne zu,"Die Kinder spielten stundenlang draußen, ohne zu streiten.",The children played outside for hours without arguing.,
139,6,"Beeil dich, _____ verpassen wir den Zug.",sonst,"Beeil dich, sonst verpassen wir den Zug.","Hurry up, otherwise we will miss the train.",
140,6,"Du musst mehr lernen, _____ wirst du die Prüfung nicht bestehen.",sonst,"Du musst mehr lernen, sonst wirst du die Prüfung nicht bestehen.","You need to study more, otherwise, you will not pass the exam.",
141,6,"Ich gehe jetzt einkaufen, _____ haben wir nichts zum Abendessen.",sonst,"Ich gehe jetzt einkaufen, sonst haben wir nichts zum Abendessen.","I'm going shopping now, otherwise, we will have nothing for dinner.",
142,6,"Er sollte sich mehr bewegen, _____ wird seine Gesundheit leiden.",sonst,"Er sollte sich mehr bewegen, sonst wird seine Gesundheit leiden.","He should exercise more, otherwise, his health will suffer.",
143,6,"Speichere deine Arbeit regelmäßig, _____ könntest du alles verlieren.",sonst,"Speichere deine Arbeit regelmäßig, sonst könntest du alles verlieren.","Save your work regularly, otherwise, you could lose everything.",
144,6,"_____ ich koche, hört mein Mann Musik.",Während,"Während ich koche, hört mein Mann Musik.","While I am cooking, my husband is listening to music.",
145,6,"Er arbeitet, _____ seine Kollegen eine Pause machen.",während,"Er arbeitet, während seine Kollegen eine Pause machen.",He is working while his colleagues are taking a break.,
146,6,"_____ sie für die Prüfung lernt, schaut ihr Bruder Fernsehen.",Während,"Während sie für die Prüfung lernt, schaut ihr Bruder Fernsehen.","While she is studying for the exam, her brother is watching TV.",
147,6,"Wir haben im Restaurant gegessen, _____ draußen ein Sturm tobte.",während,"Wir haben im Restaurant gegessen, während draußen ein Sturm tobte.",We ate in the restaurant while a storm was raging outside.,
148,6,"_____ ich das Buch lese, macht sie sich Notizen.",Während,"Während ich das Buch lese, macht sie sich Notizen.","While I am reading the book, she is taking notes.",
149,6,"Ich lerne jeden Tag Deutsch, _____ ich mich besser verständigen kann.",damit,"Ich lerne jeden Tag Deutsch, damit ich mich besser verständigen kann.",I study German every day so that I can communicate better.,
150,6,"Er arbeitet hart, _____ er sich eine Reise nach Japan leisten kann.",damit,"Er arbeitet hart, damit er sich eine Reise nach Japan leisten kann.",He works hard so that he can afford a trip to Japan.,
151,6,"Wir fahren früher los, _____ wir nicht im Stau stehen.",damit,"Wir fahren früher los, damit wir nicht im Stau stehen.",We are leaving earlier so that we don’t get stuck in traffic.,
152,6,"Sie schreibt alles auf, _____ sie nichts vergisst.",damit,"Sie schreibt alles auf, damit sie nichts vergisst.",She writes everything down so that she doesn’t forget anything.,
153,6,"Ich trainiere regelmäßig, _____ ich fit bleibe.",damit,"Ich trainiere regelmäßig, damit ich fit bleibe.",I train regularly so that I stay fit.,
154,6,"Ich weiß nicht, _____ er heute zur Party kommt.",ob,"Ich weiß nicht, ob er heute zur Party kommt.",I don’t know whether he is coming to the party today.,
155,6,"Sie fragt mich, _____ ich ihr helfen kann.",ob,"Sie fragt mich, ob ich ihr helfen kann.",She asks me if I can help her.,
156,6,"Er ist unsicher, _____ er den neuen Job annehmen soll.",ob,"Er ist unsicher, ob er den neuen Job annehmen soll.",He is unsure whether he should take the new job.,
157,6,"Wir überlegen, _____ wir dieses Jahr in den Urlaub fahren.",ob,"Wir überlegen, ob wir dieses Jahr in den Urlaub fahren.",We are considering whether we should go on vacation this year.,
158,6,"Ich weiß nicht, _____ das eine gute Idee ist.",ob,"Ich weiß nicht, ob das eine gute Idee ist.",I don’t know if that is a good idea.,
159,6,"Er verbessert sein Deutsch, _____ er jeden Tag deutsche Bücher liest.",indem,"Er verbessert sein Deutsch, indem er jeden Tag deutsche Bücher liest.",He improves his German by reading German books every day.,
160,6,"Du kannst Energie sparen, _____ du das Licht ausschaltest, wenn du den Raum verlässt.",indem,"Du kannst Energie sparen, indem du das Licht ausschaltest, wenn du den Raum verlässt.",You can save energy by turning off the light when you leave the room.,
161,6,"Sie hält sich fit, _____ sie regelmäßig joggt.",indem,"Sie hält sich fit, indem sie regelmäßig joggt.",She keeps fit by jogging regularly.,
162,6,"Wir können Geld sparen, _____ wir weniger auswärts essen.",indem,"Wir können Geld sparen, indem wir weniger auswärts essen.",We can save money by eating out less.,
163,6,"Er löste das Problem, _____ er eine neue Strategie entwickelte.",indem,"Er löste das Problem, indem er eine neue Strategie entwickelte.",He solved the problem by developing a new strategy.,
164,6,"_____ es regnet, nehmen wir einen Regenschirm mit.",Falls,"Falls es regnet, nehmen wir einen Regenschirm mit.","In case it rains, we will take an umbrella.",
165,6,"_____ du Fragen hast, kannst du mich jederzeit anrufen.",Falls,"Falls du Fragen hast, kannst du mich jederzeit anrufen.","If you have any questions, you can call me anytime.",
166,6,"Er nimmt einen Mantel mit, _____ es kalt wird.",falls,"Er nimmt einen Mantel mit, falls es kalt wird.",He is taking a coat with him in case it gets cold.,
167,6,"_____ du dich verspätet, gib mir bitte Bescheid.",Falls,"Falls du dich verspätet, gib mir bitte Bescheid.","If you are running late, please let me know.",
168,6,"_____ der Zug ausfällt, fahren wir mit dem Auto.",Falls,"Falls der Zug ausfällt, fahren wir mit dem Auto.","If the train is canceled, we will go by car.",
169,6,"Ich trinke keinen Kaffee, _____ Tee.",sondern,"Ich trinke keinen Kaffee, sondern Tee.","I don’t drink coffee, but rather tea.",
170,6,"Er ist nicht müde, _____ einfach nur gelangweilt.",sondern,"Er ist nicht müde, sondern einfach nur gelangweilt.","He is not tired, but rather just bored.",
171,6,"Wir haben nicht den Bus genommen, _____ sind zu Fuß gegangen.",sondern,"Wir haben nicht den Bus genommen, sondern sind zu Fuß gegangen.","We didn’t take the bus, but rather walked.",
172,6,"Sie spricht kein Deutsch, _____ Französisch.",sondern,"Sie spricht kein Deutsch, sondern Französisch.","She doesn't speak German, but rather French.",
173,6,"Das Problem ist nicht kompliziert, _____ leicht zu lösen.",sondern,"Das Problem ist nicht kompliziert, sondern leicht zu lösen.","The problem is not complicated, but rather easy to solve.",
174,7,statt zu,anstatt zu,,instead of,
175,7,sodass,damit,,so that,
176,7,darum,deshalb,,"therefore, for this reason, because of that",
177,7,deswegen,deshalb,,"therefore, for this reason, because of that",
178,7,obgleich,obwohl,,"although, even though",
179,7,obschon,obwohl,,"although, even though",
180,7,dennoch,trotzdem,,"despite it, nevertheless, yet, nonetheless",
181,7,da,weil,,"because, since",
182,8,instead,stattdessen,,,Adverb
183,8,on the one hand,einerseits,,,Adverb
184,8,on the other hand,andererseits,,,Adverb
185,8,even if,auch wenn,,,Subjunktion
186,8,for this purpose,zu diesem Zweck,,,Adverb
187,8,in this way,auf diese Weise,,,Adverb
188,8,"everytime, whenever",immer wenn,,,Subjunktion
189,8,"meanwhile, in the meantime, by now",währenddessen,,,Adverb
190,8,"however, on the other hand",dagegen,,,Adverb
191,8,whereas,wohingegen,,,Subjunktion
192,8,"consequently, as a result, thereupon",folglich,,,Adverb
193,8,"as long as, so long as",solange,,,Subjunktion
194,8,"as soon as, whenever",sobald,,,Subjunktion
195,8,"especially since, particularly because",zumal,,,Subjunktion
196,8,either or,entweder oder,,,Zwei Begriffe
197,8,neither nor,weder noch,,,Zwei Begriffe
198,8,"by, due to the fact that",dadurch dass,,,Zwei Begriffe
199,8,as well as,sowohl als auch,,,Zwei Begriffe
200,8,not only,nicht nur,,,Zwei Begriffe
201,8,but also,sondern auch,,,Zwei Begriffe
202,9,"_____ ist der Job sehr anspruchsvoll, andererseits bietet er viele Chancen.",Einerseits,"Einerseits ist der Job sehr anspruchsvoll, andererseits bietet er viele Chancen.","On the one hand, the job is very demanding; on the other hand, it offers many opportunities.",
203,9,"_____ möchte ich ins Ausland ziehen, andererseits vermisse ich meine Familie.",Einerseits,"Einerseits möchte ich ins Ausland ziehen, andererseits vermisse ich meine Familie.","On the one hand, I want to move abroad; on the other hand, I miss my family.",
204,9,"_____ ist das Angebot günstig, andererseits gibt es bessere Alternativen.",Einerseits,"Einerseits ist das Angebot günstig, andererseits gibt es bessere Alternativen.","On the one hand, the offer is cheap; on the other hand, there are better alternatives.",
205,9,"_____ liebe ich meine Arbeit, andererseits ist sie oft sehr stressig.",Einerseits,"Einerseits liebe ich meine Arbeit, andererseits ist sie oft sehr stressig.","On the one hand, I love my job; on the other hand, it is often very stressful.",
206,9,"_____ wäre ein eigenes Haus schön, andererseits sind die Kosten sehr hoch.",Einerseits,"Einerseits wäre ein eigenes Haus schön, andererseits sind die Kosten sehr hoch.","On the one hand, owning a house would be nice; on the other hand, the costs are very high.",
207,9,"Ich möchte mehr Freizeit haben, _____ brauche ich das Geld.",andererseits,"Ich möchte mehr Freizeit haben, andererseits brauche ich das Geld.","I would like to have more free time; on the other hand, I need the money.",
208,9,"Ein Auto zu besitzen ist praktisch, _____ sind die Kosten sehr hoch.",andererseits,"Ein Auto zu besitzen ist praktisch, andererseits sind die Kosten sehr hoch.","Owning a car is practical; on the other hand, the costs are very high.",
209,9,"Er mag seinen Job, _____ würde er gerne etwas Neues ausprobieren.",andererseits,"Er mag seinen Job, andererseits würde er gerne etwas Neues ausprobieren.","He likes his job; on the other hand, he would like to try something new.",
210,9,"Eine grosse Stadt bietet viele Möglichkeiten, _____ kann es dort sehr laut sein.",andererseits,"Eine grosse Stadt bietet viele Möglichkeiten, andererseits kann es dort sehr laut sein.","A big city offers many opportunities; on the other hand, it can be very noisy there.",
211,9,"Ich würde gerne umziehen, _____ ist meine Wohnung sehr günstig.",andererseits,"Ich würde gerne umziehen, andererseits ist meine Wohnung sehr günstig.","I would like to move; on the other hand, my apartment is very affordable.",
